dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,48,0.15750638911123635,0.18948217491957162,False,0.035032612130925886,0.14451832825402,False,50,8,0.16,3
sqrt,14,0.18777098626711314,0.23363967898478147,False,0.10473154043924934,0.17785761460587823,False,50,7,0.14,3
log,5,0.16503261347614281,0.21652180993382814,False,0.0822996232191581,0.16303614672205505,False,50,7,0.14,3
ten_percent,20,0.17492362095760863,0.24414234523664463,False,0.08176772693360546,0.1841576411465512,False,50,8,0.16,3
original,200,0.07213138259437234,,True,,,True,50,50,1.0,3
half,48,0.2806332501459381,0.1044923047673279,False,0.0451124628081099,0.07023275391550363,False,50,2,0.04,2
sqrt,14,0.25071441938181177,0.15417867879762015,False,0.07057025858115164,0.09901830166467256,False,50,4,0.08,2
log,5,0.25646051590065083,0.15843058229923082,False,0.05159331858523665,0.11279125763043713,False,50,3,0.06,2
ten_percent,20,0.2632585468662235,0.12385343187320894,False,0.04285794459418732,0.08173279538437472,False,50,3,0.06,2
original,200,0.08088541838811683,,True,,,True,50,50,1.0,2
half,48,0.24384624085129641,0.0730723120599579,False,0.019416959012268,0.05163977794943223,False,50,5,0.1,9
sqrt,14,0.23565814557907802,0.007175565712033015,False,-0.04290938714003104,0.02734355441238496,False,50,9,0.18,9
log,5,0.3701511794893634,-0.05277310924369748,False,-0.041982001629496474,-0.02857142857142857,False,50,1,0.02,9
ten_percent,20,0.2411607745630686,0.0662261438119225,False,0.01681586468297084,0.05256773253266916,False,50,6,0.12,9
original,200,0.07403328733549439,,True,,,True,50,50,1.0,9
half,48,0.3057292131649473,0.2799039615846338,False,0.29152369127163913,0.1836734693877551,False,50,1,0.02,0
sqrt,14,0.27769393336038506,0.307038229043518,False,0.285285389271947,0.20410007475251785,False,50,5,0.1,0
log,5,0.34093387599902997,0.24640886821533467,False,0.29209429213414684,0.1581980499085781,False,50,5,0.1,0
