dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,18,0.08486786623327693,,True,,,True,20,20,1.0,8
sqrt,10,0.07534368612306547,0.36997803695775816,False,0.1394784225524768,0.2948173896382008,False,20,16,0.8,8
log,4,0.14639891960192894,0.11035945066670619,False,0.08270737447149415,0.09353686755098684,False,20,9,0.45,8
ten_percent,10,0.07534368612306547,0.36997803695775816,False,0.1394784225524768,0.2948173896382008,False,20,16,0.8,8
original,100,0.08486786623327693,,True,,,True,20,20,1.0,8
half,18,0.06991796401454808,,True,,,True,20,20,1.0,10
sqrt,10,0.06778043992351002,0.05563530223940976,False,-0.0011495501413307295,0.039489925183939484,False,20,17,0.85,10
log,4,0.21504191075889337,-0.15772830663138807,False,-0.20428343233001228,-0.13710212427677043,False,20,6,0.3,10
ten_percent,10,0.06778043992351002,0.05563530223940976,False,-0.0011495501413307295,0.039489925183939484,False,20,17,0.85,10
original,100,0.06991796401454808,,True,,,True,20,20,1.0,10
half,18,0.047381024370903066,-0.01989286700048564,False,0.017712091206099474,-0.01664356663246515,False,20,19,0.95,14
sqrt,10,0.053551759428816646,-0.0459595975021211,False,0.011113540438212416,-0.039489925183939484,False,20,17,0.85,14
log,4,0.17596744775892265,-0.25324026448179593,False,-0.17321445235077146,-0.17099639201419237,False,20,8,0.4,14
ten_percent,10,0.053551759428816646,-0.0459595975021211,False,0.011113540438212416,-0.039489925183939484,False,20,17,0.85,14
original,100,0.049414602078609086,,True,,,True,20,20,1.0,14
half,18,0.0922600550388183,,True,,,True,20,20,1.0,2
sqrt,10,0.09333900958236764,-0.17903580300437075,False,-0.20265120204083895,-0.14979209969218638,False,20,19,0.95,2
log,4,0.20037801393709187,0.08671099695241198,False,0.10446579540476586,0.04676843377549342,False,20,9,0.45,2
ten_percent,10,0.09333900958236764,-0.17903580300437075,False,-0.20265120204083895,-0.14979209969218638,False,20,19,0.95,2
original,100,0.0922600550388183,,True,,,True,20,20,1.0,2
half,18,0.08304385333428052,-0.17903580300437075,False,-0.12513496323221007,-0.14979209969218638,False,20,19,0.95,12
sqrt,10,0.07552824742191351,0.18577474172403147,False,0.1849620916407562,0.1495090003192804,False,20,15,0.75,12
log,4,0.13422754410640808,0.28851113531438904,False,0.35596216154464766,0.21045795198972037,False,20,9,0.45,12
