dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,48,0.13282577698989564,0.20423961401263538,False,0.11230279531831586,0.15724272550828772,False,49,36,0.7346938775510204,13
sqrt,14,0.1513691343552084,0.25348072725987575,False,0.18790474456527706,0.20761904761904762,False,50,26,0.52,13
log,5,0.26655720472755917,0.17452229158344923,False,0.16633328358011398,0.12476196637276757,False,50,10,0.2,13
ten_percent,20,0.13380987973911923,0.16156159070090007,False,0.1287415508434438,0.127481373542334,False,49,32,0.6530612244897959,13
original,200,0.0679529350068881,,True,,,True,50,50,1.0,13
half,48,0.15718743365029314,0.17263983850196007,False,0.14605073595478327,0.1256522407560198,False,48,38,0.7916666666666666,0
sqrt,14,0.2475691933040549,0.22046359990075134,False,0.24571994473234265,0.15688360502854096,False,50,25,0.5,0
log,5,0.3546764484145254,0.13492828420387767,False,0.1799738706589693,0.08185874846865604,False,50,11,0.22,0
ten_percent,20,0.1968413578299527,0.29038479865878036,False,0.315575475184574,0.20940431684964705,False,50,30,0.6,0
original,200,0.06760949475469903,,True,,,True,50,50,1.0,0
half,48,0.13731486897851625,0.07473058345090443,False,0.12318086672086188,0.05070074902553476,False,48,36,0.75,5
sqrt,14,0.2098193200603557,0.08849182795900598,False,0.11888690697023578,0.0549857399228215,False,50,23,0.46,5
log,5,0.35102298852349983,0.03693028172306491,False,0.024065673762246324,0.015035280330977641,False,50,11,0.22,5
ten_percent,20,0.21842780384493282,-0.013182392027996075,False,0.009324396811309497,-0.010636959825209341,False,50,27,0.54,5
original,200,0.08217226931821674,-0.03464794643376186,False,-0.039801934457683194,-0.028571428571428574,False,50,49,0.98,5
half,48,0.14563093841380295,0.17569158760476994,False,0.08436223203214471,0.13991579032458099,False,46,34,0.7391304347826086,10
sqrt,14,0.17091761204138714,0.12805890349399207,False,0.08857370605128242,0.0962962962962963,False,50,32,0.64,10
log,5,0.2304079436384546,0.22295327689415614,False,0.20094620498939325,0.14932691611614823,False,50,14,0.28,10
ten_percent,20,0.1602823007710361,0.08515256073977746,False,0.04983773509961663,0.07250874182609172,False,50,33,0.66,10
original,200,0.07129533976106388,,True,,,True,50,50,1.0,10
half,48,0.2109242529128868,0.2301311042259586,False,0.14541984176341638,0.1699687214543456,False,50,31,0.62,1
sqrt,14,0.24271157085002343,0.29547638597655584,False,0.2607986175400057,0.20198479547871986,False,50,16,0.32,1
log,5,0.4031295123999452,0.35741932621862677,False,0.34061760047082296,0.24641124624688668,False,50,6,0.12,1
ten_percent,20,0.22762376744027113,0.28563456014707794,False,0.24472392469545462,0.20828632164890515,False,49,21,0.42857142857142855,1
original,200,0.08517286287484283,,True,,,True,50,50,1.0,1
half,48,0.1452474867236633,0.09085239247506326,False,0.026406610495314033,0.07130531236964256,False,49,39,0.7959183673469388,11
