dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,18,0.1906693541148597,0.14087438017243117,False,0.0023242585302917958,0.11726944291283467,False,20,12,0.6,8
sqrt,10,0.23063362868643345,0.14346728586671803,False,0.12236077330424529,0.10522897599486018,False,20,9,0.45,8
log,4,0.31985847791843136,0.10140594036217622,False,0.09572370644370108,0.0948699711682323,False,20,7,0.35,8
ten_percent,10,0.23063362868643345,0.14346728586671803,False,0.12236077330424529,0.10522897599486018,False,20,9,0.45,8
original,100,0.08486786623327693,,True,,,True,20,20,1.0,8
half,18,0.157429484824619,0.2030085213007828,False,0.10931747908743576,0.1531175237409325,False,20,14,0.7,11
sqrt,10,0.17407131373702114,0.001697281688824472,False,0.04090426953183558,0.0,False,20,12,0.6,11
log,4,0.2468011762329573,-0.09372367215292045,False,-0.08426992491816317,-0.08370879808961673,False,20,7,0.35,11
ten_percent,10,0.17407131373702114,0.001697281688824472,False,0.04090426953183558,0.0,False,20,12,0.6,11
original,100,0.06692257123321661,,True,,,True,20,20,1.0,11
half,18,0.13518991135005615,0.12050734141142361,False,0.15118993931206157,0.10936965981495178,False,20,14,0.7,12
sqrt,10,0.15485550200300646,0.06254985141855984,False,0.1406356120347573,0.056195148694901643,False,20,11,0.55,12
log,4,0.24813552375695394,0.33494689392355176,False,0.44745403601167705,0.22880404811161906,False,20,7,0.35,12
ten_percent,10,0.15485550200300646,0.06254985141855984,False,0.1406356120347573,0.056195148694901643,False,20,11,0.55,12
original,100,0.08343306883936516,,True,,,True,20,20,1.0,12
half,18,0.16310057709896086,-0.16586068916214966,False,-0.15943395298698826,-0.13710212427677043,False,20,13,0.65,2
sqrt,10,0.18521467598958505,-0.21385749279188349,False,-0.20736378620596935,-0.16938919531853897,False,20,12,0.6,2
log,4,0.434206852859712,0.19091456948200203,False,0.14022847073184672,0.14059189831332752,False,20,5,0.25,2
ten_percent,10,0.18521467598958505,-0.21385749279188349,False,-0.20736378620596935,-0.16938919531853897,False,20,12,0.6,2
original,100,0.0922600550388183,,True,,,True,20,20,1.0,2
half,18,0.14666005830326834,-0.31225967225954226,False,-0.13131916480640182,-0.22819794785574377,False,20,15,0.75,13
sqrt,10,0.1653426475667153,-0.30404929217651494,False,-0.17913747733571064,-0.2260306302842337,False,20,14,0.7,13
log,4,0.30875121754017965,-0.31545661326277613,False,-0.2721607952225554,-0.20291114392962029,False,20,6,0.3,13
ten_percent,10,0.1653426475667153,-0.30404929217651494,False,-0.17913747733571064,-0.2260306302842337,False,20,14,0.7,13
original,100,0.09322488879758857,,True,,,True,20,20,1.0,13
half,18,0.12435609034143569,0.19056334499481026,False,0.24105002548959065,0.1233919118490934,False,20,13,0.65,5
sqrt,10,0.15386500020320798,0.1060801055515295,False,0.277610445092105,0.06514969050713038,False,20,12,0.6,5
log,4,0.3127253430862806,0.20192271138800885,False,0.2591934123126689,0.13710212427677043,False,20,6,0.3,5
ten_percent,10,0.15386500020320798,0.1060801055515295,False,0.277610445092105,0.06514969050713038,False,20,12,0.6,5
original,100,0.059601565293028805,,True,,,True,20,20,1.0,5
half,18,0.09592812552475882,0.40317071608194066,False,0.16110123091530346,0.3383624744067925,False,20,15,0.75,7
sqrt,10,0.1423695027983911,0.2929029191586898,False,0.16205955383432913,0.23307361127050977,False,20,13,0.65,7
log,4,0.3114958325954639,0.13358585679125923,False,0.1978638226098941,0.10696563746013954,False,20,4,0.2,7
ten_percent,10,0.1423695027983911,0.2929029191586898,False,0.16205955383432913,0.23307361127050977,False,20,13,0.65,7
original,100,0.07434121728489848,,True,,,True,20,20,1.0,7
half,18,0.1895611520869515,-0.11686945922941443,False,0.2619060058282321,-0.08117077033708014,False,20,11,0.55,10
sqrt,10,0.2156744400567378,-0.008544916899692502,False,0.3256756211319681,0.0,False,20,8,0.4,10
log,4,0.34803376575114253,-0.040910264889000444,False,0.1517337386750089,-0.08651809126974001,False,20,5,0.25,10
ten_percent,10,0.2156744400567378,-0.008544916899692502,False,0.3256756211319681,0.0,False,20,8,0.4,10
original,100,0.06991796401454808,,True,,,True,20,20,1.0,10
half,18,0.11958551219820537,0.18764955425567953,False,0.1195267874098319,0.14360982444252643,False,20,11,0.55,14
sqrt,10,0.14925086271832883,0.25787916139157496,False,0.1457431772818481,0.18676732226992115,False,20,10,0.5,14
log,4,0.3219587600937504,0.09811390611787402,False,0.012056435200188776,0.03208969123804186,False,20,4,0.2,14
ten_percent,10,0.14925086271832883,0.25787916139157496,False,0.1457431772818481,0.18676732226992115,False,20,10,0.5,14
original,100,0.049414602078609086,,True,,,True,20,20,1.0,14
half,18,0.23328741906548647,0.27747519024771844,False,0.35173175249712685,0.22215006043359373,False,20,9,0.45,9
sqrt,10,0.2963331828739039,0.1258433216136532,False,0.18209775519718013,0.10259783520851541,False,20,8,0.4,9
log,4,0.3227846600246148,0.2596606654728451,False,0.3269858939407791,0.1841593557971568,False,20,7,0.35,9
ten_percent,10,0.2963331828739039,0.1258433216136532,False,0.18209775519718013,0.10259783520851541,False,20,8,0.4,9
original,100,0.06674976859233872,,True,,,True,20,20,1.0,9
half,18,0.1850547191439697,0.07637767599710124,False,-0.007583659256040731,0.09120956670998252,False,20,12,0.6,6
sqrt,10,0.21912633895330313,0.02304468210157468,False,-0.031551695963664465,0.031219527052723135,False,20,11,0.55,6
log,4,0.3681665875470746,-0.012291629134809239,False,-0.05743650220550451,-0.005580586539307782,False,20,7,0.35,6
ten_percent,10,0.21912633895330313,0.02304468210157468,False,-0.031551695963664465,0.031219527052723135,False,20,11,0.55,6
original,100,0.06313114592088616,,True,,,True,20,20,1.0,6
half,18,0.20441019872242028,-0.01847732309036207,False,0.010944834534441377,0.006024752331287779,False,20,10,0.5,3
sqrt,10,0.23835681241821685,-0.057038693018074196,False,-0.03550122499005984,-0.01807425699386334,False,20,10,0.5,3
log,4,0.3640114970389142,0.0662651353892675,False,-0.04485236596570039,0.05835728536710696,False,20,3,0.15,3
ten_percent,10,0.23835681241821685,-0.057038693018074196,False,-0.03550122499005984,-0.01807425699386334,False,20,10,0.5,3
original,100,0.10091114001917975,,True,,,True,20,20,1.0,3
half,18,0.15095539490142731,-0.19930060310350828,False,-0.31024883214610105,-0.16770014504959274,False,20,14,0.7,1
sqrt,10,0.14376754131111563,0.0,False,-0.09619519279775414,0.01873171623163388,False,20,11,0.55,1
log,4,0.2390051602409815,-0.36819238400100396,False,-0.26417500611091105,-0.27036903521793754,False,20,5,0.25,1
ten_percent,10,0.14376754131111563,0.0,False,-0.09619519279775414,0.01873171623163388,False,20,11,0.55,1
original,100,0.09582197565906621,,True,,,True,20,20,1.0,1
half,18,0.11458069797948914,-0.009881635198086781,False,0.26873388807807874,-0.023606684260939013,False,20,15,0.75,0
sqrt,10,0.15252817168535282,0.17168163528938246,False,0.33522440732457637,0.10900254924177169,False,19,10,0.5263157894736842,0
log,4,0.2827194916049805,-0.0015239449916076141,False,0.15494528038363106,0.005484084971070818,False,20,6,0.3,0
ten_percent,10,0.15252817168535282,0.17168163528938246,False,0.33522440732457637,0.10900254924177169,False,19,10,0.5263157894736842,0
original,100,0.06382667608143819,,True,,,True,20,20,1.0,0
half,18,0.12370872880575863,-0.08469481999769346,False,-0.10352174705121736,-0.04113063728303113,False,20,13,0.65,15
sqrt,10,0.14203137044206837,-0.1199843283300657,False,-0.05237451361777085,-0.08226127456606226,False,20,13,0.65,15
log,4,0.2541456596850379,-0.1950649589257746,False,-0.12661664400111006,-0.0932294445082039,False,20,6,0.3,15
ten_percent,10,0.14203137044206837,-0.1199843283300657,False,-0.05237451361777085,-0.08226127456606226,False,20,13,0.65,15
original,100,0.09862105546975002,,True,,,True,20,20,1.0,15
half,18,0.20490322673803138,-0.26801580876200076,False,-0.047904114419997215,-0.18707373510197367,False,20,9,0.45,4
sqrt,10,0.2811925011505919,-0.0752862284507066,False,-0.017170589538864942,-0.03906410577515448,False,20,7,0.35,4
log,4,0.45757248319015387,0.01506025804301534,False,-0.038339284132663506,0.01591562328193826,False,20,3,0.15,4
ten_percent,10,0.2811925011505919,-0.0752862284507066,False,-0.017170589538864942,-0.03906410577515448,False,20,7,0.35,4
original,100,0.07695115084283395,,True,,,True,20,20,1.0,4
half,18,0.19248354606180354,0.41837993629523235,False,0.495075911179919,0.31271851443422577,False,20,12,0.6,16
sqrt,10,0.21611900220492095,0.5076534730668485,False,0.6101455298021946,0.3858395786478207,False,20,9,0.45,16
log,4,0.3054228734557659,0.42137079017950535,False,0.5241049992238004,0.301624673408895,False,20,6,0.3,16
ten_percent,10,0.21611900220492095,0.5076534730668485,False,0.6101455298021946,0.3858395786478207,False,20,9,0.45,16
original,100,0.06880322754538429,,True,,,True,20,20,1.0,16
half,18,0.15922168047697682,-0.1411580333294891,False,-0.11557789311791408,-0.1233919118490934,False,20,13,0.65,17
sqrt,10,0.19277283206354787,-0.16586068916214966,False,-0.13741629230551447,-0.15081233670444746,False,20,13,0.65,17
log,4,0.3246851253174444,-0.1843744370221386,False,-0.17211103326292468,-0.128353490404079,False,20,7,0.35,17
ten_percent,10,0.19277283206354787,-0.16586068916214966,False,-0.13741629230551447,-0.15081233670444746,False,20,13,0.65,17
original,100,0.05460734263529937,,True,,,True,20,20,1.0,17
