dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,10,0.0822057820967222,0.00789234580911507,False,-0.01680528736839995,0.007898413537927045,False,200,96,0.48,5
sqrt,4,0.2730630018886023,0.11257242250235473,False,0.07847594787213207,0.07600166750003386,False,200,28,0.14,5
log,2,0.512810459002327,0.06850336434481764,False,0.0860439058806483,0.045238438081624525,False,200,11,0.055,5
ten_percent,2,0.512810459002327,0.06850336434481764,False,0.0860439058806483,0.045238438081624525,False,200,11,0.055,5
original,20,0.07411188652468655,-0.058144453490307765,False,-0.056984163314782614,-0.047593881281824284,False,199,198,0.9949748743718593,5
half,10,0.0756715826086383,0.12728351393275192,False,0.13151480006962243,0.09601510372514305,False,200,120,0.6,0
sqrt,4,0.21501983498030333,0.09017414917000528,False,0.12069963655550789,0.06255091813801954,False,200,29,0.145,0
log,2,0.45390473150967564,0.2010346085551273,False,0.2238670601422808,0.13567337164893314,False,200,8,0.04,0
ten_percent,2,0.45390473150967564,0.2010346085551273,False,0.2238670601422808,0.13567337164893314,False,200,8,0.04,0
original,20,0.08800695081969603,0.06394032589115685,False,0.04778059298126363,0.05245939179056928,False,200,196,0.98,0
half,10,0.07717929168275979,0.09369380930980312,False,0.07959334033731845,0.06846036673816894,False,200,118,0.59,12
sqrt,4,0.19294045059889664,0.05849479241984127,False,0.07848099334065478,0.041172960302081514,False,200,35,0.175,12
log,2,0.3998604589500692,0.17591491145170587,False,0.16418354093658674,0.11971328609141794,False,200,11,0.055,12
ten_percent,2,0.3998604589500692,0.17591491145170587,False,0.16418354093658674,0.11971328609141794,False,200,11,0.055,12
original,20,0.08066344378009914,0.057777638622952106,False,0.035258887596026356,0.04729482695011102,False,197,196,0.9949238578680203,12
half,10,0.08272006107079363,0.0015205712393956483,False,-0.026488767065955147,0.0012335404835826023,False,200,89,0.445,1
sqrt,4,0.2659260246847152,0.02048277032609711,False,0.04366744548059901,0.015291974103839015,False,200,19,0.095,1
log,2,0.41901062823764884,0.04321969193403785,False,0.053509699396911525,0.028562815083985924,False,200,8,0.04,1
ten_percent,2,0.41901062823764884,0.04321969193403785,False,0.053509699396911525,0.028562815083985924,False,200,8,0.04,1
original,20,0.08427281517669163,0.05396474790983126,False,0.03388195397306005,0.04417204988871352,False,200,198,0.99,1
half,10,0.08229338157783142,0.048146609444013035,False,0.0048337385396162134,0.03061794519153369,False,200,91,0.455,3
sqrt,4,0.33879441697006585,-0.09583952440199274,False,-0.016330077253829872,-0.06363544116785251,False,200,15,0.075,3
log,2,0.7841564827410714,0.05190722896757548,False,0.06980217818320802,0.036848060932392214,False,200,6,0.03,3
