dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,18,0.0941680445666494,0.13545986632204113,False,0.023496410452098274,0.11846977555181847,False,20,17,0.85,5
sqrt,14,0.1007769151842405,0.10002313208451019,False,-0.01919820465879894,0.08671099695241201,False,20,16,0.8,5
log,5,0.2026755190842311,0.16789696959718695,False,0.1157179902239655,0.10614639197925867,False,20,11,0.55,5
ten_percent,18,0.0941680445666494,0.13545986632204113,False,0.023496410452098274,0.11846977555181847,False,20,17,0.85,5
original,200,0.06198268231823765,,True,,,True,20,20,1.0,5
half,18,0.20252010944596802,-0.00424320422206118,False,0.04526352672406491,-0.026059876202852147,False,20,12,0.6,14
sqrt,14,0.20711053568275908,-0.0016460487215410485,False,0.02984276719260044,-0.031219527052723135,False,20,11,0.55,14
log,5,0.3001650146333878,0.1367443741247528,False,0.1045470694969746,0.08370879808961673,False,20,7,0.35,14
ten_percent,18,0.20252010944596802,-0.00424320422206118,False,0.04526352672406491,-0.026059876202852147,False,20,12,0.6,14
original,200,0.06134130224884351,,True,,,True,20,20,1.0,14
half,18,0.1541352396560498,0.19409229582804746,False,-0.015434261280468266,0.15081233670444746,False,20,13,0.65,11
sqrt,14,0.17366071229815902,0.19943059843687547,False,-0.026960963485611746,0.1433293191156868,False,20,12,0.6,11
log,5,0.26932328578374864,-0.03636467990133372,False,-0.009262832805771072,-0.010814761408717502,False,20,5,0.25,11
ten_percent,18,0.1541352396560498,0.19409229582804746,False,-0.015434261280468266,0.15081233670444746,False,20,13,0.65,11
original,200,0.06945882436330011,,True,,,True,20,20,1.0,11
half,18,0.1722699347225359,-0.12674575155866072,False,-0.21755203834386982,-0.08117077033708014,False,20,11,0.55,2
sqrt,14,0.19352799660841538,-0.16460487215410483,False,-0.21944567011937618,-0.10614639197925867,False,20,11,0.55,2
log,5,0.2937660631033644,0.07010146961395025,False,0.028564182676576684,0.12613395433462882,False,20,6,0.3,2
ten_percent,18,0.1722699347225359,-0.12674575155866072,False,-0.21755203834386982,-0.08117077033708014,False,20,11,0.55,2
original,200,0.07216301739352231,,True,,,True,20,20,1.0,2
half,18,0.1838073626083216,-0.2304468210157468,False,0.17310846773752725,-0.19356106772688345,False,20,11,0.55,1
sqrt,14,0.19707664106359207,-0.25184545439578043,False,0.11433405490613067,-0.21853668936906193,False,20,11,0.55,1
log,5,0.3559058476706087,-0.10264224024639128,False,0.01947826525134851,-0.08557250996811162,False,20,4,0.2,1
ten_percent,18,0.1838073626083216,-0.2304468210157468,False,0.17310846773752725,-0.19356106772688345,False,20,11,0.55,1
original,200,0.0743857197393096,,True,,,True,20,20,1.0,1
half,18,0.1931440302630004,0.06110214079768099,False,0.09050739393574293,0.03908981430427822,False,20,12,0.6,10
sqrt,14,0.19655241005986737,0.06110214079768099,False,0.08519840217244562,0.03908981430427822,False,20,12,0.6,10
log,5,0.2727414768872254,0.15924617858517842,False,0.17117569239498343,0.11399759467612824,False,20,8,0.4,10
ten_percent,18,0.1931440302630004,0.06110214079768099,False,0.09050739393574293,0.03908981430427822,False,20,12,0.6,10
original,200,0.06724268444120594,,True,,,True,20,20,1.0,10
half,18,0.12906210152093262,0.1837984146844141,False,0.007666457996238108,0.1495090003192804,False,20,15,0.75,8
sqrt,14,0.13414540024504407,0.14460880969370832,False,0.00907125150362628,0.12395228112361202,False,20,14,0.7,8
log,5,0.20944235514329126,0.19052025158954322,False,0.025623581777124576,0.15067583656131012,False,20,7,0.35,8
ten_percent,18,0.12906210152093262,0.1837984146844141,False,0.007666457996238108,0.1495090003192804,False,20,15,0.75,8
original,200,0.06768681280494812,,True,,,True,20,20,1.0,8
half,18,0.1669123727980743,0.0667425275509423,False,0.06528668515336417,0.036456553271650594,False,20,14,0.7,12
sqrt,14,0.1905925411733898,0.12606921870733545,False,0.09263852986210873,0.0802044171976313,False,20,14,0.7,12
log,5,0.23417430377145995,0.3841134104627887,False,0.3814141967435846,0.2846099135046969,False,20,7,0.35,12
ten_percent,18,0.1669123727980743,0.0667425275509423,False,0.06528668515336417,0.036456553271650594,False,20,14,0.7,12
original,200,0.07863546020855162,,True,,,True,20,20,1.0,12
half,18,0.16370484961966575,0.2567836005604035,False,0.15807263015958078,0.2310245001901512,False,20,11,0.55,13
sqrt,14,0.18178404279047375,0.2551375518388625,False,0.15813679368284747,0.2310245001901512,False,20,11,0.55,13
log,5,0.31363318076254576,0.0054376743907134095,False,0.03607832178683769,0.022799518935225645,False,20,8,0.4,13
ten_percent,18,0.16370484961966575,0.2567836005604035,False,0.15807263015958078,0.2310245001901512,False,20,11,0.55,13
original,200,0.07354006007116175,,True,,,True,20,20,1.0,13
half,18,0.10778207232748427,-0.04086966687324073,False,0.08854432650368181,-0.0346843987809648,False,20,16,0.8,3
sqrt,14,0.13287456301080733,-0.07958829864788983,False,-0.024988233945318176,-0.0520265981714472,False,20,16,0.8,3
log,5,0.21941660108736202,0.06525209268856091,False,0.17549349079750542,0.04559903787045129,False,20,8,0.4,3
ten_percent,18,0.10778207232748427,-0.04086966687324073,False,0.08854432650368181,-0.0346843987809648,False,20,16,0.8,3
original,200,0.07978605761284845,,True,,,True,20,20,1.0,3
half,18,0.15656093579071378,0.29663345578196576,False,0.563509108658727,0.25519587290155415,False,20,14,0.7,9
sqrt,14,0.1607456380836529,0.2944783730110459,False,0.5711518617694067,0.23453888582566934,False,20,12,0.6,9
log,5,0.2743055581038132,0.3011449138028264,False,0.47465330884506324,0.2176428750330035,False,20,7,0.35,9
ten_percent,18,0.15656093579071378,0.29663345578196576,False,0.563509108658727,0.25519587290155415,False,20,14,0.7,9
original,200,0.07868647397066021,,True,,,True,20,20,1.0,9
half,18,0.17724861672911266,0.3143953058143403,False,0.28120434056131965,0.2560001218323297,False,20,11,0.55,7
sqrt,14,0.23690230336279053,0.24121422788580066,False,0.18311604156350098,0.21045795198972037,False,20,9,0.45,7
log,5,0.4244694701484815,0.046971044872556066,False,0.03473062592103891,0.04325904563487001,False,20,5,0.25,7
ten_percent,18,0.17724861672911266,0.3143953058143403,False,0.28120434056131965,0.2560001218323297,False,20,11,0.55,7
original,200,0.09018404820990952,,True,,,True,20,20,1.0,7
half,18,0.09683964832693356,-0.009675704737288652,False,-0.12577646438226747,0.0,False,20,17,0.85,6
sqrt,14,0.0967772808328062,-0.009675704737288652,False,-0.1319961434302294,0.0,False,20,17,0.85,6
log,5,0.150473284044358,-0.007882817904764727,False,-0.09662630476003686,-0.011692108443873354,False,20,9,0.45,6
ten_percent,18,0.09683964832693356,-0.009675704737288652,False,-0.12577646438226747,0.0,False,20,17,0.85,6
original,200,0.07997986845241997,,True,,,True,20,20,1.0,6
half,18,0.14730940807904966,0.25099353403140423,False,0.07956037367915096,0.19672236884115843,False,20,15,0.75,4
sqrt,14,0.14797652685611434,0.25099353403140423,False,0.09532217440761726,0.19672236884115843,False,20,15,0.75,4
log,5,0.2636939948595904,0.4177893489525305,False,0.3872032829054801,0.30399481954070723,False,20,9,0.45,4
ten_percent,18,0.14730940807904966,0.25099353403140423,False,0.07956037367915096,0.19672236884115843,False,20,15,0.75,4
original,200,0.07444709318178469,,True,,,True,20,20,1.0,4
half,18,0.21456701884167867,0.07078009502626507,False,0.14498844246138698,0.056195148694901643,False,20,11,0.55,0
sqrt,14,0.22364766447552734,0.07736428991242927,False,0.13711026238245577,0.06868295951599089,False,20,11,0.55,0
log,5,0.3517288302151349,0.03169833889962083,False,0.016650868424126233,0.021393127492027906,False,20,4,0.2,0
ten_percent,18,0.21456701884167867,0.07078009502626507,False,0.14498844246138698,0.056195148694901643,False,20,11,0.55,0
original,200,0.08763564045730372,,True,,,True,20,20,1.0,0
half,18,0.1646965500768967,0.21526600082747085,False,0.11067887907827469,0.15081233670444746,False,20,13,0.65,16
sqrt,14,0.17558018047619367,0.21526600082747085,False,0.08760548548119383,0.15081233670444746,False,20,13,0.65,16
log,5,0.2519686273138552,0.30729072837023097,False,0.2026033997952133,0.23996522119023464,False,20,7,0.35,16
ten_percent,18,0.1646965500768967,0.21526600082747085,False,0.11067887907827469,0.15081233670444746,False,20,13,0.65,16
original,200,0.08219887159871604,,True,,,True,20,20,1.0,16
