dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,10,0.07551501388116484,0.3485957690108806,False,0.2837752907088196,0.2683281572999748,False,50,41,0.82,1
sqrt,4,0.13559233550012742,0.09124093932192656,False,0.13971303267274668,0.04951562318759536,False,50,12,0.24,1
log,2,0.3493108095726926,0.1745540109509361,False,0.1088276354553058,0.11923234967050615,False,50,2,0.04,1
ten_percent,2,0.3493108095726926,0.1745540109509361,False,0.1088276354553058,0.11923234967050615,False,50,2,0.04,1
original,20,0.08390761675886207,,True,,,True,50,50,1.0,1
half,10,0.06328479750853966,0.03668978543992602,False,0.04221156275443676,0.02866002236101814,False,50,43,0.86,2
sqrt,4,0.1697920579297758,-0.027487310856708684,False,0.03441760362441229,-0.01976872466387471,False,50,16,0.32,2
log,2,0.5530833949754601,0.10525566110263153,False,0.17430922303434238,0.0691668501245082,False,50,7,0.14,2
ten_percent,2,0.5530833949754601,0.10525566110263153,False,0.17430922303434238,0.0691668501245082,False,50,7,0.14,2
original,20,0.06519348421234565,,True,,,True,50,50,1.0,2
half,10,0.07254816654436862,0.09556475446434692,False,0.016705692213418864,0.07613188819880644,False,50,37,0.74,9
sqrt,4,0.16627459518520651,0.10661563324420632,False,0.16936114207050218,0.0872638888259323,False,50,18,0.36,9
log,2,0.3688491147418516,0.17923339298512048,False,0.14048403064314655,0.11974375769618802,False,50,8,0.16,9
ten_percent,2,0.3688491147418516,0.17923339298512048,False,0.14048403064314655,0.11974375769618802,False,50,8,0.16,9
original,20,0.07200960304043665,,True,,,True,50,50,1.0,9
half,10,0.07738156718971925,0.08259734078860707,False,0.14883617609337424,0.05974025974025974,False,50,39,0.78,6
sqrt,4,0.22808413000556246,0.1292013593481094,False,0.1567624364761343,0.08014452365565972,False,50,13,0.26,6
log,2,0.4432007846423787,0.10909531672936436,False,0.05388658018114252,0.07720885715735783,False,50,6,0.12,6
ten_percent,2,0.4432007846423787,0.10909531672936436,False,0.05388658018114252,0.07720885715735783,False,50,6,0.12,6
original,20,0.08268980936395798,,True,,,True,50,50,1.0,6
half,10,0.07451600653180629,0.05223376481797203,False,-0.06305654804325546,0.03262795208520276,False,50,37,0.74,3
sqrt,4,0.1778129773991199,0.043206015872082476,False,-0.003687133117185602,0.011694106924093723,False,50,11,0.22,3
log,2,0.39410939781469756,-0.22175793146685735,False,-0.15160443755258998,-0.14648161981798666,False,50,4,0.08,3
ten_percent,2,0.39410939781469756,-0.22175793146685735,False,-0.15160443755258998,-0.14648161981798666,False,50,4,0.08,3
original,20,0.0764295234208282,,True,,,True,50,50,1.0,3
half,10,0.0860856250062673,-0.015651022688047918,False,0.08079750515637447,-0.020105820105820103,False,50,32,0.64,7
sqrt,4,0.23102384991776648,-0.14789370672250596,False,-0.1542161406803955,-0.1002596995120782,False,50,9,0.18,7
log,2,0.6611448498082795,-0.13768429204361768,False,-0.005348362756747295,-0.08827141901512471,False,50,3,0.06,7
ten_percent,2,0.6611448498082795,-0.13768429204361768,False,-0.005348362756747295,-0.08827141901512471,False,50,3,0.06,7
original,20,0.083920730163887,,True,,,True,50,50,1.0,7
half,10,0.07839449969113474,-0.00716754559654447,False,0.0438682707972351,0.0022766259225417023,False,50,35,0.7,10
sqrt,4,0.2789586433750694,0.1850554709854425,False,0.1478299971371948,0.1230470337705656,False,50,8,0.16,10
log,2,0.47287903250749586,0.3186644614685738,False,0.325032002363008,0.20410007475251785,False,50,5,0.1,10
ten_percent,2,0.47287903250749586,0.3186644614685738,False,0.325032002363008,0.20410007475251785,False,50,5,0.1,10
original,20,0.080845912905245,,True,,,True,50,50,1.0,10
half,10,0.08191811852311055,0.08938904461372982,False,-0.02534166785109722,0.06956655929999345,False,50,41,0.82,5
sqrt,4,0.17633829561578193,-0.012120862874808657,False,0.012760519495321308,-0.025612041628594148,False,50,15,0.3,5
log,2,0.4041186492876976,0.1706497675894195,False,0.21110296179764743,0.12515906213006245,False,50,7,0.14,5
ten_percent,2,0.4041186492876976,0.1706497675894195,False,0.21110296179764743,0.12515906213006245,False,50,7,0.14,5
original,20,0.0848156357552959,,True,,,True,50,50,1.0,5
half,10,0.06960801255681423,0.09144590774506507,False,0.10284677912300705,0.07642672629604838,False,50,43,0.86,13
sqrt,4,0.1121403288411137,0.1305874363399113,False,0.0972718410541743,0.08878388176694302,False,50,21,0.42,13
log,2,0.2715785198962206,0.28658920504905017,False,0.3051439234712195,0.20300517669800955,False,50,9,0.18,13
ten_percent,2,0.2715785198962206,0.28658920504905017,False,0.3051439234712195,0.20300517669800955,False,50,9,0.18,13
original,20,0.07406981015259473,0.014849119900183652,False,0.02702463310200316,0.012244897959183673,False,50,49,0.98,13
half,10,0.06724305958146952,-0.0075608017717851885,False,0.14899247033813792,-0.009553340787006048,False,50,43,0.86,8
sqrt,4,0.1506973915614636,0.04627851090426732,False,0.06167158412769172,0.045763053412788954,False,50,19,0.38,8
log,2,0.3227476116086167,-0.0046109511416110695,False,0.015102814941035358,-0.013911662217350688,False,50,4,0.08,8
ten_percent,2,0.3227476116086167,-0.0046109511416110695,False,0.015102814941035358,-0.013911662217350688,False,50,4,0.08,8
original,20,0.07161541017589965,,True,,,True,49,49,1.0,8
half,10,0.06549724677611399,0.10253755739594748,False,0.1637590067879369,0.07613188819880644,False,50,37,0.74,11
sqrt,4,0.20542743930203627,-0.029212005881856008,False,0.009071342536036758,-0.022777917249503288,False,50,13,0.26,11
log,2,0.45142522640796245,0.19690357798779176,False,0.14148934525050152,0.1317463811895394,False,50,7,0.14,11
ten_percent,2,0.45142522640796245,0.19690357798779176,False,0.14148934525050152,0.1317463811895394,False,50,7,0.14,11
original,20,0.06852289085101107,,True,,,True,49,49,1.0,11
half,10,0.07661824651128234,0.29182261477345156,False,0.17382636122543293,0.23141528909997824,False,50,41,0.82,0
sqrt,4,0.17365134201699184,0.010728429045884957,False,0.010045775082173242,0.004484034432673889,False,50,21,0.42,0
log,2,0.36307559699425596,0.10743898631336557,False,0.08104724969967679,0.0797285458105349,False,50,12,0.24,0
ten_percent,2,0.36307559699425596,0.10743898631336557,False,0.08104724969967679,0.0797285458105349,False,50,12,0.24,0
original,20,0.0885619419803248,0.004949706633394551,False,-0.011238308854176055,0.004081632653061224,False,50,49,0.98,0
