dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,18,0.1507587484866338,0.48558437285460926,False,0.28414423271053807,0.36839041922213295,False,20,11,0.55,2
sqrt,7,0.15608022476949496,0.4378322210542316,False,0.30025439863950476,0.33136137822082784,False,20,10,0.5,2
log,3,0.2937022327939788,0.19666606615694782,False,0.18888762227197578,0.13951466348269453,False,20,7,0.35,2
ten_percent,5,0.16155615121362268,0.32477209767630677,False,0.27732392287346835,0.2572263857652138,False,20,9,0.45,2
original,50,0.06817875730497672,,True,,,True,20,20,1.0,2
half,18,0.20823694013479402,0.3087831979082573,False,0.35900234642840334,0.2467838236981868,False,20,13,0.65,7
sqrt,7,0.22120951830575913,0.32616492063856517,False,0.3794252320099002,0.27111385490795004,False,20,10,0.5,7
log,3,0.3647052063176931,0.36905923147415687,False,0.45057353229416414,0.2567175299043349,False,20,4,0.2,7
ten_percent,5,0.23842155177783284,0.44355886815676526,False,0.4891182691858794,0.34199278402838473,False,20,8,0.4,7
original,50,0.07388262903621919,,True,,,True,20,20,1.0,7
half,18,0.16028891097337475,-0.01575865233841693,False,-0.07606424452221189,-0.007291310654330118,False,20,14,0.7,6
sqrt,7,0.2012804301951936,-0.054698737915177015,False,-0.07713405979540378,-0.04113063728303113,False,20,13,0.65,6
log,3,0.3595661049769778,-0.08762683701743781,False,-0.16259758511578473,-0.04935676473963736,False,20,6,0.3,6
ten_percent,5,0.27649287596264477,-0.18477323090362066,False,-0.1787966624383075,-0.12651979895704335,False,20,10,0.5,6
original,50,0.06294805657389399,,True,,,True,20,20,1.0,6
half,18,0.13345321337829805,-0.3478335589726547,False,-0.22081655886351056,-0.2754113163776218,False,20,15,0.75,10
sqrt,7,0.14523046160819203,-0.20646400148795874,False,-0.17720017781766087,-0.15061880828219448,False,20,10,0.5,10
log,3,0.2445093597720017,0.130297296782451,False,0.1492821595349194,0.10419761445034553,False,20,6,0.3,10
ten_percent,5,0.16474285637566985,-0.08986412411431789,False,-0.0617273481395986,-0.07015265066324013,False,20,9,0.45,10
original,50,0.08599001208659814,,True,,,True,20,20,1.0,10
half,18,0.15232878523292398,0.10869798717895457,False,0.3296076938361592,0.08655784229010971,False,20,15,0.75,4
sqrt,7,0.18777531655849783,0.23779511455422486,False,0.3071168260078415,0.19881682693249672,False,20,10,0.5,4
log,3,0.2989501955973158,0.09242689474922322,False,0.2698040343720105,0.08651809126974001,False,20,5,0.25,4
ten_percent,5,0.22835327400107652,0.23615043068241096,False,0.2924517434511692,0.18239615148180516,False,20,8,0.4,4
original,50,0.06827703602783762,,True,,,True,20,20,1.0,4
half,18,0.1847301289013865,-0.17834633591566865,False,-0.12466876080617077,-0.12651979895704335,False,20,10,0.5,5
sqrt,7,0.2631238218745612,-0.37049244152394223,False,-0.33502905259858073,-0.26891849420908714,False,20,9,0.45,5
log,3,0.4065941767106843,-0.08939650475744541,False,-0.17089614313493068,-0.07570332986102252,False,20,5,0.25,5
ten_percent,5,0.31913155580665686,-0.2872636309180353,False,-0.2707924239498473,-0.22484748381390351,False,20,6,0.3,5
original,50,0.09366770150020517,,True,,,True,20,20,1.0,5
half,18,0.1327691305567958,-0.18703439416157303,False,-0.2826971569690761,-0.13710212427677043,False,20,13,0.65,1
sqrt,7,0.2789420874372099,-0.2364845371429418,False,-0.24811597327046606,-0.1753816266581003,False,20,9,0.45,1
log,3,0.36864430437252904,-0.09372261698386826,False,-0.0871329011986765,-0.07129310462392063,False,20,6,0.3,1
ten_percent,5,0.3048879772218578,-0.149036003259562,False,-0.1960307165391214,-0.11719231732546342,False,20,7,0.35,1
original,50,0.08414700621674447,,True,,,True,20,20,1.0,1
half,18,0.15760164533449403,0.29628876987738867,False,0.25649318322397097,0.21853668936906193,False,20,11,0.55,13
sqrt,7,0.18759514210028908,0.4187009280849326,False,0.3917740594023795,0.3191932650931591,False,20,8,0.4,13
log,3,0.26884778133368525,0.43334576882422693,False,0.40890800953433776,0.3352576036702426,False,20,5,0.25,13
ten_percent,5,0.21715099821258818,0.46556519493612614,False,0.40516712489366463,0.34549735317746155,False,20,6,0.3,13
original,50,0.0765392312461148,,True,,,True,20,20,1.0,13
half,18,0.16607874234505834,0.008822377083093068,False,-0.05297129827999079,0.0,False,20,13,0.65,8
sqrt,7,0.1963492228420487,-0.14977354019052982,False,-0.09689501815558264,-0.10522897599486018,False,20,9,0.45,8
log,3,0.4115679281053389,-0.32680759953343286,False,-0.3926316546255031,-0.22812393370778178,False,20,3,0.15,8
ten_percent,5,0.26322677224723856,-0.16856790611211572,False,-0.1741685651606056,-0.12539735414374106,False,20,8,0.4,8
original,50,0.07472935937524208,,True,,,True,20,20,1.0,8
half,18,0.21272896547407952,0.36706886490365376,False,0.47721174178319603,0.26848793265341897,False,20,11,0.55,14
sqrt,7,0.27020849377387257,0.37206900510489516,False,0.44329835922905875,0.2806106026529605,False,20,9,0.45,14
log,3,0.4052277289222318,0.2483036547136965,False,0.29538300220841257,0.13905532869818138,False,20,4,0.2,14
ten_percent,5,0.2982409286422559,0.2881967427078107,False,0.3776274043605959,0.20519567041703082,False,20,8,0.4,14
original,50,0.07105555966070887,,True,,,True,20,20,1.0,14
half,18,0.24892345912823047,-0.28408054207559674,False,-0.17570767087364605,-0.20565318641515565,False,20,13,0.65,11
sqrt,7,0.2734318235866082,-0.22061421813751547,False,-0.13598060061018974,-0.1481968730789667,False,20,8,0.4,11
log,3,0.4165175464904117,-0.3012051608603068,False,-0.28739872781983716,-0.23873434922907394,False,20,3,0.15,11
ten_percent,5,0.34313739257666703,-0.26364248354811726,False,-0.24229099184184585,-0.20291114392962029,False,20,6,0.3,11
original,50,0.07566831922494302,,True,,,True,20,20,1.0,11
half,18,0.17746874886767883,0.23538496718036991,False,0.1870416844793421,0.19356106772688345,False,20,11,0.55,0
sqrt,7,0.21298688167260887,0.304509765879951,False,0.2392231593555997,0.2393949488198693,False,20,8,0.4,0
log,3,0.316043728366716,0.15544238914397665,False,0.19202154227416607,0.11516578439248717,False,20,6,0.3,0
ten_percent,5,0.24054440581288267,0.25790112824526457,False,0.23651546576690638,0.193795910949418,False,20,8,0.4,0
original,50,0.08355564827536008,,True,,,True,20,20,1.0,0
half,18,0.2244854185468054,0.0562353311445802,False,0.16581236137783373,0.09037128496931669,False,20,10,0.5,9
