dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,98,0.08888470642673124,-0.05691308654559244,False,-0.06520166234688202,-0.046701109296943245,False,100,98,0.98,12
sqrt,14,0.06413653825891066,0.10675452709862471,False,0.08771831472188323,0.0827486476516489,False,99,80,0.8080808080808081,12
log,5,0.12884887862419178,0.12109625156367038,False,0.10250747359494082,0.08570126941884641,False,100,20,0.2,12
ten_percent,20,0.09800835080135877,-0.028601696881120266,False,-0.03090116200328244,-0.02330646366537488,False,100,95,0.95,12
original,200,0.07086812282998427,,True,,,True,100,100,1.0,12
half,98,0.089733418544391,0.13078750995928257,False,0.11991458968563737,0.10732553068241615,False,99,98,0.98989898989899,11
sqrt,14,0.07615702993748812,0.07568610008900029,False,0.06392267199243165,0.05818058982203477,False,100,83,0.83,11
log,5,0.12715243210518826,0.16633549266177142,False,0.1543882525178123,0.11422527124411475,False,100,27,0.27,11
ten_percent,20,0.08157751431305992,0.11127519856242667,False,0.08966512621207101,0.09212448364533984,False,100,96,0.96,11
original,200,0.08266581460993998,,True,,,True,100,100,1.0,11
half,98,0.07536801131957094,,True,,,True,100,100,1.0,7
sqrt,14,0.07304588887553477,0.08716706305067029,False,0.07413394842329649,0.06853320659576358,False,100,80,0.8,7
log,5,0.2145876749211824,0.013354066276631259,False,-0.030447568316656005,0.009013574113696379,False,100,17,0.17,7
ten_percent,20,0.07311385073448814,0.034220400286226076,False,-0.026197691114770154,0.028647387595743708,False,97,94,0.9690721649484536,7
original,200,0.07536801131957094,,True,,,True,100,100,1.0,7
half,98,0.08941879515688271,-0.14449167920781322,False,-0.11656908967923203,-0.11856537947168375,False,100,99,0.99,5
sqrt,14,0.08843653486860234,-0.12361332319134806,False,0.0027565220200499296,-0.09913710621238564,False,100,86,0.86,5
log,5,0.1620349454141933,-0.09851781021875324,False,-0.06141174360992156,-0.06602128729336994,False,100,32,0.32,5
ten_percent,20,0.08045152506656787,-0.20752753836086624,False,-0.13411424305790254,-0.1684150716641369,False,100,96,0.96,5
original,200,0.0796850036771895,,True,,,True,100,100,1.0,5
half,98,0.09846893636049073,0.03147730502374198,False,0.036098869246580303,0.025829297820798628,False,100,97,0.97,14
sqrt,14,0.06981189192485444,0.09263922367430011,False,0.028667296252695915,0.07132275179071891,False,100,84,0.84,14
log,5,0.1266595469406673,0.04044820006158691,False,0.012838379777271652,0.02724697737163884,False,100,34,0.34,14
ten_percent,20,0.07272024114621234,0.14492670022515095,False,0.13648354369032514,0.11892829075619085,False,99,98,0.98989898989899,14
original,200,0.07361359229885077,,True,,,True,100,100,1.0,14
half,98,0.10361317254277008,0.033508098896241456,False,0.01437256842902714,0.027495704131817893,False,100,97,0.97,4
sqrt,14,0.07475904615563006,-0.09877487025760577,False,-0.02771226940305208,-0.08111690059665559,False,100,81,0.81,4
log,5,0.14195801962400798,-0.04938401648489873,False,-0.04525170714893982,-0.030415134870860932,False,100,22,0.22,4
ten_percent,20,0.07902868642058597,,True,,,True,98,98,1.0,4
original,200,0.07858633601422285,,True,,,True,100,100,1.0,4
half,98,0.09806203063850444,0.0036588889135079085,False,0.04834671147554722,0.002167520295874517,False,100,96,0.96,13
sqrt,14,0.06955109409280419,-0.028314060253112054,False,-0.14891807275237062,-0.025434960356578447,False,100,81,0.81,13
log,5,0.13279327208908848,0.06952124220304486,False,0.10590996078526994,0.05369535252878859,False,100,31,0.31,13
ten_percent,20,0.06995574467469014,0.012186045234393886,False,-0.003419968718951702,0.00999948983496128,False,100,99,0.99,13
original,200,0.07011314556598625,,True,,,True,100,100,1.0,13
half,98,0.09244979117774424,-0.0470151584507068,False,-0.044430640600295446,-0.038579177245300945,False,100,98,0.98,6
sqrt,14,0.07365951543667361,0.0623443650090435,False,-0.02209002334695652,0.052584037286723055,False,99,81,0.8181818181818182,6
log,5,0.15053537363132674,-0.08084475994553235,False,-0.07502537689188656,-0.053588570962945455,False,100,22,0.22,6
ten_percent,20,0.07419425164151529,0.0741534015873651,False,0.09347576294667917,0.05982984655147818,False,98,95,0.9693877551020408,6
original,200,0.07475015486081169,,True,,,True,100,100,1.0,6
half,98,0.11627343054728781,-0.04975444987623732,False,-0.06129877294009548,-0.040826954619972024,False,100,97,0.97,1
sqrt,14,0.08687805914393616,-0.0523771259341927,False,-0.05887495863448462,-0.041516312553937854,False,99,86,0.8686868686868687,1
log,5,0.12494055881260464,-0.06229806174901258,False,-0.06253664716633744,-0.040401909403852125,False,100,30,0.3,1
ten_percent,20,0.08967241765841283,0.07152871833252614,False,0.20106666880037377,0.05832295502009752,False,97,95,0.979381443298969,1
original,200,0.09058109370548754,,True,,,True,100,100,1.0,1
half,98,0.10098729830594234,-0.02538492340624353,False,-0.025089657690101397,-0.02083007888774083,False,100,97,0.97,8
sqrt,14,0.07332342048022004,-0.08489350602097456,False,-0.07151365842729596,-0.06823550876255455,False,100,76,0.76,8
log,5,0.16392898921900856,-0.14657755681599977,False,-0.09961244715791354,-0.09480208504510196,False,100,24,0.24,8
ten_percent,20,0.08268851803573238,-0.03776522192177647,False,-0.08587038705954557,-0.02952973555625346,False,96,91,0.9479166666666666,8
original,200,0.07502994998362993,,True,,,True,100,100,1.0,8
half,98,0.07879212443795168,0.056556761063473536,False,0.04828018982892447,0.04641104029509887,False,99,98,0.98989898989899,3
sqrt,14,0.0696156873654401,0.05002591788022515,False,0.02581138228142253,0.04046871781497518,False,100,87,0.87,3
log,5,0.15476176537976566,0.09191432168763233,False,0.12440128053685351,0.06497729309727694,False,100,33,0.33,3
ten_percent,20,0.07028940772870701,0.16093568049109544,False,0.1682685618821709,0.132140979163717,False,99,96,0.9696969696969697,3
original,200,0.07128128853326467,,True,,,True,100,100,1.0,3
half,98,0.08173962122274114,0.1274176656995314,False,0.1224181655917425,0.10456553755522828,False,98,97,0.9897959183673469,9
sqrt,14,0.08045707946829708,-0.024378747788256865,False,-0.03532532445204053,-0.018670401120373468,False,100,88,0.88,9
log,5,0.1478470183829446,0.10939909459185765,False,0.08940752143936537,0.0732209352665299,False,100,31,0.31,9
ten_percent,20,0.08112521250340925,0.047046643460913085,False,0.01692535067632827,0.038042476505330075,False,99,97,0.9797979797979798,9
original,200,0.0817209370546027,,True,,,True,100,100,1.0,9
half,98,0.08153649396077718,-0.05396677175231578,False,-0.04874121067228002,-0.04428345498339995,False,100,99,0.99,2
sqrt,14,0.069958716777221,0.011476499518922371,False,0.008625643566941472,0.009480812421492077,False,99,87,0.8787878787878788,2
log,5,0.15962786304539756,-0.0456231723660211,False,-0.09750717731451397,-0.028294333243955028,False,100,27,0.27,2
ten_percent,20,0.08075685582631956,0.04149843809157844,False,-0.007369939037855224,0.034546681367002445,False,100,96,0.96,2
original,200,0.0724721057648168,,True,,,True,100,100,1.0,2
half,98,0.11000808817748613,0.008572089589413712,False,-0.00772663909991902,0.00648582325140167,False,100,96,0.96,0
sqrt,14,0.07400691111529005,-0.01586102461059208,False,0.0206071908050971,-0.013774008863003638,False,100,85,0.85,0
log,5,0.12113141663811416,0.07552755706172341,False,0.05973624622633547,0.04998091045752314,False,100,23,0.23,0
ten_percent,20,0.07651957639189716,-0.035740277968044534,False,-0.04598712588919413,-0.030278575288054936,False,98,96,0.9795918367346939,0
original,200,0.0773109601894752,,True,,,True,100,100,1.0,0
half,98,0.09748013278731006,-0.11877513713862771,False,-0.10418360977693232,-0.09746318461970763,False,100,98,0.98,10
sqrt,14,0.0766070409825152,-0.004778187220452969,False,0.051854370336439644,-0.005829204561203913,False,99,84,0.8484848484848485,10
log,5,0.18353432961640126,0.0766891104037767,False,0.015926048304226965,0.05763660475620469,False,100,27,0.27,10
ten_percent,20,0.08081335646423382,-0.057241712492155816,False,-0.08339743499106687,-0.04698399613663697,False,98,96,0.9795918367346939,10
original,200,0.07906921410585012,,True,,,True,100,100,1.0,10
