dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,50,0.10186069420326492,0.07811610364959473,False,0.07155124426782175,0.06249904634751091,False,99,92,0.9292929292929293,6
sqrt,10,0.06967962097771724,0.12337909750225536,False,0.040622570261297127,0.09295389857944053,False,100,75,0.75,6
log,4,0.15481101882455162,0.20469822925541029,False,0.1889919798250664,0.1444058933710001,False,100,27,0.27,6
ten_percent,10,0.06967962097771724,0.12337909750225536,False,0.040622570261297127,0.09295389857944053,False,100,75,0.75,6
original,100,0.08193931577482565,0.0574484989621426,False,0.045732022026030925,0.04714045207910317,False,100,99,0.99,6
half,50,0.09804984666216435,-0.03063609612632617,False,-0.12456947948221196,-0.02414726442081476,False,99,95,0.9595959595959596,1
sqrt,10,0.07617861833984618,0.024337082815727242,False,0.0697076174912144,0.016890439501225332,False,100,71,0.71,1
log,4,0.16280103455123837,0.1738884651072548,False,0.18805972538795948,0.11676038418085281,False,100,23,0.23,1
ten_percent,10,0.07617861833984618,0.024337082815727242,False,0.0697076174912144,0.016890439501225332,False,100,71,0.71,1
original,100,0.08061717816873523,,True,,,True,100,100,1.0,1
half,50,0.07847141698474762,0.05360559027432342,False,0.05851135519974865,0.043104943379506135,False,100,97,0.97,7
sqrt,10,0.0622943445646455,0.1437904168455018,False,0.15345637446407787,0.10828208423346833,False,99,65,0.6565656565656566,7
log,4,0.18304417946075574,0.06703900828244418,False,0.0630682746795143,0.03753753026062941,False,100,23,0.23,7
ten_percent,10,0.0622943445646455,0.1437904168455018,False,0.15345637446407787,0.10828208423346833,False,99,65,0.6565656565656566,7
original,100,0.07113392212560221,,True,,,True,100,100,1.0,7
half,50,0.0816923128643884,-0.0009990680939900008,False,0.07126344780487152,-0.0030629631287159105,False,96,92,0.9583333333333334,8
sqrt,10,0.07646937000686545,0.04984614569087225,False,0.0484481071874628,0.03783990874580407,False,100,66,0.66,8
log,4,0.15744499578183038,-0.05317802067752817,False,-0.05277120119140088,-0.03364863165465146,False,100,26,0.26,8
ten_percent,10,0.07646937000686545,0.04984614569087225,False,0.0484481071874628,0.03783990874580407,False,100,66,0.66,8
original,100,0.08030338156769327,,True,,,True,100,100,1.0,8
half,50,0.11203143675882064,-0.05074872390083745,False,-0.06821323690630662,-0.04225554942482629,False,98,92,0.9387755102040817,0
