dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,100,0.24664281734056914,0.026139263056597035,False,0.05371779683689815,0.02065932500067534,False,180,126,0.7,8
sqrt,14,0.2935821299715595,0.0356938361264252,False,0.07005605770595998,0.020656729368605204,False,198,57,0.2878787878787879,8
log,5,0.41642520255515336,0.034702679847004834,False,0.04542258886583839,0.019490251997541678,False,200,20,0.1,8
ten_percent,20,0.3659675512786254,-0.028887613228895576,False,-0.017179700135732223,-0.019610844915777838,False,180,69,0.38333333333333336,8
original,200,0.11771553039583865,-0.03243138433302184,False,-0.033105348992014075,-0.025763425722663963,False,187,174,0.93048128342246,8
half,100,0.2474069846051395,0.06881027471637059,False,0.010375490678064526,0.05370250099842356,False,171,110,0.6432748538011696,3
sqrt,14,0.2773709784838759,0.22675332513323648,False,0.19063018208253862,0.15570129836426147,False,195,61,0.3128205128205128,3
log,5,0.4206455268244019,0.23064620694557658,False,0.19329896394307164,0.15684649909384393,False,200,15,0.075,3
ten_percent,20,0.2921999634143297,0.20774749355391253,False,0.15972694723445136,0.14829132972762654,False,176,75,0.42613636363636365,3
original,200,0.09965336725596717,0.04460809168015866,False,0.0001920645999992587,0.03596269083129139,False,189,179,0.9470899470899471,3
half,100,0.2703008540554561,0.018444711035851685,False,0.038337766696671674,0.01441661009857155,False,177,103,0.5819209039548022,5
sqrt,14,0.26801329858700085,0.0476676793122783,False,0.04219998558671887,0.03267197039724767,False,199,62,0.31155778894472363,5
log,5,0.38646013621199315,0.04680390669567916,False,0.06067144994673511,0.03168055864842102,False,200,14,0.07,5
ten_percent,20,0.35145193054307394,-0.006027493531410135,False,-0.03990431537221776,-0.0006817870748186565,False,169,61,0.3609467455621302,5
original,200,0.11746004393207575,-0.006315093637029268,False,0.02226748909229635,-0.005308715850922791,False,189,177,0.9365079365079365,5
half,100,0.2636752706192337,0.05273097935828411,False,0.04290616398932799,0.03987644905803186,False,179,111,0.6201117318435754,0
