dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,48,0.08202654454678164,0.13364207910165288,False,0.10163385762717918,0.11020408163265306,False,50,49,0.98,7
sqrt,14,0.060514177003142704,0.2345747576324793,False,0.2159349213800426,0.1790884427817062,False,49,42,0.8571428571428571,7
log,5,0.13131272798840396,0.10228780684180976,False,0.06209490494357607,0.057726488129162284,False,50,20,0.4,7
ten_percent,20,0.06436780845151417,0.15344090563523108,False,0.11115527062303363,0.12653061224489795,False,50,49,0.98,7
original,200,0.06608445595971509,,True,,,True,50,50,1.0,7
half,48,0.08135106569392063,,True,,,True,50,50,1.0,12
sqrt,14,0.07911994597350121,0.009050892129635748,False,0.017123796323239918,0.008702967129716736,False,50,48,0.96,12
log,5,0.12916660660638082,0.061045124898314415,False,0.033257661638429914,0.036412092512240826,False,50,20,0.4,12
ten_percent,20,0.08068745202409101,0.07424559950091826,False,0.04746855187427034,0.061224489795918366,False,50,49,0.98,12
original,200,0.08135106569392063,,True,,,True,50,50,1.0,12
half,48,0.07563410577500021,,True,,,True,50,50,1.0,5
sqrt,14,0.09049312931457922,0.12913063499537364,False,0.09567723878937799,0.10476190476190476,False,50,47,0.94,5
log,5,0.11692902446476217,-0.03497720671417565,False,0.04010739992358049,-0.025041631107646112,False,50,24,0.48,5
ten_percent,20,0.07442884566643805,0.13364207910165288,False,0.11138233523049,0.11020408163265306,False,50,49,0.98,5
original,200,0.07563410577500021,,True,,,True,50,50,1.0,5
half,48,0.0679529350068881,,True,,,True,50,50,1.0,13
sqrt,14,0.08327894557192314,0.2014531225266579,False,0.0931870786852319,0.16666666666666666,False,50,47,0.94,13
log,5,0.1073976986190312,0.13156961471986303,False,0.12629269128392415,0.09147428118928794,False,50,20,0.4,13
ten_percent,20,0.08573066922007197,-0.004949706633394551,False,-0.036148332568008285,-0.004081632653061224,False,50,49,0.98,13
original,200,0.0679529350068881,,True,,,True,50,50,1.0,13
half,48,0.09557430757377508,-0.05444677296734005,False,-0.05983741856091817,-0.044897959183673466,False,50,49,0.98,11
sqrt,14,0.0797742762859015,-0.0029597500063520193,False,0.0026591043053161762,-0.004145578572057209,False,50,46,0.92,11
log,5,0.15905380761747137,0.14772756562066228,False,0.15403081516675293,0.10646194436763741,False,50,18,0.36,11
ten_percent,20,0.0777538333070798,,True,,,True,50,50,1.0,11
original,200,0.0777538333070798,,True,,,True,50,50,1.0,11
half,48,0.07403328733549439,,True,,,True,50,50,1.0,9
sqrt,14,0.07332597774359725,-0.06544018629846848,False,-0.12987734267359632,-0.05714285714285714,False,50,47,0.94,9
log,5,0.14584815207690474,0.03473467366051535,False,-0.015709059880150582,0.026152423508688957,False,50,13,0.26,9
ten_percent,20,0.08922085172035242,0.15344090563523108,False,0.12840588349978913,0.12653061224489795,False,50,49,0.98,9
original,200,0.07403328733549439,,True,,,True,50,50,1.0,9
half,48,0.07213138259437234,,True,,,True,50,50,1.0,3
sqrt,14,0.0709271955721726,-0.08852903864299967,False,-0.01916797240355985,-0.0725247260809728,False,50,48,0.96,3
log,5,0.13780506260883285,-0.01747860974547373,False,0.021303837447093934,-0.007735587911950973,False,50,16,0.32,3
ten_percent,20,0.07213138259437234,,True,,,True,50,50,1.0,3
original,200,0.07213138259437234,,True,,,True,50,50,1.0,3
half,48,0.07129533976106388,,True,,,True,50,50,1.0,10
sqrt,14,0.07392118916526398,-0.14297581161033973,False,-0.137180866354074,-0.11894055077279539,False,50,48,0.96,10
log,5,0.11668659199685687,-0.055814331490606,False,-0.07603930459832077,-0.030926175611050898,False,50,27,0.54,10
ten_percent,20,0.07129533976106388,,True,,,True,50,50,1.0,10
original,200,0.07129533976106388,,True,,,True,50,50,1.0,10
half,48,0.10100183028106915,,True,,,True,49,49,1.0,4
sqrt,14,0.09659799243052633,-0.02717925741095037,False,-0.01956820316374652,-0.02857142857142857,False,50,47,0.94,4
log,5,0.10495719778460662,0.06089467892784909,False,0.06455475652848788,0.04133770167502448,False,50,13,0.26,4
ten_percent,20,0.09874324012090901,-0.010206207261596574,False,-0.004156627177484058,-0.008417937871268422,False,49,48,0.9795918367346939,4
original,200,0.10095627151279574,,True,,,True,50,50,1.0,4
half,48,0.06426876241052808,,True,,,True,49,49,1.0,0
sqrt,14,0.06149548246660756,0.3234440332563922,False,0.3886984491572004,0.2617105829533005,False,50,44,0.88,0
log,5,0.1358401489647526,0.06796254849792119,False,0.12191284898596422,0.05061305551904074,False,50,18,0.36,0
ten_percent,20,0.06760949475469903,,True,,,True,50,50,1.0,0
original,200,0.06760949475469903,,True,,,True,50,50,1.0,0
half,48,0.06845494382187345,,True,,,True,50,50,1.0,8
sqrt,14,0.06342688529188915,0.22034828495565548,False,0.4461689387220272,0.17825987859846001,False,50,46,0.92,8
log,5,0.12237377279574604,0.0397841546561637,False,0.103011305575785,0.03316027775385427,False,50,18,0.36,8
ten_percent,20,0.06913207200333947,,True,,,True,49,49,1.0,8
original,200,0.06845494382187345,,True,,,True,50,50,1.0,8
half,48,0.06831125963210734,,True,,,True,50,50,1.0,14
sqrt,14,0.06759281691548398,0.28862665579184515,False,0.13964776014607475,0.23215240003520377,False,50,46,0.92,14
log,5,0.12896406178347677,-0.17659493206226448,False,-0.16375757284968387,-0.13541783986675146,False,50,21,0.42,14
ten_percent,20,0.06795678632201256,0.2227367985027548,False,0.248848434470901,0.1836734693877551,False,50,49,0.98,14
original,200,0.06831125963210734,,True,,,True,50,50,1.0,14
half,48,0.09566653881482527,0.16334031890202017,False,0.14643912138687654,0.1346938775510204,False,50,49,0.98,2
sqrt,14,0.074741320346062,0.23905253378497163,False,0.21310037645051097,0.19328951551452916,False,50,44,0.88,2
log,5,0.17483649815035063,0.05839222697091224,False,0.00569957460073998,0.0489920567756895,False,50,16,0.32,2
ten_percent,20,0.08042944890116725,0.12374266583486376,False,0.10543136197152096,0.10204081632653061,False,50,49,0.98,2
original,200,0.08088541838811683,,True,,,True,50,50,1.0,2
half,48,0.06940751953924473,,True,,,True,50,50,1.0,6
sqrt,14,0.0650923126236499,0.09009132856878468,False,0.15410048362690493,0.0667105407528021,False,50,44,0.88,6
log,5,0.11915827607968969,-0.04994956965084113,False,-0.06095428160726205,-0.04035630989406501,False,50,21,0.42,6
ten_percent,20,0.06940751953924473,,True,,,True,50,50,1.0,6
original,200,0.06940751953924473,,True,,,True,50,50,1.0,6
half,48,0.08517286287484283,,True,,,True,50,50,1.0,1
sqrt,14,0.09158871317313898,0.257415893794486,False,0.3581295545117161,0.21060877787153992,False,50,45,0.9,1
log,5,0.12493852520811793,0.11561270356782624,False,0.08801226890022597,0.08681048656744982,False,50,16,0.32,1
ten_percent,20,0.08518109569571242,0.11226827987756231,False,0.07712322514861966,0.09259731658395265,False,49,48,0.9795918367346939,1
original,200,0.08517286287484283,,True,,,True,50,50,1.0,1
half,48,0.08061520064864426,0.23263621176954388,False,0.31058432524652907,0.19183673469387755,False,50,49,0.98,15
sqrt,14,0.07642506438694163,0.2111160805788529,False,0.0579301637428151,0.16587771000501816,False,50,45,0.9,15
log,5,0.14423858560054606,0.29382162366007075,False,0.25647618077618434,0.21121409267441055,False,50,19,0.38,15
ten_percent,20,0.08030025098664013,,True,,,True,50,50,1.0,15
original,200,0.08030025098664013,,True,,,True,50,50,1.0,15
half,48,0.07665914074607166,,True,,,True,50,50,1.0,16
sqrt,14,0.07131392506390373,0.36686165046111124,False,0.4675382174503392,0.30476190476190473,False,50,47,0.94,16
log,5,0.10761224907459394,0.3536143747884228,False,0.39729139072164893,0.25646242019635734,False,50,25,0.5,16
ten_percent,20,0.07665914074607166,,True,,,True,50,50,1.0,16
original,200,0.07665914074607166,,True,,,True,50,50,1.0,16
half,48,0.07935756227983108,,True,,,True,50,50,1.0,26
