dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,98,0.1737762600413547,0.05787824214441937,False,0.029823269759922996,0.04232816403851537,False,99,73,0.7373737373737373,5
sqrt,14,0.25957016748583195,-0.07779052821687199,False,-0.0698809316645255,-0.05295160694307024,False,100,43,0.43,5
log,5,0.36220774106847986,-0.12691175238935418,False,-0.0927956361202255,-0.08562895408011559,False,100,17,0.17,5
ten_percent,20,0.22547972897682286,-0.03868182273584498,False,-0.05913034220208276,-0.019149873627539758,False,99,54,0.5454545454545454,5
original,200,0.09507772544933285,0.05082553115324445,False,0.14709640032140975,0.04068737487937877,False,100,97,0.97,5
half,98,0.20016162731818343,-0.06314014789568122,False,-0.03286829067393856,-0.04734350368126803,False,97,71,0.7319587628865979,9
sqrt,14,0.21945009513876917,0.02972025969501332,False,0.02300205224879903,0.023012723692557954,False,100,43,0.43,9
log,5,0.3748581811000409,0.08236874706282013,False,0.06342722518110822,0.052403111476835594,False,100,14,0.14,9
ten_percent,20,0.18667866230618899,0.11455631700929236,False,0.1411033911558471,0.09166793657724416,False,96,63,0.65625,9
original,200,0.0817209370546027,,True,,,True,100,100,1.0,9
half,98,0.1918212471481709,-0.04280788626690309,False,-0.07301127760388974,-0.03008017632602234,False,97,77,0.7938144329896907,4
sqrt,14,0.27714172356399147,0.07171206475738343,False,0.08562669122739834,0.0541974455505383,False,99,39,0.3939393939393939,4
log,5,0.38118619326245495,0.025196886078496405,False,0.015634665364004853,0.01204765497294925,False,100,15,0.15,4
ten_percent,20,0.2564502947508198,-0.04928169782068373,False,-0.06202903262918038,-0.03944582698460741,False,96,54,0.5625,4
original,200,0.07858633601422285,,True,,,True,100,100,1.0,4
half,98,0.18183716642396874,-0.10393377935332225,False,-0.0004941623811874416,-0.08113206391853926,False,100,73,0.73,1
sqrt,14,0.23836296124321343,0.007180810006960148,False,0.08409426689391052,0.004343128361078357,False,100,37,0.37,1
log,5,0.34267264173272705,-0.04551652639619551,False,-0.0030398316599943094,-0.03502215336827859,False,100,20,0.2,1
ten_percent,20,0.24599581651655958,0.05838369726561225,False,0.13270198098347205,0.035894594256817326,False,91,46,0.5054945054945055,1
original,200,0.09058109370548754,,True,,,True,100,100,1.0,1
half,98,0.1670616526096306,-0.020550315926497056,False,-0.011702950455714654,-0.019766721027425927,False,100,73,0.73,14
sqrt,14,0.2495261485675938,0.1317918817743972,False,0.09824460469029064,0.09164000841875335,False,100,37,0.37,14
log,5,0.352292158840608,0.03974367767555171,False,0.03623513864349223,0.02031644589325563,False,100,18,0.18,14
ten_percent,20,0.254136553860701,0.04874928376042704,False,0.040276895266432564,0.0307245197158343,False,93,44,0.4731182795698925,14
original,200,0.07210966347960092,0.11664997564041607,False,0.08167813045759603,0.09572901325478646,False,98,97,0.9897959183673469,14
half,98,0.18289720069402726,0.18328423268603,False,0.23184110814860112,0.13701938944296096,False,96,68,0.7083333333333334,11
sqrt,14,0.23550512365512014,0.3079168835451387,False,0.29488264459341107,0.22149253476749795,False,100,39,0.39,11
log,5,0.3593197474152292,0.26488630557122117,False,0.2754472485757714,0.18657138911013452,False,100,14,0.14,11
ten_percent,20,0.2516011920595955,0.12108454291416856,False,0.10979408913170183,0.08772769010874444,False,96,48,0.5,11
original,200,0.09088326836593946,-0.008704318024567061,False,-0.019371631749425664,-0.007142492739258057,False,100,99,0.99,11
half,98,0.15741293744894017,0.08073852301293674,False,0.12135227053976601,0.0632736560108974,False,96,69,0.71875,13
sqrt,14,0.2392482740272795,0.028173962951569518,False,0.026364160859955195,0.01755965328611334,False,100,42,0.42,13
log,5,0.3345069088246098,0.10981267209960509,False,0.15405312056767084,0.07572493469304373,False,100,18,0.18,13
ten_percent,20,0.20946180615982696,0.14053877596782563,False,0.13982580544784887,0.10030247776864819,False,91,46,0.5054945054945055,13
original,200,0.08857169025417504,-0.0915558348776922,False,-0.09130941243972479,-0.0751278714776913,False,100,98,0.98,13
half,98,0.15423807265111308,-0.02774508966791214,False,-0.10007342355389809,-0.022702721955041964,False,98,79,0.8061224489795918,7
sqrt,14,0.28307985917686895,-0.15230532337595826,False,-0.12111587291478257,-0.1018742587080751,False,100,35,0.35,7
log,5,0.48336473358613835,-0.16446807976697328,False,-0.1225781353834026,-0.11438430540225908,False,100,7,0.07,7
ten_percent,20,0.23066693463968543,-0.07370180490853284,False,-0.06148140307188495,-0.0589087707034596,False,92,49,0.532608695652174,7
original,200,0.08547677603358078,-0.08130034402874321,False,-0.07152317563702307,-0.06671587042420463,False,99,98,0.98989898989899,7
half,98,0.19639933519624275,-0.10188215143370719,False,-0.1718954715324309,-0.08199812231301735,False,99,72,0.7272727272727273,8
sqrt,14,0.2660976974635828,-0.05082892712853119,False,-0.06077246281424959,-0.03598803523846937,False,99,31,0.31313131313131315,8
log,5,0.394024631496872,-0.07524611350003702,False,-0.07528607296900261,-0.05247220068036918,False,100,12,0.12,8
ten_percent,20,0.2548500910642415,-0.017138405231661862,False,-0.013748509700869382,-0.013645290835881948,False,91,44,0.4835164835164835,8
original,200,0.07733780097806524,0.04486537524631387,False,0.002654399288797616,0.036818851251840944,False,98,97,0.9897959183673469,8
half,98,0.16175383998514903,0.05841905224000485,False,0.012963675779861501,0.044289644302373886,False,99,74,0.7474747474747475,6
sqrt,14,0.28130132326123836,-0.018325673734642896,False,-0.00896004467572771,-0.009149273136368874,False,98,33,0.336734693877551,6
log,5,0.42978009599650835,-0.050978754965392566,False,-0.003660300700145037,-0.030269644530286258,False,100,11,0.11,6
ten_percent,20,0.2790352196648998,-0.07745410217560185,False,-0.13497050291275856,-0.05468900825927593,False,92,42,0.45652173913043476,6
original,200,0.08506873753220141,0.14822757916763674,False,0.14309842238709125,0.12102541795015184,False,100,97,0.97,6
half,98,0.15334443952056165,0.1488993216375044,False,0.07549832461606687,0.11967746201635851,False,100,68,0.68,2
sqrt,14,0.1950591320839102,0.1908598794712308,False,0.23593069374859593,0.13922338379131763,False,98,40,0.40816326530612246,2
log,5,0.33904207929755276,0.14685273902968354,False,0.1572801529461088,0.098029460185806,False,100,12,0.12,2
ten_percent,20,0.22128809938504354,0.09517142133040113,False,0.04572125009235262,0.07974254257227491,False,94,50,0.5319148936170213,2
original,200,0.07938415953168058,0.08748177652797065,False,0.050344933499204665,0.07179581586177383,False,97,96,0.9896907216494846,2
half,98,0.1737373602418157,0.28703970417435193,False,0.1624286782386482,0.22113682266438933,False,98,68,0.6938775510204082,0
sqrt,14,0.25258142005117723,0.24042421934946795,False,0.17076058331907124,0.16942542397693916,False,99,38,0.3838383838383838,0
log,5,0.37470932795532746,0.24676228795043875,False,0.21933873280331614,0.169013678124611,False,100,13,0.13,0
ten_percent,20,0.2536384064796146,0.1660668792751299,False,0.11604369110254834,0.12141408586180676,False,88,46,0.5227272727272727,0
original,200,0.09378284479026916,-0.20297140498610158,False,-0.17325894803054184,-0.16708914305210956,False,100,98,0.98,0
half,98,0.1340746927561305,-0.10818313048505539,False,-0.014974205912722617,-0.08213998235178614,False,100,78,0.78,3
sqrt,14,0.2156171503559657,0.028501132693102078,False,0.040110711217968914,0.018418922414003124,False,100,44,0.44,3
log,5,0.33489124019000344,0.028844858736965375,False,0.040966357758036274,0.02565207814805004,False,100,18,0.18,3
ten_percent,20,0.21187216606525788,-0.0007150765582622158,False,0.013899383644909634,-0.0014453176779763005,False,92,52,0.5652173913043478,3
original,200,0.07128128853326467,,True,,,True,100,100,1.0,3
half,98,0.19062344022207245,-0.036751086864241916,False,-0.06484471969655907,-0.025935234919725107,False,100,72,0.72,10
sqrt,14,0.214032408945107,0.12085738601566443,False,0.12889989297680182,0.08735898023097242,False,100,43,0.43,10
log,5,0.3315954474599853,0.16277524029082968,False,0.1440017421624885,0.11348909224972258,False,100,17,0.17,10
ten_percent,20,0.2236513539796799,0.09163472868622446,False,0.09044948413192805,0.0736798208048421,False,94,51,0.5425531914893617,10
original,200,0.08429802354977094,-0.13078750995928257,False,-0.10645134701912753,-0.10732553068241615,False,99,98,0.98989898989899,10
half,98,0.16090343124094986,-0.014177227529735034,False,-0.03434869660565246,-0.010261556872797912,False,98,74,0.7551020408163265,12
sqrt,14,0.27300225853061977,-0.03553486939992195,False,-0.07869641438061706,-0.02441992082586105,False,98,29,0.29591836734693877,12
log,5,0.4114537773515138,0.04280106733520004,False,-0.011161450258322507,0.03079428918053882,False,100,8,0.08,12
ten_percent,20,0.2389998397978809,0.06442940343973327,False,0.07847842410640266,0.04364311659472203,False,95,42,0.4421052631578947,12
original,200,0.09287683211305264,-0.10774040826501793,False,-0.08074666400670581,-0.08780614847446454,False,100,96,0.96,12
half,98,0.14014524116869814,0.017619609630418295,False,0.009572779769213927,0.01364108820415012,False,99,80,0.8080808080808081,15
sqrt,14,0.22875506316246436,0.12763700754541915,False,0.07270564817657316,0.08601843321975546,False,100,43,0.43,15
log,5,0.39455740798512595,0.07374610685015986,False,0.07371030378663264,0.05321872410682525,False,100,14,0.14,15
ten_percent,20,0.2080520795934111,0.08965656050804006,False,0.0587552661917615,0.06063445351609499,False,95,52,0.5473684210526316,15
original,200,0.08529680057381844,0.06789368059162308,False,0.05799502621485545,0.05571144336621284,False,100,99,0.99,15
half,98,0.202803531448124,0.15835765254967174,False,0.20979102934165642,0.11986299983794195,False,99,69,0.696969696969697,26
sqrt,14,0.2013823468143184,0.1380908361375452,False,0.19479602183541786,0.10223480718232322,False,100,50,0.5,26
log,5,0.28863094982902127,0.17275324773985187,False,0.18434967968447827,0.11561022774015205,False,100,21,0.21,26
ten_percent,20,0.2055075842130251,0.11664004800436216,False,0.116386733032155,0.08717654914879466,False,97,57,0.5876288659793815,26
original,200,0.0933816202046262,0.042174499154281314,False,0.13185858848357496,0.03392977634259168,False,99,97,0.9797979797979798,26
half,98,0.2089826299422398,0.048228846855151844,False,0.021215181125730807,0.03988841647958096,False,96,62,0.6458333333333334,18
sqrt,14,0.31345854858951433,0.01631547303634068,False,-0.0419364837428347,0.010510280192796081,False,100,28,0.28,18
log,5,0.4276439123743054,0.01019609025471969,False,-0.04596936378077536,0.005867482729100253,False,100,6,0.06,18
ten_percent,20,0.27212131001953926,-0.07042403052118851,False,-0.1043141075928668,-0.042854175830246026,False,96,43,0.4479166666666667,18
original,200,0.08863570928765173,-0.13378841725708293,False,-0.10850158675201824,-0.11038010056169663,False,100,98,0.98,18
half,98,0.16229162630596844,-0.07455920908109664,False,-0.0779951787100786,-0.0602307233445174,False,99,75,0.7575757575757576,17
