dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,25,0.10783619926670321,0.014430885183906157,False,0.11602492353867222,0.012017595960030976,False,98,93,0.9489795918367347,12
sqrt,7,0.10762598618977705,0.00018475497445008955,False,0.04598976705555559,-0.0021715641805391786,False,100,37,0.37,12
log,3,0.2937657144965212,0.027717071015341824,False,0.01952945855886026,0.022143565461753036,False,100,11,0.11,12
ten_percent,5,0.14918618295701908,-0.061542271257768885,False,-0.01682230769012748,-0.03700607705707928,False,100,24,0.24,12
original,50,0.08350214378937565,0.02611295407370118,False,0.014532732232428186,0.02142747821777417,False,100,99,0.99,12
half,25,0.08296106528631844,0.06672366185026232,False,0.07095089718992535,0.05458187418596208,False,99,93,0.9393939393939394,2
sqrt,7,0.08070709244720485,0.19659165946414162,False,0.16468633048105483,0.14043196319086665,False,100,39,0.39,2
log,3,0.32266752822784384,0.2908610980086525,False,0.24841827843084913,0.20355361878762435,False,100,10,0.1,2
ten_percent,5,0.11886398632800269,0.18417159080638382,False,0.12384586587705172,0.13094874509985202,False,100,31,0.31,2
original,50,0.07496922070542615,-0.056556761063473536,False,-0.06212506996873872,-0.04641104029509887,False,99,98,0.98989898989899,2
half,25,0.0876833845271163,0.046256718098481524,False,0.034338962343920726,0.038631285712345954,False,98,96,0.9795918367346939,11
sqrt,7,0.09663138035635481,0.020987138912537465,False,-0.002919052899320512,0.012493790141911213,False,100,46,0.46,11
log,3,0.267932634371814,-0.14918297225164975,False,-0.14245650080151087,-0.10128355015048005,False,100,12,0.12,11
ten_percent,5,0.1434505534791671,-0.06549178366228367,False,-0.05585994339381396,-0.049114462353062695,False,100,26,0.26,11
original,50,0.08899091375760015,-0.06093022617196943,False,-0.06602830019549256,-0.0499974491748064,False,100,99,0.99,11
half,25,0.09615697073070413,0.0028322014165099623,False,0.02065494512916526,0.0025249868630009614,False,99,96,0.9696969696969697,8
sqrt,7,0.13120759962906958,0.08928043084975637,False,0.04066403520472178,0.06133590561448561,False,100,32,0.32,8
log,3,0.2815588728869475,0.07682886399220923,False,0.01307258877224808,0.053295558439656845,False,100,15,0.15,8
ten_percent,5,0.19811353520098812,0.0167114530732894,False,-0.05662152173760424,0.015139445906220704,False,100,23,0.23,8
original,50,0.07737194894840599,,True,,,True,100,100,1.0,8
half,25,0.08102692879117859,-0.030716215863482096,False,-0.09439457829830285,-0.024389599372040778,False,97,95,0.979381443298969,13
sqrt,7,0.10293958055764081,-0.04490218391113418,False,-0.034020849270009264,-0.03267639017438139,False,100,47,0.47,13
log,3,0.3097590686732069,0.022022283191219412,False,0.0807457213414312,0.018962993647259573,False,100,14,0.14,13
ten_percent,5,0.15894300032078182,0.01984958223679719,False,0.001747699240162996,0.01581684108288978,False,100,33,0.33,13
original,50,0.07294590330703801,,True,,,True,100,100,1.0,13
half,25,0.06662370654049103,-0.046293998153688565,False,-0.017521207788255166,-0.03787480294501443,False,99,96,0.9696969696969697,9
sqrt,7,0.11110584081686699,0.017522982712242223,False,0.024742600155425034,0.01044688233477629,False,100,42,0.42,9
log,3,0.2942534423778621,0.20593135811339844,False,0.18497435174687996,0.1415529134633215,False,100,12,0.12,9
ten_percent,5,0.17146827602188147,0.05722704594770151,False,0.014290265238839292,0.04301385894638689,False,100,29,0.29,9
original,50,0.06772566825936588,,True,,,True,99,99,1.0,9
half,25,0.07972726397488532,-0.06716115376287483,False,-0.0711564276895884,-0.05511311035042991,False,99,98,0.98989898989899,14
sqrt,7,0.08482770314846,0.2550377155566497,False,0.23266453281993266,0.18710816420231383,False,100,41,0.41,14
log,3,0.267046153189643,0.267946791747478,False,0.25473847942812655,0.18426284424966852,False,100,12,0.12,14
ten_percent,5,0.11186189296980835,0.2885150830610025,False,0.23490890410540413,0.20852395902507426,False,100,28,0.28,14
original,50,0.07784050114344114,0.04352159012283531,False,0.016969736462930454,0.03571246369629028,False,100,99,0.99,14
half,25,0.071959162340179,0.019229259217903465,False,0.03532151820917684,0.014394450569584352,False,100,96,0.96,0
sqrt,7,0.09550012647188438,0.06720831453758694,False,0.020440752981639273,0.0422272308533345,False,100,43,0.43,0
log,3,0.28932388502730466,-0.00016812781378456915,False,-0.01551472674102353,-0.008735534998673215,False,100,11,0.11,0
ten_percent,5,0.16493923463252336,-0.022109295093979024,False,-0.03880084422797374,-0.01663194474475473,False,100,24,0.24,0
original,50,0.06841588955730944,,True,,,True,100,100,1.0,0
half,25,0.07861024690878993,,True,,,True,99,99,1.0,3
sqrt,7,0.08648215282228584,0.08232690186138718,False,0.127506866730684,0.05511117035454027,False,100,45,0.45,3
log,3,0.21680375570433572,0.2780175372698975,False,0.29702414201345495,0.18529002198023434,False,100,16,0.16,3
ten_percent,5,0.1277755051583534,0.12240008792616758,False,0.13581900394757404,0.08989953663160812,False,100,30,0.3,3
original,50,0.07880764178747686,,True,,,True,100,100,1.0,3
half,25,0.07298052961434993,,True,,,True,100,100,1.0,5
sqrt,7,0.08521853761115528,-0.05200795531525096,False,0.0002344050888309584,-0.03310659768584692,False,100,48,0.48,5
log,3,0.23971650644254427,-0.04518679396550986,False,-0.05579325738237432,-0.026586868496060116,False,100,16,0.16,5
ten_percent,5,0.12541616629827326,-0.11140166046378942,False,-0.10537009900674602,-0.0725542142697449,False,100,30,0.3,5
original,50,0.07298052961434993,,True,,,True,100,100,1.0,5
half,25,0.10001026929396256,0.03574986480648147,False,-0.03309713455014462,0.028426762180748064,False,100,95,0.95,10
sqrt,7,0.11956496604926463,-0.052435119347281955,False,-0.05243234954178355,-0.0362577887858816,False,100,34,0.34,10
log,3,0.2677884471673212,-0.04291518051311978,False,-0.035105773375728525,-0.03583904499991751,False,100,13,0.13,10
ten_percent,5,0.17952794390408072,-0.11026661088531707,False,-0.1535848527181307,-0.07735634689068933,False,100,23,0.23,10
original,50,0.07660245684538973,,True,,,True,98,98,1.0,10
half,25,0.09561126239673422,0.06614438179170845,False,-0.02599031623143169,0.053940590186404846,False,98,95,0.9693877551020408,6
sqrt,7,0.09450752246565251,0.01411138486033869,False,0.007397735570370311,-0.00045173090454541206,False,100,45,0.45,6
log,3,0.24748919987012685,-0.03162868490203926,False,-0.044858756188241575,-0.01761744031313383,False,100,17,0.17,6
ten_percent,5,0.1283255483423757,0.047712223689270465,False,0.009295361450800474,0.028538233862295388,False,100,32,0.32,6
original,50,0.07826195765630758,,True,,,True,100,100,1.0,6
half,25,0.07658374326639611,-0.13785710509221674,False,-0.10866516566312547,-0.1131269107193035,False,99,98,0.98989898989899,7
sqrt,7,0.10766015998862083,-0.08002898918369457,False,-0.07707449882362846,-0.056644672389479386,False,100,35,0.35,7
log,3,0.45760408757563786,-0.007253514251848553,False,0.01944145143786154,-0.005891407324686587,False,100,11,0.11,7
ten_percent,5,0.1620624556499572,-0.05835076019773624,False,-0.050624125392048004,-0.04585572929525298,False,100,25,0.25,7
original,50,0.07778134971478529,,True,,,True,98,98,1.0,7
half,25,0.08866953583288485,0.03171772961557461,False,0.004375011441303901,0.02692940049755143,False,96,94,0.9791666666666666,1
sqrt,7,0.11679666876538906,-0.12324045271875754,False,-0.15429212887675778,-0.08714020886017926,False,100,41,0.41,1
log,3,0.325313552339766,0.009465071025305955,False,0.0002503139426592482,0.0,False,100,12,0.12,1
ten_percent,5,0.17417668437062978,-0.08514048161694952,False,-0.1300130347073953,-0.06282391148138262,False,100,30,0.3,1
original,50,0.08265704425298381,0.16190031525694734,False,0.20014495739926125,0.13285036495019983,False,100,99,0.99,1
half,25,0.07778969052299646,,True,,,True,100,100,1.0,4
sqrt,7,0.08135587867777351,0.021786073523095705,False,-0.018372366916672943,0.017299976536922734,False,100,36,0.36,4
log,3,0.25823937631432153,-0.1800609134800527,False,-0.18850565409781853,-0.12240782934847078,False,100,6,0.06,4
ten_percent,5,0.1495479154773691,-0.09174974980815058,False,-0.07794504809855235,-0.062367656850992485,False,100,11,0.11,4
original,50,0.08304984254198469,-0.14449167920781322,False,-0.12522834472428668,-0.11856537947168375,False,100,99,0.99,4
half,25,0.087301968481378,0.19407660297044818,False,0.11429892929336202,0.15915671401663803,False,100,97,0.97,22
sqrt,7,0.09023809866527267,0.25783240797935275,False,0.24045188122726127,0.19342060173682396,False,100,49,0.49,22
log,3,0.2417072343221353,0.221182016678557,False,0.17167613144233063,0.15866149006748417,False,100,15,0.15,22
ten_percent,5,0.139847236636599,0.17001938558960578,False,0.11832999012913226,0.1267054645701959,False,100,30,0.3,22
original,50,0.08554530370277356,,True,,,True,100,100,1.0,22
half,25,0.08768072882096029,-0.1749635530559413,False,-0.1555036757599272,-0.14359163172354766,False,97,96,0.9896907216494846,19
sqrt,7,0.1012395992456729,-0.043431314496421014,False,-0.02600640802527812,-0.030890650249473007,False,100,39,0.39,19
log,3,0.2893093895185036,-0.04766186910579875,False,-0.060897951030060515,-0.034867439932057924,False,100,14,0.14,19
ten_percent,5,0.17314079527390283,-0.07733290970503845,False,-0.07897413470995679,-0.04326266004316766,False,100,20,0.2,19
original,50,0.09471554822083446,-0.0024355489419427535,False,-0.043258743272444784,-0.0025685995326859452,False,98,95,0.9693877551020408,19
half,25,0.09483200405124825,-0.1922124662737664,False,-0.1420819889617561,-0.15674490587333734,False,96,91,0.9479166666666666,16
sqrt,7,0.12384933364290365,-0.10518771069712443,False,-0.07386456489044946,-0.08303988737722913,False,100,36,0.36,16
log,3,0.30226613513710476,-0.09728595853348532,False,-0.07534286302775732,-0.07618199126749897,False,100,11,0.11,16
ten_percent,5,0.1820939639282961,-0.05725887587357318,False,-0.014700463090567122,-0.042115154391055384,False,100,21,0.21,16
original,50,0.0740079269697873,,True,,,True,99,99,1.0,16
half,25,0.06590980194101666,0.022908595963553012,False,-0.0225771239522709,0.018230155742745998,False,97,94,0.9690721649484536,15
sqrt,7,0.10431441001104982,-0.14870136668952794,False,-0.16609412074028404,-0.10433924237305402,False,100,43,0.43,15
log,3,0.2889040771341432,-0.1498547162766358,False,-0.13338402078401504,-0.09937189749977128,False,100,13,0.13,15
ten_percent,5,0.16820349638662652,-0.18187438439742168,False,-0.21036139159613507,-0.12339359883086257,False,100,25,0.25,15
original,50,0.07377997720496363,-0.08878404385058404,False,-0.07374580777112007,-0.07285342594043218,False,100,99,0.99,15
half,25,0.07265856357470403,-0.15807080515429028,False,-0.14603898248738112,-0.13008005523454205,False,99,95,0.9595959595959596,17
sqrt,7,0.09566456508857744,0.1311227923850479,False,0.1390748240200389,0.09356503022546692,False,100,38,0.38,17
log,3,0.35292831940909847,0.08987209939066752,False,0.10732573287985764,0.06513901587069171,False,100,15,0.15,17
ten_percent,5,0.15075348462686702,0.13377444477588116,False,0.13356600053373152,0.09718393614542194,False,100,26,0.26,17
original,50,0.0828437260111637,0.032244574755918784,False,0.0062408435846192534,0.02818400144044632,False,100,97,0.97,17
half,25,0.084168723853362,0.16788597256601998,False,0.10253944934904669,0.13674728041105133,False,99,97,0.9797979797979798,21
sqrt,7,0.0800884881253104,0.16242097775877784,False,0.1412541913450955,0.1170056350776607,False,100,53,0.53,21
log,3,0.16303986519481753,0.15231619064839375,False,0.14357298844178015,0.09723797876369113,False,100,20,0.2,21
ten_percent,5,0.08656730252508542,0.1952590970075692,False,0.1752025599382065,0.1369051412732425,False,100,40,0.4,21
original,50,0.08452022371184803,0.12011958873902545,False,0.10003921892093659,0.09856639980176117,False,100,99,0.99,21
half,25,0.07060259268484918,0.08748177652797065,False,0.06078049155800621,0.07179581586177383,False,97,96,0.9896907216494846,28
sqrt,7,0.11416173060206665,-0.1111085792216953,False,-0.12721170218236422,-0.07530463824760025,False,100,34,0.34,28
log,3,0.3797887586005047,-0.14804810677207256,False,-0.11577474922983705,-0.10167533700159502,False,100,10,0.1,28
ten_percent,5,0.225206207181303,-0.010742347766635341,False,-0.01629158068119041,-0.010055614634035617,False,100,18,0.18,28
original,50,0.07073628420203873,,True,,,True,100,100,1.0,28
half,25,0.11220331837602622,-0.04306240804160691,False,-0.07306891016940274,-0.035623938077099696,False,96,89,0.9270833333333334,18
sqrt,7,0.11915012299227763,0.015560828234935473,False,0.02710927457906402,0.00909571782390388,False,100,30,0.3,18
log,3,0.3275655645043845,-0.0713831316869209,False,-0.06318195214481066,-0.04960027402398845,False,100,7,0.07,18
ten_percent,5,0.18164876436413732,-0.06636784939521263,False,-0.009510047135708206,-0.04412157441464607,False,100,18,0.18,18
original,50,0.09549258646318215,0.16588081177944958,False,0.1450713234671148,0.1367092988608169,False,100,98,0.98,18
half,25,0.09104982265910777,-0.11609733411324008,False,-0.13208328515386797,-0.09501208107631033,False,98,96,0.9795918367346939,20
sqrt,7,0.10524114541401106,0.1327132092818288,False,0.033509677772199445,0.08957645916840094,False,100,42,0.42,20
log,3,0.2708514669210067,0.11539356367723617,False,0.10566025491625773,0.07984123888852808,False,100,15,0.15,20
ten_percent,5,0.16017618459523056,0.08808671874283307,False,0.05417114161868402,0.06236979279283024,False,100,24,0.24,20
original,50,0.07919924814252992,0.10957872456048,False,0.10024182193494008,0.08992139057175406,False,99,98,0.98989898989899,20
half,25,0.07805566232343286,-0.09841699859396698,False,-0.08804544062935327,-0.08077029284449555,False,97,96,0.9896907216494846,25
sqrt,7,0.07756842279431556,0.19287646995281987,False,0.18969549499168187,0.13535484218890786,False,100,41,0.41,25
log,3,0.26875396644940913,0.14184525801448974,False,0.17204830533705004,0.09245803668956284,False,100,9,0.09,25
ten_percent,5,0.13365012401992651,0.15799748249932785,False,0.1688137146689333,0.0912454046125828,False,100,22,0.22,25
original,50,0.07696732406629857,,True,,,True,100,100,1.0,25
half,25,0.0906285963959603,-0.10094348098539328,False,-0.10974087998354176,-0.08376178517206946,False,98,95,0.9693877551020408,24
sqrt,7,0.09558433890315009,0.006486940612957857,False,-0.01810323073555922,0.007187872161562194,False,100,44,0.44,24
log,3,0.22765562094879635,0.06146909808874699,False,0.056720054068263304,0.04576330741612127,False,100,18,0.18,24
ten_percent,5,0.13669451886136122,0.0478957569269298,False,0.029539133285942803,0.032892950959001736,False,100,29,0.29,24
original,50,0.09380277798412948,0.08113937073340773,False,0.05689298102082809,0.06631529750693252,False,100,97,0.97,24
half,25,0.08735992277186827,-0.10865252748624754,False,-0.023590645852770986,-0.08874754825809206,False,98,96,0.9795918367346939,23
sqrt,7,0.084506166540621,0.10373458707471776,False,0.098537812121439,0.07457417367620776,False,100,44,0.44,23
log,3,0.22034959025840667,0.12266629144427575,False,0.08571558060428963,0.07615797062482471,False,100,13,0.13,23
ten_percent,5,0.1088191999359761,0.17196600991923022,False,0.13568600067303638,0.11782127506777818,False,100,30,0.3,23
original,50,0.08759707283624926,-0.08434690546307008,False,-0.0775511281161437,-0.06921944035346098,False,98,97,0.9897959183673469,23
half,25,0.0761409570243911,-0.149946445018751,False,-0.11442744502485967,-0.12306676790620971,False,96,95,0.9895833333333334,26
sqrt,7,0.11043200147492124,0.08832086283441903,False,0.06826246721169213,0.061129953374411856,False,100,33,0.33,26
log,3,0.33573239659968424,-0.002216123863158565,False,0.0028960425852544045,-0.0016270449823370288,False,100,12,0.12,26
ten_percent,5,0.17175280033739596,0.061290332575056373,False,0.013738815183050652,0.043680521837404694,False,100,26,0.26,26
original,50,0.0729193667782459,-0.15199629535808518,False,-0.11894127679044286,-0.12472967079307823,False,99,98,0.98989898989899,26
half,25,0.08612004937884767,0.073717849281132,False,-0.01047830714999073,0.060498033845849494,False,96,91,0.9479166666666666,27
sqrt,7,0.12800539407339473,0.053407854622625026,False,0.0317056195064633,0.037863739329030956,False,100,22,0.22,27
log,3,0.26627397338925546,0.06605730723816004,False,0.07759549075305779,0.04230316954076275,False,100,12,0.12,27
ten_percent,5,0.1625656725407129,0.07799496546973013,False,0.07427533376656471,0.058178523824767535,False,100,17,0.17,27
original,50,0.07602906455792346,-0.008973075049262775,False,-0.0337380707362273,-0.00736377025036819,False,98,97,0.9897959183673469,27
half,25,0.07413359204369747,-0.034097685187198544,False,-0.03898097998944925,-0.02798232695139912,False,98,97,0.9897959183673469,29
sqrt,7,0.0924508158849559,0.11960816070060727,False,0.08040006625250488,0.08980294642329989,False,100,47,0.47,29
log,3,0.3785581277426892,0.29202421594410055,False,0.2760676963242572,0.19378346727675996,False,100,15,0.15,29
ten_percent,5,0.1435375413688057,0.11306644368108242,False,0.0729584874347185,0.07491881202633348,False,100,31,0.31,29
original,50,0.08386299442285586,-0.017617413184213622,False,-0.041426438101789365,-0.015189922095646322,False,100,98,0.98,29
half,25,0.09259465837450084,0.13122266479195596,False,0.12343400434717659,0.10769372379266073,False,97,96,0.9896907216494846,33
sqrt,7,0.1155844289451774,-0.048478962490728035,False,-0.09737903873767986,-0.03921851845111746,False,100,29,0.29,33
log,3,0.34956681333259837,0.04144458981202584,False,0.08236411320339489,0.02633722100967136,False,100,8,0.08,33
ten_percent,5,0.1491352369566859,0.058633378263463126,False,0.0355257409805695,0.0326185999695429,False,100,21,0.21,33
original,50,0.08566151189203572,,True,,,True,100,100,1.0,33
half,25,0.09260172381100103,-0.21913531138163878,False,-0.17013419913444047,-0.1806581671322448,False,98,95,0.9693877551020408,31
sqrt,7,0.09355603659876949,-0.017377974369335848,False,-0.0175472762742969,-0.01707119638371021,False,100,44,0.44,31
log,3,0.24065142385574909,-0.04459898544037633,False,-0.021873495306123675,-0.03179281262854181,False,100,21,0.21,31
ten_percent,5,0.13715208016692454,0.06045644229605746,False,0.04839099462057072,0.03699618627864221,False,100,28,0.28,31
original,50,0.07711488077029179,-0.012186045234393886,False,-0.01072425960637507,-0.00999948983496128,False,100,99,0.99,31
half,25,0.06930998094270206,-0.1640288583232698,False,-0.1425543208137741,-0.13469093032968213,False,99,97,0.9797979797979798,30
sqrt,7,0.10591489085873257,0.002235799583587866,False,-0.0006264183728725386,-0.0018509148491562101,False,100,49,0.49,30
log,3,0.2966883837457916,0.026613007330851184,False,0.06916508659812419,0.011452804890610511,False,100,16,0.16,30
ten_percent,5,0.1580937385016113,0.0475312534495559,False,0.05923556951854599,0.032471246459527356,False,100,29,0.29,30
original,50,0.07258168037397006,0.007290148043997553,False,-0.0030975885020683327,0.005982984655147818,False,97,96,0.9896907216494846,30
half,25,0.07734108761842742,-0.08081448836810881,False,-0.08259185543335283,-0.06797317994460583,False,100,97,0.97,34
sqrt,7,0.10037155556444129,0.08137534496196941,False,0.04368912278714303,0.05705373528239992,False,100,44,0.44,34
log,3,0.3153734270308652,-0.03894170871838141,False,-0.0878210990863588,-0.029578725133938603,False,100,8,0.08,34
ten_percent,5,0.15524680834456134,0.0848947386112224,False,0.04281250389118595,0.06165432508150424,False,100,26,0.26,34
original,50,0.08518467698914245,-0.03307640849335483,False,-0.053285773740233064,-0.027141472409180616,False,100,99,0.99,34
half,25,0.08411655180681127,0.1276933315033246,False,0.07122405117092735,0.10448607393049955,False,96,94,0.9791666666666666,32
sqrt,7,0.10762629972642525,-0.008196130622833912,False,0.017037490396383397,-0.0026540165135079973,False,100,41,0.41,32
log,3,0.36330980132103136,0.05118105030308208,False,0.0028333080163222674,0.035388228365830374,False,100,12,0.12,32
ten_percent,5,0.18181149062732857,-0.014030858721938069,False,-0.013484637988306828,-0.00684385910829155,False,100,23,0.23,32
original,50,0.09355173701180139,0.0712606472618865,False,0.03520336423459406,0.059270558123818054,False,99,95,0.9595959595959596,32
half,25,0.068216910611361,0.14413426907119006,False,0.226550014708852,0.11824012967872859,False,99,97,0.9797979797979798,35
sqrt,7,0.09540768313813024,0.10031545493345856,False,0.11990182304890867,0.06514009146415738,False,100,44,0.44,35
log,3,0.23028960155420555,0.2312610131461014,False,0.22009635089256774,0.14742198287063085,False,100,14,0.14,35
ten_percent,5,0.15279119432053476,0.1164872165249333,False,0.1461031141481798,0.07297727091271718,False,100,30,0.3,35
original,50,0.06871273390744156,,True,,,True,99,99,1.0,35
half,25,0.07853620794054501,0.12422118712854353,False,0.03314421433594642,0.10184113680770546,False,99,96,0.9696969696969697,38
sqrt,7,0.1019705805053176,0.15649843602003144,False,0.13352866800376192,0.11402460627284133,False,100,47,0.47,38
log,3,0.2827324065990193,0.14111292461180142,False,0.15790145758790586,0.09624659721148375,False,100,18,0.18,38
ten_percent,5,0.13682463123833463,0.2132642160791966,False,0.17480763308263036,0.14658974933758764,False,100,40,0.4,38
original,50,0.07658516739736393,,True,,,True,100,100,1.0,38
half,25,0.08924870937046424,0.0749218280374809,False,0.10706389331608016,0.06139903313441727,False,96,94,0.9791666666666666,36
sqrt,7,0.07786908963347562,0.10935669884760345,False,0.0854098833267738,0.08018741672899378,False,100,46,0.46,36
log,3,0.19755444456893478,0.05092271442199942,False,0.058222107729376034,0.03736815017033411,False,100,15,0.15,36
ten_percent,5,0.11222004815064716,0.0653196800957725,False,0.08335288639010839,0.050091449224483345,False,100,27,0.27,36
original,50,0.1008375825421504,0.13707858639371506,False,0.16741304790879336,0.11248242599380047,False,100,97,0.97,36
half,25,0.10285222876473188,0.015704567913878243,False,0.058945654123871885,0.01288798203115494,False,98,95,0.9693877551020408,37
sqrt,7,0.08028785365694065,0.1762442332068084,False,0.20045391584079383,0.1269086244624132,False,100,48,0.48,37
log,3,0.2694886920492312,0.11472194589174771,False,0.14917215181148863,0.07687787541542461,False,100,12,0.12,37
ten_percent,5,0.13587389435226846,0.1374097503827288,False,0.16038873286314007,0.09212832885682645,False,100,25,0.25,37
original,50,0.0776343599298269,0.10967440710954497,False,0.09072502268605928,0.0899954085146515,False,100,99,0.99,37
half,25,0.09102187743892114,0.1307856512419761,False,0.07233282427389015,0.10623213476947664,False,99,96,0.9696969696969697,40
sqrt,7,0.09040641144949803,0.07625590736599464,False,0.06505826310995631,0.0525630665830828,False,100,34,0.34,40
log,3,0.26588221899791065,0.08783607016728362,False,0.020534197079008814,0.061456187138838936,False,100,17,0.17,40
ten_percent,5,0.12844833263259292,0.08236007102837054,False,0.06123063805878298,0.054233045794827774,False,100,28,0.28,40
original,50,0.0767829670863358,,True,,,True,100,100,1.0,40
half,25,0.06984476424401334,-0.13078750995928257,False,-0.11749091332079652,-0.10732553068241615,False,99,98,0.98989898989899,41
sqrt,7,0.1062068469554282,0.11245829290673948,False,0.15090206967286274,0.08203373477344697,False,100,47,0.47,41
log,3,0.2934633727508955,-0.016854023989528608,False,0.022052401473420916,-0.008372099218490157,False,100,15,0.15,41
ten_percent,5,0.17004526039008183,0.005115031545818519,False,0.05116629345430137,0.00020958765365892612,False,100,27,0.27,41
original,50,0.069659433634352,,True,,,True,100,100,1.0,41
half,25,0.06988708109004338,0.040039862913008484,False,0.0008561347966441684,0.03285546660058706,False,100,99,0.99,39
sqrt,7,0.0934469002389427,-0.00785809793601026,False,-0.05324581223335731,-0.011876936597490853,False,100,50,0.5,39
log,3,0.29134222781866653,0.010997557706309719,False,0.004386685821688662,-0.0004090287460932325,False,100,16,0.16,39
ten_percent,5,0.1500463027962386,-0.03985436391719855,False,-0.08083008662389427,-0.026817891113817754,False,100,34,0.34,39
original,50,0.09165858088708347,0.0899118341244587,False,0.06331418205199042,0.07307868271603486,False,99,95,0.9595959595959596,39
half,25,0.08726586715523144,-0.13432230752574967,False,-0.11266776283769142,-0.11022622070085981,False,99,98,0.98989898989899,42
sqrt,7,0.09904212987065521,0.0875252198870984,False,0.06348489996586971,0.06099000721474751,False,100,27,0.27,42
log,3,0.28306480509557574,0.25162774935676707,False,0.24685196116658525,0.1686471158649211,False,100,10,0.1,42
ten_percent,5,0.14348992954665857,0.19362676504023268,False,0.16891601491272948,0.1317072562420209,False,100,16,0.16,42
original,50,0.07719284070430693,,True,,,True,100,100,1.0,42
half,25,0.08515216454390441,0.008704318024567061,False,-0.002769953903454491,0.007142492739258057,False,100,99,0.99,43
sqrt,7,0.09868018275084785,0.2943766551014505,False,0.2475861603904291,0.21497533759414778,False,100,41,0.41,43
log,3,0.247820761980014,0.3022564701425161,False,0.25398307828652106,0.20770355624952194,False,100,13,0.13,43
ten_percent,5,0.15413839187617506,0.37298448623899483,False,0.33003234143150906,0.26012301241534214,False,100,21,0.21,43
original,50,0.07636130390716019,,True,,,True,99,99,1.0,43
half,25,0.08402910336180534,-0.05757257765711308,False,-0.0499445880695762,-0.046770356938262314,False,99,95,0.9595959595959596,44
sqrt,7,0.10035520090037992,-0.05165850134811906,False,-0.05230089553762394,-0.033563387926621696,False,100,42,0.42,44
log,3,0.28705621213375865,-0.029354880657301283,False,-0.05256635332966332,-0.02045143730466163,False,100,16,0.16,44
ten_percent,5,0.15341249708281712,-0.05854408143673801,False,-0.05106319812452092,-0.03458196285372281,False,100,27,0.27,44
original,50,0.06743302135165213,,True,,,True,100,100,1.0,44
half,25,0.08804225163104493,0.05430150439355055,False,0.06278103978489934,0.04456281906463841,False,99,94,0.9494949494949495,45
sqrt,7,0.0857735687097259,0.03732544399407397,False,0.09053545432658429,0.02033162967012402,False,100,43,0.43,45
log,3,0.2325718478972416,0.19275853850400848,False,0.20090868952180505,0.1261573775389783,False,100,11,0.11,45
ten_percent,5,0.12016095842068171,0.14608970383834938,False,0.18780705645487028,0.09967084662353912,False,100,32,0.32,45
original,50,0.07880468337164984,0.16538204246677418,False,0.21993992448770333,0.13570736204590308,False,100,99,0.99,45
half,25,0.07329463232077922,0.04210785206819262,False,0.20382045073018532,0.03418848374370182,False,98,95,0.9693877551020408,46
sqrt,7,0.07565759121044163,0.16700222176823765,False,0.21304254900776656,0.11993377152368213,False,100,50,0.5,46
log,3,0.1878144049432307,0.20511054151667452,False,0.20404176457983816,0.14503291747804778,False,100,20,0.2,46
ten_percent,5,0.12223707552095676,0.23943840663065322,False,0.2513560642867981,0.18257620270287128,False,100,34,0.34,46
original,50,0.07473913078605032,,True,,,True,100,100,1.0,46
half,25,0.08794579596597708,0.016607645552521786,False,-0.016432475098015854,0.013573154439472903,False,98,96,0.9795918367346939,51
sqrt,7,0.10431487214573845,-0.007449878102464357,False,0.015613846915956327,-0.013740319124019617,False,100,38,0.38,51
log,3,0.25399768480361856,-0.08146249962005692,False,-0.05206905089932864,-0.05317373699212023,False,100,16,0.16,51
ten_percent,5,0.13669180186409222,0.03672304729654689,False,0.03067700846265158,0.025494813398688712,False,99,30,0.30303030303030304,51
original,50,0.0831340295686409,,True,,,True,100,100,1.0,51
half,25,0.09033352156507624,0.029725132388501347,False,-0.0055027849628381505,0.02561901432991346,False,96,93,0.96875,47
sqrt,7,0.09220530048628085,-0.011866987936440193,False,-0.014558172835070425,-0.0037786595678978067,False,100,42,0.42,47
log,3,0.27588312301190077,-0.0005043834413537073,False,0.06242348507673204,-0.006297711278113248,False,100,11,0.11,47
