dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,18,0.06198268231823765,,True,,,True,20,20,1.0,5
sqrt,14,0.06198268231823765,,True,,,True,20,20,1.0,5
log,5,0.10457780331615878,0.13578253510595775,False,0.05862426521101328,0.11726944291283467,False,20,12,0.6,5
ten_percent,18,0.06198268231823765,,True,,,True,20,20,1.0,5
original,200,0.06198268231823765,,True,,,True,20,20,1.0,5
half,18,0.07444709318178469,,True,,,True,20,20,1.0,4
sqrt,14,0.07444709318178469,,True,,,True,20,20,1.0,4
log,5,0.1369899546588779,0.2987215772331071,False,0.26319177228984725,0.23453888582566934,False,20,12,0.6,4
ten_percent,18,0.07444709318178469,,True,,,True,20,20,1.0,4
original,200,0.07444709318178469,,True,,,True,20,20,1.0,4
half,18,0.07216301739352231,,True,,,True,20,20,1.0,2
sqrt,14,0.07216301739352231,,True,,,True,20,20,1.0,2
log,5,0.11283260096361673,-0.011032330977359067,False,-0.13146727663218297,-0.03908981430427822,False,20,12,0.6,2
ten_percent,18,0.07216301739352231,,True,,,True,20,20,1.0,2
original,200,0.07216301739352231,,True,,,True,20,20,1.0,2
half,18,0.06945882436330011,,True,,,True,20,20,1.0,11
sqrt,14,0.07330614114666899,0.05967860100145693,False,-0.04474906627123969,0.04993069989739546,False,20,19,0.95,11
log,5,0.0946769076600725,-0.09720678669277436,False,0.17405529307202264,-0.054222770981590014,False,20,10,0.5,11
ten_percent,18,0.06945882436330011,,True,,,True,20,20,1.0,11
original,200,0.06945882436330011,,True,,,True,20,20,1.0,11
half,18,0.06724268444120594,,True,,,True,20,20,1.0,10
sqrt,14,0.06724268444120594,,True,,,True,20,20,1.0,10
log,5,0.08961025046915262,-0.1485121477721413,False,0.11954510883522378,-0.13029938101426075,False,20,12,0.6,10
ten_percent,18,0.06724268444120594,,True,,,True,20,20,1.0,10
original,200,0.06724268444120594,,True,,,True,20,20,1.0,10
half,18,0.06768681280494812,,True,,,True,20,20,1.0,8
sqrt,14,0.06768681280494812,,True,,,True,20,20,1.0,8
log,5,0.06917308074463444,-0.12846125757512813,False,-0.09401901589411527,-0.11803342130469506,False,20,15,0.75,8
ten_percent,18,0.06768681280494812,,True,,,True,20,20,1.0,8
original,200,0.06768681280494812,,True,,,True,20,20,1.0,8
half,18,0.07303376660752728,-0.1392500690033995,False,-0.1527072935326604,-0.11650496642725608,False,20,19,0.95,13
sqrt,14,0.07060814549555357,-0.14513557105932978,False,-0.10522806268739664,-0.11846977555181847,False,20,17,0.85,13
log,5,0.09331360229217069,0.2485533569526983,False,0.28790314261275735,0.18107325690579415,False,20,11,0.55,13
ten_percent,18,0.07303376660752728,-0.1392500690033995,False,-0.1527072935326604,-0.11650496642725608,False,20,19,0.95,13
original,200,0.07354006007116175,,True,,,True,20,20,1.0,13
half,18,0.09018404820990952,,True,,,True,20,20,1.0,7
sqrt,14,0.0824926661483141,0.18905661347638872,False,0.2912306889621366,0.15504782908182624,False,20,18,0.9,7
