dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,18,0.08599001208659814,,True,,,True,20,20,1.0,10
sqrt,7,0.09595356314809182,0.011857962237704137,False,-0.2430512028220461,0.007868894753646338,False,20,15,0.75,10
log,3,0.1735852278564648,0.21284611186506777,False,0.2994520870597071,0.15959663254657955,False,20,8,0.4,10
ten_percent,5,0.0964435984655693,0.20467914832775916,False,0.19069176375436478,0.16452254913212452,False,20,13,0.65,10
original,50,0.08599001208659814,,True,,,True,20,20,1.0,10
half,18,0.07388262903621919,,True,,,True,20,20,1.0,7
sqrt,7,0.062280471898892145,0.4119232213802947,False,0.5491432932072253,0.32950178841916555,False,20,16,0.8,7
log,3,0.16828959599005794,0.34109270849095635,False,0.4052674851513025,0.23996522119023464,False,20,7,0.35,7
ten_percent,5,0.07332037380734077,0.5540452808182447,False,0.658640588962058,0.4250165852579884,False,20,13,0.65,7
original,50,0.07388262903621919,,True,,,True,20,20,1.0,7
half,18,0.07566831922494302,,True,,,True,20,20,1.0,11
sqrt,7,0.08192620172986256,0.17174375908687356,False,0.09353303582389468,0.13821473814378823,False,20,17,0.85,11
log,3,0.23841083613356603,-0.047242294739836044,False,-0.026787088864412237,-0.03838859479749573,False,20,6,0.3,11
ten_percent,5,0.09559190571641758,0.2249413245783208,False,0.14492920290712424,0.19881682693249672,False,20,10,0.5,11
original,50,0.07566831922494302,,True,,,True,20,20,1.0,11
half,18,0.06827703602783762,,True,,,True,20,20,1.0,4
sqrt,7,0.06383884393034839,0.30544698400000964,False,0.42960900420302117,0.2427907914667536,False,20,16,0.8,4
log,3,0.17744752448261533,0.2112595198476947,False,0.32328341469551697,0.15199740977035361,False,20,9,0.45,4
ten_percent,5,0.0946308239916647,0.20764341904737607,False,0.3444194226479714,0.16770014504959274,False,20,14,0.7,4
original,50,0.06827703602783762,,True,,,True,20,20,1.0,4
half,18,0.08414700621674447,,True,,,True,20,20,1.0,1
sqrt,7,0.11953344301062849,-0.22055942707732668,False,-0.1048407435562547,-0.20565318641515565,False,20,13,0.65,1
log,3,0.25217407797651514,-0.13594185976783524,False,-0.15927138941551994,-0.11399759467612824,False,20,8,0.4,1
ten_percent,5,0.1476651413622732,-0.1662959078132586,False,-0.09508080920531385,-0.13856930361961892,False,20,10,0.5,1
original,50,0.08414700621674447,,True,,,True,20,20,1.0,1
half,18,0.06817875730497672,,True,,,True,20,20,1.0,2
sqrt,7,0.0692450146959809,0.07793173379942742,False,-0.06689097482503892,0.059633780416087016,False,20,18,0.9,2
log,3,0.18675404824145017,0.13400790438100038,False,0.12521129090281977,0.10522897599486018,False,20,9,0.45,2
ten_percent,5,0.07539414689529429,-0.006453105295774851,False,0.019172882925464287,0.0,False,20,16,0.8,2
original,50,0.06817875730497672,,True,,,True,20,20,1.0,2
half,18,0.0765392312461148,,True,,,True,20,20,1.0,13
sqrt,7,0.0650547668413742,0.5757044318686748,False,0.6275932318027098,0.47387910220727386,False,20,17,0.85,13
log,3,0.10181584122385487,0.46350969280016596,False,0.581473256443124,0.32737903642845395,False,20,9,0.45,13
ten_percent,5,0.07388832567050774,0.4703658354289307,False,0.49609102194194243,0.38557584292867053,False,20,15,0.75,13
original,50,0.0765392312461148,,True,,,True,20,20,1.0,13
half,18,0.06684651575011291,,True,,,True,20,20,1.0,9
sqrt,7,0.07217005687457949,0.42160287932395696,False,0.2742614584271556,0.32950178841916555,False,20,16,0.8,9
log,3,0.17362358525683125,0.05515355453437887,False,-0.0075081093170344245,0.03419927840283847,False,20,8,0.4,9
ten_percent,5,0.08861011824110068,0.25883545754573195,False,0.29895554868123914,0.16938919531853897,False,20,12,0.6,9
original,50,0.06684651575011291,,True,,,True,20,20,1.0,9
half,18,0.07105555966070887,,True,,,True,20,20,1.0,14
sqrt,7,0.08619877675714113,0.10672166013933723,False,-0.07455411820176963,0.07082005278281704,False,20,15,0.75,14
log,3,0.26980816227135807,0.17372972904326803,False,0.2111056407869109,0.10419761445034553,False,20,6,0.3,14
ten_percent,5,0.11081228431145865,-0.0017644754166186135,False,-0.139960486908687,-0.027420424855354085,False,20,13,0.65,14
original,50,0.07105555966070887,,True,,,True,20,20,1.0,14
half,18,0.09366770150020517,,True,,,True,20,20,1.0,5
sqrt,7,0.11378655992376505,-0.47554050880046395,False,-0.3473215082940689,-0.371856843370836,False,20,14,0.7,5
log,3,0.2583709033541593,0.02252750819009841,False,0.0054013948291801684,0.03419927840283847,False,20,8,0.4,5
ten_percent,5,0.154704980123773,-0.3076875975482031,False,-0.1926367973413557,-0.2349653409202234,False,20,10,0.5,5
original,50,0.09366770150020517,,True,,,True,20,20,1.0,5
half,18,0.0746326543745802,0.3381787390082559,False,0.2815224374848958,0.2829406327519076,False,20,19,0.95,8
sqrt,7,0.06240021204224681,0.21937230139752653,False,0.2256580108409675,0.1652467898265731,False,20,15,0.75,8
log,3,0.22695517045979186,-0.3322200081704599,False,-0.24745483050392486,-0.2467838236981868,False,20,6,0.3,8
ten_percent,5,0.10240449012477874,0.008822377083093068,False,-0.09316051416432673,0.0,False,20,13,0.65,8
original,50,0.07472935937524208,,True,,,True,20,20,1.0,8
half,18,0.06294805657389399,,True,,,True,20,20,1.0,6
sqrt,7,0.07317661370065258,0.041121745133476766,False,-0.08538067493635777,0.039489925183939484,False,20,17,0.85,6
log,3,0.17359908585941447,-0.03621307187390307,False,-0.18943033232108966,-0.04370733787381239,False,20,11,0.55,6
ten_percent,5,0.10476938041205539,-0.014115803332948908,False,-0.13044261627284978,-0.027420424855354085,False,20,13,0.65,6
original,50,0.06294805657389399,,True,,,True,20,20,1.0,6
half,18,0.08355564827536008,,True,,,True,20,20,1.0,0
sqrt,7,0.07811895315692974,0.34846768597184197,False,0.4863192947796232,0.2774751902477184,False,20,16,0.8,0
log,3,0.2091851434980685,0.3161619252886225,False,0.3267175515350928,0.262194467755095,False,20,8,0.4,0
ten_percent,5,0.09968518503850073,0.2771668852462743,False,0.35803128624719005,0.21144800897557342,False,20,14,0.7,0
original,50,0.08355564827536008,,True,,,True,20,20,1.0,0
half,18,0.06036098592655503,,True,,,True,20,20,1.0,3
sqrt,7,0.05743263495062041,0.46719769285659607,False,0.46832369299639504,0.371856843370836,False,20,14,0.7,3
log,3,0.196413445830297,0.23087766622855352,False,0.23263287818441847,0.12613395433462882,False,20,6,0.3,3
ten_percent,5,0.08821170650964602,0.44114105737300097,False,0.4027514594809455,0.30595136511668675,False,20,11,0.55,3
original,50,0.06036098592655503,,True,,,True,20,20,1.0,3
half,18,0.07295204699346484,,True,,,True,20,20,1.0,15
sqrt,7,0.06953287530564356,0.05563530223940976,False,0.212893467760711,0.039489925183939484,False,20,17,0.85,15
log,3,0.1501489809684668,0.11666570499051797,False,0.27729074898572587,0.09353686755098684,False,20,9,0.45,15
ten_percent,5,0.09225072823328177,0.06396158890298638,False,0.10655024475871037,0.036456553271650594,False,20,14,0.7,15
original,50,0.07295204699346484,,True,,,True,20,20,1.0,15
half,18,0.06191860403031355,,True,,,True,20,20,1.0,12
sqrt,7,0.06191860403031355,,True,,,True,20,20,1.0,12
log,3,0.1386384074487984,0.029724389319278108,False,-0.1607993659894359,0.0301237616564389,False,20,10,0.5,12
ten_percent,5,0.06684358385826816,0.09357002678873536,False,-0.09342073837637765,0.0693687975619296,False,20,16,0.8,12
original,50,0.06191860403031355,,True,,,True,20,20,1.0,12
half,18,0.052067951038853554,-0.3381787390082559,False,-0.28344220427629335,-0.2829406327519076,False,20,19,0.95,17
sqrt,7,0.08203540908083069,-0.3865504720658741,False,-0.42576259591744126,-0.29894373682753483,False,20,14,0.7,17
log,3,0.2294550946130137,-0.44557155613683486,False,-0.4173483370981747,-0.31809343274054364,False,20,7,0.35,17
ten_percent,5,0.1283728386602607,-0.5053369575131018,False,-0.42588301219968283,-0.39336604086431154,False,20,11,0.55,17
original,50,0.0507669334671591,,True,,,True,20,20,1.0,17
half,18,0.07330360533698962,,True,,,True,20,20,1.0,22
sqrt,7,0.07553771667608858,0.012906210591549701,False,0.030950943541560194,0.0173421993904824,False,20,16,0.8,22
log,3,0.2566898922226314,0.022097202378310407,False,0.03094926841852422,0.005484084971070818,False,20,6,0.3,22
ten_percent,5,0.11436478770390868,0.06185886425903822,False,-0.01332312827127944,0.042173266319014455,False,20,10,0.5,22
original,50,0.07330360533698962,,True,,,True,20,20,1.0,22
half,18,0.07529026539120287,,True,,,True,20,20,1.0,18
sqrt,7,0.08748741276459686,-0.15614991537185144,False,-0.09369448797163986,-0.11726944291283467,False,20,12,0.6,18
log,3,0.18320225881403765,0.10294239400402738,False,0.029774045511093496,0.08370879808961673,False,20,7,0.35,18
ten_percent,5,0.11404799354792097,-0.02490421807831409,False,-0.043567043140782004,-0.006024752331287779,False,20,10,0.5,18
original,50,0.07529026539120287,,True,,,True,20,20,1.0,18
half,18,0.0779604734304278,,True,,,True,20,20,1.0,19
sqrt,7,0.10792667876331238,-0.037550213752729766,False,-0.12481798495729998,-0.03934447376823169,False,20,15,0.75,19
log,3,0.25812567166856243,0.02641156132632227,False,-0.013704767794031887,0.03419927840283847,False,20,8,0.4,19
ten_percent,5,0.12503640951562967,0.15504884158434257,False,0.05969444580594856,0.07832178030674113,False,20,10,0.5,19
