dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,50,0.33222274144108066,0.04920564932508521,False,0.0459715489153414,0.0384600829596099,False,165,74,0.4484848484848485,3
sqrt,10,0.3013563235321427,0.09029950731749233,False,0.1324730489674535,0.06277711338038844,False,200,38,0.19,3
log,4,0.4587028737941871,0.13396237750207154,False,0.15355114282033627,0.09325021425459047,False,200,9,0.045,3
ten_percent,10,0.3013563235321427,0.09029950731749233,False,0.1324730489674535,0.06277711338038844,False,200,38,0.19,3
original,100,0.10847591042075325,0.060762803930238196,False,0.07252064547958756,0.048295043095188894,False,187,175,0.9358288770053476,3
half,50,0.35049817673687533,0.14152898226160063,False,0.13128078006437366,0.10263226790635512,False,167,76,0.4550898203592814,10
sqrt,10,0.330519985243928,0.21909568098745394,False,0.19359999461301436,0.15269255427028694,False,200,33,0.165,10
log,4,0.46674264956658773,0.15513713634248108,False,0.16709896594754678,0.10844919684123731,False,200,7,0.035,10
ten_percent,10,0.330519985243928,0.21909568098745394,False,0.19359999461301436,0.15269255427028694,False,200,33,0.165,10
original,100,0.11709125084384495,0.13838836078354186,False,0.14479344976212,0.11273844225923856,False,189,176,0.9312169312169312,10
half,50,0.2937748477090672,0.13435750810737432,False,0.1834518706019159,0.09838534386174372,False,165,91,0.5515151515151515,7
sqrt,10,0.326458130060996,0.21650436511171126,False,0.22186930838380056,0.14992342997613045,False,200,43,0.215,7
log,4,0.5611917056834054,0.2317291595924399,False,0.22565486108184715,0.15500643201740133,False,200,7,0.035,7
ten_percent,10,0.326458130060996,0.21650436511171126,False,0.22186930838380056,0.14992342997613045,False,200,43,0.215,7
original,100,0.09866277274247605,0.0002558633312670748,False,0.009317075748634121,0.0008932724287700635,False,193,184,0.9533678756476683,7
half,50,0.3550103807543549,0.16679010848219317,False,0.1543109677577472,0.11749959351525427,False,167,75,0.4491017964071856,12
sqrt,10,0.3167307386481545,0.26267521832644225,False,0.26458214757820786,0.1823019315283777,False,200,40,0.2,12
log,4,0.4801978136984819,0.30435871959823896,False,0.2852505615258656,0.2110959374331645,False,200,11,0.055,12
ten_percent,10,0.3167307386481545,0.26267521832644225,False,0.26458214757820786,0.1823019315283777,False,200,40,0.2,12
original,100,0.10066051436912032,-0.014304187343722349,False,-0.0007333026509638516,-0.011251398476398557,False,196,189,0.9642857142857143,12
half,50,0.3016752367344435,0.06420191727119956,False,0.07784068494058653,0.046864249217206076,False,166,89,0.536144578313253,6
sqrt,10,0.3109018758590683,0.1857579808377354,False,0.20477400916162006,0.12365922261686751,False,199,44,0.22110552763819097,6
log,4,0.46664085757216517,0.11798085364652557,False,0.1540893111976863,0.0818443772653915,False,200,12,0.06,6
ten_percent,10,0.3109018758590683,0.1857579808377354,False,0.20477400916162006,0.12365922261686751,False,199,44,0.22110552763819097,6
original,100,0.11289932518104778,0.02609570638090012,False,0.04318551471239978,0.021732938771410755,False,187,177,0.946524064171123,6
half,50,0.31911754158985134,0.15289408052645684,False,0.1469891453476864,0.11215745082648286,False,173,82,0.47398843930635837,5
sqrt,10,0.28604058404182814,0.1186977017813274,False,0.09933267165350794,0.07836458428816115,False,199,52,0.2613065326633166,5
log,4,0.4489318991980409,0.1767288711999345,False,0.17827634473822637,0.11487782597491081,False,200,9,0.045,5
ten_percent,10,0.28604058404182814,0.1186977017813274,False,0.09933267165350794,0.07836458428816115,False,199,52,0.2613065326633166,5
original,100,0.10896631251488964,0.06825872514958362,False,0.04915954270234528,0.0549095391757657,False,189,176,0.9312169312169312,5
half,50,0.3180882279954009,0.031041990411204475,False,-0.007227238547840256,0.021205377096149745,False,164,84,0.5121951219512195,11
sqrt,10,0.30494917734011123,0.061979238720647714,False,0.07595195744289343,0.044384393472208704,False,200,44,0.22,11
log,4,0.4360388393011951,0.07902103155222305,False,0.058320990340413104,0.05532644858686598,False,200,9,0.045,11
ten_percent,10,0.30494917734011123,0.061979238720647714,False,0.07595195744289343,0.044384393472208704,False,200,44,0.22,11
original,100,0.12758403006830993,0.02865164970971767,False,0.045736008764703635,0.02356024648646075,False,193,181,0.9378238341968912,11
half,50,0.30263163534468257,0.05083651953421241,False,0.012408945193544515,0.034102227182864826,False,166,90,0.5421686746987951,13
sqrt,10,0.340170122126623,0.12622423302511723,False,0.10504188017748342,0.07823402622500147,False,200,28,0.14,13
log,4,0.5574174070824526,0.11842144741269413,False,0.13732830634075552,0.07496418752447141,False,200,7,0.035,13
ten_percent,10,0.340170122126623,0.12622423302511723,False,0.10504188017748342,0.07823402622500147,False,200,28,0.14,13
original,100,0.1389994806132595,0.02161063765138797,False,-0.0034660162799811296,0.01695739945751372,False,193,177,0.917098445595855,13
half,50,0.3001392199638872,0.06581029351799328,False,0.050692004770937556,0.05100257246136486,False,173,90,0.5202312138728323,1
sqrt,10,0.29523699134362164,0.16804425767210654,False,0.17008543879544843,0.11848235324439035,False,200,48,0.24,1
log,4,0.41622661152306617,0.1753393590040776,False,0.21644861837181245,0.11688234938023476,False,200,18,0.09,1
ten_percent,10,0.29523699134362164,0.16804425767210654,False,0.17008543879544843,0.11848235324439035,False,200,48,0.24,1
original,100,0.10172919174733823,-0.0032622472742399405,False,0.0012747501988805952,-0.002500423577013933,False,193,184,0.9533678756476683,1
half,50,0.37924653638884465,-0.07203941329465952,False,-0.10432599091780924,-0.051972023981924645,False,169,78,0.46153846153846156,4
sqrt,10,0.29589838958789183,0.10899883732669029,False,0.09977119200157623,0.07281765572943573,False,200,53,0.265,4
log,4,0.3936313367961206,0.14742431039977472,False,0.14437986362902974,0.09697415604717517,False,200,13,0.065,4
ten_percent,10,0.29589838958789183,0.10899883732669029,False,0.09977119200157623,0.07281765572943573,False,200,53,0.265,4
original,100,0.1363946047047757,-0.04576790903546125,False,-0.02137493304680072,-0.03708331288202793,False,190,175,0.9210526315789473,4
half,50,0.33154991091900693,0.062152800819988765,False,0.07599537003852255,0.04799278356870096,False,168,79,0.47023809523809523,8
sqrt,10,0.30565487639014,0.19927571849118195,False,0.1546694223134006,0.1375368490961859,False,200,41,0.205,8
log,4,0.4316599598195994,0.19083317471821779,False,0.16940944531417332,0.13069863033456802,False,200,17,0.085,8
ten_percent,10,0.30565487639014,0.19927571849118195,False,0.1546694223134006,0.1375368490961859,False,200,41,0.205,8
original,100,0.11671081322234113,0.07790365509655905,False,0.03090269851428075,0.062420249582599355,False,195,181,0.9282051282051282,8
half,50,0.3294190742156836,0.11484709598270118,False,0.12499176429007815,0.07850857280077829,False,157,77,0.49044585987261147,0
sqrt,10,0.3153125328279431,0.15795370687359556,False,0.15820883316898857,0.10589002163302175,False,200,49,0.245,0
log,4,0.4193787936760385,0.18374125281003875,False,0.18703834292840804,0.12544986222190205,False,200,11,0.055,0
ten_percent,10,0.3153125328279431,0.15795370687359556,False,0.15820883316898857,0.10589002163302175,False,200,49,0.245,0
original,100,0.09934840293333756,0.0162273024199895,False,-0.034407186719776925,0.013203083392898126,False,190,178,0.9368421052631579,0
half,50,0.32451184327166205,0.14222845381140292,False,0.155723152446017,0.10351026680020216,False,166,75,0.45180722891566266,2
sqrt,10,0.2867946925520243,0.08170245269119389,False,0.1200637281629353,0.05200490428541441,False,199,41,0.20603015075376885,2
log,4,0.4191954888751415,0.09118692203842253,False,0.13130948179643087,0.05488621300137501,False,200,10,0.05,2
ten_percent,10,0.2867946925520243,0.08170245269119389,False,0.1200637281629353,0.05200490428541441,False,199,41,0.20603015075376885,2
original,100,0.10200816252647688,-0.03855531829693915,False,-0.05676652224537145,-0.0295433732427453,False,182,170,0.9340659340659341,2
half,50,0.32680802930533026,-0.003555146374550301,False,-0.0009146296572335567,0.0004961171707394337,False,163,65,0.3987730061349693,9
sqrt,10,0.28574694708444853,0.11954131393217572,False,0.1044423485279006,0.07843699528639422,False,200,40,0.2,9
log,4,0.3925265606143536,0.13491359309871595,False,0.15611575501700328,0.0870791959834731,False,200,12,0.06,9
ten_percent,10,0.28574694708444853,0.11954131393217572,False,0.1044423485279006,0.07843699528639422,False,200,40,0.2,9
original,100,0.13839307946081233,-0.00766943528429674,False,0.005152453289760603,-0.007289110036643034,False,183,168,0.9180327868852459,9
half,50,0.3349829066058238,-0.07297349906509089,False,-0.1259437326627648,-0.05135222701981988,False,173,80,0.4624277456647399,14
sqrt,10,0.31127338293552614,0.05751771977899711,False,0.09428326350253975,0.039214625725001145,False,199,46,0.23115577889447236,14
log,4,0.416187352336193,0.020077905418480552,False,0.06594941523094763,0.015503116972780184,False,200,12,0.06,14
ten_percent,10,0.31127338293552614,0.05751771977899711,False,0.09428326350253975,0.039214625725001145,False,199,46,0.23115577889447236,14
original,100,0.10887855484182535,0.05491782773264942,False,0.037828738083999836,0.04448107098367509,False,187,173,0.9251336898395722,14
half,50,0.33718081698007596,0.20761877917035476,False,0.22268659048785622,0.15203299964595907,False,160,79,0.49375,17
sqrt,10,0.30596730868496136,0.22057885908552566,False,0.2383303716718996,0.15207767095775918,False,200,47,0.235,17
log,4,0.4238537253058844,0.2154008077553414,False,0.2370381114648961,0.1458257866232912,False,200,17,0.085,17
ten_percent,10,0.30596730868496136,0.22057885908552566,False,0.2383303716718996,0.15207767095775918,False,200,47,0.235,17
original,100,0.10786477325606847,0.055841110728251146,False,0.04021519543610334,0.045481599515388715,False,193,183,0.9481865284974094,17
half,50,0.307560126930108,0.03584599460495823,False,-0.004609673857859279,0.025975899399961273,False,160,78,0.4875,15
sqrt,10,0.31719499758296005,0.03149407696102299,False,0.02001714561448057,0.023103463487716313,False,200,37,0.185,15
log,4,0.5073530299963056,0.04739131744020788,False,0.042212288612255365,0.03480536583828296,False,200,9,0.045,15
ten_percent,10,0.31719499758296005,0.03149407696102299,False,0.02001714561448057,0.023103463487716313,False,200,37,0.185,15
original,100,0.12006329416769032,-0.07053049542057921,False,-0.028667935636364113,-0.056569114851630624,False,190,174,0.9157894736842105,15
half,50,0.3648472446298718,0.23134548185153242,False,0.24346544891365654,0.16775632497716855,False,164,70,0.4268292682926829,16
sqrt,10,0.324239304238491,0.1577904104446167,False,0.14884074727762076,0.10808194680362987,False,199,36,0.18090452261306533,16
log,4,0.45801511022604446,0.14126418638082733,False,0.17243390555210625,0.09455286446648774,False,200,11,0.055,16
ten_percent,10,0.324239304238491,0.1577904104446167,False,0.14884074727762076,0.10808194680362987,False,199,36,0.18090452261306533,16
original,100,0.08671713152759765,-0.11687998977336414,False,-0.12107677127782494,-0.09570598620589348,False,191,187,0.9790575916230366,16
half,50,0.33895917218627875,0.1171690902236984,False,0.11379268437878395,0.08366279478565898,False,163,75,0.4601226993865031,19
sqrt,10,0.35448270453380704,0.13812087048498345,False,0.15775918600984212,0.09517015421379911,False,200,34,0.17,19
log,4,0.5215537230310716,0.18766405367393152,False,0.2303667923485909,0.12652504646971416,False,200,10,0.05,19
ten_percent,10,0.35448270453380704,0.13812087048498345,False,0.15775918600984212,0.09517015421379911,False,200,34,0.17,19
original,100,0.11093502156407375,0.007947329490332701,False,-0.01994228326050834,0.00761491883540808,False,191,181,0.9476439790575916,19
half,50,0.31490348391849166,0.11904336852231946,False,0.14822254683712757,0.0841354169834891,False,169,85,0.5029585798816568,20
sqrt,10,0.30392106640648764,0.12026648675742288,False,0.11483236525264577,0.0817180199258251,False,200,40,0.2,20
log,4,0.4167760973611329,0.0683030315760219,False,0.09795736559416725,0.04309962490985564,False,200,13,0.065,20
ten_percent,10,0.30392106640648764,0.12026648675742288,False,0.11483236525264577,0.0817180199258251,False,200,40,0.2,20
original,100,0.09790871760583034,-0.0848578899603412,False,-0.06865963880370844,-0.06864436922756723,False,186,179,0.9623655913978495,20
half,50,0.3425784942799797,0.10647330136470645,False,0.10671701480288019,0.07427744819787091,False,170,70,0.4117647058823529,18
sqrt,10,0.35979480821876564,0.09195662904807064,False,0.06363356223176272,0.06373048004961408,False,200,36,0.18,18
log,4,0.4833939133416462,0.10078083428269204,False,0.09257746607565029,0.06456164188957093,False,200,11,0.055,18
ten_percent,10,0.35979480821876564,0.09195662904807064,False,0.06363356223176272,0.06373048004961408,False,200,36,0.18,18
original,100,0.12631315592244952,-0.09597188995568612,False,-0.056688213381542805,-0.07715770107633875,False,186,173,0.9301075268817204,18
half,50,0.3223975740356734,0.007736550135324959,False,0.01144845492935563,0.005784925883307292,False,162,81,0.5,24
sqrt,10,0.2782251783587151,0.16005597751471565,False,0.1537709381673689,0.11636743532156807,False,200,44,0.22,24
log,4,0.4357946684311693,0.13731961251192168,False,0.16313151343734184,0.09697217534134328,False,200,9,0.045,24
ten_percent,10,0.2782251783587151,0.16005597751471565,False,0.1537709381673689,0.11636743532156807,False,200,44,0.22,24
original,100,0.09064807684347506,-0.08385647964513859,False,-0.06941202764613906,-0.06773735953799288,False,187,181,0.9679144385026738,24
half,50,0.31035396657119524,-0.028969705163231503,False,-0.042521323395919505,-0.022910206179310052,False,165,88,0.5333333333333333,25
sqrt,10,0.31402642997507657,0.16363627926346935,False,0.16180219397559278,0.11207149111752986,False,199,39,0.19597989949748743,25
log,4,0.42309648180212567,0.19284299920521158,False,0.19571450028586085,0.13298466369424877,False,200,9,0.045,25
ten_percent,10,0.31402642997507657,0.16363627926346935,False,0.16180219397559278,0.11207149111752986,False,199,39,0.19597989949748743,25
original,100,0.09981238573043169,0.1066212735838389,False,0.05567167832991812,0.08689347825745454,False,189,179,0.9470899470899471,25
half,50,0.32942667682704263,-0.1210226716613545,False,-0.13030115022854513,-0.08595079094324143,False,162,74,0.4567901234567901,21
sqrt,10,0.30921682305776543,0.0336284688356705,False,0.02674039402952814,0.022673343863805012,False,200,36,0.18,21
log,4,0.3784787164457944,0.023824754512571853,False,0.012968922261113104,0.016394805156916832,False,200,18,0.09,21
ten_percent,10,0.30921682305776543,0.0336284688356705,False,0.02674039402952814,0.022673343863805012,False,200,36,0.18,21
original,100,0.12355735001816667,-0.04105732613581113,False,-0.06752291904295439,-0.03291172755623731,False,190,175,0.9210526315789473,21
half,50,0.29508501652063773,0.1097069037880987,False,0.18038476202190476,0.07807452743858191,False,172,89,0.5174418604651163,28
sqrt,10,0.331738686982583,0.13533950907907633,False,0.14581998835185608,0.09237739319623152,False,200,45,0.225,28
log,4,0.5301450237325834,0.06640101871562064,False,0.10144782112596372,0.04391903203501409,False,200,10,0.05,28
ten_percent,10,0.331738686982583,0.13533950907907633,False,0.14581998835185608,0.09237739319623152,False,200,45,0.225,28
original,100,0.08440802356856776,0.21784698750385348,False,0.3273904891541143,0.17744385762265755,False,194,186,0.9587628865979382,28
half,50,0.30362093471069657,-0.033240799999599176,False,-0.06385130886442347,-0.030724554775059535,False,160,81,0.50625,22
sqrt,10,0.30643625672288793,0.12476388879785319,False,0.09868942243709516,0.08488281656906399,False,200,41,0.205,22
log,4,0.42340598772937027,0.1049822886886927,False,0.10548009354779574,0.07076499984265745,False,200,14,0.07,22
ten_percent,10,0.30643625672288793,0.12476388879785319,False,0.09868942243709516,0.08488281656906399,False,200,41,0.205,22
original,100,0.13633032302699452,-0.125829304668817,False,-0.1515295590489089,-0.10244392742862576,False,191,175,0.9162303664921466,22
half,50,0.3209116649263722,0.12401516894252204,False,0.14733948600398752,0.09298104011589813,False,175,92,0.5257142857142857,27
sqrt,10,0.3067381791962822,0.16060605614224766,False,0.1598334725071542,0.11023999665331298,False,198,36,0.18181818181818182,27
log,4,0.42284420032835823,0.15866112525007353,False,0.1612911862316097,0.10422456023761818,False,200,13,0.065,27
ten_percent,10,0.3067381791962822,0.16060605614224766,False,0.1598334725071542,0.11023999665331298,False,198,36,0.18181818181818182,27
