dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,48,0.07846423964912809,,True,,,True,50,50,1.0,4
sqrt,10,0.06899879222905543,0.17807657550011993,False,0.17935131102031387,0.14256126996198448,False,50,38,0.76,4
log,4,0.1268667466861628,0.2566053386846257,False,0.22790723366248788,0.18499944431097648,False,50,18,0.36,4
ten_percent,10,0.06899879222905543,0.17807657550011993,False,0.17935131102031387,0.14256126996198448,False,50,38,0.76,4
original,100,0.07846423964912809,,True,,,True,50,50,1.0,4
half,48,0.0636416613200425,,True,,,True,50,50,1.0,5
sqrt,10,0.0669981046322311,0.02683386905152599,False,-0.01846479043195652,0.02048963330287532,False,50,35,0.7,5
log,4,0.1851354359045787,0.18144674495218505,False,0.140823506357087,0.128001947882132,False,50,8,0.16,5
ten_percent,10,0.0669981046322311,0.02683386905152599,False,-0.01846479043195652,0.02048963330287532,False,50,35,0.7,5
original,100,0.0636416613200425,,True,,,True,50,50,1.0,5
half,48,0.06868114231506768,,True,,,True,50,50,1.0,8
sqrt,10,0.07734503313274173,0.18962305706298305,False,0.04845916097073148,0.14635981341890847,False,50,34,0.68,8
log,4,0.15853070057681307,0.187264897507586,False,0.08436434452148443,0.13489008591059584,False,50,15,0.3,8
ten_percent,10,0.07734503313274173,0.18962305706298305,False,0.04845916097073148,0.14635981341890847,False,50,34,0.68,8
original,100,0.06868114231506768,,True,,,True,50,50,1.0,8
half,48,0.0782182936820484,-0.12374266583486376,False,-0.1441420109085361,-0.10204081632653061,False,50,49,0.98,0
sqrt,10,0.05947218195929427,0.016253760305294667,False,-0.004384269849417742,0.010541829364595842,False,50,36,0.72,0
log,4,0.22306984726553553,0.22972340314782747,False,0.20984940243210704,0.15137785253229133,False,50,10,0.2,0
ten_percent,10,0.05947218195929427,0.016253760305294667,False,-0.004384269849417742,0.010541829364595842,False,50,36,0.72,0
original,100,0.058931131991059156,,True,,,True,50,50,1.0,0
half,48,0.08718056684156492,,True,,,True,50,50,1.0,11
sqrt,10,0.09293974009288837,-0.1409705356942238,False,-0.1855621486755711,-0.11531379239065516,False,50,34,0.68,11
log,4,0.2067648025190433,-0.23194636244159073,False,-0.2145978010611869,-0.16197483517298145,False,50,12,0.24,11
ten_percent,10,0.09293974009288837,-0.1409705356942238,False,-0.1855621486755711,-0.11531379239065516,False,50,34,0.68,11
original,100,0.08718056684156492,,True,,,True,50,50,1.0,11
half,48,0.0820830655069302,,True,,,True,50,50,1.0,12
sqrt,10,0.08004122649557316,0.023470952725119735,False,0.004293848093703244,0.01570975470769022,False,50,37,0.74,12
log,4,0.15647715161335127,0.24281126693111385,False,0.2606856096939274,0.17308347095280818,False,50,14,0.28,12
ten_percent,10,0.08004122649557316,0.023470952725119735,False,0.004293848093703244,0.01570975470769022,False,50,37,0.74,12
original,100,0.0820830655069302,,True,,,True,50,50,1.0,12
half,48,0.07072150685109728,,True,,,True,50,50,1.0,1
sqrt,10,0.0694633183539723,0.13647409259890403,False,0.07366963700804091,0.10254407137616428,False,50,38,0.76,1
log,4,0.19047813230152166,0.08299898482487526,False,-0.01964361584279501,0.05758715445563503,False,50,16,0.32,1
ten_percent,10,0.0694633183539723,0.13647409259890403,False,0.07366963700804091,0.10254407137616428,False,50,38,0.76,1
original,100,0.07072150685109728,,True,,,True,50,50,1.0,1
half,48,0.07197630363776249,0.14354149236844196,False,0.15777453068682443,0.11836734693877551,False,50,49,0.98,14
sqrt,10,0.07534106165380487,0.015347489059492953,False,0.0614000140586529,0.01797059720094717,False,50,42,0.84,14
log,4,0.14972296504991042,-0.0077896835913666305,False,-0.0442115649485502,-0.008347210369215369,False,50,24,0.48,14
ten_percent,10,0.07534106165380487,0.015347489059492953,False,0.0614000140586529,0.01797059720094717,False,50,42,0.84,14
original,100,0.07291867302266844,,True,,,True,50,50,1.0,14
half,48,0.07834350595083078,,True,,,True,50,50,1.0,7
sqrt,10,0.07899717294450415,0.039487102414713426,False,0.06111295714244673,0.03501504876259268,False,50,38,0.76,7
log,4,0.15998169006102636,-0.04657057411543514,False,0.03795936793632835,-0.04014138885992886,False,50,18,0.36,7
ten_percent,10,0.07899717294450415,0.039487102414713426,False,0.06111295714244673,0.03501504876259268,False,50,38,0.76,7
original,100,0.07834350595083078,,True,,,True,50,50,1.0,7
half,48,0.07663376454850729,0.14354149236844196,False,0.09123935827553259,0.11836734693877551,False,50,49,0.98,9
sqrt,10,0.06219902634270313,0.10914511469117036,False,0.1599806615276519,0.09345467701902407,False,50,40,0.8,9
log,4,0.19153519190667503,0.07063201619015005,False,0.012321230422182942,0.056346491582907124,False,50,15,0.3,9
ten_percent,10,0.06219902634270313,0.10914511469117036,False,0.1599806615276519,0.09345467701902407,False,50,40,0.8,9
original,100,0.060263386904947674,,True,,,True,50,50,1.0,9
half,48,0.08714637994986577,,True,,,True,50,50,1.0,13
sqrt,10,0.0824594959752473,0.07570870931946903,False,-0.03814110615662584,0.05974025974025974,False,50,39,0.78,13
log,4,0.18048745404417282,0.16333433652859985,False,0.19276313157350075,0.11329845983602328,False,50,12,0.24,13
ten_percent,10,0.0824594959752473,0.07570870931946903,False,-0.03814110615662584,0.05974025974025974,False,50,39,0.78,13
original,100,0.08714637994986577,,True,,,True,50,50,1.0,13
half,48,0.09696523014266958,0.09404442603449646,False,0.04947316331464098,0.07755102040816327,False,50,49,0.98,3
sqrt,10,0.07661116158346398,0.06155808473833614,False,0.04570836297986387,0.04568126057991532,False,50,36,0.72,3
log,4,0.25285109957723845,0.005632094973807082,False,0.046061493173654995,-0.006787587096188556,False,50,14,0.28,3
ten_percent,10,0.07661116158346398,0.06155808473833614,False,0.04570836297986387,0.04568126057991532,False,50,36,0.72,3
original,100,0.08092537703700288,,True,,,True,50,50,1.0,3
half,48,0.05245375663557155,,True,,,True,50,50,1.0,2
sqrt,10,0.05486762721785809,0.06855513048613338,False,0.008802656281785752,0.05714285714285714,False,50,39,0.78,2
log,4,0.20557498265970509,0.05566262730961501,False,0.1697947973648508,0.04048270109592869,False,50,19,0.38,2
ten_percent,10,0.05486762721785809,0.06855513048613338,False,0.008802656281785752,0.05714285714285714,False,50,39,0.78,2
original,100,0.05245375663557155,,True,,,True,50,50,1.0,2
half,48,0.07535495535831466,,True,,,True,50,50,1.0,6
sqrt,10,0.08962983730946038,0.04900387435327645,False,0.10181331353478028,0.029282859346099564,False,50,36,0.72,6
log,4,0.22935495607161324,-0.06220041568640651,False,-0.05066537424477874,-0.030082841879809342,False,50,16,0.32,6
ten_percent,10,0.08962983730946038,0.04900387435327645,False,0.10181331353478028,0.029282859346099564,False,50,36,0.72,6
original,100,0.07535495535831466,,True,,,True,50,50,1.0,6
half,48,0.08695103755153609,0.05444677296734005,False,0.008379860495740894,0.044897959183673466,False,50,49,0.98,10
sqrt,10,0.07231286850879004,-0.02941445428383549,False,-0.09118213948185201,-0.017569715607659738,False,50,36,0.72,10
log,4,0.2002099173626136,0.05393842511042149,False,0.041080492767348716,0.028903665650804,False,50,8,0.16,10
ten_percent,10,0.07231286850879004,-0.02941445428383549,False,-0.09118213948185201,-0.017569715607659738,False,50,36,0.72,10
original,100,0.06987256067631015,,True,,,True,50,50,1.0,10
half,48,0.0609579926204575,,True,,,True,50,50,1.0,15
sqrt,10,0.06087665724152394,0.13632181458726095,False,0.21455799976050405,0.11081868273917422,False,50,42,0.84,15
log,4,0.18916316203229386,0.07724709571833678,False,0.13890892337011307,0.06278518063974414,False,50,14,0.28,15
ten_percent,10,0.06087665724152394,0.13632181458726095,False,0.21455799976050405,0.11081868273917422,False,50,42,0.84,15
original,100,0.0609579926204575,,True,,,True,50,50,1.0,15
half,48,0.07307332775206979,,True,,,True,50,50,1.0,19
