dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,10,0.24478725758407854,0.17167514862109481,False,0.17027552103952442,0.12539735414374106,False,20,8,0.4,5
sqrt,4,0.3692148702808219,0.22706780374953453,False,0.27481276789068704,0.15903846416105372,False,20,6,0.3,5
log,2,0.5314275049169115,0.3253015737291313,False,0.2939421426024208,0.2599551802716583,False,20,3,0.15,5
ten_percent,2,0.5314275049169115,0.3253015737291313,False,0.2939421426024208,0.2599551802716583,False,20,3,0.15,5
original,20,0.07174524891714425,,True,,,True,20,20,1.0,5
half,10,0.1953239489198343,0.18271140809105635,False,0.2328400307988084,0.14360982444252643,False,20,11,0.55,13
sqrt,4,0.4408519733503142,0.06415140015399455,False,0.07908816248336997,0.03208969123804186,False,20,4,0.2,13
log,2,0.5195474623216125,0.04136893861566039,False,0.13223963771918756,0.005277063223844196,False,20,2,0.1,13
ten_percent,2,0.5195474623216125,0.04136893861566039,False,0.13223963771918756,0.005277063223844196,False,20,2,0.1,13
original,20,0.06623387716476625,,True,,,True,20,20,1.0,13
half,10,0.19559105829682144,0.31652457815663715,False,0.2732295087191131,0.2349653409202234,False,20,10,0.5,14
sqrt,4,0.3090846077164723,0.034638593498935284,False,0.056533380991522074,0.05835728536710696,False,20,3,0.15,14
log,2,0.6064531595887358,0.07371192698790399,False,-0.16418548167409538,0.05804769546228615,False,20,2,0.1,14
ten_percent,2,0.6064531595887358,0.07371192698790399,False,-0.16418548167409538,0.05804769546228615,False,20,2,0.1,14
original,20,0.05945293365429514,,True,,,True,20,20,1.0,14
half,10,0.24604732270368262,0.36260305947687255,False,0.3798597117805753,0.23996522119023464,False,20,7,0.35,4
sqrt,4,0.35292471223505995,0.34566283847681767,False,0.39242160137872534,0.24602096615832092,False,20,4,0.2,4
log,2,0.4628442420184367,0.23392254380855243,False,0.30985029625297644,0.1424807070437933,False,20,2,0.1,4
ten_percent,2,0.4628442420184367,0.23392254380855243,False,0.30985029625297644,0.1424807070437933,False,20,2,0.1,4
original,20,0.08070485216756762,,True,,,True,20,20,1.0,4
half,10,0.21008642659615795,-0.2567836005604035,False,-0.2204324998389947,-0.21853668936906193,False,20,11,0.55,3
sqrt,4,0.29004716886066756,-0.03994779468813002,False,-0.07988325872421935,-0.005580586539307782,False,20,7,0.35,3
log,2,0.4507664824418189,0.25962449003498966,False,0.24269042653050066,0.1818415836822372,False,20,4,0.2,3
ten_percent,2,0.4507664824418189,0.25962449003498966,False,0.24269042653050066,0.1818415836822372,False,20,4,0.2,3
original,20,0.08675751971835174,,True,,,True,20,20,1.0,3
half,10,0.14002992980335222,0.2570757995180809,False,0.12791253644840878,0.19881682693249672,False,20,10,0.5,11
sqrt,4,0.20345401575681782,0.21750697562853638,False,0.14409017903120858,0.17099639201419237,False,20,8,0.4,11
log,2,0.35263788665366386,0.222891819036627,False,0.17480879043741776,0.13263019401615217,False,20,3,0.15,11
