dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,48,0.20300815096315927,0.1734536904950424,False,0.1501862573613582,0.13253299702920956,False,50,28,0.56,13
sqrt,10,0.28929587515687555,0.11788557410692752,False,0.10986917444625666,0.0695727677359327,False,50,14,0.28,13
log,4,0.3764853094161866,0.19363387266345233,False,0.2059411682335814,0.11857174307058548,False,50,7,0.14,13
ten_percent,10,0.28929587515687555,0.11788557410692752,False,0.10986917444625666,0.0695727677359327,False,50,14,0.28,13
original,100,0.08881745914276132,,True,,,True,49,49,1.0,13
half,48,0.2965598976232783,0.1182259807184483,False,0.13329982226085338,0.08731687199580628,False,49,22,0.4489795918367347,4
sqrt,10,0.3039014393081078,0.34757393654200724,False,0.37243358683232664,0.26753246753246757,False,50,17,0.34,4
log,4,0.3954505706002548,0.41547533617857046,False,0.3773300941775242,0.3055499453461395,False,50,6,0.12,4
ten_percent,10,0.3039014393081078,0.34757393654200724,False,0.37243358683232664,0.26753246753246757,False,50,17,0.34,4
original,100,0.07846423964912809,,True,,,True,50,50,1.0,4
half,48,0.18336815030360804,0.06541530949462422,False,0.036118180254762745,0.05203147290776375,False,50,28,0.56,0
sqrt,10,0.27552422183274855,0.16224047711166795,False,0.14120566538624177,0.11557683937710926,False,50,13,0.26,0
log,4,0.4702313281206838,0.2561096664540893,False,0.1988062983312628,0.18562980550598798,False,50,6,0.12,0
ten_percent,10,0.27552422183274855,0.16224047711166795,False,0.14120566538624177,0.11557683937710926,False,50,13,0.26,0
original,100,0.058931131991059156,,True,,,True,50,50,1.0,0
half,48,0.23191400917462868,0.02136441797560888,False,-0.05966612124097747,0.01472588855880106,False,50,28,0.56,1
sqrt,10,0.2608526292977907,0.0837483502836178,False,0.009661054115645969,0.0645752777311899,False,50,18,0.36,1
log,4,0.36617294908727305,0.02037090131671118,False,-0.06468575388218269,0.007457333021559534,False,50,9,0.18,1
ten_percent,10,0.2608526292977907,0.0837483502836178,False,0.009661054115645969,0.0645752777311899,False,50,18,0.36,1
original,100,0.07072150685109728,,True,,,True,50,50,1.0,1
half,48,0.17524973986279777,-0.06440398917259091,False,-0.027770752510104885,-0.05254373985147318,False,49,29,0.5918367346938775,7
sqrt,10,0.23781806108322967,0.02694918928437783,False,0.05104003203963752,0.009769097991089002,False,50,20,0.4,7
