dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,10,0.2695554996363927,0.0019105544080533165,False,-0.013342624187325996,0.007792207792207791,False,50,17,0.34,2
sqrt,4,0.455087020853451,0.053613550538800445,False,0.08850859977383588,0.04446440365146956,False,50,7,0.14,2
log,2,0.6994629570669322,0.045100865853883274,False,0.15642540301812896,0.023731659076657058,False,50,4,0.08,2
ten_percent,2,0.6994629570669322,0.045100865853883274,False,0.15642540301812896,0.023731659076657058,False,50,4,0.08,2
original,20,0.06519348421234565,,True,,,True,50,50,1.0,2
half,10,0.15368001391228245,0.21676781894781674,False,0.2081398770958823,0.15688360502854096,False,50,25,0.5,8
sqrt,4,0.28932763510766446,0.10015876750880835,False,0.13684951940751264,0.06257953106503122,False,50,7,0.14,8
log,2,0.531422995769647,0.13359264331925835,False,0.09642697805152495,0.06696611419850346,False,50,2,0.04,8
ten_percent,2,0.531422995769647,0.13359264331925835,False,0.09642697805152495,0.06696611419850346,False,50,2,0.04,8
original,20,0.07046700650637705,,True,,,True,50,50,1.0,8
half,10,0.2191127005233065,-0.044261007273023054,False,-0.05816783845373812,-0.03318185480178678,False,50,21,0.42,5
sqrt,4,0.34310862879423526,0.017234131470763622,False,0.02786131575816252,0.020047040441303524,False,50,11,0.22,5
log,2,0.49998636645015976,0.13000048083783505,False,0.17973552179366628,0.10461797809199964,False,50,3,0.06,5
ten_percent,2,0.49998636645015976,0.13000048083783505,False,0.17973552179366628,0.10461797809199964,False,50,3,0.06,5
original,20,0.0848156357552959,,True,,,True,50,50,1.0,5
half,10,0.22712116399330767,0.094472373903608,False,0.10043906244333532,0.07305833027953697,False,50,16,0.32,1
sqrt,4,0.3790646441217386,0.06045899050464334,False,0.09920884273271592,0.059138699099252796,False,50,6,0.12,1
log,2,0.5815065357037839,0.07303896854370667,False,0.04674126277960971,0.07023275391550363,False,50,2,0.04,1
ten_percent,2,0.5815065357037839,0.07303896854370667,False,0.04674126277960971,0.07023275391550363,False,50,2,0.04,1
original,20,0.08390761675886207,,True,,,True,50,50,1.0,1
half,10,0.23965227726899996,0.2270099915540087,False,0.18419811778440692,0.17580875294419562,False,50,22,0.44,0
sqrt,4,0.29966749588394914,0.16582420616827181,False,0.13889225030056593,0.10858813572372741,False,50,11,0.22,0
log,2,0.4291114662550561,-0.01061734448734431,False,0.017963458001463425,-0.005737753105492471,False,50,5,0.1,0
ten_percent,2,0.4291114662550561,-0.01061734448734431,False,0.017963458001463425,-0.005737753105492471,False,50,5,0.1,0
original,20,0.08497974945962444,,True,,,True,50,50,1.0,0
half,10,0.3233509167439624,0.014767635816836638,False,0.06113062342098082,0.01232082207267395,False,50,19,0.38,4
sqrt,4,0.4470508883646081,0.11532868370771511,False,0.23919310445041098,0.09355285539274978,False,50,11,0.22,4
log,2,0.5160289327969797,0.11916426856601108,False,0.24668651423195376,0.084288306375713,False,50,4,0.08,4
ten_percent,2,0.5160289327969797,0.11916426856601108,False,0.24668651423195376,0.084288306375713,False,50,4,0.08,4
original,20,0.06871810863679338,,True,,,True,50,50,1.0,4
half,10,0.21383995384854948,0.2516746572027255,False,0.21703544901998242,0.19804625927389521,False,50,20,0.4,13
sqrt,4,0.2765976505249264,0.25916875186302407,False,0.23632781298821878,0.18883076639337215,False,50,12,0.24,13
log,2,0.42712385189831237,0.3237285708636298,False,0.2971591098720328,0.22067854753781177,False,50,3,0.06,13
ten_percent,2,0.42712385189831237,0.3237285708636298,False,0.2971591098720328,0.22067854753781177,False,50,3,0.06,13
original,20,0.07501820892168239,,True,,,True,50,50,1.0,13
half,10,0.29627373766248954,0.2319577511194014,False,0.254486660986993,0.15729028754300314,False,50,16,0.32,3
sqrt,4,0.4235170516274531,0.18804035124382643,False,0.1710421984527053,0.11538496309684983,False,50,4,0.08,3
log,2,0.5606615180757784,0.013493397358943579,False,0.03524350156985127,0.0008163265306122448,False,50,1,0.02,3
ten_percent,2,0.5606615180757784,0.013493397358943579,False,0.03524350156985127,0.0008163265306122448,False,50,1,0.02,3
original,20,0.0764295234208282,,True,,,True,50,50,1.0,3
half,10,0.25669075121090734,0.14280169485834407,False,0.1661555392988311,0.10476190476190476,False,50,17,0.34,9
sqrt,4,0.35140661128940187,0.1547559546914011,False,0.23462342894919164,0.09980957309821406,False,50,10,0.2,9
log,2,0.49948220662253545,0.19973106753031253,False,0.20108396579361845,0.1258685048919371,False,50,3,0.06,9
ten_percent,2,0.49948220662253545,0.19973106753031253,False,0.20108396579361845,0.1258685048919371,False,50,3,0.06,9
original,20,0.08980447712259867,-0.004949706633394551,False,-0.045890348365962126,-0.004081632653061224,False,50,49,0.98,9
half,10,0.24349351365008018,0.22601585267229582,False,0.2347574811845117,0.16429846621376956,False,50,20,0.4,11
sqrt,4,0.388869798543942,0.1281488614746299,False,0.13386536897920637,0.1002596995120782,False,50,9,0.18,11
log,2,0.5848767306121277,0.23286094448035236,False,0.15102464561491474,0.16639484005928162,False,50,5,0.1,11
ten_percent,2,0.5848767306121277,0.23286094448035236,False,0.15102464561491474,0.16639484005928162,False,50,5,0.1,11
original,20,0.08405305603544838,-0.030618621784789725,False,-0.04410133851663932,-0.025253813613805267,False,49,48,0.9795918367346939,11
half,10,0.24130057145700878,0.3912188739303111,False,0.41700897375926255,0.2833789076715008,False,50,19,0.38,10
sqrt,4,0.45271642754063257,0.3019188195812807,False,0.29726675769381433,0.2075005503735246,False,50,7,0.14,10
log,2,0.5798881010387991,0.4431796477463056,False,0.39117845295143855,0.3003282372804531,False,50,4,0.08,10
ten_percent,2,0.5798881010387991,0.4431796477463056,False,0.39117845295143855,0.3003282372804531,False,50,4,0.08,10
original,20,0.0977210325136372,-0.2128373852359657,False,-0.18936875702192407,-0.17551020408163268,False,50,49,0.98,10
