dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,25,0.2354929400651864,0.14576146794402614,False,0.12332577705810359,0.09572445560389298,False,88,46,0.5227272727272727,1
sqrt,7,0.3413608760260533,-0.09270992535889887,False,-0.09834710319910717,-0.06615730471348498,False,100,23,0.23,1
log,3,0.5326791037747147,-0.009920033661596026,False,0.02774031140724489,-0.009509368560955583,False,100,6,0.06,1
ten_percent,5,0.3860504489283947,-0.11095865795608668,False,-0.11326868735775178,-0.07809490932150985,False,100,14,0.14,1
original,50,0.09749641272465849,-0.05984132653160664,False,-0.04179037652465627,-0.04899092077312955,False,100,97,0.97,1
half,25,0.24643589847840786,0.22166094885924706,False,0.2561837623753544,0.162049184444539,False,94,44,0.46808510638297873,8
sqrt,7,0.3931724602851905,0.1959019072826407,False,0.16886248621126906,0.12210389198471819,False,100,18,0.18,8
log,3,0.5021715544086945,0.18734395102139934,False,0.14861729452314126,0.11709933648915419,False,100,8,0.08,8
ten_percent,5,0.4386435564709758,0.17444918659394806,False,0.12441048776526471,0.11226610378125498,False,100,12,0.12,8
original,50,0.0923194349608098,0.016256517502848802,False,0.008900504102385359,0.013164599149560146,False,100,98,0.98,8
half,25,0.2572164814307878,0.05254919713854743,False,0.0389551911438898,0.040455027515159274,False,96,41,0.4270833333333333,2
sqrt,7,0.30757730381310844,0.11463318782009524,False,0.10963363526274814,0.08311273319968214,False,100,18,0.18,2
log,3,0.43770679632807263,0.16373588352804572,False,0.15576745706059758,0.11195490422557391,False,100,7,0.07,2
ten_percent,5,0.33210816515300595,0.11369042950703685,False,0.09841714113950471,0.08146394266204555,False,100,11,0.11,2
original,50,0.07556052396828507,-0.03888277323113806,False,-0.04810942185680571,-0.031907590202880476,False,99,98,0.98989898989899,2
half,25,0.29981349736430707,0.09733655391039207,False,0.0788199248480918,0.06615177136321079,False,94,42,0.44680851063829785,13
sqrt,7,0.3242375905926721,0.09736719580750318,False,0.11524030446136017,0.0687475694367741,False,100,18,0.18,13
log,3,0.5515989046427655,0.12704072236949154,False,0.15394133993689355,0.08711542333968218,False,100,8,0.08,13
ten_percent,5,0.3711597632345805,0.10945522070701909,False,0.1228659559373473,0.07702508788067815,False,100,17,0.17,13
original,50,0.07391395496763897,-0.1375282247881596,False,-0.13209526844168884,-0.1128513852802773,False,100,99,0.99,13
half,25,0.19801761240500154,0.13130441722487146,False,0.09877428878820887,0.09963282450001512,False,95,52,0.5473684210526316,11
sqrt,7,0.22870475289914066,0.07479295666478954,False,0.1066415719893005,0.052247495407075774,False,100,30,0.3,11
log,3,0.3295794445278958,-0.02634706138436041,False,-0.013838875175833792,-0.01842295892319571,False,100,7,0.07,11
ten_percent,5,0.26550881442675445,0.035236104298963546,False,0.06179067107024143,0.027293811149525244,False,100,18,0.18,11
original,50,0.08963768522603159,-0.06362635619640773,False,-0.0676349197509877,-0.05221242033198623,False,99,98,0.98989898989899,11
half,25,0.25255726926485694,0.16815237425643897,False,0.19413854027838678,0.12356560614480169,False,93,40,0.43010752688172044,14
sqrt,7,0.2943440881092163,0.17734697941132613,False,0.18513059986206584,0.12345520747966235,False,100,21,0.21,14
log,3,0.4320077861636319,0.2357777248604455,False,0.24816008744978615,0.16582414947853685,False,100,5,0.05,14
ten_percent,5,0.3191728239738725,0.25304651178949317,False,0.2586606782055072,0.17816142556590464,False,100,12,0.12,14
original,50,0.086589860529926,-0.14177458577835184,False,-0.11710918757796894,-0.11634756995581738,False,98,97,0.9897959183673469,14
half,25,0.21619714143848262,0.0460417437669303,False,0.08025315849777072,0.033289608720169006,False,97,49,0.5051546391752577,5
sqrt,7,0.27335012242370355,0.10170951769257112,False,0.09784965431950511,0.06829313762768939,False,99,26,0.26262626262626265,5
log,3,0.4389153155205517,0.029015948429411242,False,0.03750407051362835,0.014365216336762687,False,100,6,0.06,5
ten_percent,5,0.3195926937724552,0.04966046583505185,False,0.06521995096396416,0.029200248493758352,False,100,15,0.15,5
original,50,0.08986929672350241,-0.05270377820558288,False,-0.0658802032877379,-0.04354444334085279,False,100,98,0.98,5
half,25,0.262117610403954,0.09817257171654672,False,0.01929187377599592,0.06694725795295581,False,95,47,0.49473684210526314,12
sqrt,7,0.34646178272764744,0.09817964227724874,False,0.07250320981411264,0.05766587167681649,False,100,18,0.18,12
log,3,0.4681084727205141,0.1123739800391118,False,0.08140497333099847,0.07077860038718037,False,100,5,0.05,12
ten_percent,5,0.38848986001703756,0.07778054241671159,False,0.07105690510905141,0.044743737014268294,False,100,12,0.12,12
original,50,0.08369131528507599,0.02611295407370118,False,0.014532732232428186,0.02142747821777417,False,100,99,0.99,12
half,25,0.26845851834769535,0.03602512108012307,False,-0.05450060676695046,0.024234149530013873,False,92,46,0.5,9
sqrt,7,0.3321882518856201,0.045354145606336264,False,0.009673876764705961,0.03207038030600983,False,100,22,0.22,9
log,3,0.5019071028590141,0.08837013938139272,False,0.08966564755122744,0.05702732945481389,False,100,5,0.05,9
ten_percent,5,0.377097086402636,0.04445917416966779,False,0.011154072448978342,0.025487894687176844,False,100,14,0.14,9
original,50,0.07668081488114713,0.05204383528572409,False,0.015034104932012429,0.042709867452135494,False,98,97,0.9897959183673469,9
half,25,0.21491471692443512,-0.00948281996168019,False,-0.06894588114987989,-0.017710117680808907,False,90,52,0.5777777777777777,10
sqrt,7,0.3528819793870666,-0.0041476212466854435,False,-0.00687187968453381,-0.009496554421512489,False,100,21,0.21,10
log,3,0.47465276671502293,-0.041375089107922695,False,-0.017468765978570906,-0.031379765198849836,False,100,7,0.07,10
