dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,10,0.06159789217482491,0.11705171633569628,False,0.12409892426487897,0.08507270264127582,False,100,66,0.66,0
sqrt,4,0.18765989188659563,0.1377970393586551,False,0.13861780085517802,0.09768053454561576,False,100,23,0.23,0
log,2,0.47945329417755855,0.06380846260559693,False,0.027768989929707593,0.04700180980187504,False,100,8,0.08,0
ten_percent,2,0.47945329417755855,0.06380846260559693,False,0.027768989929707593,0.04700180980187504,False,100,8,0.08,0
original,20,0.06924832606009153,,True,,,True,100,100,1.0,0
half,10,0.0783883558019832,-0.10515279384556511,False,-0.08606724524334411,-0.07977024563873088,False,100,64,0.64,9
sqrt,4,0.2501176827669793,0.008343470647402113,False,0.047389301544978446,0.011973916444515748,False,100,21,0.21,9
log,2,0.5099555212459409,0.11042959669071334,False,0.09706774272363272,0.07591878677141088,False,100,7,0.07,9
ten_percent,2,0.5099555212459409,0.11042959669071334,False,0.09706774272363272,0.07591878677141088,False,100,7,0.07,9
original,20,0.07004061859520988,,True,,,True,99,99,1.0,9
half,10,0.0800770682157533,-0.02241494890052481,False,-0.013521619219604465,-0.017597831200948492,False,100,68,0.68,1
sqrt,4,0.1537271919014589,-0.012496676596537661,False,-0.058161684043665125,-0.0035629901122017442,False,100,27,0.27,1
log,2,0.46524699745255593,0.07178071544243803,False,0.02041257596763754,0.03945376317843273,False,100,6,0.06,1
ten_percent,2,0.46524699745255593,0.07178071544243803,False,0.02041257596763754,0.03945376317843273,False,100,6,0.06,1
original,20,0.0851715103518784,,True,,,True,99,99,1.0,1
half,10,0.08024548541565943,0.03417148065259881,False,0.06092176883920958,0.026031710271936136,False,100,66,0.66,7
sqrt,4,0.2900927411051962,-0.049618286600583816,False,-0.0031883952698276326,-0.03149521344917891,False,100,16,0.16,7
log,2,0.3941746511955308,-0.028894171666197305,False,-0.025316009576454624,-0.021069776807737087,False,100,8,0.08,7
ten_percent,2,0.3941746511955308,-0.028894171666197305,False,-0.025316009576454624,-0.021069776807737087,False,100,8,0.08,7
original,20,0.07525307144479568,,True,,,True,100,100,1.0,7
half,10,0.07273058940036617,-0.00412352153484692,False,-0.03431363286576881,-0.0077371794329866295,False,100,51,0.51,5
sqrt,4,0.20972736072047685,0.06465477957367555,False,0.036635644328416817,0.04547040412192349,False,100,14,0.14,5
log,2,0.6993967656820831,-0.03590974562394771,False,0.19679619504236026,-0.02143580468868891,False,100,5,0.05,5
ten_percent,2,0.6993967656820831,-0.03590974562394771,False,0.19679619504236026,-0.02143580468868891,False,100,5,0.05,5
original,20,0.07190712915828669,,True,,,True,100,100,1.0,5
half,10,0.07283581912347521,-0.008780227751696316,False,0.01258649927660853,-0.011831555930784908,False,100,55,0.55,14
sqrt,4,0.23361729569266,-0.04062834160927462,False,-0.052317840208572726,-0.02565207814805004,False,100,18,0.18,14
log,2,0.7322782656757678,0.0413184705142702,False,0.08708202162893866,0.03176533753340482,False,100,6,0.06,14
ten_percent,2,0.7322782656757678,0.0413184705142702,False,0.08708202162893866,0.03176533753340482,False,100,6,0.06,14
original,20,0.06756652979834452,,True,,,True,100,100,1.0,14
half,10,0.08010414881438212,0.06246401258840534,False,0.012296156962491065,0.0456336176303919,False,100,65,0.65,6
sqrt,4,0.2049336031802122,-0.1304680131066826,False,-0.1432605713500486,-0.09396044941318135,False,100,19,0.19,6
log,2,0.4564606847789407,0.040758521436806965,False,-0.01570112173685809,0.024671397849245727,False,100,5,0.05,6
ten_percent,2,0.4564606847789407,0.040758521436806965,False,-0.01570112173685809,0.024671397849245727,False,100,5,0.05,6
