dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,25,0.1996620878048576,0.18801126256200287,False,0.2575815036532348,0.14875661016339603,False,50,29,0.58,0
sqrt,7,0.2647589995417489,0.1997264185034198,False,0.23180700293241283,0.13766233766233765,False,50,17,0.34,0
log,3,0.4830003077424267,0.09135602789078275,False,0.1321815702656006,0.0654588120781337,False,50,9,0.18,0
ten_percent,5,0.32494076394543653,0.21023709399208848,False,0.2351870894270447,0.14032928308912465,False,50,11,0.22,0
original,50,0.08677010631322565,0.10394383930128556,False,0.0719760784558271,0.08571428571428572,False,50,49,0.98,0
half,25,0.1818857225593675,0.07975977414527705,False,0.057758676837953445,0.06262242910851494,False,49,32,0.6530612244897959,11
sqrt,7,0.25746802873232644,0.17328581266898663,False,0.13490508473114626,0.11220233311792359,False,50,13,0.26,11
log,3,0.37718285607308677,0.3373048671748615,False,0.23521800934555342,0.22377237111420634,False,50,5,0.1,11
ten_percent,5,0.2934617271003253,0.22613859029953226,False,0.16958417717393667,0.15315516813283958,False,50,7,0.14,11
original,50,0.07062165998916564,,True,,,True,50,50,1.0,11
half,25,0.21608470229705845,0.00037463103840991175,False,0.09915201692574205,-0.008985298600473585,False,50,29,0.58,2
sqrt,7,0.2999952780270481,-0.012644002545877973,False,0.006741915182142326,-0.014341651601539105,False,50,13,0.26,2
log,3,0.4334118388168888,-0.03611911727595338,False,-0.02583324148527583,-0.04173498665205206,False,50,4,0.08,2
ten_percent,5,0.3510923229855398,0.03115832896433128,False,0.028789697980260782,0.015743258601070127,False,50,9,0.18,2
original,50,0.07618374946260004,,True,,,True,50,50,1.0,2
half,25,0.22489896686294358,-0.1671291369376628,False,-0.16906000938991866,-0.12370470244420359,False,50,27,0.54,12
sqrt,7,0.262701076626753,0.008156827203444737,False,-0.0264687931678464,0.006787587096188556,False,50,14,0.28,12
log,3,0.4202818442097071,0.019005957108489284,False,0.02677432768132615,0.0305553036879928,False,50,8,0.16,12
ten_percent,5,0.3180594467661277,-0.038378528065145884,False,-0.06174346926627791,-0.015035280330977641,False,50,11,0.22,12
original,50,0.0729130329956276,,True,,,True,50,50,1.0,12
half,25,0.2034232715252889,0.17525386749449187,False,0.22836531417232245,0.14609970367943853,False,50,33,0.66,7
sqrt,7,0.26291848040550647,0.09925477671379458,False,0.17550003211572954,0.07683612488578245,False,50,15,0.3,7
log,3,0.41011469498950726,0.23121478801100082,False,0.23186174892551464,0.18398706386434208,False,50,6,0.12,7
ten_percent,5,0.32529523068398275,0.12216560410841446,False,0.1614562222169119,0.09481909444330336,False,50,10,0.2,7
original,50,0.1105517176703276,0.05119410860825221,False,-0.006119963269273347,0.043514835648583675,False,50,48,0.96,7
half,25,0.19565501773115937,0.08371970464217124,False,0.0631887644346285,0.06669901770674495,False,50,25,0.5,4
sqrt,7,0.3056372799778957,0.009640446385554469,False,0.014510152758897254,0.009279892212760597,False,50,13,0.26,4
log,3,0.49822745064046553,0.12255586329056711,False,0.11413958449155336,0.09590244476323129,False,50,5,0.1,4
ten_percent,5,0.35915557957472743,0.04628792591991567,False,0.025855894164301153,0.0421167699483144,False,50,8,0.16,4
original,50,0.06887085869701762,,True,,,True,50,50,1.0,4
half,25,0.1866136510047992,-0.09083737554924884,False,-0.09664041115969525,-0.05568824701388879,False,48,26,0.5416666666666666,13
sqrt,7,0.3036123686160045,0.008933667889487093,False,0.013301874464962437,0.013575174192377111,False,50,14,0.28,13
log,3,0.4670028364825543,-0.003988947704201429,False,0.05965363114835768,-0.004928224924937734,False,50,6,0.12,13
ten_percent,5,0.38845512430109425,-0.02867734287761927,False,0.014191113089946663,-0.015690561353293598,False,50,8,0.16,13
original,50,0.07684883593355861,,True,,,True,50,50,1.0,13
half,25,0.25548947633237173,0.047533153560478415,False,0.03696880944577013,0.03195765375518878,False,50,25,0.5,14
sqrt,7,0.32856789922501484,0.17100205601507362,False,0.20109175462348874,0.12047967095734687,False,50,14,0.28,14
log,3,0.462398929351868,0.2074946191893216,False,0.16636289938295434,0.15164061778801527,False,50,5,0.1,14
ten_percent,5,0.3450616616997077,0.09883168446024057,False,0.1935680795629759,0.0532317723190475,False,50,10,0.2,14
original,50,0.07850287903281654,,True,,,True,49,49,1.0,14
half,25,0.18934484331491508,0.043094742105564195,False,0.04664750175067129,0.03390183708907949,False,49,31,0.6326530612244898,8
sqrt,7,0.24188608456367103,0.12888893968175066,False,0.08498477404336952,0.08917748917748919,False,50,17,0.34,8
log,3,0.2973803475666411,0.10746752058674348,False,0.10385457136559176,0.0658731905947697,False,50,7,0.14,8
ten_percent,5,0.2490366548790833,0.12347319566006441,False,0.09285575725438837,0.08681048656744982,False,50,16,0.32,8
original,50,0.09549086890251689,-0.20293797196917657,False,-0.17380091706306783,-0.1673469387755102,False,50,49,0.98,8
half,25,0.15930008044174332,-0.17286481769417747,False,-0.16076261730472483,-0.12445530313433653,False,50,33,0.66,9
sqrt,7,0.21711899292830972,-0.22299623984286765,False,-0.20156257636800187,-0.15137009974999424,False,50,19,0.38,9
log,3,0.4374059411471377,-0.23468655122478263,False,-0.25885645160423226,-0.16147676596885951,False,50,5,0.1,9
ten_percent,5,0.2565946779521839,-0.23919921930342908,False,-0.22576761936586487,-0.1754028007831768,False,50,12,0.24,9
original,50,0.0722969401384748,,True,,,True,50,50,1.0,9
half,25,0.15767679876855475,0.2926900429580647,False,0.24559112330355376,0.2176279219589296,False,49,31,0.6326530612244898,1
sqrt,7,0.23372460232270018,0.37384319369117003,False,0.30866782004773285,0.2583011109247596,False,50,18,0.36,1
log,3,0.3354894293366763,0.32574766993537335,False,0.28085805869333996,0.2171904018903272,False,50,8,0.16,1
ten_percent,5,0.2821794236835024,0.33638750125206307,False,0.30620240597178505,0.22240068041886052,False,50,12,0.24,1
original,50,0.07888474911299692,,True,,,True,50,50,1.0,1
half,25,0.16011011841368386,-0.015812893493228546,False,0.034062313087647844,-0.009027757519935701,False,48,35,0.7291666666666666,3
sqrt,7,0.23334455338296006,-0.037091954844295366,False,0.08173252580104357,-0.0246416441453479,False,50,19,0.38,3
log,3,0.37699452132831035,-0.07355273488743953,False,0.07663390444516845,-0.06147592613027646,False,50,5,0.1,3
ten_percent,5,0.27873878309568445,-0.07581557082106907,False,0.08352308602950802,-0.051461220452581495,False,50,13,0.26,3
original,50,0.09250241529372168,-0.20293797196917657,False,-0.1523411639089511,-0.1673469387755102,False,50,49,0.98,3
half,25,0.1307539614051706,0.1327155145524763,False,0.15299625515080226,0.09799260248743269,False,49,35,0.7142857142857143,10
sqrt,7,0.1986450828518512,0.19228188467935733,False,0.19102949624436946,0.13787694434497302,False,50,18,0.36,10
log,3,0.5255530254954806,0.18232469305787105,False,0.12470610591749307,0.11865829538328529,False,50,4,0.08,10
ten_percent,5,0.26641731250193224,0.2156262656387083,False,0.20246494677518043,0.14932190196896597,False,50,13,0.26,10
original,50,0.06786411162405223,,True,,,True,50,50,1.0,10
half,25,0.21543407276902218,0.1914492481006688,False,0.15522731025542036,0.14002800840280097,False,49,26,0.5306122448979592,6
sqrt,7,0.25765839445089783,0.1630351506430592,False,0.14800464760503998,0.12344587461467012,False,50,20,0.4,6
log,3,0.34171864369644483,0.20113496134870154,False,0.17390747860746436,0.16138931695718578,False,50,7,0.14,6
ten_percent,5,0.28277643708793154,0.22445501492266154,False,0.1722095462016939,0.16220959698109627,False,50,15,0.3,6
original,50,0.1029833469664365,0.014849119900183652,False,-0.014296508688211473,0.012244897959183673,False,50,49,0.98,6
half,25,0.17068601504207082,0.07410628673018556,False,0.0839963748349205,0.06632925715291535,False,50,31,0.62,5
sqrt,7,0.25756943320671194,-0.09120123744286292,False,-0.07551836084353847,-0.045554017703711286,False,50,16,0.32,5
log,3,0.48760341055974826,-0.0783268504789468,False,-0.051289619564650474,-0.04740502132293734,False,50,3,0.06,5
ten_percent,5,0.2714622149016241,-0.04588215301937665,False,-0.04577100001826299,-0.01527207096642425,False,50,14,0.28,5
original,50,0.11592031370465733,0.19095702614550147,False,0.16802123065007857,0.15746719775034718,False,50,48,0.96,5
half,25,0.23405765127464906,-0.055176247328615736,False,0.038676188576719395,-0.03876227420282709,False,48,24,0.5,22
sqrt,7,0.2833572924104558,-0.03807975657117407,False,-0.00032648629521047674,-0.02640176158430132,False,50,19,0.38,22
log,3,0.42859665343923153,-0.05417792903380632,False,-0.04206869552536363,-0.02734355441238496,False,50,9,0.18,22
ten_percent,5,0.36771807223424446,0.001689620732427806,False,-0.007050505041021079,-0.0033411734068839205,False,50,11,0.22,22
original,50,0.077924479085426,,True,,,True,50,50,1.0,22
half,25,0.17991674147625814,-0.014630100057813747,False,0.05657057995493972,-0.006648567797893571,False,48,29,0.6041666666666666,15
sqrt,7,0.22899335541605909,0.14877830095533137,False,0.17991097986029247,0.12207792207792208,False,50,17,0.34,15
