dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,25,0.11781789386298991,-0.0017078791901492245,False,-0.029657387890561816,-0.0006030812281571323,False,189,167,0.8835978835978836,10
sqrt,7,0.09716551022685174,0.05499151402584686,False,0.04949496910993156,0.0386039761461933,False,200,55,0.275,10
log,3,0.25899812250349014,0.10009363568114604,False,0.09235283174596712,0.06615609683601592,False,200,17,0.085,10
ten_percent,5,0.1725337552624865,0.07461693818083136,False,0.042484615108512605,0.050584121646752585,False,200,32,0.16,10
original,50,0.08024314755168943,0.035998940823883864,False,0.11424421211944653,0.029368365793923802,False,198,193,0.9747474747474747,10
half,25,0.10636458528920133,0.04208256824357675,False,-0.032001767970053684,0.033245717032760504,False,189,180,0.9523809523809523,11
sqrt,7,0.09860004300932253,0.03954634962940365,False,0.0025075857197426866,0.023295243383796342,False,200,62,0.31,11
log,3,0.2771259557890968,0.1252854448427315,False,0.10317724467822148,0.08126996564033737,False,200,15,0.075,11
ten_percent,5,0.1422431604012647,0.054186584066756256,False,0.021736211716736092,0.03389237929249217,False,200,32,0.16,11
original,50,0.09053477040788274,-0.09899841817760702,False,-0.11572332201598381,-0.08091573729204002,False,198,194,0.9797979797979798,11
half,25,0.11117391187241536,0.11823444223309516,False,0.12126194834636882,0.09485640735644026,False,192,175,0.9114583333333334,1
sqrt,7,0.12780055336756732,0.026354689889340394,False,0.02497066106668873,0.018833872417049466,False,200,56,0.28,1
log,3,0.3352712383107564,-0.05048937771960608,False,-0.04408910720723168,-0.03520621700357122,False,200,14,0.07,1
ten_percent,5,0.19616612948629594,-0.048616059638130406,False,-0.046661683790245045,-0.033213875039225606,False,200,35,0.175,1
original,50,0.0771956812086798,,True,,,True,198,198,1.0,1
half,25,0.10840788367597758,-0.06552288786066698,False,-0.016889678428171233,-0.053177804765406615,False,184,172,0.9347826086956522,4
sqrt,7,0.12351510570524205,0.06861940839155858,False,0.07698275042949883,0.048332288144054686,False,200,58,0.29,4
log,3,0.32202232853254953,0.012920622503815572,False,0.004942407198521131,0.006892219231153416,False,200,10,0.05,4
ten_percent,5,0.2029572157782171,0.039543258974870446,False,0.03056918985057527,0.027244013500245117,False,200,22,0.11,4
original,50,0.08037127653413305,0.02637674806699987,False,0.010934183524144001,0.021591116651137644,False,197,196,0.9949238578680203,4
half,25,0.09105141276041226,-0.03899439763269787,False,-0.05376178736076974,-0.0314440241528627,False,186,178,0.956989247311828,2
sqrt,7,0.11594890340774125,-0.03605193013998084,False,0.0014757352549898339,-0.025088370338907692,False,200,51,0.255,2
log,3,0.35762723321690615,0.0005820940136069342,False,0.04323340464037573,0.0038266022116226965,False,200,13,0.065,2
ten_percent,5,0.16169972708969504,-0.021242036811367684,False,0.00571839797965221,-0.013129480266460932,False,200,32,0.16,2
original,50,0.07012342840274163,,True,,,True,199,199,1.0,2
half,25,0.09600060897583762,0.1343723380663117,False,0.08355375020406618,0.11005189412768761,False,189,176,0.9312169312169312,7
