dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,100,0.11237885669623734,0.05326630054210724,False,-0.04190848427494291,0.0417847792933571,False,186,170,0.9139784946236559,3
sqrt,14,0.06904453117773073,0.12469596601039458,False,0.13172590805249607,0.09143178444207312,False,199,143,0.7185929648241206,3
log,5,0.17294644421690428,0.15044012703680587,False,0.1098176305948659,0.10534117888207026,False,200,32,0.16,3
ten_percent,20,0.08017564792004607,0.10152957837515317,False,0.08042030075376182,0.08145733388961143,False,184,171,0.9293478260869565,3
original,200,0.07755559326363215,0.062005597386868484,False,0.03921378025672946,0.0507537688442211,False,200,199,0.995,3
half,100,0.09789201363819668,0.007771743637971538,False,0.021946009338252925,0.007478549744033373,False,191,177,0.9267015706806283,0
sqrt,14,0.0823121528792353,-0.02347679238557689,False,-0.04627988792386385,-0.018015900565392127,False,198,158,0.797979797979798,0
log,5,0.14639861000592955,-0.020709551963841676,False,0.011889521657336439,-0.012396711061234408,False,200,53,0.265,0
ten_percent,20,0.11434166738825685,-0.04307735230080214,False,-0.06358371586157893,-0.03467018024519837,False,194,178,0.9175257731958762,0
original,200,0.08090633695588167,0.10989110824009365,False,0.1354696446747657,0.08994974874371858,False,200,199,0.995,0
half,100,0.10235632804513901,0.009647749468173199,False,-0.03512340349114275,0.007899361400992377,False,191,179,0.93717277486911,8
sqrt,14,0.08624067134212388,-0.06025197178396973,False,-0.024377825187669535,-0.04384770970821833,False,200,155,0.775,8
log,5,0.1790721463615634,-0.002732727018071468,False,-0.01991399204131599,-0.0010222771454741731,False,200,37,0.185,8
ten_percent,20,0.09155509615189249,-0.027505315460372572,False,-0.015171324589102931,-0.02236956819097595,False,189,176,0.9312169312169312,8
original,200,0.08397843953113826,-0.08165093517280701,False,-0.07380812439751123,-0.06683417085427135,False,200,199,0.995,8
half,100,0.11241422610461081,0.1018395671319167,False,0.1291268167381817,0.08264326110933336,False,189,174,0.9206349206349206,14
sqrt,14,0.0685139026175213,0.030362690009689053,False,0.013460355858980417,0.02242972855588475,False,200,151,0.755,14
log,5,0.1621993572165556,0.04599362679941484,False,0.009861404578629496,0.028930682867853608,False,200,26,0.13,14
ten_percent,20,0.09521576117230633,0.15587260468313757,False,0.17342072308803103,0.12672650952923223,False,187,172,0.9197860962566845,14
original,200,0.07694842953248489,0.022714921814991424,False,0.006363325810429381,0.0185929648241206,False,200,199,0.995,14
half,100,0.11794586283772665,-0.1698773095226679,False,-0.11507435317087882,-0.13540615776870368,False,190,173,0.9105263157894737,5
sqrt,14,0.07207601194421771,0.13198714319198543,False,0.1638225217005375,0.10302066985003232,False,200,159,0.795,5
log,5,0.1551548389413355,0.0877723025936523,False,0.09249540288974467,0.05970098529569171,False,200,37,0.185,5
ten_percent,20,0.08648109980609622,0.044967580742569783,False,0.16372992343901335,0.036791030218698235,False,194,186,0.9587628865979382,5
original,200,0.07786398007452149,,True,,,True,200,200,1.0,5
half,100,0.11281499287868842,-0.1624245688878246,False,-0.12784479929307785,-0.1313683790800684,False,196,176,0.8979591836734694,4
sqrt,14,0.07109606262721402,-0.12939196800275532,False,-0.09969609583842745,-0.10005583469448538,False,200,160,0.8,4
log,5,0.21194524650480095,-0.05377795129406627,False,-0.050242135129659846,-0.035338162752602924,False,200,27,0.135,4
ten_percent,20,0.08137674282931,-0.009219686026700471,False,-0.03157582625229772,-0.006571994726765094,False,194,186,0.9587628865979382,4
original,200,0.06859031298918522,,True,,,True,200,200,1.0,4
half,100,0.11177888839870877,0.141352115125981,False,0.19308728094671543,0.11089766809338704,False,189,161,0.8518518518518519,7
sqrt,14,0.08001726247867147,0.13258974384901084,False,0.07511034604609243,0.10062296895433755,False,200,144,0.72,7
log,5,0.14975201938365065,0.12353585185376947,False,0.12322581218085762,0.08254270152015361,False,200,32,0.16,7
ten_percent,20,0.08472949585407895,-0.030605546846012792,False,-0.015728831276695943,-0.024968554467685568,False,186,174,0.9354838709677419,7
original,200,0.08784227595392903,0.024371176475407666,False,0.006745148709925561,0.019948667691677077,False,200,198,0.99,7
half,100,0.15745441836111454,-0.017535092284562476,False,-0.013021096313059715,-0.01432314712420686,False,183,158,0.8633879781420765,1
sqrt,14,0.0813485999528409,0.06655736199616016,False,-0.024538655157074176,0.049828113966772475,False,200,142,0.71,1
log,5,0.1769468121801031,0.008098764184682916,False,0.017901703414358875,0.004967739079791896,False,200,39,0.195,1
ten_percent,20,0.0927546225336954,0.012788384190571333,False,0.12621392244174165,0.010116907525609403,False,186,173,0.9301075268817204,1
original,200,0.08138767797001698,,True,,,True,200,200,1.0,1
half,100,0.11986202307368293,0.05285815175412032,False,0.017134883974898867,0.04279354279458577,False,193,171,0.8860103626943006,2
sqrt,14,0.0664621676866967,0.089752631621965,False,0.057324954034717816,0.07045376258266679,False,200,155,0.775,2
log,5,0.1788553715437467,0.08616314090443658,False,0.05252233997575903,0.06101696550290174,False,200,34,0.17,2
ten_percent,20,0.09276574450283506,0.04936039793876883,False,0.041699309205349915,0.04013773818219419,False,195,176,0.9025641025641026,2
original,200,0.07582360910385598,-0.03622109154282416,False,-0.03617476282933178,-0.02964824120603015,False,200,199,0.995,2
half,100,0.12231383058539787,-0.07879672059148606,False,-0.037516188956522215,-0.06131433286458842,False,193,171,0.8860103626943006,13
sqrt,14,0.06475850494829674,0.10024940044985764,False,0.05549730633099258,0.07738949349040568,False,200,152,0.76,13
log,5,0.17349060720091505,0.1635330358034528,False,0.14735777461955146,0.11413124187826065,False,200,35,0.175,13
ten_percent,20,0.06995225525611098,0.06740401560368174,False,0.08662333664734823,0.05453409413312283,False,192,184,0.9583333333333334,13
original,200,0.0837787993100046,-0.03455525118747568,False,-0.044641551441038624,-0.028284692109015283,False,200,197,0.985,13
half,100,0.12872742108150717,-0.1054265745993477,False,-0.14165602191236112,-0.08451094012077673,False,193,170,0.8808290155440415,9
sqrt,14,0.07293227864728334,0.09229181639515634,False,0.11518574219629675,0.07017487681597076,False,199,153,0.7688442211055276,9
log,5,0.1525196028845593,0.184024338468544,False,0.16308414869885782,0.12492761969537595,False,200,43,0.215,9
ten_percent,20,0.09513483656125984,0.12732606659949877,False,0.07133387283074667,0.10255519252935008,False,194,181,0.9329896907216495,9
original,200,0.08188622107969219,0.06876153362704306,False,0.03830717751758563,0.05628374098723175,False,200,198,0.99,9
half,100,0.13807385254099816,0.04938473338760692,False,0.003651795836231398,0.040117506601139274,False,190,166,0.8736842105263158,10
sqrt,14,0.07712649131281613,0.060681110916805475,False,0.02112910714595217,0.04818470277152847,False,200,146,0.73,10
log,5,0.13673508925244962,0.16508470127617314,False,0.1620550747878659,0.11204157514396938,False,200,37,0.185,10
ten_percent,20,0.08196469724824103,-0.03634988063054171,False,-0.03889122566277629,-0.02978140038000748,False,191,171,0.8952879581151832,10
original,200,0.07581259341201747,-0.02490180554815583,False,-0.013414144289237416,-0.02027930486206052,False,200,198,0.99,10
half,100,0.1377992849536373,0.010650745148191233,False,-0.01701957423549752,0.009932096416056177,False,188,170,0.9042553191489362,11
sqrt,14,0.07885213034229206,0.14652176929031793,False,0.00557781002437501,0.11322884093220172,False,199,139,0.6984924623115578,11
log,5,0.1690110355969986,0.1904788589688212,False,0.17923043318798818,0.12778628577587933,False,200,30,0.15,11
ten_percent,20,0.08480102619259763,0.0841991016175334,False,0.04418303643886159,0.06898590543130959,False,191,177,0.9267015706806283,11
original,200,0.08153499939238767,,True,,,True,200,200,1.0,11
half,100,0.10918135915614317,-0.07795210438786498,False,0.0025646109563614164,-0.06375887890384611,False,190,176,0.9263157894736842,12
sqrt,14,0.07280114501169888,0.04375232098523937,False,0.05069045401917354,0.034181118572120035,False,200,161,0.805,12
log,5,0.1609988335365941,-0.024704352305054977,False,-0.0038761324799021267,-0.017499783622817795,False,200,35,0.175,12
ten_percent,20,0.09592622227085963,-0.00924366470411439,False,0.0278709254151072,-0.00619182122227415,False,192,177,0.921875,12
original,200,0.07533194384878968,,True,,,True,200,200,1.0,12
half,100,0.12128386063974361,-0.007571182672420635,False,-0.01294952673606482,-0.00622389493819422,False,184,166,0.9021739130434783,6
sqrt,14,0.06627259923272286,0.04934076251895176,False,0.09177489329667067,0.03709905620541072,False,199,149,0.7487437185929648,6
log,5,0.19333133659810592,0.07823083998362886,False,0.025516715092430083,0.05823009622395243,False,200,39,0.195,6
ten_percent,20,0.08535098251318428,0.06851431536223825,False,-0.029966470639563637,0.05405707686319801,False,198,179,0.9040404040404041,6
original,200,0.07306322200180945,-0.12216944435630522,False,-0.09573672970289451,-0.09999999999999999,False,200,199,0.995,6
half,100,0.11732308131262362,-0.11819037430297218,False,-0.005786283112676058,-0.09458725357990437,False,193,173,0.8963730569948186,22
sqrt,14,0.0704222407319216,0.07161212273753016,False,0.005111098747018382,0.05411651889968268,False,200,147,0.735,22
log,5,0.2012642845069611,0.04345860307471893,False,0.04675016013064551,0.02790781819732167,False,200,35,0.175,22
ten_percent,20,0.0838056934592559,0.06593942580281245,False,-0.02069382316627972,0.054149782310569376,False,189,176,0.9312169312169312,22
original,200,0.07623734791951481,0.04849942765903575,False,0.032813551119278625,0.03969849246231156,False,200,199,0.995,22
half,100,0.1058880239930566,-0.010361742912766663,False,-0.04602384272767243,-0.009229435168528697,False,193,178,0.9222797927461139,15
sqrt,14,0.07045682919106618,-0.002839719418337193,False,-0.02079981546991597,-0.0014410059657914579,False,199,154,0.7738693467336684,15
log,5,0.1393542039247364,0.057360813303200676,False,0.08372554154115235,0.03860596387620853,False,200,36,0.18,15
ten_percent,20,0.08843293368511211,0.09580204768195134,False,0.013877150897814527,0.076628501154821,False,194,182,0.9381443298969072,15
original,200,0.07219794520095801,,True,,,True,200,200,1.0,15
half,100,0.11377993014768457,-0.10352706552937299,False,-0.024425138027439834,-0.08226196782991865,False,191,177,0.9267015706806283,17
sqrt,14,0.08724415519383587,-0.05769921478687935,False,0.024913546261083983,-0.04537506496693702,False,200,157,0.785,17
log,5,0.1783518350782388,-0.08817020162627894,False,-0.07655645125320144,-0.059396488299007136,False,200,30,0.15,17
ten_percent,20,0.10788555918014782,0.012415317708284626,False,-0.009801580131503711,0.010472092951207051,False,193,173,0.8963730569948186,17
original,200,0.09089307862628405,0.04439035715163539,False,0.020759000433949615,0.03633507329555467,False,200,198,0.99,17
half,100,0.1282210763447912,0.026960191642955218,False,-2.0582418207023327e-05,0.02180316270930412,False,192,178,0.9270833333333334,25
sqrt,14,0.07807765379629356,0.08966452286028226,False,0.035883131907651994,0.06972503638229122,False,199,157,0.7889447236180904,25
log,5,0.13954629852958575,0.05870495108168487,False,0.04049018649907607,0.033281705791726554,False,200,32,0.16,25
ten_percent,20,0.07945421974703026,-0.012561660372976603,False,-0.032127847988103496,-0.009865975359104107,False,196,189,0.9642857142857143,25
original,200,0.07793561619345049,,True,,,True,200,200,1.0,25
half,100,0.11143821214477234,-0.057121082499490966,False,-0.05137389990470078,-0.04573370619593791,False,197,177,0.8984771573604061,16
sqrt,14,0.06946596661915469,0.08959099478278831,False,0.05185509257086689,0.06969911493925232,False,199,153,0.7688442211055276,16
log,5,0.16086799250497635,0.0968607503807672,False,0.09182205755306395,0.06462889638090744,False,200,31,0.155,16
ten_percent,20,0.0838892204432538,0.053993054037754014,False,0.011260809549879893,0.043993550395713475,False,192,180,0.9375,16
original,200,0.07847771464279539,-0.05218292849389922,False,-0.05453098945252476,-0.04271356783919598,False,200,199,0.995,16
half,100,0.11403709146005213,0.014035162648378908,False,-0.06816967365509953,0.008874994610711586,False,187,169,0.9037433155080213,18
sqrt,14,0.06871388888917092,-0.005174705115647814,False,-0.019786330805338488,-0.0035823110095863924,False,200,148,0.74,18
log,5,0.19583566569942193,0.11168173487174587,False,0.08522684395524664,0.07362237657729431,False,200,25,0.125,18
ten_percent,20,0.09091603767789738,0.0048792911448333,False,-0.09095394714799934,0.002376900013931938,False,189,171,0.9047619047619048,18
original,200,0.0747202882414961,0.012371160317086759,False,-0.008147269960527096,0.010126357719537083,False,199,198,0.9949748743718593,18
half,100,0.09149401033142324,0.06757729930072386,False,0.12643033225641878,0.05458848085797279,False,193,178,0.9222797927461139,20
sqrt,14,0.06942676863096603,0.046836143769059244,False,0.021457427524126507,0.03635693226778035,False,200,146,0.73,20
log,5,0.1833515890696216,0.06761406970119,False,0.09090946092327609,0.04418765614084072,False,200,31,0.155,20
ten_percent,20,0.08022840888070337,-0.0400944404514968,False,0.0027590077942715595,-0.03294720511462683,False,189,173,0.9153439153439153,20
original,200,0.07921552480045813,-0.006963193278687904,False,-0.018825834741144288,-0.0056996193404791635,False,200,198,0.99,20
half,100,0.1095003325362605,0.040600881069900834,False,-0.0306860988919979,0.03378511282372445,False,192,176,0.9166666666666666,28
sqrt,14,0.07076989835923082,0.08858690083984049,False,0.10991722733928702,0.06971594481046264,False,200,161,0.805,28
log,5,0.13330748963421094,0.08042463843646099,False,0.07732068341811087,0.056911072594106916,False,200,45,0.225,28
ten_percent,20,0.08138384456353043,-0.04671183719930094,False,-0.02924507443308239,-0.03691343781598278,False,195,185,0.9487179487179487,28
original,200,0.07661546954866853,-0.007980918475537528,False,-0.018803359446897105,-0.006532663316582914,False,200,199,0.995,28
half,100,0.11950809052187847,-0.05392662691858138,False,-0.08264231205718524,-0.04326083690863843,False,193,173,0.8963730569948186,19
sqrt,14,0.06719397541171862,0.022848451523037,False,0.034388425796282734,0.01901770144689523,False,200,153,0.765,19
log,5,0.19693199870786038,0.03661064743816,False,0.02630436253650581,0.023918045446653637,False,200,32,0.16,19
ten_percent,20,0.07465109351211292,0.022448626335226658,False,0.05276770680099221,0.018019719485775278,False,195,184,0.9435897435897436,19
original,200,0.07020129422252917,,True,,,True,200,200,1.0,19
half,100,0.10603317843172584,0.04178163688950609,False,0.03818170348543706,0.034012897610450774,False,189,173,0.9153439153439153,26
sqrt,14,0.06746938181880259,0.04584896221271825,False,-0.013770486361547084,0.033648062603420285,False,198,153,0.7727272727272727,26
log,5,0.20686408351157848,0.09005546536905515,False,0.05571844152539995,0.05930151979318735,False,200,29,0.145,26
ten_percent,20,0.09363609131289705,0.019877627930468156,False,0.047725512089207986,0.01652024011806497,False,191,173,0.9057591623036649,26
original,200,0.07492959493940822,0.09515710490063974,False,0.11370135695980188,0.0778894472361809,False,200,199,0.995,26
half,100,0.1015519152156907,0.046070881289112096,False,-0.08686219959036205,0.03873804752459183,False,190,174,0.9157894736842105,29
sqrt,14,0.06969589849570663,0.0908116498767294,False,0.08782652808043633,0.07463147936638317,False,200,148,0.74,29
log,5,0.2054277388957698,0.055679336116539184,False,0.09080485585899592,0.0400025974344386,False,200,27,0.135,29
ten_percent,20,0.09186349960000999,-0.01902411811902325,False,-0.030176770391765143,-0.015206460316888918,False,192,174,0.90625,29
original,200,0.07402702116840242,,True,,,True,200,200,1.0,29
half,100,0.13249704573016255,-0.01825016427116433,False,-0.048283379633037235,-0.014322280364984159,False,192,171,0.890625,23
sqrt,14,0.06880173402388437,0.16327503392375442,False,0.10514656286141777,0.12350741296039042,False,200,139,0.695,23
log,5,0.1807302265832451,0.20717411465472985,False,0.2139314674365319,0.14373216665366872,False,200,37,0.185,23
ten_percent,20,0.0996263853167644,-0.00014815053578617066,False,0.06384159224238763,-0.0013438054358604018,False,194,178,0.9175257731958762,23
original,200,0.07552487131049437,,True,,,True,199,199,1.0,23
half,100,0.12265961238173785,-0.015519584112841874,False,0.047962811850415836,-0.012723728436442953,False,188,168,0.8936170212765957,21
sqrt,14,0.08009076828738185,-0.11619588820138096,False,-0.07530486306757314,-0.08687686664612106,False,200,145,0.725,21
log,5,0.16185811746523482,-0.048498742165996804,False,-0.030935571214423786,-0.03556078479622158,False,200,35,0.175,21
ten_percent,20,0.08961099574470528,0.0629737387335291,False,0.011676184455886498,0.04991709211465847,False,191,171,0.8952879581151832,21
original,200,0.08213990554976817,0.07919526794956469,False,0.06250029545298731,0.06482412060301507,False,200,199,0.995,21
half,100,0.11564870717580683,-0.0955436467911517,False,-0.07902444859419532,-0.07601075712787797,False,185,166,0.8972972972972973,27
sqrt,14,0.07271406006891777,-0.05496432563396403,False,-0.07888473057041975,-0.039919833598227455,False,199,137,0.6884422110552764,27
log,5,0.24974204286098803,-0.010634020358767177,False,-0.01717203576127687,-0.005849167098306286,False,200,17,0.085,27
ten_percent,20,0.0943301285412657,-0.119172141834978,False,-0.01466962488902799,-0.09605396045886737,False,196,175,0.8928571428571429,27
original,200,0.07166968745581809,,True,,,True,200,200,1.0,27
half,100,0.14122607380188842,-0.04696532069271019,False,-0.034325606734140215,-0.03735506913574391,False,193,168,0.8704663212435233,24
sqrt,14,0.07823721636339201,0.031379542528148285,False,0.11543321386839339,0.02300581591930728,False,198,142,0.7171717171717171,24
log,5,0.1393409628779415,0.010577075717726989,False,-0.009079268452315763,0.010897738508575986,False,200,38,0.19,24
ten_percent,20,0.08641663188939594,-0.01010371576610909,False,-0.06835572460710972,-0.007857391095623386,False,189,177,0.9365079365079365,24
original,200,0.08749033731792032,0.04168004524674902,False,0.01638592529410783,0.03411658738922462,False,200,197,0.985,24
half,100,0.12582074101382582,0.06768645346971536,False,0.09113176303638983,0.05371681308888129,False,192,173,0.9010416666666666,30
sqrt,14,0.0706045859113114,0.06625917013431949,False,0.08592366988371304,0.05282875603536674,False,200,152,0.76,30
log,5,0.1605003034952571,0.13527277568693957,False,0.12973603507035636,0.0898935519228545,False,200,38,0.19,30
ten_percent,20,0.09148402190620403,0.0462477760897869,False,-0.06683386670104001,0.03732397774526182,False,195,181,0.9282051282051282,30
original,200,0.07677710312306078,,True,,,True,200,200,1.0,30
half,100,0.11005900940877653,-0.03966879880967793,False,-0.0655169089289295,-0.031589771006579954,False,190,173,0.9105263157894737,31
sqrt,14,0.06811742978709048,0.025840696636548248,False,0.05241003726252052,0.01806032310285342,False,200,162,0.81,31
log,5,0.117836073745824,0.04828848243922008,False,0.024280081689050013,0.03146530132757855,False,200,38,0.19,31
ten_percent,20,0.08555893754683001,0.08002698027092824,False,0.07230625158638002,0.0633191522116488,False,192,175,0.9114583333333334,31
original,200,0.08424702084293069,0.04951731871194969,False,0.05443954896011397,0.04053167219745489,False,200,197,0.985,31
half,100,0.12404584292497495,0.1877025258073023,False,0.1272875846192611,0.15096732162169121,False,189,169,0.8941798941798942,33
sqrt,14,0.06756821381552422,0.08860173598428606,False,0.11567794581523465,0.06774849751521504,False,200,151,0.755,33
log,5,0.13097604353748415,0.1425843466768284,False,0.17737722573882894,0.09933550645372083,False,200,35,0.175,33
ten_percent,20,0.08819157239683552,0.017490560574475202,False,-0.035940498974509225,0.013857256685075994,False,190,175,0.9210526315789473,33
original,200,0.07873923766960714,0.08536100618789863,False,0.0819267245507799,0.06987186826480586,False,199,198,0.9949748743718593,33
half,100,0.12213011168785046,-0.024676325502582527,False,-0.07667328861538668,-0.019098907984713365,False,189,170,0.8994708994708994,32
sqrt,14,0.07126026575432517,0.029763829148715514,False,0.17196943017845878,0.021266114177878156,False,200,159,0.795,32
log,5,0.13660526284220975,0.12020791073981044,False,0.13709879652474208,0.08340329844102937,False,200,48,0.24,32
ten_percent,20,0.09916784525460662,0.005115547226258151,False,0.09139991954767109,0.002753728478578873,False,190,172,0.9052631578947369,32
original,200,0.07362933847887561,,True,,,True,199,199,1.0,32
half,100,0.1053469270988208,-0.028007539260165734,False,-0.05104233729126957,-0.022265288706169686,False,193,179,0.927461139896373,34
sqrt,14,0.06997468726423567,0.12830147130253294,False,0.07536235533145433,0.10076092604379966,False,199,165,0.8291457286432161,34
log,5,0.1427011590414536,0.101690572957843,False,0.07785349430888285,0.06990164351232697,False,200,45,0.225,34
ten_percent,20,0.07713058779145494,0.12209066014157945,False,0.07094073952011258,0.09861073441927316,False,194,182,0.9381443298969072,34
original,200,0.07930516387622509,-0.11234677546333596,False,-0.09038625161822582,-0.09195979899497486,False,200,199,0.995,34
half,100,0.10952646886400667,-0.03313497689788686,False,-0.03154372775327767,-0.02706974610899316,False,190,175,0.9210526315789473,37
sqrt,14,0.07332449944917141,0.018811946350635787,False,-0.016159562775369486,0.012955390981456183,False,200,147,0.735,37
log,5,0.1478317441900768,0.01709852349468283,False,0.05474633772128051,0.0077738774249342096,False,200,30,0.15,37
ten_percent,20,0.08641115273201017,-0.053400377055374725,False,-0.032848762670279856,-0.04298016106246071,False,190,181,0.9526315789473684,37
original,200,0.07809311308414016,,True,,,True,200,200,1.0,37
half,100,0.1115133767807431,0.05628695660125776,False,0.008760779766423102,0.04566617247457506,False,191,174,0.9109947643979057,39
sqrt,14,0.0755729777191914,0.07642363384249445,False,-0.02753285064253989,0.05734145662008986,False,200,149,0.745,39
log,5,0.17991850208120921,0.1730274566241428,False,0.1872929379308811,0.12046094061870158,False,200,31,0.155,39
ten_percent,20,0.08912669132690625,-0.029865068947482563,False,-0.054503455678932805,-0.02381089598423813,False,194,188,0.9690721649484536,39
original,200,0.07400849159844224,0.08042310156118584,False,0.06746837739594617,0.0658291457286432,False,200,199,0.995,39
half,100,0.12713896606138955,-0.0771979486813534,False,-0.026601077130299612,-0.062091794769841606,False,188,168,0.8936170212765957,36
sqrt,14,0.07220640041440594,0.07203124872456111,False,0.03247893730086253,0.05574729614392987,False,200,146,0.73,36
log,5,0.1083203791264497,0.15711374587158913,False,0.14482319818260495,0.10938365456573652,False,200,37,0.185,36
ten_percent,20,0.10325339209069576,-0.009828861413961684,False,-0.027235628568843873,-0.007528531825796205,False,193,170,0.8808290155440415,36
original,200,0.07601526829005723,,True,,,True,199,199,1.0,36
half,100,0.1237826100872575,0.025517114585275353,False,0.024654911659216072,0.019704697476712933,False,189,166,0.8783068783068783,35
sqrt,14,0.08178472412922325,-0.07968486582342248,False,-0.06759204113605881,-0.06262200965758871,False,198,157,0.7929292929292929,35
log,5,0.16275496028783987,0.07680766692757898,False,0.06649937485491138,0.05061808416406134,False,200,34,0.17,35
ten_percent,20,0.09507990411370813,-0.03410198527431739,False,-0.06794168329358334,-0.026791087618711264,False,193,178,0.9222797927461139,35
original,200,0.08355089250271697,0.01354759186847415,False,-0.031822272742091866,0.01102909562673467,False,200,198,0.99,35
