dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,50,0.11608454199192854,0.14747872898315312,False,0.02564705700785817,0.11479966557359476,False,185,158,0.8540540540540541,6
sqrt,10,0.07530081014547477,0.06665681264345125,False,0.09139909893385188,0.050002370286094854,False,200,94,0.47,6
log,4,0.23992494070931053,-0.04133845326690241,False,0.009470460904893334,-0.026212560988383485,False,200,24,0.12,6
ten_percent,10,0.07530081014547477,0.06665681264345125,False,0.09139909893385188,0.050002370286094854,False,200,94,0.47,6
original,100,0.09067122996129597,-0.024972011446985697,False,0.006413881952207316,-0.020114591319355106,False,197,192,0.9746192893401016,6
half,50,0.12364731704168705,0.1597328278693204,False,0.12361032769919365,0.12821032928535597,False,187,166,0.8877005347593583,8
sqrt,10,0.08114322854214877,0.22604345287590075,False,0.1275258137268583,0.16037486872897522,False,200,92,0.46,8
log,4,0.2564141794833478,0.21260158222533684,False,0.18888508215252417,0.14540772967629975,False,200,28,0.14,8
ten_percent,10,0.08114322854214877,0.22604345287590075,False,0.1275258137268583,0.16037486872897522,False,200,92,0.46,8
original,100,0.08741394386145826,0.034005778965027614,False,-0.007431820816203884,0.027654748956817236,False,200,197,0.985,8
half,50,0.12194401986334051,0.09480520093729217,False,0.0024620692672278374,0.07743045693721282,False,188,170,0.9042553191489362,5
sqrt,10,0.08378213480219272,-0.03209853489583271,False,-0.06476735183039495,-0.024438183385092047,False,200,125,0.625,5
log,4,0.20824079648492216,0.18640098967710608,False,0.13916060200995412,0.1284087668500814,False,200,25,0.125,5
ten_percent,10,0.08378213480219272,-0.03209853489583271,False,-0.06476735183039495,-0.024438183385092047,False,200,125,0.625,5
original,100,0.08104254352633487,0.010371087395181307,False,0.004263702820071244,0.00849884917230105,False,199,196,0.9849246231155779,5
half,50,0.11416228908668737,0.06795094353280792,False,0.04714542859638841,0.052705977355694884,False,187,163,0.8716577540106952,12
sqrt,10,0.07093895863450161,0.14095129887497063,False,0.16149931635515896,0.1040659607967868,False,200,89,0.445,12
log,4,0.2183036798221711,0.22359313472845949,False,0.20828825983712335,0.15410427227071813,False,200,20,0.1,12
ten_percent,10,0.07093895863450161,0.14095129887497063,False,0.16149931635515896,0.1040659607967868,False,200,89,0.445,12
original,100,0.08060058940934675,0.039832126771064645,False,0.00163042692571744,0.032019543549216704,False,199,195,0.9798994974874372,12
half,50,0.14073875876487527,-0.12405469673795791,False,-0.11486299817297747,-0.09915507100358714,False,183,159,0.8688524590163934,0
sqrt,10,0.08120190713063177,-0.04725941309306641,False,0.0004934772019945939,-0.03613967852557682,False,200,103,0.515,0
log,4,0.2077184370720443,0.09055978354644605,False,0.12633441179575725,0.06454235956929459,False,200,15,0.075,0
ten_percent,10,0.08120190713063177,-0.04725941309306641,False,0.0004934772019945939,-0.03613967852557682,False,200,103,0.515,0
original,100,0.07770556465941583,-0.03140089055595223,False,-0.035957080162153036,-0.025703710298973385,False,197,196,0.9949238578680203,0
half,50,0.1224827584067934,-0.11713681278075758,False,-0.05515338687865208,-0.09299115339556059,False,179,164,0.9162011173184358,11
sqrt,10,0.07500064889338626,0.027691748481245025,False,0.05948229295802132,0.020059909263616907,False,200,100,0.5,11
log,4,0.22024321293622667,0.08761359426575878,False,0.05157269427137773,0.06024270040258834,False,200,26,0.13,11
ten_percent,10,0.07500064889338626,0.027691748481245025,False,0.05948229295802132,0.020059909263616907,False,200,100,0.5,11
original,100,0.07817770733559665,0.1140562143348888,False,0.14606616562634636,0.09336138080834305,False,198,197,0.9949494949494949,11
