dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,10,0.2870365185801082,0.2207682848129452,False,0.2128252811262318,0.15065347443648933,False,200,46,0.23,7
sqrt,4,0.3770320871046388,0.2117297611636121,False,0.22153365680243028,0.14193272982568528,False,200,15,0.075,7
log,2,0.48647165179092555,0.21750406888835638,False,0.2226039889110536,0.147876355511963,False,200,5,0.025,7
ten_percent,2,0.48647165179092555,0.21750406888835638,False,0.2226039889110536,0.147876355511963,False,200,5,0.025,7
original,20,0.07246467454185912,0.007536213733428535,False,-0.007323905584282834,0.0061688904717536125,False,197,196,0.9949238578680203,7
half,10,0.3448753278713298,0.18217521600426642,False,0.18118211223047337,0.12147791774507306,False,200,31,0.155,1
sqrt,4,0.5118292206105741,0.1645841933609471,False,0.17255382802773814,0.10733435865195229,False,200,11,0.055,1
log,2,0.6113353954633581,0.17893074166485542,False,0.17585433914372522,0.11995879120446773,False,200,3,0.015,1
ten_percent,2,0.6113353954633581,0.17893074166485542,False,0.17585433914372522,0.11995879120446773,False,200,3,0.015,1
original,20,0.09018432627778222,-0.018397186652242475,False,0.03701811683308827,-0.015511395491988442,False,199,195,0.9798994974874372,1
half,10,0.2853919702553016,0.11105357138659812,False,0.10924441971061716,0.0747076939209629,False,200,56,0.28,10
sqrt,4,0.3873820040650871,0.1434422188455789,False,0.15821687400230489,0.09398006771488017,False,200,18,0.09,10
log,2,0.5240180718450747,0.10554903453548506,False,0.12278604819117017,0.06925667264730452,False,200,4,0.02,10
ten_percent,2,0.5240180718450747,0.10554903453548506,False,0.12278604819117017,0.06925667264730452,False,200,4,0.02,10
original,20,0.07481079274932595,-0.09988005646174795,False,-0.08872703262288456,-0.08189322769306,False,197,195,0.9898477157360406,10
half,10,0.27152128511880724,0.15289416145266269,False,0.14317286491652753,0.10475631367536678,False,200,52,0.26,12
sqrt,4,0.3742280955307304,0.15826947836177985,False,0.16276558359356127,0.10507808966725464,False,200,18,0.09,12
log,2,0.501106738542232,0.18842262374057114,False,0.20505686149933477,0.12455391195059289,False,200,5,0.025,12
ten_percent,2,0.501106738542232,0.18842262374057114,False,0.20505686149933477,0.12455391195059289,False,200,5,0.025,12
original,20,0.08390867431628062,-0.057714359569297755,False,0.06585769089423514,-0.047312188811783444,False,197,194,0.9847715736040609,12
half,10,0.3691060257475853,0.12384231071872019,False,0.15701097537964906,0.08729654370222543,False,200,33,0.165,14
sqrt,4,0.4604314584111427,0.10921086596568762,False,0.15742468121567407,0.07459285748539195,False,200,14,0.07,14
log,2,0.6363109762730391,0.11791163996047797,False,0.16463625697970677,0.08262552237457811,False,200,4,0.02,14
ten_percent,2,0.6363109762730391,0.11791163996047797,False,0.16463625697970677,0.08262552237457811,False,200,4,0.02,14
original,20,0.09317825883300067,0.04995734764100618,False,0.013647159463700518,0.04043043160176675,False,200,195,0.975,14
half,10,0.3158073856876657,0.10256106417654601,False,0.08948670071334772,0.06670555066736807,False,200,45,0.225,5
sqrt,4,0.4475955569680001,0.12290899289780685,False,0.096872190755594,0.07985531250276721,False,200,18,0.09,5
log,2,0.6069426195572099,0.07910309623213915,False,0.08146231278221425,0.05141091051620046,False,200,3,0.015,5
ten_percent,2,0.6069426195572099,0.07910309623213915,False,0.08146231278221425,0.05141091051620046,False,200,3,0.015,5
original,20,0.07647091763768639,-0.04453617714151233,False,-0.04828863719143334,-0.0364548877903335,False,199,198,0.9949748743718593,5
half,10,0.27423829174485886,0.0846087266006724,False,0.1241777935900569,0.062003113036482344,False,199,57,0.2864321608040201,2
sqrt,4,0.3885407115885948,0.09833769839846139,False,0.14308016746594096,0.06694125059454964,False,200,18,0.09,2
log,2,0.6188791124514416,0.03898926715227906,False,0.057367668763812524,0.02734355452022701,False,200,5,0.025,2
ten_percent,2,0.6188791124514416,0.03898926715227906,False,0.057367668763812524,0.02734355452022701,False,200,5,0.025,2
original,20,0.08065599835528837,-0.030414663281584972,False,-0.0631996058145999,-0.02492310259081088,False,198,196,0.98989898989899,2
half,10,0.3058481809350405,0.1665234932105543,False,0.15252024347410012,0.11037844093204731,False,200,51,0.255,0
sqrt,4,0.440990243098765,0.13290182703108175,False,0.1514884716116031,0.08959593575178158,False,200,12,0.06,0
log,2,0.5571572468766413,0.14972680464668642,False,0.16814735402407807,0.09830627844566592,False,200,4,0.02,0
ten_percent,2,0.5571572468766413,0.14972680464668642,False,0.16814735402407807,0.09830627844566592,False,200,4,0.02,0
original,20,0.08083015433247503,-0.10762909475865481,False,-0.08382984565718128,-0.0880993121599726,False,199,198,0.9949748743718593,0
half,10,0.3634525503444953,0.1502587502079861,False,0.15117456648531982,0.09953611683298116,False,200,30,0.15,3
sqrt,4,0.581495425530891,0.10549816535508347,False,0.11603345753958365,0.07219222333361423,False,200,10,0.05,3
log,2,0.8468028993018265,0.12750637891918482,False,-0.008184707781422143,0.0836746490806195,False,200,3,0.015,3
ten_percent,2,0.8468028993018265,0.12750637891918482,False,-0.008184707781422143,0.0836746490806195,False,200,3,0.015,3
original,20,0.08831358515134909,0.047529621918753914,False,0.06555858645747831,0.03848143184484761,False,199,194,0.9748743718592965,3
half,10,0.30314945606537136,0.14510397836030856,False,0.14626806655987254,0.10044656344948323,False,199,36,0.18090452261306533,8
sqrt,4,0.4191300048614794,0.1417578952209258,False,0.17093695463847197,0.09959235756039071,False,200,13,0.065,8
log,2,0.5318366830826734,0.12275725306734439,False,0.1298888622481819,0.08397617934757669,False,200,3,0.015,8
ten_percent,2,0.5318366830826734,0.12275725306734439,False,0.1298888622481819,0.08397617934757669,False,200,3,0.015,8
original,20,0.07574868850819977,-0.08649546427885522,False,-0.05818825960223535,-0.07043485514794379,False,198,196,0.98989898989899,8
half,10,0.31748339944264214,0.2161086013627472,False,0.23856202903980414,0.14688097618199156,False,200,42,0.21,9
sqrt,4,0.448345439976103,0.25008437989154403,False,0.27158918916118086,0.16564421282860853,False,200,8,0.04,9
log,2,0.5113366945079647,0.2572373167891843,False,0.26494857205299427,0.17483729979067586,False,200,3,0.015,9
ten_percent,2,0.5113366945079647,0.2572373167891843,False,0.26494857205299427,0.17483729979067586,False,200,3,0.015,9
original,20,0.08706739618973985,0.043235562499429385,False,0.04373571651821825,0.035435769873296406,False,198,195,0.9848484848484849,9
half,10,0.34182552194675436,0.07886173806445028,False,0.05027562692153724,0.05048234272995831,False,200,32,0.16,13
sqrt,4,0.43407860969832945,0.07969742386627306,False,0.0713454911929381,0.05216957184457001,False,200,10,0.05,13
log,2,0.5365871819854325,0.08410938427563192,False,0.09553309456971142,0.05040327648014329,False,200,2,0.01,13
ten_percent,2,0.5365871819854325,0.08410938427563192,False,0.09553309456971142,0.05040327648014329,False,200,2,0.01,13
original,20,0.09087295702301955,-0.02112388558884645,False,-0.048765083995696054,-0.01690868224969306,False,200,196,0.98,13
half,10,0.28858531476188826,0.11625368604056195,False,0.12027943849858876,0.0817474399207118,False,199,35,0.17587939698492464,11
sqrt,4,0.3814083823917299,0.15135486099830267,False,0.14849736110403883,0.10229445884728633,False,200,14,0.07,11
log,2,0.4857727301810742,0.1400400513056062,False,0.13836033336045322,0.09208344095782331,False,200,5,0.025,11
ten_percent,2,0.4857727301810742,0.1400400513056062,False,0.13836033336045322,0.09208344095782331,False,200,5,0.025,11
original,20,0.08197564711723507,-0.07144553407700382,False,-0.04843096938843728,-0.05846902029093907,False,198,195,0.9848484848484849,11
half,10,0.28090632482538824,0.08667831633845835,False,0.09147271235794825,0.05797575076184577,False,199,48,0.24120603015075376,6
sqrt,4,0.4192911926888458,0.0627292436071862,False,0.05588915899709869,0.04201790411363346,False,200,11,0.055,6
log,2,0.643892985434889,0.14503991989871695,False,0.10220194561199249,0.09297884208818097,False,200,4,0.02,6
ten_percent,2,0.643892985434889,0.14503991989871695,False,0.10220194561199249,0.09297884208818097,False,200,4,0.02,6
original,20,0.09258536085239255,-0.09334331006649342,False,-0.07575523585090872,-0.07650797830667791,False,198,192,0.9696969696969697,6
half,10,0.33473005729863814,0.03493732347092542,False,0.05224091582263305,0.021341652222790098,False,200,45,0.225,4
sqrt,4,0.4245087203240621,0.008824421296727778,False,0.0593389243416485,0.004638994595208433,False,200,17,0.085,4
log,2,0.5946842322383817,0.060862749804484834,False,0.1126215718410509,0.04211690252426792,False,200,4,0.02,4
ten_percent,2,0.5946842322383817,0.060862749804484834,False,0.1126215718410509,0.04211690252426792,False,200,4,0.02,4
original,20,0.0930777958334231,0.040490782133572566,False,0.09886663543278923,0.033149677206589796,False,196,189,0.9642857142857143,4
half,10,0.29819360740714645,0.19818620295152906,False,0.2015512137634417,0.13644832237621757,False,200,43,0.215,24
sqrt,4,0.40307813026015793,0.1398106515292952,False,0.133363311989974,0.09606898769941091,False,200,16,0.08,24
log,2,0.49925133100334435,0.15395317615489698,False,0.14910552949703879,0.10705131548531105,False,200,4,0.02,24
ten_percent,2,0.49925133100334435,0.15395317615489698,False,0.14910552949703879,0.10705131548531105,False,200,4,0.02,24
original,20,0.0802842535580208,0.05072175730005571,False,0.035172997503842666,0.041518066650102034,False,199,198,0.9949748743718593,24
half,10,0.27227032662990835,0.03506446249194073,False,0.04148887822944874,0.024818187533183985,False,200,44,0.22,15
sqrt,4,0.4016136262681982,-0.007552364907789222,False,0.023779985170714637,-0.00463711797919507,False,200,16,0.08,15
log,2,0.5083946836722945,0.005791688230030373,False,0.02518479268202355,0.00603166643828537,False,200,5,0.025,15
ten_percent,2,0.5083946836722945,0.005791688230030373,False,0.02518479268202355,0.00603166643828537,False,200,5,0.025,15
original,20,0.08016239831548591,0.06775582196246874,False,0.031685094512040275,0.055048773145785775,False,197,194,0.9847715736040609,15
half,10,0.34178139140944097,0.06803962162701807,False,0.09500644491331593,0.043417830504425485,False,200,35,0.175,16
sqrt,4,0.5035220745473877,0.07714335863803796,False,0.08922307335176266,0.047470594083244215,False,200,8,0.04,16
log,2,0.6219914038735125,0.077641482193159,False,0.09388894035478883,0.050459868895423615,False,200,4,0.02,16
ten_percent,2,0.6219914038735125,0.077641482193159,False,0.09388894035478883,0.050459868895423615,False,200,4,0.02,16
original,20,0.07573574401952725,,True,,,True,199,199,1.0,16
half,10,0.2830679075455406,0.16467839976399506,False,0.16012221676215344,0.1111198113685579,False,200,36,0.18,17
sqrt,4,0.413081573160458,0.13239926808282945,False,0.1424573045117873,0.08721460168147782,False,200,9,0.045,17
log,2,0.4956476965685752,0.1536076477940736,False,0.1677204702301139,0.10276640119829814,False,200,2,0.01,17
ten_percent,2,0.4956476965685752,0.1536076477940736,False,0.1677204702301139,0.10276640119829814,False,200,2,0.01,17
original,20,0.06974971059024686,-0.013289608819680207,False,-0.027020840867811608,-0.010878565864408425,False,196,195,0.9948979591836735,17
half,10,0.30454866027386585,0.07420069169358398,False,0.042616511467063925,0.050589208245887266,False,200,47,0.235,20
sqrt,4,0.4397653374434979,0.06930578838882324,False,0.04320052858044981,0.04328016149104141,False,200,15,0.075,20
log,2,0.7309155899837971,0.07188790502956417,False,-0.04187541198269167,0.04769203722372848,False,200,3,0.015,20
ten_percent,2,0.7309155899837971,0.07188790502956417,False,-0.04187541198269167,0.04769203722372848,False,200,3,0.015,20
original,20,0.07482577578129351,0.08164965809277261,False,0.07446186541498799,0.06683396094894474,False,199,198,0.9949748743718593,20
half,10,0.2765775145272855,0.1524569249539386,False,0.1736761417351713,0.10546968553547702,False,200,56,0.28,19
sqrt,4,0.349063297425794,0.15012797715563997,False,0.15968048332850884,0.10103703647045349,False,200,21,0.105,19
log,2,0.5520105178616502,0.1894231959182146,False,0.13924586246763668,0.12594863690431432,False,200,4,0.02,19
ten_percent,2,0.5520105178616502,0.1894231959182146,False,0.13924586246763668,0.12594863690431432,False,200,4,0.02,19
original,20,0.0798244220223892,0.05903367424519019,False,0.04793763489631045,0.04832297536206997,False,197,196,0.9949238578680203,19
half,10,0.32330385783666016,0.11660748908569293,False,0.1282684812287303,0.07741167508657208,False,200,40,0.2,18
sqrt,4,0.49738277283830856,0.12557399963235044,False,0.16194019844013058,0.08418677075701649,False,200,11,0.055,18
log,2,0.7175159189316749,0.09510048413958773,False,0.13531129783435544,0.06071267094190411,False,200,4,0.02,18
ten_percent,2,0.7175159189316749,0.09510048413958773,False,0.13531129783435544,0.06071267094190411,False,200,4,0.02,18
original,20,0.08650270727849202,-0.0032040922743132166,False,-0.032626989342536675,-0.002678048423308497,False,197,194,0.9847715736040609,18
half,10,0.3308935709013018,0.06505103422792254,False,0.060119521608488144,0.044846384269553466,False,200,35,0.175,25
sqrt,4,0.4452996789498424,0.0485763455324199,False,0.04634186262090622,0.030612817692981572,False,200,13,0.065,25
log,2,0.6484789050522376,0.04940680928050152,False,0.036500201305096375,0.03341960458775494,False,200,3,0.015,25
ten_percent,2,0.6484789050522376,0.04940680928050152,False,0.036500201305096375,0.03341960458775494,False,200,3,0.015,25
original,20,0.08567734299656748,-0.12079355014957098,False,-0.061260777892110416,-0.09835173097998633,False,196,193,0.9846938775510204,25
half,10,0.317350450926159,0.09255307006965068,False,0.10210244187542009,0.06102994558480813,False,200,37,0.185,28
sqrt,4,0.4106341980412799,0.05800523576026453,False,0.0905839279434555,0.04020635375663848,False,200,11,0.055,28
log,2,0.5736418722271647,0.06102911727167636,False,0.09976425044855844,0.041158881439656084,False,200,3,0.015,28
ten_percent,2,0.5736418722271647,0.06102911727167636,False,0.09976425044855844,0.041158881439656084,False,200,3,0.015,28
original,20,0.08156884895349033,-0.006604647929532844,False,-0.006152792710668504,-0.005676579590336033,False,197,193,0.9796954314720813,28
half,10,0.3240630664852666,0.08993901071376446,False,0.09385398411262037,0.06359572284582138,False,200,38,0.19,22
sqrt,4,0.4620443055937796,0.07858144777308686,False,0.09928366635781483,0.054900039985597726,False,200,11,0.055,22
log,2,0.6236703237049513,0.05215499945660111,False,0.04749974106606066,0.03658843083253824,False,200,4,0.02,22
ten_percent,2,0.6236703237049513,0.05215499945660111,False,0.04749974106606066,0.03658843083253824,False,200,4,0.02,22
original,20,0.09080305670911866,0.02730354820360077,False,0.06796178003232539,0.02212226574911093,False,196,191,0.9744897959183674,22
half,10,0.3237344198421414,0.08348812097446208,False,0.11965341822229549,0.06051880701207105,False,200,37,0.185,27
sqrt,4,0.3946253819386133,0.08670946380128468,False,0.13125265065900385,0.06179975431098982,False,200,14,0.07,27
log,2,0.5965496590264788,0.08993508563434437,False,0.1352945853629358,0.06423078929118664,False,200,4,0.02,27
ten_percent,2,0.5965496590264788,0.08993508563434437,False,0.1352945853629358,0.06423078929118664,False,200,4,0.02,27
original,20,0.09470605151452646,0.023635171650969334,False,-0.00439048128609958,0.019493813650742594,False,198,192,0.9696969696969697,27
half,10,0.3143472217851922,0.20267037974298668,False,0.18257039891120513,0.13506710006346964,False,198,40,0.20202020202020202,23
sqrt,4,0.44220702475362716,0.20570270536599525,False,0.20494942190568816,0.13952805275502167,False,200,12,0.06,23
log,2,0.5299534594174681,0.17305612432890807,False,0.17107029450003355,0.11570746784110766,False,200,5,0.025,23
ten_percent,2,0.5299534594174681,0.17305612432890807,False,0.17107029450003355,0.11570746784110766,False,200,5,0.025,23
original,20,0.08585149680770694,0.029063261109874828,False,-0.007093104801977775,0.023045621380644307,False,198,194,0.9797979797979798,23
half,10,0.3485472373099855,0.0933208374658557,False,0.049897152216111684,0.06488196562914254,False,199,29,0.1457286432160804,26
sqrt,4,0.45064201789348046,0.08139704381943208,False,0.04363966446282753,0.05756074708957358,False,200,16,0.08,26
log,2,0.5737779833567546,0.058367428063967254,False,0.02056362413204528,0.04181534952290084,False,200,4,0.02,26
ten_percent,2,0.5737779833567546,0.058367428063967254,False,0.02056362413204528,0.04181534952290084,False,200,4,0.02,26
original,20,0.08990850027775477,-0.03446424472050412,False,-0.0391354717046618,-0.027987452306242343,False,196,191,0.9744897959183674,26
half,10,0.2839813400011293,0.06463592142329974,False,0.07771231581720521,0.043450699513408506,False,200,54,0.27,29
sqrt,4,0.4144025016085534,0.08667781816045941,False,0.08517163217159394,0.05761736552109019,False,200,11,0.055,29
log,2,0.5607374044884998,0.1746275205424435,False,0.13883741448533246,0.11348444618114195,False,200,4,0.02,29
ten_percent,2,0.5607374044884998,0.1746275205424435,False,0.13883741448533246,0.11348444618114195,False,200,4,0.02,29
original,20,0.08649226025566292,-0.028898327182371446,False,-0.015330153060550843,-0.02406987121978405,False,198,194,0.9797979797979798,29
half,10,0.2875151431332994,0.046582332542245045,False,0.02678929368067377,0.02890714674810062,False,200,38,0.19,21
sqrt,4,0.37755490916921175,0.05097247223200358,False,0.05799890253991857,0.030673227689806685,False,200,14,0.07,21
log,2,0.5785485934469228,0.09292146241885865,False,0.13317587308157502,0.06095936896984473,False,200,3,0.015,21
ten_percent,2,0.5785485934469228,0.09292146241885865,False,0.13317587308157502,0.06095936896984473,False,200,3,0.015,21
original,20,0.0945655968257103,0.05758902236028701,False,0.07108365548877503,0.04728740693156033,False,197,192,0.9746192893401016,21
half,10,0.34290999759160484,0.026325299549665074,False,0.04796663305887893,0.017378676398728175,False,200,26,0.13,30
sqrt,4,0.40779014107391953,0.025629726631567287,False,0.058840925207136456,0.015444608058132107,False,200,10,0.05,30
log,2,0.49171879182680955,-0.0020145533856669867,False,0.032152136144191046,-0.00407065860392203,False,200,3,0.015,30
ten_percent,2,0.49171879182680955,-0.0020145533856669867,False,0.032152136144191046,-0.00407065860392203,False,200,3,0.015,30
original,20,0.07230608739097287,0.044931534580823565,False,0.03188079301333901,0.03677991316061896,False,196,195,0.9948979591836735,30
half,10,0.273855198796151,0.1207286133053962,False,0.12549728540608548,0.08254789197656584,False,200,43,0.215,32
sqrt,4,0.45930745200810813,0.12049295340258745,False,0.1265566105073458,0.08106687847552516,False,200,11,0.055,32
log,2,0.6687378660986645,0.1167404622892388,False,0.09741729529292861,0.07502701075259614,False,200,2,0.01,32
ten_percent,2,0.6687378660986645,0.1167404622892388,False,0.09741729529292861,0.07502701075259614,False,200,2,0.01,32
original,20,0.08836844808243136,-0.08684268054002835,False,-0.05966328892327008,-0.07064629449747813,False,199,195,0.9798994974874372,32
half,10,0.3537944080735339,0.07135579502055767,False,0.07265689671024117,0.04789466476746939,False,200,19,0.095,45
sqrt,4,0.6266496776100576,0.1100817520438011,False,0.12830084887104948,0.07336683417085427,False,200,1,0.005,45
log,2,0.8849249920448813,0.07383334583364584,False,0.11672488950286529,0.04482412060301507,False,200,1,0.005,45
ten_percent,2,0.8849249920448813,0.07383334583364584,False,0.11672488950286529,0.04482412060301507,False,200,1,0.005,45
original,20,0.07576594592595115,0.09638493851226092,False,0.10043406166824928,0.07889447236180905,False,200,199,0.995,45
half,10,0.2922717864621177,0.14724784829735238,False,0.15360439894095715,0.09905976732110919,False,200,47,0.235,31
sqrt,4,0.4554736913263892,0.14205952835703153,False,0.14874345046824472,0.09520023691036437,False,200,17,0.085,31
log,2,0.6193063363963625,0.12736566176367128,False,0.11283561172829608,0.08262552237457811,False,200,4,0.02,31
ten_percent,2,0.6193063363963625,0.12736566176367128,False,0.11283561172829608,0.08262552237457811,False,200,4,0.02,31
original,20,0.12762351167176592,-0.03613972453854797,False,-0.02057500662586357,-0.029790297323359034,False,199,187,0.9396984924623115,31
half,10,0.2824668515699275,0.03958557982301777,False,0.03137116289482609,0.028575926618974117,False,200,47,0.235,35
sqrt,4,0.38349343251436196,0.00421990989500953,False,0.01894408874596652,0.003280456490922561,False,200,19,0.095,35
log,2,0.5342815939036999,0.05139597763471839,False,0.042819968140763734,0.033472383151745146,False,200,4,0.02,35
ten_percent,2,0.5342815939036999,0.05139597763471839,False,0.042819968140763734,0.033472383151745146,False,200,4,0.02,35
original,20,0.07872490608418978,0.08413983024704912,False,0.0774157299250225,0.06887314977664652,False,198,197,0.9949494949494949,35
half,10,0.3478016412733156,-0.08930530676439499,False,-0.12063986855873922,-0.06317623067187725,False,200,41,0.205,34
sqrt,4,0.4815794396379242,-0.05129628422864762,False,-0.05093771738363816,-0.03875779243195046,False,200,12,0.06,34
log,2,0.5928801962965997,-0.05923356968966342,False,-0.025403815121979544,-0.04025429063878452,False,200,3,0.015,34
ten_percent,2,0.5928801962965997,-0.05923356968966342,False,-0.025403815121979544,-0.04025429063878452,False,200,3,0.015,34
original,20,0.07631373924669177,0.03851190574989761,False,0.0012975119334726578,0.031357822808145246,False,199,196,0.9849246231155779,34
half,10,0.29754291145380135,0.04058945507029884,False,0.05013845395774546,0.025124516173405557,False,200,36,0.18,33
sqrt,4,0.4531444453485304,0.026072698264316713,False,0.029302061666713067,0.013892403521062762,False,200,12,0.06,33
log,2,0.5730693527233733,0.11195421868457439,False,0.10721905270296349,0.0723727203280976,False,200,4,0.02,33
ten_percent,2,0.5730693527233733,0.11195421868457439,False,0.10721905270296349,0.0723727203280976,False,200,4,0.02,33
original,20,0.0887808904787102,0.016318657843715997,False,-0.044174480072985314,0.013178525347163692,False,197,192,0.9746192893401016,33
half,10,0.3492841839962515,0.05541236619736023,False,0.03989998182720247,0.03855892343125883,False,200,28,0.14,36
sqrt,4,0.408634088315998,0.09476098254177105,False,0.07841109983666769,0.06414291620234018,False,200,10,0.05,36
log,2,0.4916256759225551,0.10555479720224463,False,0.09127614895349115,0.07030680724551754,False,200,3,0.015,36
ten_percent,2,0.4916256759225551,0.10555479720224463,False,0.09127614895349115,0.07030680724551754,False,200,3,0.015,36
original,20,0.07829527439526654,-0.04614483437085411,False,-0.05329166773799507,-0.03777740138119477,False,196,194,0.9897959183673469,36
half,10,0.32049791879432604,0.06658656804189265,False,0.05269836679508717,0.04362589697852298,False,199,38,0.19095477386934673,38
sqrt,4,0.44755999103436345,0.06599322865016148,False,0.060541007024691694,0.043145942503626626,False,200,8,0.04,38
log,2,0.6603654920856274,0.10530342207434254,False,0.12375714133224595,0.06959973870887184,False,200,2,0.01,38
ten_percent,2,0.6603654920856274,0.10530342207434254,False,0.12375714133224595,0.06959973870887184,False,200,2,0.01,38
