dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,10,0.08078923412379076,-0.15586346759885483,False,-0.15656056630027332,-0.13119431691539143,False,20,18,0.9,5
sqrt,4,0.12150472335566771,0.053603161752400146,False,0.010366432666410094,0.04676843377549342,False,20,9,0.45,5
log,2,0.3380760526333833,0.27576548925178074,False,0.20012957400062342,0.23792475099178503,False,20,5,0.25,5
ten_percent,2,0.3380760526333833,0.27576548925178074,False,0.20012957400062342,0.23792475099178503,False,20,5,0.25,5
original,20,0.07174524891714425,,True,,,True,20,20,1.0,5
half,10,0.061257491847636,0.06130450030986109,False,-0.020579919522319086,0.0346843987809648,False,20,16,0.8,13
sqrt,4,0.2177611553045963,0.10792529672966142,False,0.09186965555848085,0.04278625498405581,False,20,4,0.2,13
log,2,0.3632660937661801,0.13855437399574114,False,0.15786191965777832,0.06896770088839914,False,20,3,0.15,13
ten_percent,2,0.3632660937661801,0.13855437399574114,False,0.15786191965777832,0.06896770088839914,False,20,3,0.15,13
original,20,0.06623387716476625,,True,,,True,20,20,1.0,13
half,10,0.0936670178390204,-0.49346094160172127,False,-0.40087840605165137,-0.3948992518393949,False,20,17,0.85,7
sqrt,4,0.16208037277752446,-0.022071890133341238,False,-0.009684242962828457,0.011692108443873354,False,20,9,0.45,7
log,2,0.38586883136768274,-0.16458605909362234,False,0.007526369563475084,-0.12613395433462882,False,20,6,0.3,7
ten_percent,2,0.38586883136768274,-0.16458605909362234,False,0.007526369563475084,-0.12613395433462882,False,20,6,0.3,7
original,20,0.08200986163998081,,True,,,True,20,20,1.0,7
half,10,0.08928310644665685,-0.08947717584378703,False,-0.15618925401759784,-0.08348729258252183,False,20,18,0.9,1
sqrt,4,0.17602197513386514,-0.1968236590060307,False,-0.22161097614043312,-0.16266831294477005,False,20,10,0.5,1
log,2,0.27290035153557773,-0.2734373407901601,False,-0.28600237680475543,-0.20519567041703082,False,20,8,0.4,1
ten_percent,2,0.27290035153557773,-0.2734373407901601,False,-0.28600237680475543,-0.20519567041703082,False,20,8,0.4,1
original,20,0.08281541297441687,,True,,,True,20,20,1.0,1
half,10,0.061681869315805285,-0.05967860100145693,False,-0.0872985386513538,-0.04993069989739546,False,20,19,0.95,11
sqrt,4,0.09495901237321835,0.10777738724035398,False,-0.0032677228832882245,0.07817962860855644,False,20,12,0.6,11
log,2,0.2233210548302234,0.31061497415722555,False,0.2018892812638227,0.17303618253948003,False,20,5,0.25,11
ten_percent,2,0.2233210548302234,0.31061497415722555,False,0.2018892812638227,0.17303618253948003,False,20,5,0.25,11
