dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,50,0.2611976729564679,-0.045163471024403885,False,-0.09826574716341507,-0.030378286610005696,False,95,51,0.5368421052631579,6
sqrt,10,0.2371307248706955,0.18114470926971454,False,0.12318956571623514,0.13202731625380557,False,100,35,0.35,6
log,4,0.3457890870531725,0.22122017555182485,False,0.18961817602953762,0.15622387009255123,False,100,11,0.11,6
ten_percent,10,0.2371307248706955,0.18114470926971454,False,0.12318956571623514,0.13202731625380557,False,100,35,0.35,6
original,100,0.09208409016031827,-0.15576447286780307,False,-0.14189994046432297,-0.127821874712718,False,99,97,0.9797979797979798,6
half,50,0.2261936445465957,0.06695498185210766,False,0.09245802124253594,0.04486938999375834,False,97,63,0.6494845360824743,11
sqrt,10,0.27303380305402036,0.08253238489063448,False,0.08457552210493957,0.05792835530256975,False,100,32,0.32,11
log,4,0.3914753702519866,0.1276522376685044,False,0.12405845168257497,0.08633951749980129,False,100,13,0.13,11
ten_percent,10,0.27303380305402036,0.08253238489063448,False,0.08457552210493957,0.05792835530256975,False,100,32,0.32,11
original,100,0.08192350007804534,-0.04700331733266214,False,-0.05049841786952375,-0.038569460791993505,False,100,99,0.99,11
half,50,0.24171159581559118,0.00044049996396793527,False,0.016848923250773643,-0.0003160935337898781,False,90,55,0.6111111111111112,4
sqrt,10,0.31185894594250224,-0.0674774838879473,False,-0.08297714105523732,-0.04869646692878131,False,100,26,0.26,4
log,4,0.4386516756857507,-0.08642316262751477,False,-0.07108787342784624,-0.056888477554043894,False,100,7,0.07,4
ten_percent,10,0.31185894594250224,-0.0674774838879473,False,-0.08297714105523732,-0.04869646692878131,False,100,26,0.26,4
original,100,0.08737966712433469,-0.016014433009530593,False,0.04250576625860571,-0.012624934315004808,False,99,96,0.9696969696969697,4
half,50,0.21836215159617564,0.17328128239022678,False,0.12105495331846523,0.12490141542694892,False,94,57,0.6063829787234043,1
sqrt,10,0.25410945836403726,0.09045982643752219,False,0.06379208507152337,0.06283988214012966,False,100,33,0.33,1
log,4,0.3756877398679371,0.103617303553048,False,0.12237163264564795,0.07199674046841352,False,100,12,0.12,1
ten_percent,10,0.25410945836403726,0.09045982643752219,False,0.06379208507152337,0.06283988214012966,False,100,33,0.33,1
original,100,0.08061717816873523,,True,,,True,100,100,1.0,1
half,50,0.22300066213100486,-0.04115426099289667,False,-0.008654603041355855,-0.02839099485063743,False,93,53,0.5698924731182796,12
sqrt,10,0.2585606198491829,0.15487784426366716,False,0.14949639095298675,0.11568720156530299,False,99,24,0.24242424242424243,12
log,4,0.3917793493115533,0.1578600080141544,False,0.1819377803269488,0.11153043521561849,False,100,11,0.11,12
ten_percent,10,0.2585606198491829,0.15487784426366716,False,0.14949639095298675,0.11568720156530299,False,99,24,0.24242424242424243,12
original,100,0.08602347940380957,-0.09190077096366514,False,-0.15295601130284606,-0.07490794360236186,False,99,96,0.9696969696969697,12
half,50,0.21178142529260494,-0.0467316412224596,False,-0.0073829323653348735,-0.03878393223999578,False,91,64,0.7032967032967034,5
sqrt,10,0.25534111667161125,0.0388567610478736,False,0.035896510302036826,0.02050939342878737,False,99,38,0.3838383838383838,5
log,4,0.457588710238473,0.01385024259218051,False,0.032138949188620536,0.009538404868413106,False,100,10,0.1,5
ten_percent,10,0.25534111667161125,0.0388567610478736,False,0.035896510302036826,0.02050939342878737,False,99,38,0.3838383838383838,5
original,100,0.08194212482283221,-0.07423074889580901,False,-0.07124051261460587,-0.06091449038731727,False,99,98,0.98989898989899,5
half,50,0.2116306744103895,0.1823679490324864,False,0.2000295265195575,0.14524972736606934,False,93,57,0.6129032258064516,10
sqrt,10,0.32012193531285776,0.09676970782456247,False,0.12504558335765778,0.07234895963968307,False,100,24,0.24,10
log,4,0.45508229935969063,0.06357633186967922,False,0.10929706950589813,0.05302266592217928,False,100,11,0.11,10
ten_percent,10,0.32012193531285776,0.09676970782456247,False,0.12504558335765778,0.07234895963968307,False,100,24,0.24,10
original,100,0.07115286968199264,0.16613548562395355,False,0.2582917860637567,0.13633243086685295,False,99,98,0.98989898989899,10
half,50,0.1886544108913918,-0.095842914733806,False,-0.13379913223127823,-0.06983198478098038,False,94,64,0.6808510638297872,14
sqrt,10,0.26191908052486423,0.09636137627786072,False,0.13956029864870806,0.06518176028792602,False,100,27,0.27,14
log,4,0.4033949853291448,0.08539806283063052,False,0.10428269589492949,0.06158857836107764,False,100,8,0.08,14
ten_percent,10,0.26191908052486423,0.09636137627786072,False,0.13956029864870806,0.06518176028792602,False,100,27,0.27,14
original,100,0.08063635622765275,,True,,,True,100,100,1.0,14
half,50,0.2438025677520633,-0.003208266156813321,False,0.05576244460015622,-0.0033485401604229775,False,93,51,0.5483870967741935,3
sqrt,10,0.2967004250527304,-0.04088388958304707,False,0.003445294342299246,-0.027455982629319323,False,100,27,0.27,3
log,4,0.4512594536777387,0.010226096406146174,False,0.035173423681024864,0.011127984486224617,False,100,6,0.06,3
ten_percent,10,0.2967004250527304,-0.04088388958304707,False,0.003445294342299246,-0.027455982629319323,False,100,27,0.27,3
