dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,25,0.0722969401384748,,True,,,True,50,50,1.0,9
sqrt,7,0.07845251341539371,0.03834601473714873,False,0.08050213697860091,0.033164628576457675,False,50,31,0.62,9
log,3,0.27436313342804275,-0.29313871469224806,False,-0.2513016172077484,-0.19969080646620532,False,50,9,0.18,9
ten_percent,5,0.1289902650488565,-0.08358194721794095,False,-0.03941801169364934,-0.06726051649010834,False,50,21,0.42,9
original,50,0.0722969401384748,,True,,,True,50,50,1.0,9
half,25,0.06786411162405223,,True,,,True,50,50,1.0,10
sqrt,7,0.07368370490166817,0.14463654626106745,False,0.18798401087465974,0.11193062144554466,False,50,31,0.62,10
log,3,0.38052517139233094,0.14943476781502313,False,0.12575916011197674,0.09528814416437183,False,50,9,0.18,10
ten_percent,5,0.14122815973339975,0.10246072374209017,False,0.08760047858207133,0.07612337756346614,False,50,22,0.44,10
original,50,0.06786411162405223,,True,,,True,50,50,1.0,10
half,25,0.06887085869701762,,True,,,True,50,50,1.0,4
sqrt,7,0.10366626948879165,-0.05713061389744732,False,-0.026014890328042724,-0.04415287087629595,False,50,25,0.5,4
log,3,0.3493846195167814,0.10869296518160076,False,0.13176413251297145,0.08534503346895912,False,50,9,0.18,4
ten_percent,5,0.14328509086403884,0.020749746206218816,False,0.01363907526367378,0.006016568375961868,False,50,16,0.32,4
original,50,0.06887085869701762,,True,,,True,50,50,1.0,4
half,25,0.08173366737049793,,True,,,True,50,50,1.0,7
sqrt,7,0.09312107817280026,-0.17152577790401427,False,-0.20892489473411424,-0.11964334862542031,False,50,24,0.48,7
log,3,0.2952713270930488,0.2567969445266008,False,0.2158998009948307,0.1874609172209288,False,50,8,0.16,7
ten_percent,5,0.14967274059897256,-0.05602856694339264,False,-0.11671129015162303,-0.047809144373375745,False,50,15,0.3,7
original,50,0.08173366737049793,,True,,,True,50,50,1.0,7
half,25,0.07618374946260004,,True,,,True,50,50,1.0,2
sqrt,7,0.07840707239529181,0.03659449811663699,False,0.03635752952683992,0.03632385844504262,False,50,28,0.56,2
log,3,0.2161825829949317,-0.14187986664586635,False,-0.15813373782179516,-0.09856461550307566,False,50,11,0.22,2
ten_percent,5,0.12072042183275036,-0.03577806337627681,False,-0.08552266233713034,-0.03138824102871723,False,50,21,0.42,2
original,50,0.07618374946260004,,True,,,True,50,50,1.0,2
half,25,0.06994478869390568,,True,,,True,49,49,1.0,11
sqrt,7,0.07934118923010522,0.21232212418829122,False,0.15855013187298142,0.1541309669154511,False,50,28,0.56,11
log,3,0.1872321746460752,0.4005099261977121,False,0.3361323068756628,0.2952600386842022,False,50,14,0.28,11
ten_percent,5,0.11972931266655747,0.22801401628445547,False,0.1845583442305202,0.16855890746196073,False,50,22,0.44,11
original,50,0.07062165998916564,,True,,,True,50,50,1.0,11
half,25,0.07888474911299692,,True,,,True,50,50,1.0,1
sqrt,7,0.08177550010944053,0.3601515204431325,False,0.24585812840785537,0.25900672074255127,False,50,27,0.54,1
log,3,0.1746758964802638,0.32580295269515797,False,0.27830972733051457,0.2253859663316285,False,50,15,0.3,1
ten_percent,5,0.11382663911847597,0.3303233146456647,False,0.3073135455573719,0.24021416506964235,False,50,24,0.48,1
original,50,0.07888474911299692,,True,,,True,50,50,1.0,1
half,25,0.07295125041899113,,True,,,True,50,50,1.0,3
sqrt,7,0.07601889893550093,0.0995086134312168,False,0.15785428641560575,0.0798326255012228,False,50,34,0.68,3
log,3,0.18144895427945915,0.017693282047272336,False,0.16016173431976186,0.01829842173467258,False,50,10,0.2,3
ten_percent,5,0.10263895733698124,0.07858640347016235,False,0.23534215250784818,0.062317171912531034,False,50,23,0.46,3
original,50,0.07295125041899113,,True,,,True,50,50,1.0,3
half,25,0.08618216074133957,,True,,,True,50,50,1.0,6
sqrt,7,0.09234217681133965,0.043407468619240094,False,0.006851754493095769,0.033164628576457675,False,50,31,0.62,6
log,3,0.21969641203869292,0.1618741779540759,False,0.1521567750382985,0.122176567731394,False,50,14,0.28,6
ten_percent,5,0.1278146351019052,0.12397306892142318,False,0.06564211840540796,0.10109399224938616,False,50,24,0.48,6
original,50,0.1029833469664365,0.014849119900183652,False,-0.014296508688211473,0.012244897959183673,False,50,49,0.98,6
half,25,0.07684883593355861,,True,,,True,50,50,1.0,13
sqrt,7,0.0911938849328346,0.002644682508985594,False,0.03116512680796089,-0.0026904206596043336,False,50,21,0.42,13
log,3,0.3319102991005197,0.07712204463088121,False,0.10357293163489016,0.04951562318759536,False,50,12,0.24,13
ten_percent,5,0.17971865048713329,-0.0353966258811968,False,-0.00020714936061459586,-0.021487744199863816,False,50,16,0.32,13
original,50,0.07684883593355861,,True,,,True,50,50,1.0,13
half,25,0.08660054878757134,,True,,,True,50,50,1.0,5
sqrt,7,0.10948707976063637,-0.22817852840371902,False,-0.25468228930055586,-0.16129150377360973,False,50,23,0.46,5
log,3,0.30237631978141744,-0.08958030910653382,False,-0.04387111830463658,-0.06752002035963896,False,50,7,0.14,5
ten_percent,5,0.1368885971368123,-0.15584176280022594,False,-0.21592485234526165,-0.11344305547371199,False,50,18,0.36,5
original,50,0.08660054878757134,,True,,,True,50,50,1.0,5
half,25,0.07727231073093514,0.11384325256807468,False,0.08049562796067278,0.09387755102040816,False,50,49,0.98,8
sqrt,7,0.07909701357970592,0.18034734211665052,False,0.10843506408820758,0.1295238095238095,False,50,26,0.52,8
log,3,0.165781747601973,0.3046671724560405,False,0.3059677170129361,0.21006301463430807,False,50,13,0.26,8
ten_percent,5,0.1039039816229021,0.20254276045231182,False,0.21133220051264995,0.14438590873209922,False,50,21,0.42,8
original,50,0.07803878619366585,,True,,,True,50,50,1.0,8
half,25,0.0729130329956276,,True,,,True,50,50,1.0,12
sqrt,7,0.08170028076147112,0.26058952775599786,False,0.18104933084636687,0.19365079365079366,False,50,32,0.64,12
log,3,0.24948321954865893,0.11524935653886474,False,0.02975682906880442,0.08858078930362388,False,50,13,0.26,12
ten_percent,5,0.14162888933124662,0.10400925475622527,False,0.032211862634892036,0.08202805549637636,False,50,18,0.36,12
original,50,0.0729130329956276,,True,,,True,50,50,1.0,12
half,25,0.07067572176422302,,True,,,True,50,50,1.0,0
sqrt,7,0.0696338684759414,0.2033536437172374,False,0.3286621977553445,0.15908634400649976,False,50,33,0.66,0
log,3,0.35535163794542746,0.023027116839087532,False,0.06387412573326252,0.008352933517209801,False,50,11,0.22,0
ten_percent,5,0.12937538696595477,0.10417635613849512,False,0.1867958088202497,0.0919462140612284,False,49,21,0.42857142857142855,0
original,50,0.07067572176422302,,True,,,True,50,50,1.0,0
half,25,0.09699210130455932,-0.20293797196917657,False,-0.16206678000665042,-0.1673469387755102,False,50,49,0.98,14
sqrt,7,0.09234296982113484,0.1657455096809141,False,0.28119312779964756,0.11179131136764295,False,50,25,0.5,14
log,3,0.2881087311861512,0.18629275446968296,False,0.20413251874652327,0.1219528293512631,False,50,11,0.22,14
ten_percent,5,0.14699512878855228,0.07022670872448367,False,0.151789881084055,0.039964491781727736,False,50,20,0.4,14
original,50,0.07784791914644373,,True,,,True,50,50,1.0,14
half,25,0.06791792058142854,,True,,,True,50,50,1.0,15
sqrt,7,0.06928500159642476,0.255765961794424,False,0.22758993220289925,0.20067166874391007,False,50,29,0.58,15
log,3,0.17360033912908462,0.20060848483709073,False,0.1924889847594189,0.14594739570978033,False,50,13,0.26,15
ten_percent,5,0.08415330583937303,0.4368841496569742,False,0.3708502050008416,0.31626652621138235,False,50,24,0.48,15
original,50,0.06791792058142854,,True,,,True,50,50,1.0,15
half,25,0.07651639602256863,,True,,,True,50,50,1.0,20
sqrt,7,0.09201937031625589,0.00011597740493148811,False,-0.13573570836438348,-0.008870291722358089,False,50,34,0.68,20
log,3,0.19472034727941218,-0.11928717906691862,False,-0.16880634249011292,-0.0961038961038961,False,50,17,0.34,20
ten_percent,5,0.14133558253079326,-0.2435622308565926,False,-0.28230237919732504,-0.19070282527421445,False,50,25,0.5,20
original,50,0.07651639602256863,,True,,,True,50,50,1.0,20
half,25,0.08111519285721698,,True,,,True,50,50,1.0,16
sqrt,7,0.09393933905962379,-0.004442053741146097,False,-0.15444248463919436,0.002995099533491195,False,50,29,0.58,16
log,3,0.2156562713698382,-0.11484593492702146,False,-0.09740855210951414,-0.06348229473079449,False,50,11,0.22,16
ten_percent,5,0.13034504502474092,0.035709032426665184,False,-0.03151198788716846,0.029921996462208163,False,50,19,0.38,16
original,50,0.08111519285721698,,True,,,True,50,50,1.0,16
half,25,0.0668392849448194,,True,,,True,50,50,1.0,17
sqrt,7,0.07279116528842758,0.22610138133269223,False,0.25647369710479134,0.17671957671957672,False,50,32,0.64,17
log,3,0.18730974929676525,0.19256670544009558,False,0.16717598240127357,0.12063859876588777,False,50,13,0.26,17
ten_percent,5,0.1006509728073132,0.07820283559367945,False,0.08173340977147557,0.05218792134364839,False,50,27,0.54,17
original,50,0.0668392849448194,,True,,,True,50,50,1.0,17
half,25,0.07896088450247342,,True,,,True,50,50,1.0,19
sqrt,7,0.07950430372331752,0.031993744740701414,False,0.008915204667013552,0.05399492471560389,False,50,28,0.56,19
log,3,0.18135170214682586,0.03318445112615483,False,0.08254329150328713,0.04133770167502448,False,50,13,0.26,19
ten_percent,5,0.10715145599480545,0.03401199327036609,False,0.050048274204243216,0.05132002392796674,False,50,23,0.46,19
original,50,0.07896088450247342,,True,,,True,50,50,1.0,19
half,25,0.0896689891576488,,True,,,True,50,50,1.0,24
sqrt,7,0.10229960081455508,0.03167645140442999,False,0.121846596692386,0.022579695790161627,False,50,28,0.56,24
log,3,0.2533101378351175,0.07457670586006616,False,0.12300631928821482,0.04242241935117848,False,50,14,0.28,24
ten_percent,5,0.14390681699861957,0.10556339890952422,False,0.1227252346092107,0.07371228484185338,False,50,20,0.4,24
original,50,0.0896689891576488,,True,,,True,50,50,1.0,24
half,25,0.077924479085426,,True,,,True,50,50,1.0,22
sqrt,7,0.10685595834928453,-0.17954405539773793,False,-0.16868228568647653,-0.13432092942996043,False,50,35,0.7,22
log,3,0.26899490069525495,-0.10508049244293241,False,-0.07935417862244998,-0.07705627705627704,False,50,17,0.34,22
ten_percent,5,0.19157033312171362,-0.07329380532261227,False,-0.13248832958712806,-0.04893645700508538,False,50,22,0.44,22
original,50,0.077924479085426,,True,,,True,50,50,1.0,22
half,25,0.07742728384346421,-0.014849119900183652,False,-0.014198715625985635,-0.012244897959183673,False,50,49,0.98,23
sqrt,7,0.07798357743608442,0.41264179056840883,False,0.3430966923936804,0.2877587055960992,False,50,23,0.46,23
log,3,0.2622380821226922,0.2770539266599527,False,0.21714128043375577,0.2072805736671944,False,50,8,0.16,23
ten_percent,5,0.143320135185385,0.3313711051399425,False,0.28598644930801603,0.2579283096551651,False,50,14,0.28,23
original,50,0.07365977127200743,,True,,,True,50,50,1.0,23
half,25,0.06045368352446795,,True,,,True,50,50,1.0,28
sqrt,7,0.09176126001477496,-0.07504996477007508,False,-0.08817400711772114,-0.05285934211738663,False,50,30,0.6,28
log,3,0.31586477812731106,0.010642953170196619,False,-0.04713954402948365,0.010771703253363773,False,50,9,0.18,28
