dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,25,0.3649441815804989,0.004838387817339308,False,-0.012210699689010358,0.004445641021690106,False,160,59,0.36875,10
sqrt,7,0.3407737321455141,0.05937396649922182,False,0.043247621562878,0.04159599446419155,False,200,24,0.12,10
log,3,0.4642739316046779,0.06474965838782465,False,0.07188233889826574,0.04586142140245627,False,200,8,0.04,10
ten_percent,5,0.409719242142737,0.06558341354863813,False,0.05132073419740424,0.05114012097020609,False,200,15,0.075,10
original,50,0.09333624457193182,-0.03605939911436981,False,-0.054619129457225545,-0.030037820515043667,False,190,182,0.9578947368421052,10
half,25,0.37520081260607024,0.028362930458648322,False,0.03693571432906183,0.019478260003741886,False,158,53,0.33544303797468356,5
sqrt,7,0.30808949406662345,0.06217870293028847,False,0.07957478845647932,0.040495296128578856,False,200,30,0.15,5
log,3,0.44577105076177986,0.09788350381678464,False,0.08387503876045414,0.0642435325414811,False,200,10,0.05,5
ten_percent,5,0.37098230625786655,0.08165795769098455,False,0.09275409073348749,0.05485932624050498,False,200,19,0.095,5
original,50,0.10597948534015715,-0.023852556055523024,False,-0.010468334182638492,-0.019256963340472447,False,192,180,0.9375,5
half,25,0.38608095831432665,0.033236931291353466,False,-0.014686248883967025,0.02357355192912756,False,166,56,0.3373493975903614,0
sqrt,7,0.3359770874625956,0.13555000357367541,False,0.1303612921014425,0.08929434899870466,False,200,28,0.14,0
log,3,0.4527522463475133,0.11905422662287332,False,0.10510455409754549,0.07794430172566581,False,200,8,0.04,0
ten_percent,5,0.3743357426972675,0.12240927201082259,False,0.12464033573066359,0.08386074027047641,False,200,21,0.105,0
original,50,0.08179821027037792,0.10308335848837868,False,0.08284561979174161,0.08395879473901272,False,196,193,0.9846938775510204,0
half,25,0.3369034959595647,0.09429284882253339,False,0.07262592546023719,0.06664551519930632,False,169,67,0.39644970414201186,1
sqrt,7,0.40222322977246305,0.010717722822190402,False,0.03475570854537417,0.005468512152921448,False,200,25,0.125,1
log,3,0.5534364524854322,0.004377997359022942,False,0.026715895584206444,0.0025143323137311554,False,200,8,0.04,1
ten_percent,5,0.4382444183560028,0.005690210311247243,False,0.023108864050135472,0.002370941053461819,False,200,18,0.09,1
original,50,0.09576352585987503,0.034584340755711804,False,-0.018037563059769734,0.027608657378607557,False,197,190,0.9644670050761421,1
half,25,0.34471720330086886,0.012630945980775346,False,-0.004637485400710447,0.009490214923149057,False,160,65,0.40625,4
sqrt,7,0.391968024705356,0.15781640407861514,False,0.1689350758847687,0.10875330085360216,False,200,29,0.145,4
log,3,0.5365185249177867,0.16898069240345323,False,0.16589930096096056,0.11325877391634333,False,200,6,0.03,4
ten_percent,5,0.4598871561461911,0.1633558547514206,False,0.16509113731960656,0.11073654980557275,False,200,12,0.06,4
original,50,0.09439591484023992,0.15270722920034144,False,0.11649108152106602,0.12402296680560448,False,192,185,0.9635416666666666,4
