dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,25,0.2135994827023144,0.32709050960133307,False,0.2519261582696627,0.22237912592773654,False,200,12,0.06,12
sqrt,7,0.2100738063097497,0.31159796062261685,False,0.24792871203472733,0.2140235498969524,False,200,12,0.06,12
log,3,0.30932858611723285,0.2524732053862761,False,0.22668339391419476,0.17109827129936164,False,200,5,0.025,12
ten_percent,5,0.4409008972725024,0.17643522704389866,False,0.1658217090511463,0.11663609642114911,False,200,2,0.01,12
original,50,0.09497714755696085,-0.0009132287057298733,False,0.05153144471232827,0.0001772079989692606,False,194,185,0.9536082474226805,12
half,25,0.34003720073748034,0.18371312988298824,False,0.18220699177115918,0.12028565788889847,False,200,8,0.04,0
sqrt,7,0.1812772135194782,0.29572167102508956,False,0.21497534043685027,0.20994939846056554,False,200,20,0.1,0
log,3,0.2963463794787208,0.23505172887107956,False,0.20068910355312697,0.15574038288338732,False,200,3,0.015,0
ten_percent,5,0.208483755426705,0.3215664359756471,False,0.24128150687594516,0.21620302495668237,False,200,13,0.065,0
original,50,0.08179821027037792,0.10308335848837868,False,0.08284561979174161,0.08395879473901272,False,196,193,0.9846938775510204,0
half,25,0.29961227156803155,0.05846397894423311,False,0.01022552578219659,0.044086970583503374,False,200,6,0.03,9
sqrt,7,0.32569135159623913,0.07478765014546755,False,0.04471721807343321,0.05367643424333906,False,200,4,0.02,9
log,3,0.4885986576699329,0.03951788613950439,False,0.04737400189882528,0.03005478246958498,False,200,4,0.02,9
ten_percent,5,0.3556660631806843,0.05830197276773368,False,0.04246706101622497,0.043182106877114476,False,200,6,0.03,9
original,50,0.10105752453211732,-0.09689434860508038,False,-0.08513292015683058,-0.07888556571337921,False,193,182,0.9430051813471503,9
half,25,0.24410511482060884,0.13393200531717278,False,0.10152169311206104,0.09516172548609014,False,200,16,0.08,1
sqrt,7,0.2667114259350383,0.07679740349623443,False,0.05027587758953425,0.04994722886749625,False,200,13,0.065,1
log,3,0.3291902661540351,0.04687034752282085,False,0.05997171514476309,0.03427652448872401,False,200,4,0.02,1
ten_percent,5,0.29015254989601674,0.10844259109118219,False,0.07981725163895008,0.07423803464928562,False,200,9,0.045,1
original,50,0.09576352585987503,0.034584340755711804,False,-0.018037563059769734,0.027608657378607557,False,197,190,0.9644670050761421,1
half,25,0.326846742721391,-0.024758443917806964,False,-0.018736200079529003,-0.01684051898001554,False,200,6,0.03,7
sqrt,7,0.21533582638236345,0.1359520976084612,False,0.05618345758713397,0.09635120619146172,False,200,14,0.07,7
log,3,0.2780735962590941,0.05263892140199191,False,0.03512696306553361,0.035848065529810944,False,200,7,0.035,7
ten_percent,5,0.22865903073086394,0.10531795051645801,False,0.04174219243174848,0.07452480977899145,False,200,8,0.04,7
original,50,0.08869458825682437,0.0978485736337767,False,0.10341520471566036,0.08022716307834739,False,197,192,0.9746192893401016,7
half,25,0.23158906510523322,0.25487715068547184,False,0.2607400061439303,0.17389122281764668,False,200,8,0.04,3
sqrt,7,0.214936908689097,0.2550822338390048,False,0.24172759952917966,0.17421254847236314,False,200,7,0.035,3
log,3,0.21866480153719478,0.250874295184674,False,0.2495863298407431,0.17059500301343963,False,200,10,0.05,3
ten_percent,5,0.23431467895239969,0.2025831810278018,False,0.1911406137631801,0.14012680523909873,False,200,9,0.045,3
original,50,0.10853538849048008,0.10853428757641283,False,0.15124456299199207,0.08907448145784633,False,189,180,0.9523809523809523,3
half,25,0.22674732182110188,0.3068950356110668,False,0.2384240150318853,0.20968596621513363,False,199,15,0.07537688442211055,4
sqrt,7,0.2464841194614526,0.2919396128127594,False,0.2268323401570003,0.19947189234688534,False,200,10,0.05,4
log,3,0.4411622955092032,0.19951556270741777,False,0.19845699508141293,0.12970175134122613,False,200,2,0.01,4
ten_percent,5,0.25257747124632945,0.2977001225535913,False,0.2270214864247095,0.2028492253256628,False,200,12,0.06,4
original,50,0.09439591484023992,0.15270722920034144,False,0.11649108152106602,0.12402296680560448,False,192,185,0.9635416666666666,4
half,25,0.23123216433669377,0.20865762753085096,False,0.13907125610765123,0.14906310643728152,False,200,10,0.05,10
