dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,25,0.07041924617736749,0.24679059934051764,False,0.11291074793392993,0.19768599546526788,False,200,182,0.91,9
sqrt,7,0.0646299935023101,0.03850117138449607,False,0.04614665308447372,0.027065913149072893,False,200,80,0.4,9
log,3,0.1715321026727681,0.03000096780055845,False,0.030146793484434033,0.019932578965003094,False,200,12,0.06,9
ten_percent,5,0.05434632613519577,0.06868986244157946,False,0.011053517096979293,0.05387400556648892,False,200,37,0.185,9
original,50,0.07185682799496415,-0.10620760740523018,False,-0.09141578943519349,-0.08693467336683416,False,200,199,0.995,9
half,25,0.08117891277591632,0.07128278560835406,False,0.046171421782847194,0.057024935439625994,False,200,191,0.955,4
sqrt,7,0.06875858696593756,0.16091301324917973,False,0.15563232435904228,0.11135533389944371,False,200,71,0.355,4
log,3,0.06797545010996635,-0.09078346112727523,False,-0.0957249859025764,-0.06298856800584918,False,200,6,0.03,4
ten_percent,5,0.06540558527100622,0.09302975739822184,False,0.08929638939240643,0.06466296196520317,False,200,56,0.28,4
original,50,0.08037127653413305,0.02637674806699987,False,0.010934183524144001,0.021591116651137644,False,197,196,0.9949238578680203,4
half,25,0.07024072862736629,,True,,,True,200,200,1.0,2
sqrt,7,0.061326541631865156,0.035101474569953474,False,-0.04328072850326796,0.024504784793194963,False,200,69,0.345,2
log,3,0.04893611105915188,0.22381811834624327,False,0.23032145665796794,0.1569865575347049,False,200,29,0.145,2
ten_percent,5,0.05696499252758226,0.05023016504324924,False,-0.017864367134386057,0.029377079993849607,False,200,53,0.265,2
original,50,0.07012342840274163,,True,,,True,199,199,1.0,2
half,25,0.07055480321374424,,True,,,True,199,199,1.0,12
sqrt,7,0.06340162543123438,0.06859059407117883,False,-0.007997997127873732,0.04827226572858567,False,200,102,0.51,12
log,3,0.0978683221171812,0.10120087943897596,False,0.09116097369871899,0.06546741706806843,False,200,11,0.055,12
ten_percent,5,0.06503767642111855,0.024139347151996785,False,0.015301073929052843,0.015947689753836734,False,200,10,0.05,12
original,50,0.07548726977073761,-0.04562935832038239,False,-0.047934812487352665,-0.037352112810615005,False,194,193,0.9948453608247423,12
half,25,0.0767499809763153,0.08787937825802906,False,0.08076797328368808,0.0719341786556086,False,198,197,0.9949494949494949,1
sqrt,7,0.065503162324378,-0.045809093125092085,False,-0.05117537233536502,-0.03322636711935022,False,200,73,0.365,1
log,3,0.07129500857854172,-0.023854897088144568,False,-0.02326241027548167,-0.013614440659850837,False,200,17,0.085,1
ten_percent,5,0.06391247270743969,0.1068439276869816,False,0.0675889868150903,0.07157134439786728,False,200,52,0.26,1
original,50,0.0771956812086798,,True,,,True,198,198,1.0,1
half,25,0.07569939725979721,-0.027586953053086293,False,-0.005460303211540606,-0.022413968531751104,False,200,198,0.99,0
sqrt,7,0.06549636451672726,0.21015531344579416,False,0.19150800602587803,0.14851860324066762,False,199,74,0.37185929648241206,0
log,3,0.055908424465777526,0.11721878258655961,False,0.12858922322043878,0.07612234148242307,False,200,18,0.09,0
ten_percent,5,0.06361012304796027,0.09394298460212115,False,0.10949273534080159,0.06563539189959725,False,200,65,0.325,0
original,50,0.07476108975180594,0.10391774666352876,False,0.11645180240323272,0.08506140484411148,False,199,198,0.9949748743718593,0
half,25,0.07391521077511476,0.017712399262669383,False,0.012875554450793705,0.014586868409552305,False,200,198,0.99,5
sqrt,7,0.06922508781497994,0.03211751288508653,False,0.01916727926189466,0.02175613961662439,False,200,101,0.505,5
log,3,0.0645334225253174,0.10877550978807801,False,0.08498351251900749,0.0769468016553051,False,200,17,0.085,5
ten_percent,5,0.15156994173832403,0.029171185064375892,False,0.032893876692427305,0.02015247997095126,False,200,25,0.125,5
original,50,0.08360919891006663,-0.11225479181940287,False,-0.09998422823349526,-0.0918856557153665,False,199,197,0.9899497487437185,5
