dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,98,0.2289196467087996,0.13185205801227728,False,0.08941095603248775,0.09682440038469071,False,98,12,0.12244897959183673,14
sqrt,14,0.2856126293488001,0.1734637545130068,False,0.13568106126896148,0.1172902520701846,False,100,5,0.05,14
log,5,0.2860374293216751,0.20283036139996455,False,0.16582453624689736,0.13827341697299636,False,100,7,0.07,14
ten_percent,20,0.25681225023035464,0.1858977439737053,False,0.1354436547208295,0.13063707385748147,False,100,5,0.05,14
original,200,0.07210966347960092,0.11664997564041607,False,0.08167813045759603,0.09572901325478646,False,98,97,0.9897959183673469,14
half,98,0.22755147238259624,0.23058556494615937,False,0.18604660232000322,0.16477224278968478,False,99,8,0.08080808080808081,1
sqrt,14,0.2109976089642496,0.1619354009733058,False,0.12060841539665347,0.12531661069734223,False,100,7,0.07,1
log,5,0.2691921559782161,0.13267485959382816,False,0.1131504701709545,0.09679701364170765,False,100,3,0.03,1
ten_percent,20,0.22205733647317163,0.19146689078197296,False,0.14119873717864143,0.14149992494730462,False,100,4,0.04,1
original,200,0.09058109370548754,,True,,,True,100,100,1.0,1
half,98,0.17285642501238943,0.2626452298984635,False,0.21967566284357534,0.1840823674995763,False,100,13,0.13,13
sqrt,14,0.2217988213754053,0.20659235257135097,False,0.18484413265072572,0.14749637619014083,False,100,6,0.06,13
log,5,0.1972357182235156,0.27584970590225383,False,0.23441119128740895,0.1887281863666841,False,100,11,0.11,13
ten_percent,20,0.18883010639290265,0.1973700442535281,False,0.16699092391570086,0.1448473593966047,False,100,11,0.11,13
original,200,0.08857169025417504,-0.0915558348776922,False,-0.09130941243972479,-0.0751278714776913,False,100,98,0.98,13
half,98,0.19540434290069794,0.13742817353330247,False,0.0886638828800513,0.10379374620787689,False,100,6,0.06,5
sqrt,14,0.18851880123958506,0.10742793278911056,False,0.07799335265699428,0.08665742295345523,False,100,10,0.1,5
log,5,0.24538554003727392,0.07319700578976812,False,0.04130333891125055,0.0564492303937576,False,100,6,0.06,5
ten_percent,20,0.19312720531192024,0.12420172295152075,False,0.08276294801423377,0.09805549975908413,False,100,8,0.08,5
original,200,0.09507772544933285,0.05082553115324445,False,0.14709640032140975,0.04068737487937877,False,100,97,0.97,5
half,98,0.20975306940831012,0.3128701961200238,False,0.1947252538772153,0.21735386412915822,False,100,10,0.1,4
sqrt,14,0.1994350499457725,0.3127765094004214,False,0.1525001362617485,0.21389441221478805,False,100,14,0.14,4
log,5,0.3182008869953193,0.08503793605456655,False,0.05691215789434249,0.057941886221276995,False,100,8,0.08,4
ten_percent,20,0.21555292673154522,0.20448386683463013,False,0.09023924148060417,0.1331746331246935,False,100,13,0.13,4
original,200,0.07858633601422285,,True,,,True,100,100,1.0,4
half,98,0.2291699189027527,0.355668914088415,False,0.23814900004793554,0.23692490606125505,False,100,6,0.06,0
sqrt,14,0.18740350134209904,0.40291736811039275,False,0.2857196195313083,0.26683064974444015,False,100,9,0.09,0
