dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,18,0.2843014865795769,0.4292173542259372,False,0.41592295973844723,0.33422808892070355,False,20,3,0.15,7
sqrt,7,0.2281776194672393,0.34849484905444816,False,0.2719529811505579,0.28118379662665505,False,20,5,0.25,7
log,3,0.2598524893079729,0.47067669172932325,False,0.437387271539679,0.3684210526315789,False,20,1,0.05,7
ten_percent,5,0.3258215301069045,0.1803786427859376,False,0.28047434257630305,0.11766220120615348,False,20,4,0.2,7
original,50,0.07388262903621919,,True,,,True,20,20,1.0,7
half,18,0.15059203413714267,0.18788417949022426,False,0.3850551657374722,0.14059189831332752,False,20,5,0.25,15
sqrt,7,0.1662730526588517,0.04226445186616111,False,0.02861264040905997,0.021393127492027906,False,20,4,0.2,15
log,3,0.3616755925323885,0.09702896511673074,False,0.1674547102892915,0.05804769546228615,False,20,2,0.1,15
ten_percent,5,0.13936154230125103,0.10667614941253299,False,0.09861676570653716,0.03838859479749573,False,20,6,0.3,15
original,50,0.07295204699346484,,True,,,True,20,20,1.0,15
half,18,0.16365604297598893,-0.03849084009239673,False,-0.022375024795921288,-0.021393127492027906,False,20,4,0.2,1
sqrt,7,0.19733109939521568,-0.084994364792175,False,-0.07200012130869961,-0.06860182190997455,False,20,2,0.1,1
log,3,0.22583081068294447,-0.12711546592812012,False,-0.09032343033032708,-0.08971007480535134,False,20,2,0.1,1
ten_percent,5,0.14532003650485578,-0.08301945902281646,False,-0.03582281330274726,-0.07487594622209767,False,20,4,0.2,1
original,50,0.08414700621674447,,True,,,True,20,20,1.0,1
half,18,0.22691856915120953,-0.14858463668174238,False,-0.16832615046629343,-0.11516578439248717,False,20,6,0.3,8
sqrt,7,0.2706702973335958,-0.25606795430522494,False,-0.23847875780092354,-0.19466570535691505,False,20,5,0.25,8
log,3,0.345636454626537,-0.23467470632883713,False,-0.3665874738997139,-0.19525133928223526,False,20,2,0.1,8
ten_percent,5,0.3410458643570158,-0.3177714447076237,False,-0.4146790776098527,-0.2493447647503661,False,20,3,0.15,8
original,50,0.07472935937524208,,True,,,True,20,20,1.0,8
half,18,0.22813089775636217,0.23334002936689138,False,0.22657364272640712,0.18385094394819754,False,20,5,0.25,3
sqrt,7,0.14123328969097582,0.4351315483430129,False,0.45267438289153095,0.32737903642845395,False,20,9,0.45,3
log,3,0.27242770348237416,0.15245391566008118,False,0.12925834936131833,0.11766220120615348,False,20,4,0.2,3
ten_percent,5,0.20569105474105606,0.29716927336348475,False,0.3356951723739377,0.20291114392962029,False,20,6,0.3,3
original,50,0.06036098592655503,,True,,,True,20,20,1.0,3
half,18,0.15953365628219157,0.6894137231294519,False,0.6169500023532608,0.47584950198357007,False,20,5,0.25,14
sqrt,7,0.11796181889443927,0.41176957601610953,False,0.2237203388053864,0.31809343274054364,False,20,7,0.35,14
log,3,0.3245674127956493,0.2873260827487686,False,0.42493883136534255,0.19525133928223526,False,20,2,0.1,14
ten_percent,5,0.30475145863857384,0.41052631578947363,False,0.4877617010162264,0.2736842105263158,False,20,1,0.05,14
original,50,0.07105555966070887,,True,,,True,20,20,1.0,14
half,18,0.32451684108845447,0.1500043045930016,False,0.1875010133798783,0.08651809126974001,False,20,5,0.25,4
sqrt,7,0.32803713048215555,0.16226530627186855,False,0.22859454602011067,0.11766220120615348,False,20,4,0.2,4
log,3,0.5413133862557908,0.05722898056345829,False,-0.12546124226384003,0.005305207760646087,False,20,3,0.15,4
ten_percent,5,0.3579540490370485,0.15361463203875644,False,0.18617750533241695,0.10079894745227566,False,20,3,0.15,4
original,50,0.06827703602783762,,True,,,True,20,20,1.0,4
half,18,0.10449910807741994,-0.054376743907134095,False,-0.10049611038448332,-0.04559903787045129,False,20,8,0.4,12
