dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,48,0.0679529350068881,,True,,,True,50,50,1.0,13
sqrt,14,0.0679529350068881,,True,,,True,50,50,1.0,13
log,5,0.05092022434844447,0.22595964502350374,False,0.20718292421710455,0.16017068694476133,False,50,19,0.38,13
ten_percent,20,0.0679529350068881,,True,,,True,50,50,1.0,13
original,200,0.0679529350068881,,True,,,True,50,50,1.0,13
half,48,0.10095627151279574,,True,,,True,50,50,1.0,4
sqrt,14,0.10095230098536946,-0.06434618623412916,False,-0.059830785318045775,-0.05306122448979592,False,50,49,0.98,4
log,5,0.09289920903723868,-0.05344254654950135,False,-0.013028930340180017,-0.03138824102871723,False,50,21,0.42,4
ten_percent,20,0.10095627151279574,,True,,,True,50,50,1.0,4
original,200,0.10095627151279574,,True,,,True,50,50,1.0,4
half,48,0.07563410577500021,,True,,,True,50,50,1.0,5
sqrt,14,0.07549619083158063,0.06287390448284227,False,0.16771194854210908,0.05238095238095238,False,50,47,0.94,5
log,5,0.07464764365531745,0.14076895601089395,False,-0.03593966277713223,0.11254837102261933,False,50,38,0.76,5
ten_percent,20,0.07563410577500021,,True,,,True,50,50,1.0,5
original,200,0.07563410577500021,,True,,,True,50,50,1.0,5
half,48,0.07213138259437234,,True,,,True,50,50,1.0,3
sqrt,14,0.07213138259437234,,True,,,True,50,50,1.0,3
log,5,0.059193893781576204,0.37322254595538135,False,0.21128269005898292,0.25458357462715325,False,50,25,0.5,3
ten_percent,20,0.07213138259437234,,True,,,True,50,50,1.0,3
original,200,0.07213138259437234,,True,,,True,50,50,1.0,3
half,48,0.06760949475469903,,True,,,True,50,50,1.0,0
sqrt,14,0.06727980887605665,-0.10124386228624836,False,-0.011408967314188534,-0.0829115714411442,False,50,46,0.92,0
log,5,0.0590942912020935,0.1302862765379556,False,-0.0046242359401604755,0.08068970023574859,False,50,24,0.48,0
ten_percent,20,0.06760949475469903,,True,,,True,50,50,1.0,0
original,200,0.06760949475469903,,True,,,True,50,50,1.0,0
half,48,0.08135106569392063,,True,,,True,50,50,1.0,12
sqrt,14,0.08135106569392063,,True,,,True,50,50,1.0,12
log,5,0.06999038909367726,0.12230409112308852,False,0.1495034851336673,0.09237110931308212,False,50,21,0.42,12
ten_percent,20,0.08135106569392063,,True,,,True,50,50,1.0,12
original,200,0.08135106569392063,,True,,,True,50,50,1.0,12
half,48,0.06831125963210734,,True,,,True,50,50,1.0,14
sqrt,14,0.06831125963210734,,True,,,True,50,50,1.0,14
log,5,0.0654583674137097,-0.1546533163376918,False,-0.16801831860861846,-0.11830275175824223,False,50,36,0.72,14
ten_percent,20,0.06831125963210734,,True,,,True,50,50,1.0,14
