dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,18,0.36048253043128614,0.11729323308270674,False,0.09151394001204333,0.06315789473684211,False,20,1,0.05,13
sqrt,14,0.2182457229640627,0.15210860623445494,False,-0.032448939966362805,0.10079894745227566,False,20,3,0.15,13
log,5,0.1583550956851325,0.28313285120868836,False,0.05019161838610272,0.2069031026651974,False,20,3,0.15,13
ten_percent,18,0.36048253043128614,0.11729323308270674,False,0.09151394001204333,0.06315789473684211,False,20,1,0.05,13
original,200,0.07354006007116175,,True,,,True,20,20,1.0,13
half,18,0.2325721659723869,0.13855437399574114,False,0.03781331078542438,0.11140936297356784,False,20,3,0.15,7
sqrt,14,0.22044032642225728,0.18975925134199326,False,0.04219101729616243,0.1750718561013209,False,20,3,0.15,7
log,5,0.3758652973998583,0.06619030178505664,False,0.06463287838610002,0.07915594835766294,False,20,2,0.1,7
ten_percent,18,0.2325721659723869,0.13855437399574114,False,0.03781331078542438,0.11140936297356784,False,20,3,0.15,7
original,200,0.09018404820990952,,True,,,True,20,20,1.0,7
half,18,0.11649365439550663,0.3166757541407812,False,0.2092996752129926,0.23792475099178503,False,20,5,0.25,5
sqrt,14,0.16228237095940176,0.08457894703422258,False,0.15122258067178673,0.07129310462392063,False,20,6,0.3,5
log,5,0.11639597274743534,0.2590983442970028,False,0.17647822333802116,0.19466570535691505,False,20,5,0.25,5
ten_percent,18,0.11649365439550663,0.3166757541407812,False,0.2092996752129926,0.23792475099178503,False,20,5,0.25,5
original,200,0.06198268231823765,,True,,,True,20,20,1.0,5
half,18,0.20783853652454085,-0.09065076486921814,False,-0.09731191142483547,-0.05022527885377004,False,20,7,0.35,8
sqrt,14,0.16470205394960255,0.36727074297743506,False,0.20100748660267104,0.2467838236981868,False,20,6,0.3,8
log,5,0.25424257481866896,0.1549454791786553,False,0.039126169830387046,0.08971007480535134,False,20,2,0.1,8
ten_percent,18,0.20783853652454085,-0.09065076486921814,False,-0.09731191142483547,-0.05022527885377004,False,20,7,0.35,8
original,200,0.06768681280494812,,True,,,True,20,20,1.0,8
half,18,0.055110967918997465,0.36679506440989823,False,0.32720482177106874,0.24602096615832092,False,20,4,0.2,3
sqrt,14,0.05730882868043925,0.4609360925553465,False,0.5094674782770744,0.37389929813362144,False,20,7,0.35,3
log,5,0.17052671582389978,0.11278195488721804,False,0.19026438259691858,0.10526315789473685,False,20,1,0.05,3
ten_percent,18,0.055110967918997465,0.36679506440989823,False,0.32720482177106874,0.24602096615832092,False,20,4,0.2,3
original,200,0.07978605761284845,,True,,,True,20,20,1.0,3
half,18,0.13776595360101052,0.6682009931870072,False,0.7398458487123604,0.51910854761844,False,20,5,0.25,9
sqrt,14,0.16097164458793933,0.4175609277004863,False,0.41878325766636726,0.301624673408895,False,20,6,0.3,9
log,5,0.22762913103170215,0.46234992192057084,False,0.5592852472496164,0.33422808892070355,False,20,3,0.15,9
ten_percent,18,0.13776595360101052,0.6682009931870072,False,0.7398458487123604,0.51910854761844,False,20,5,0.25,9
original,200,0.07868647397066021,,True,,,True,20,20,1.0,9
half,18,0.23830764309220492,0.03012051608603068,False,0.21339987487083173,0.01591562328193826,False,20,3,0.15,14
sqrt,14,0.19576242727685242,0.3660403420551453,False,0.3604767193848142,0.2567175299043349,False,20,4,0.2,14
log,5,0.11289220174609937,0.31497299657948674,False,0.3664227341025957,0.2511263942688502,False,20,7,0.35,14
ten_percent,18,0.23830764309220492,0.03012051608603068,False,0.21339987487083173,0.01591562328193826,False,20,3,0.15,14
original,200,0.06134130224884351,,True,,,True,20,20,1.0,14
half,18,0.28168010952346134,-0.22439784484092856,False,0.014820055164187254,-0.13263019401615217,False,20,3,0.15,1
sqrt,14,0.2008805849076062,0.05207584247794852,False,0.27771600508870964,0.05348281873006977,False,20,4,0.2,1
log,5,0.20028575529609965,-0.32231436572501043,False,-0.3426287202906496,-0.2138793138717619,False,20,6,0.3,1
ten_percent,18,0.28168010952346134,-0.22439784484092856,False,0.014820055164187254,-0.13263019401615217,False,20,3,0.15,1
