dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,10,0.3492926476988943,0.128597765837574,False,0.13681644071186372,0.08850449744333666,False,200,8,0.04,10
sqrt,4,0.38820378221473234,0.12237174285132324,False,0.13493416324303512,0.08266954819076222,False,200,3,0.015,10
log,2,0.5170149501300529,0.09483436240158244,False,0.0968221409909561,0.06651751850762956,False,200,7,0.035,10
ten_percent,2,0.5170149501300529,0.09483436240158244,False,0.0968221409909561,0.06651751850762956,False,200,7,0.035,10
original,20,0.07481079274932595,-0.09988005646174795,False,-0.08872703262288456,-0.08189322769306,False,197,195,0.9898477157360406,10
half,10,0.33854761462922467,0.11673967189523986,False,0.11476612087207355,0.08087720847970954,False,200,9,0.045,6
sqrt,4,0.2160846200015135,0.23187444988417663,False,0.20171525666093054,0.16152289335375805,False,200,13,0.065,6
log,2,0.6466813376172398,0.2461233260473545,False,0.1753534195857791,0.16695984509023631,False,200,4,0.02,6
ten_percent,2,0.6466813376172398,0.2461233260473545,False,0.1753534195857791,0.16695984509023631,False,200,4,0.02,6
original,20,0.09258536085239255,-0.09334331006649342,False,-0.07575523585090872,-0.07650797830667791,False,198,192,0.9696969696969697,6
half,10,0.26880000005677646,0.297236572996316,False,0.31046704928553476,0.20571010537362272,False,200,10,0.05,9
sqrt,4,0.3395987966651365,0.255143977386115,False,0.28265530831068464,0.17418626347986227,False,200,6,0.03,9
log,2,0.31870396030303433,0.33169228000842943,False,0.330769782270896,0.22558432479187282,False,200,5,0.025,9
ten_percent,2,0.31870396030303433,0.33169228000842943,False,0.330769782270896,0.22558432479187282,False,200,5,0.025,9
original,20,0.08706739618973985,0.043235562499429385,False,0.04373571651821825,0.035435769873296406,False,198,195,0.9848484848484849,9
half,10,0.2642876039643518,0.1713794967383056,False,0.15756428684450663,0.11910275477608968,False,200,9,0.045,14
sqrt,4,0.24164304744797335,0.19366790876650902,False,0.18215127411941914,0.1368058713977778,False,200,7,0.035,14
log,2,0.44462207708248114,0.09764358755518007,False,0.1298049043643679,0.06819609537681723,False,200,3,0.015,14
ten_percent,2,0.44462207708248114,0.09764358755518007,False,0.1298049043643679,0.06819609537681723,False,200,3,0.015,14
original,20,0.09317825883300067,0.04995734764100618,False,0.013647159463700518,0.04043043160176675,False,200,195,0.975,14
half,10,0.31982500936409514,0.26503497460756326,False,0.26506307469168505,0.1769084215941241,False,200,8,0.04,1
sqrt,4,0.25702310271098794,0.2922054546777062,False,0.28715783880786305,0.19826987302675061,False,200,9,0.045,1
log,2,0.2703131394520779,0.32363838743718765,False,0.30830713221886114,0.21885922756138435,False,200,7,0.035,1
ten_percent,2,0.2703131394520779,0.32363838743718765,False,0.30830713221886114,0.21885922756138435,False,200,7,0.035,1
original,20,0.09018432627778222,-0.018397186652242475,False,0.03701811683308827,-0.015511395491988442,False,199,195,0.9798994974874372,1
half,10,0.3192651746136559,0.2152019460810536,False,0.20912793955138834,0.152484061968073,False,200,10,0.05,8
sqrt,4,0.2873632364978232,0.20532237277399765,False,0.19563594296691725,0.14505588884047407,False,200,9,0.045,8
log,2,0.31975950331014774,0.266702567618342,False,0.23280676888797974,0.18368218762142,False,200,3,0.015,8
ten_percent,2,0.31975950331014774,0.266702567618342,False,0.23280676888797974,0.18368218762142,False,200,3,0.015,8
original,20,0.07574868850819977,-0.08649546427885522,False,-0.05818825960223535,-0.07043485514794379,False,198,196,0.98989898989899,8
half,10,0.27190203804837204,0.22442320985193406,False,0.1631276417881234,0.15260040455686488,False,200,9,0.045,0
sqrt,4,0.2840055564960398,0.21375896334388017,False,0.14293421294847833,0.14193748901103254,False,200,9,0.045,0
log,2,0.6429181443518458,0.1325313132828321,False,0.16571588226805342,0.08934673366834171,False,200,1,0.005,0
ten_percent,2,0.6429181443518458,0.1325313132828321,False,0.16571588226805342,0.08934673366834171,False,200,1,0.005,0
original,20,0.08083015433247503,-0.10762909475865481,False,-0.08382984565718128,-0.0880993121599726,False,199,198,0.9949748743718593,0
half,10,0.3610963666721064,0.15346674282739384,False,0.14882719564885635,0.10190125894271862,False,200,9,0.045,5
sqrt,4,0.24216710700741795,0.2304087228789214,False,0.1708802865574355,0.15482983054633717,False,200,12,0.06,5
log,2,0.4118697624901163,0.09523638089452174,False,0.08401063703982428,0.06360140658514844,False,200,7,0.035,5
ten_percent,2,0.4118697624901163,0.09523638089452174,False,0.08401063703982428,0.06360140658514844,False,200,7,0.035,5
original,20,0.07647091763768639,-0.04453617714151233,False,-0.04828863719143334,-0.0364548877903335,False,199,198,0.9949748743718593,5
half,10,0.21709827669291937,0.2839313575598132,False,0.2452514227424803,0.1889133091843205,False,200,13,0.065,11
sqrt,4,0.34696978012489543,0.17616405458949522,False,0.17940051789666606,0.11656402889476251,False,200,10,0.05,11
log,2,0.49743990425448886,0.1299319431966409,False,0.1478186088612066,0.0884991333519345,False,200,3,0.015,11
ten_percent,2,0.49743990425448886,0.1299319431966409,False,0.1478186088612066,0.0884991333519345,False,200,3,0.015,11
original,20,0.08197564711723507,-0.07144553407700382,False,-0.04843096938843728,-0.05846902029093907,False,198,195,0.9848484848484849,11
half,10,0.27318588936938876,0.22609686996264242,False,0.2095272847416336,0.15267061535017074,False,200,6,0.03,3
sqrt,4,0.49876006526611805,0.11754982037246832,False,0.11740399378031804,0.07740638595799558,False,200,5,0.025,3
log,2,0.5481815700898839,0.12052369387802336,False,0.10763194729932085,0.07895067489829023,False,200,3,0.015,3
ten_percent,2,0.5481815700898839,0.12052369387802336,False,0.10763194729932085,0.07895067489829023,False,200,3,0.015,3
original,20,0.08831358515134909,0.047529621918753914,False,0.06555858645747831,0.03848143184484761,False,199,194,0.9748743718592965,3
