dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,50,0.22985710297009104,0.26132692815400216,False,0.1797437889904977,0.1730327820069669,False,198,16,0.08080808080808081,4
sqrt,10,0.24776382089374813,0.2745854240340041,False,0.22156853081041664,0.18728324290876072,False,200,5,0.025,4
log,4,0.23755481484393812,0.2961744207707547,False,0.23257458343637674,0.19992980719442496,False,200,12,0.06,4
ten_percent,10,0.24776382089374813,0.2745854240340041,False,0.22156853081041664,0.18728324290876072,False,200,5,0.025,4
original,100,0.1363946047047757,-0.04576790903546125,False,-0.02137493304680072,-0.03708331288202793,False,190,175,0.9210526315789473,4
half,50,0.25529341567946195,0.382860888365546,False,0.3338877679629173,0.25653094498009543,False,195,5,0.02564102564102564,12
sqrt,10,0.20887142869738973,0.43632897119439973,False,0.3572311862423367,0.2966623714589596,False,200,13,0.065,12
log,4,0.2560863135280244,0.3572199023552979,False,0.3304917910758157,0.24320063542657544,False,200,11,0.055,12
ten_percent,10,0.20887142869738973,0.43632897119439973,False,0.3572311862423367,0.2966623714589596,False,200,13,0.065,12
original,100,0.10066051436912032,-0.014304187343722349,False,-0.0007333026509638516,-0.011251398476398557,False,196,189,0.9642857142857143,12
half,50,0.22531630293557894,0.2944756764357316,False,0.25854679779112927,0.20136670040891383,False,198,19,0.09595959595959595,7
sqrt,10,0.3439629815870221,0.25505523259694174,False,0.25729020603451674,0.17360921497116014,False,200,7,0.035,7
log,4,0.2199374970922132,0.33258121496508547,False,0.284472023200581,0.23271783450158032,False,200,13,0.065,7
ten_percent,10,0.3439629815870221,0.25505523259694174,False,0.25729020603451674,0.17360921497116014,False,200,7,0.035,7
original,100,0.09866277274247605,0.0002558633312670748,False,0.009317075748634121,0.0008932724287700635,False,193,184,0.9533678756476683,7
half,50,0.27920439405692576,0.1546469461007878,False,0.1314920795828939,0.10494044447574154,False,200,4,0.02,11
sqrt,10,0.23314761039375584,0.21620324276725342,False,0.17689614206725535,0.15086088793739297,False,200,6,0.03,11
log,4,0.20614968133332304,0.24893545162204792,False,0.18381309882402494,0.16756950496549564,False,200,14,0.07,11
ten_percent,10,0.23314761039375584,0.21620324276725342,False,0.17689614206725535,0.15086088793739297,False,200,6,0.03,11
original,100,0.12758403006830993,0.02865164970971767,False,0.045736008764703635,0.02356024648646075,False,193,181,0.9378238341968912,11
half,50,0.271594238955507,0.27697795903710815,False,0.23645649129341406,0.19503531817692518,False,199,10,0.05025125628140704,1
sqrt,10,0.24048933349624782,0.3004137235244303,False,0.2253278163928308,0.21593085910323162,False,200,8,0.04,1
log,4,0.18448428055904603,0.3436229983159799,False,0.21846953970350216,0.24973614433748126,False,200,13,0.065,1
ten_percent,10,0.24048933349624782,0.3004137235244303,False,0.2253278163928308,0.21593085910323162,False,200,8,0.04,1
