dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,10,0.30904103531307014,0.03856031875847761,False,0.01247031529919255,0.030514298663669844,False,100,3,0.03,9
sqrt,4,0.36475330843800224,0.001896303411959806,False,-0.011012153327832454,0.005257838885904827,False,100,5,0.05,9
log,2,0.41439424370939365,0.019347095570121566,False,0.02521119357570604,0.014964618367575276,False,100,5,0.05,9
ten_percent,2,0.41439424370939365,0.019347095570121566,False,0.02521119357570604,0.014964618367575276,False,100,5,0.05,9
original,20,0.07224110174119545,0.16538204246677418,False,0.2651015696015284,0.13570736204590308,False,100,99,0.99,9
half,10,0.3613117507908646,0.1535331490511863,False,0.15642154775884393,0.10547650108774685,False,100,7,0.07,2
sqrt,4,0.3607774616322659,0.155844935470241,False,0.1624961878294354,0.10960571831386216,False,100,5,0.05,2
log,2,0.5002788619582176,0.0979669723079529,False,0.09686818022472743,0.06769728511476422,False,100,3,0.03,2
ten_percent,2,0.5002788619582176,0.0979669723079529,False,0.09686818022472743,0.06769728511476422,False,100,3,0.03,2
original,20,0.09020250548990852,-0.17407765595569782,False,-0.14452599635721666,-0.14285714285714288,False,98,97,0.9897959183673469,2
half,10,0.22999988353646966,0.115568777589716,False,0.13196093253385466,0.07651018373173915,False,100,10,0.1,11
sqrt,4,0.18591224822974747,0.20372287378867363,False,0.18458175500427712,0.13834649614177813,False,100,11,0.11,11
log,2,0.21313002543210632,0.16921068912423565,False,0.15302976192321371,0.11391009574080836,False,100,6,0.06,11
ten_percent,2,0.21313002543210632,0.16921068912423565,False,0.15302976192321371,0.11391009574080836,False,100,6,0.06,11
original,20,0.07528501446469217,,True,,,True,100,100,1.0,11
half,10,0.21366042498802743,0.23746925125066504,False,0.33851293705835733,0.15734086945416836,False,100,9,0.09,7
sqrt,4,0.3586903981240737,0.2320919054673076,False,0.27820347485145996,0.14930801167204472,False,100,2,0.02,7
log,2,0.5201566117827147,0.16598157767979982,False,0.1636309127119595,0.11279565445799423,False,100,4,0.04,7
ten_percent,2,0.5201566117827147,0.16598157767979982,False,0.1636309127119595,0.11279565445799423,False,100,4,0.04,7
original,20,0.07551738226833077,,True,,,True,99,99,1.0,7
half,10,0.2671617942386843,0.03388508168020476,False,0.05290835654552229,0.022067060688223433,False,100,7,0.07,12
