dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,10,0.07150354050279482,0.24211512852385383,False,0.21068037232341616,0.1898684621425906,False,50,44,0.88,9
sqrt,4,0.06695285931698758,0.335520985619555,False,0.15500878525277612,0.24377011365784196,False,50,23,0.46,9
log,2,0.06332602669132203,-0.00760577930920629,False,0.04806239160314237,-0.007592639083167761,False,50,13,0.26,9
ten_percent,2,0.06332602669132203,-0.00760577930920629,False,0.04806239160314237,-0.007592639083167761,False,50,13,0.26,9
original,20,0.07200960304043665,,True,,,True,50,50,1.0,9
half,10,0.07723137436616148,-0.004316019417189543,False,-0.07406780012565185,-0.0047619047619047615,False,50,47,0.94,15
sqrt,4,0.06900163547372737,0.02978408431993124,False,-0.011557432315413204,0.028751502382852942,False,50,24,0.48,15
log,2,0.0792957972906606,-0.0682310566946707,False,0.006119992278979938,-0.037877084591992585,False,50,7,0.14,15
ten_percent,2,0.0792957972906606,-0.0682310566946707,False,0.006119992278979938,-0.037877084591992585,False,50,7,0.14,15
original,20,0.07741291410387884,,True,,,True,50,50,1.0,15
half,10,0.06861165444357499,-0.14135357788957056,False,-0.05580678678988776,-0.11193062144554466,False,50,46,0.92,14
sqrt,4,0.05840522993126877,-0.018490534178884493,False,-0.12624395752605183,-0.01745277776518646,False,50,18,0.36,14
log,2,0.49875190069280423,-0.2404552669209605,False,-0.253634392274576,-0.17000421439949945,False,50,3,0.06,14
ten_percent,2,0.49875190069280423,-0.2404552669209605,False,-0.253634392274576,-0.17000421439949945,False,50,3,0.06,14
original,20,0.08862138862615201,-0.07144345083117602,False,-0.08470916754523093,-0.05892556509887895,False,49,48,0.9795918367346939,14
half,10,0.06513316992361327,0.06474029125784315,False,-0.04203318678915661,0.05238095238095238,False,50,47,0.94,2
sqrt,4,0.05276871081684391,-0.04993337729371853,False,-0.04662268033122225,-0.029921996462208163,False,50,19,0.38,2
log,2,0.1301875610303228,0.11249601954341253,False,0.08681805098611493,0.0751495306920904,False,50,8,0.16,2
ten_percent,2,0.1301875610303228,0.11249601954341253,False,0.08681805098611493,0.0751495306920904,False,50,8,0.16,2
original,20,0.06519348421234565,,True,,,True,50,50,1.0,2
half,10,0.08889327416203802,-0.012813569318499108,False,-0.049384227691867885,-0.009553340787006048,False,50,43,0.86,12
sqrt,4,0.07210995671681489,0.031007990567281582,False,0.07300691560331286,0.018782163860969044,False,50,15,0.3,12
log,2,0.06896208947052057,0.3475443751762483,False,0.3438331513918434,0.25352643870848085,False,50,8,0.16,12
ten_percent,2,0.06896208947052057,0.3475443751762483,False,0.3438331513918434,0.25352643870848085,False,50,8,0.16,12
original,20,0.08935745455243806,,True,,,True,50,50,1.0,12
half,10,0.08337583436823653,-0.13225924395386576,False,-0.08822040004402329,-0.10782358320568301,False,50,42,0.84,1
sqrt,4,0.062176664906243566,0.2293907051056986,False,0.13374342128142241,0.1678508654832565,False,50,20,0.4,1
log,2,0.33049245629987356,0.05044001301811808,False,0.03875425759974397,0.0345834250622541,False,50,7,0.14,1
ten_percent,2,0.33049245629987356,0.05044001301811808,False,0.03875425759974397,0.0345834250622541,False,50,7,0.14,1
original,20,0.08390761675886207,,True,,,True,50,50,1.0,1
half,10,0.0848156357552959,,True,,,True,50,50,1.0,5
sqrt,4,0.07183529109627436,0.13632228732079954,False,0.15169452192002097,0.11047619047619048,False,50,26,0.52,5
log,2,0.08028214527653002,0.16200894832365076,False,0.09798150196543752,0.11334917327356789,False,50,6,0.12,5
ten_percent,2,0.08028214527653002,0.16200894832365076,False,0.09798150196543752,0.11334917327356789,False,50,6,0.12,5
original,20,0.0848156357552959,,True,,,True,50,50,1.0,5
half,10,0.08015940636113206,0.3055139637497293,False,0.40597667545823324,0.22834842575082617,False,50,33,0.66,6
sqrt,4,0.061912494239861025,0.0678125885502231,False,0.13682786475862274,0.047523170851742375,False,50,19,0.38,6
log,2,0.10762757352404438,0.16376772712630416,False,0.1478950357492333,0.12387346450544115,False,50,14,0.28,6
ten_percent,2,0.10762757352404438,0.16376772712630416,False,0.1478950357492333,0.12387346450544115,False,50,14,0.28,6
original,20,0.08268980936395798,,True,,,True,50,50,1.0,6
half,10,0.07637370004809728,0.08937755978015302,False,0.00411272374858081,0.0725247260809728,False,50,48,0.96,3
sqrt,4,0.05726640556141063,-0.0037231331890770244,False,0.01166102612945834,-0.0176242048633814,False,50,12,0.24,3
