dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,18,0.06191860403031355,,True,,,True,20,20,1.0,12
sqrt,7,0.05964634349687035,0.29756043533128446,False,0.4866245281264898,0.2260306302842337,False,20,14,0.7,12
log,3,0.05587255247343401,-0.2558463556119455,False,-0.17932589819909447,-0.18228276635825297,False,20,14,0.7,12
ten_percent,5,0.05338731471881734,0.3279252248382126,False,0.3403769572685383,0.2572263857652138,False,20,9,0.45,12
original,50,0.06191860403031355,,True,,,True,20,20,1.0,12
half,18,0.07388262903621919,,True,,,True,20,20,1.0,7
sqrt,7,0.0701455230600895,0.001976327039617356,False,-0.07819358249602336,0.03934447376823169,False,20,15,0.75,7
log,3,0.05745231097622634,0.1629588234325638,False,0.13024955943370478,0.1685854460847049,False,20,11,0.55,7
ten_percent,5,0.05664081918791608,0.17830156401809089,False,0.23285845447723383,0.12613395433462882,False,20,6,0.3,7
original,50,0.07388262903621919,,True,,,True,20,20,1.0,7
half,18,0.07295204699346484,,True,,,True,20,20,1.0,15
sqrt,7,0.07195089017533174,0.012094630921610814,False,0.0013009960539544208,0.019744962591969742,False,20,17,0.85,15
log,3,0.09392868800115581,-0.028614490281729146,False,0.053047135615034775,-0.04774686984581479,False,20,3,0.15,15
ten_percent,5,0.06755859260505107,0.056858936575619815,False,-0.06643756561225571,0.013029938101426074,False,20,12,0.6,15
original,50,0.07295204699346484,,True,,,True,20,20,1.0,15
half,18,0.09366770150020517,,True,,,True,20,20,1.0,5
sqrt,7,0.09281828545110382,-0.10679533891032646,False,-0.2140362277289512,-0.08348729258252183,False,20,18,0.9,5
log,3,0.08930499882898915,-0.2643060563795269,False,-0.40039196806669597,-0.19881682693249672,False,20,10,0.5,5
ten_percent,5,0.09053498989140427,-0.09704614791402373,False,-0.22102544257308498,-0.09597148699373931,False,20,13,0.65,5
original,50,0.09366770150020517,,True,,,True,20,20,1.0,5
half,18,0.08355564827536008,,True,,,True,20,20,1.0,0
sqrt,7,0.08072875429335491,0.26124402790679363,False,0.4981888839936249,0.21719458851166717,False,20,17,0.85,0
log,3,0.07783050613619047,0.24158810507312434,False,0.32869097365968886,0.18239615148180516,False,20,8,0.4,0
ten_percent,5,0.07777855327503216,0.026336779544656776,False,0.07773846378982457,0.031219527052723135,False,20,11,0.55,0
original,50,0.08355564827536008,,True,,,True,20,20,1.0,0
half,18,0.06684651575011291,,True,,,True,20,20,1.0,9
sqrt,7,0.06684651575011291,,True,,,True,20,20,1.0,9
log,3,0.06238168308297831,-0.07323138439617281,False,-0.146472651379357,-0.051039174580310834,False,20,14,0.7,9
ten_percent,5,0.05590587780774201,0.14504384944767099,False,0.3112927050914116,0.09353686755098684,False,20,9,0.45,9
original,50,0.06684651575011291,,True,,,True,20,20,1.0,9
half,18,0.07566831922494302,,True,,,True,20,20,1.0,11
sqrt,7,0.0755490655476572,0.25860727100631337,False,0.22625012508717599,0.216366366222047,False,20,19,0.95,11
log,3,0.06912026345763773,-0.10443704355422037,False,-0.14047391257835268,-0.09037128496931669,False,20,10,0.5,11
ten_percent,5,0.07155882373416529,-0.0424320422206118,False,-0.12188535373748374,-0.052119752405704295,False,20,12,0.6,11
original,50,0.07566831922494302,,True,,,True,20,20,1.0,11
half,18,0.06827703602783762,,True,,,True,20,20,1.0,4
sqrt,7,0.06801204490529857,-0.11852738303178599,False,-0.1000385267413537,-0.09872481295984872,False,20,17,0.85,4
log,3,0.3294353836749516,-0.2694358806467771,False,-0.2946733834393358,-0.23532440241230695,False,20,4,0.2,4
ten_percent,5,0.0631654850655867,-0.03979414932394491,False,-0.013607003204391434,-0.0173421993904824,False,20,16,0.8,4
original,50,0.06827703602783762,,True,,,True,20,20,1.0,4
half,18,0.06294805657389399,,True,,,True,20,20,1.0,6
sqrt,7,0.06286910942105542,-0.03463632613307885,False,-0.11450933925622783,-0.035780268249652206,False,20,18,0.9,6
log,3,0.11672133218146023,-0.013828082776660394,False,-0.06317281560488289,-0.005580586539307782,False,20,7,0.35,6
ten_percent,5,0.06236458711805761,-0.30478469922459256,False,-0.24345245357438927,-0.2566845136956067,False,20,17,0.85,6
original,50,0.06294805657389399,,True,,,True,20,20,1.0,6
half,18,0.0765392312461148,,True,,,True,20,20,1.0,13
sqrt,7,0.07374323024407925,-0.021173704999423365,False,-0.08927595236055991,-0.013710212427677042,False,20,13,0.65,13
log,3,0.08389221998931425,-0.11245363085817868,False,-0.1055229029406398,-0.07487594622209767,False,20,4,0.2,13
ten_percent,5,0.06749237746788209,-0.19549388403816526,False,-0.04839424185164415,-0.15199740977035361,False,20,9,0.45,13
original,50,0.0765392312461148,,True,,,True,20,20,1.0,13
half,18,0.08414700621674447,,True,,,True,20,20,1.0,1
sqrt,7,0.08113133929950589,0.35113060790710404,False,0.3537670382282069,0.3016246734088949,False,20,13,0.65,1
log,3,0.06620823447301445,-0.10447884764587853,False,-0.1328822716117697,-0.0948699711682323,False,20,7,0.35,1
ten_percent,5,0.07781614639157364,0.19179283083716533,False,0.32392216485418096,0.15635925721711288,False,20,12,0.6,1
original,50,0.08414700621674447,,True,,,True,20,20,1.0,1
half,18,0.07472935937524208,,True,,,True,20,20,1.0,8
sqrt,7,0.0707166364037604,-0.000848640844412236,False,-0.17504456263428975,0.013029938101426074,False,20,12,0.6,8
log,3,0.06021696206782044,-0.1398172814084551,False,-0.0601626557292922,-0.0948699711682323,False,20,7,0.35,8
ten_percent,5,0.07120863376721034,-0.3588386212959485,False,-0.37462105317657196,-0.26848793265341897,False,20,11,0.55,8
original,50,0.07472935937524208,,True,,,True,20,20,1.0,8
half,18,0.06036098592655503,,True,,,True,20,20,1.0,3
sqrt,7,0.055049932368899726,0.33139288725213634,False,0.366743058980806,0.29617443887954614,False,20,17,0.85,3
log,3,0.050894076328494055,-0.07374977480885543,False,-0.14420171359712944,-0.0613864519323856,False,20,7,0.35,3
