dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,18,0.06991796401454808,,True,,,True,20,20,1.0,10
sqrt,10,0.06991796401454808,,True,,,True,20,20,1.0,10
log,4,0.06567513666021532,0.06279942248650545,False,-0.004006398573221325,0.052119752405704295,False,20,12,0.6,10
ten_percent,10,0.06991796401454808,,True,,,True,20,20,1.0,10
original,100,0.06991796401454808,,True,,,True,20,20,1.0,10
half,18,0.06382667608143819,,True,,,True,20,20,1.0,0
sqrt,10,0.06372172998235344,0.28430651034235555,False,0.11515078746454663,0.22660836558113065,False,20,18,0.9,0
log,4,0.05202256982999258,0.43702885918073753,False,0.2477492032764786,0.34341088288340343,False,20,10,0.5,0
ten_percent,10,0.06372172998235344,0.28430651034235555,False,0.11515078746454663,0.22660836558113065,False,20,18,0.9,0
original,100,0.06382667608143819,,True,,,True,20,20,1.0,0
half,18,0.059601565293028805,,True,,,True,20,20,1.0,5
sqrt,10,0.05925778357071827,-0.17903580300437075,False,-0.16572231425737266,-0.14979209969218638,False,20,19,0.95,5
log,4,0.0490615701520865,0.42303452143604936,False,0.47290343364918247,0.29346355429559745,False,20,11,0.55,5
ten_percent,10,0.05925778357071827,-0.17903580300437075,False,-0.16572231425737266,-0.14979209969218638,False,20,19,0.95,5
original,100,0.059601565293028805,,True,,,True,20,20,1.0,5
half,18,0.049414602078609086,,True,,,True,20,20,1.0,14
sqrt,10,0.04915922679203927,0.3381787390082559,False,0.366662224549786,0.2829406327519076,False,20,19,0.95,14
log,4,0.04693828987052616,0.06969896981088965,False,0.06107334984655624,0.0324442842261525,False,20,5,0.25,14
ten_percent,10,0.04915922679203927,0.3381787390082559,False,0.366662224549786,0.2829406327519076,False,20,19,0.95,14
original,100,0.049414602078609086,,True,,,True,20,20,1.0,14
half,18,0.06674976859233872,,True,,,True,20,20,1.0,9
sqrt,10,0.06674976859233872,,True,,,True,20,20,1.0,9
log,4,0.061558549283453876,0.4353527531834771,False,0.32513372755662984,0.33877839063707793,False,20,12,0.6,9
ten_percent,10,0.06674976859233872,,True,,,True,20,20,1.0,9
original,100,0.06674976859233872,,True,,,True,20,20,1.0,9
half,18,0.09582197565906621,,True,,,True,20,20,1.0,1
sqrt,10,0.09579290274267478,0.25860727100631337,False,0.2511258906097675,0.216366366222047,False,20,19,0.95,1
log,4,0.07270957908590947,-0.22414443104485088,False,-0.1993669043675286,-0.16358895993917008,False,20,2,0.1,1
ten_percent,10,0.09579290274267478,0.25860727100631337,False,0.2511258906097675,0.216366366222047,False,20,19,0.95,1
original,100,0.09582197565906621,,True,,,True,20,20,1.0,1
half,18,0.10091114001917975,,True,,,True,20,20,1.0,3
sqrt,10,0.10091114001917975,,True,,,True,20,20,1.0,3
log,4,0.08227980825423427,-0.1560797945143416,False,-0.18407180548024796,-0.14030530132648025,False,20,9,0.45,3
ten_percent,10,0.10091114001917975,,True,,,True,20,20,1.0,3
original,100,0.10091114001917975,,True,,,True,20,20,1.0,3
half,18,0.06692257123321661,,True,,,True,20,20,1.0,11
sqrt,10,0.06682709356060457,-0.37796447300922725,False,-0.25644747630819226,-0.3162277660168379,False,20,19,0.95,11
log,4,0.0599632885862218,-0.13497599516636596,False,-0.13783769430244966,-0.0936585811581694,False,20,11,0.55,11
ten_percent,10,0.06682709356060457,-0.37796447300922725,False,-0.25644747630819226,-0.3162277660168379,False,20,19,0.95,11
original,100,0.06692257123321661,,True,,,True,20,20,1.0,11
half,18,0.08486786623327693,,True,,,True,20,20,1.0,8
sqrt,10,0.08308782641158961,-0.2129524747605701,False,-0.2376455700115021,-0.1560797945143416,False,20,16,0.8,8
log,4,0.06498031195014896,0.12151029911521319,False,0.03667322996181708,0.12835876495216744,False,20,4,0.2,8
ten_percent,10,0.08308782641158961,-0.2129524747605701,False,-0.2376455700115021,-0.1560797945143416,False,20,16,0.8,8
original,100,0.08486786623327693,,True,,,True,20,20,1.0,8
half,18,0.09322488879758857,,True,,,True,20,20,1.0,13
sqrt,10,0.09322488879758857,,True,,,True,20,20,1.0,13
log,4,0.08477776683931286,0.10363368168072637,False,0.11596577077859516,0.054222770981590014,False,20,10,0.5,13
ten_percent,10,0.09322488879758857,,True,,,True,20,20,1.0,13
original,100,0.09322488879758857,,True,,,True,20,20,1.0,13
half,18,0.0922600550388183,,True,,,True,20,20,1.0,2
sqrt,10,0.0922600550388183,,True,,,True,20,20,1.0,2
log,4,0.07868394556681585,0.07551601610843627,False,0.1418896560359945,0.054222770981590014,False,20,10,0.5,2
ten_percent,10,0.0922600550388183,,True,,,True,20,20,1.0,2
original,100,0.0922600550388183,,True,,,True,20,20,1.0,2
half,18,0.06313114592088616,,True,,,True,20,20,1.0,6
sqrt,10,0.06313114592088616,,True,,,True,20,20,1.0,6
log,4,0.06400996681181274,-0.23114627957703837,False,-0.3633791810732997,-0.19194297398747862,False,20,13,0.65,6
ten_percent,10,0.06313114592088616,,True,,,True,20,20,1.0,6
original,100,0.06313114592088616,,True,,,True,20,20,1.0,6
half,18,0.07434121728489848,,True,,,True,20,20,1.0,7
sqrt,10,0.07234034954368557,0.08620909808663381,False,0.05625115001230998,0.06562179588897106,False,20,14,0.7,7
log,4,0.062067915894724913,0.15504884158434257,False,0.04426387348852927,0.07832178030674113,False,20,10,0.5,7
ten_percent,10,0.07234034954368557,0.08620909808663381,False,0.05625115001230998,0.06562179588897106,False,20,14,0.7,7
original,100,0.07434121728489848,,True,,,True,20,20,1.0,7
half,18,0.08343306883936516,,True,,,True,20,20,1.0,12
sqrt,10,0.08286847977607434,0.3289739610678141,False,0.17014027768478177,0.2566845136956067,False,20,17,0.85,12
log,4,0.0803020946519529,0.35573886713112407,False,0.30973548535693585,0.2911491058849145,False,20,15,0.75,12
ten_percent,10,0.08286847977607434,0.3289739610678141,False,0.17014027768478177,0.2566845136956067,False,20,17,0.85,12
original,100,0.08343306883936516,,True,,,True,20,20,1.0,12
half,18,0.09862105546975002,,True,,,True,20,20,1.0,15
sqrt,10,0.09786384947586874,0.5587719485784196,False,0.567969791101471,0.43438917702333435,False,20,17,0.85,15
log,4,0.08042775747505207,0.45170570665436505,False,0.4750749686629088,0.3427553106919261,False,20,13,0.65,15
ten_percent,10,0.09786384947586874,0.5587719485784196,False,0.567969791101471,0.43438917702333435,False,20,17,0.85,15
original,100,0.09862105546975002,,True,,,True,20,20,1.0,15
half,18,0.07695115084283395,,True,,,True,20,20,1.0,4
sqrt,10,0.0764504787953025,0.23235202114273726,False,0.14921280106892504,0.20275485341469585,False,20,18,0.9,4
log,4,0.06262129292826413,0.01631302317214023,False,0.07879534439905206,-0.011399759467612822,False,20,8,0.4,4
ten_percent,10,0.0764504787953025,0.23235202114273726,False,0.14921280106892504,0.20275485341469585,False,20,18,0.9,4
original,100,0.07695115084283395,,True,,,True,20,20,1.0,4
half,18,0.06880322754538429,,True,,,True,20,20,1.0,16
sqrt,10,0.06878859726862545,0.25860727100631337,False,0.20323194547703302,0.216366366222047,False,20,19,0.95,16
log,4,0.054173946171047295,0.08229302954681117,False,0.10527837313625159,0.08226127456606226,False,20,6,0.3,16
ten_percent,10,0.06878859726862545,0.25860727100631337,False,0.20323194547703302,0.216366366222047,False,20,19,0.95,16
original,100,0.06880322754538429,,True,,,True,20,20,1.0,16
half,18,0.07315313393904802,,True,,,True,20,20,1.0,22
sqrt,10,0.07310235561906517,-0.2983930050072846,False,-0.25083230794892386,-0.2496534994869773,False,20,19,0.95,22
log,4,0.07424429622365143,-0.20968295626674174,False,-0.3317538973955112,-0.15199740977035361,False,20,9,0.45,22
ten_percent,10,0.07310235561906517,-0.2983930050072846,False,-0.25083230794892386,-0.2496534994869773,False,20,19,0.95,22
original,100,0.07315313393904802,,True,,,True,20,20,1.0,22
half,18,0.05460734263529937,,True,,,True,20,20,1.0,17
sqrt,10,0.05460734263529937,,True,,,True,20,20,1.0,17
log,4,0.04345435224591274,-0.14401280170691955,False,-0.15483155112498603,-0.10419761445034553,False,20,6,0.3,17
ten_percent,10,0.05460734263529937,,True,,,True,20,20,1.0,17
original,100,0.05460734263529937,,True,,,True,20,20,1.0,17
half,18,0.11992249548778418,,True,,,True,20,20,1.0,19
sqrt,10,0.11748991995351718,0.021770335658899468,False,-0.008198750541100329,0.019744962591969742,False,20,17,0.85,19
log,4,0.11353881275909847,-0.09844233795181936,False,-0.16702653576058255,-0.052119752405704295,False,20,12,0.6,19
ten_percent,10,0.11748991995351718,0.021770335658899468,False,-0.008198750541100329,0.019744962591969742,False,20,17,0.85,19
original,100,0.11992249548778418,,True,,,True,20,20,1.0,19
half,18,0.11149801275319556,,True,,,True,20,20,1.0,20
sqrt,10,0.11149801275319556,,True,,,True,20,20,1.0,20
log,4,0.2931067006135767,0.28334146423122525,False,0.12208034155752845,0.20548046676563253,False,20,5,0.25,20
ten_percent,10,0.11149801275319556,,True,,,True,20,20,1.0,20
original,100,0.11149801275319556,,True,,,True,20,20,1.0,20
half,18,0.0661369396406769,,True,,,True,20,20,1.0,21
sqrt,10,0.0661369396406769,,True,,,True,20,20,1.0,21
log,4,0.051732228856324225,0.4761222014477895,False,0.564643290254316,0.33907114487232726,False,20,9,0.45,21
ten_percent,10,0.0661369396406769,,True,,,True,20,20,1.0,21
original,100,0.0661369396406769,,True,,,True,20,20,1.0,21
half,18,0.09385829487697792,,True,,,True,20,20,1.0,23
sqrt,10,0.09385829487697792,,True,,,True,20,20,1.0,23
log,4,0.08777626172806237,0.2651161511051319,False,0.02464411580330526,0.1968653876669132,False,20,14,0.7,23
ten_percent,10,0.09385829487697792,,True,,,True,20,20,1.0,23
original,100,0.09385829487697792,,True,,,True,20,20,1.0,23
half,18,0.07504157614771916,,True,,,True,20,20,1.0,18
sqrt,10,0.0741518820455509,0.1578471970606759,False,0.1307704822213263,0.11726944291283467,False,20,12,0.6,18
log,4,0.060354247744360934,0.022071890133341238,False,0.016949865104117227,0.02338421688774671,False,20,9,0.45,18
ten_percent,10,0.0741518820455509,0.1578471970606759,False,0.1307704822213263,0.11726944291283467,False,20,12,0.6,18
original,100,0.07504157614771916,,True,,,True,20,20,1.0,18
half,18,0.07164570578048153,,True,,,True,20,20,1.0,29
sqrt,10,0.07164570578048153,,True,,,True,20,20,1.0,29
log,4,0.06748959024768583,-0.08401544359681136,False,-0.07799591215011772,-0.03908981430427822,False,20,12,0.6,29
ten_percent,10,0.07164570578048153,,True,,,True,20,20,1.0,29
original,100,0.07164570578048153,,True,,,True,20,20,1.0,29
half,18,0.08840729678266526,,True,,,True,20,20,1.0,25
sqrt,10,0.08840729678266526,,True,,,True,20,20,1.0,25
log,4,0.08180497672162657,0.38143111864614965,False,0.4025896119054914,0.30688689539220715,False,20,15,0.75,25
ten_percent,10,0.08840729678266526,,True,,,True,20,20,1.0,25
original,100,0.08840729678266526,,True,,,True,20,20,1.0,25
half,18,0.064650866074958,,True,,,True,20,20,1.0,28
sqrt,10,0.064650866074958,,True,,,True,20,20,1.0,28
log,4,0.045486413666872574,0.2916642624762949,False,0.19138202044046287,0.19876584354584703,False,20,9,0.45,28
ten_percent,10,0.064650866074958,,True,,,True,20,20,1.0,28
original,100,0.064650866074958,,True,,,True,20,20,1.0,28
half,18,0.06514158122484008,,True,,,True,20,20,1.0,24
sqrt,10,0.06514158122484008,,True,,,True,20,20,1.0,24
log,4,0.05554145648902418,0.2783541969672134,False,0.46255375589339054,0.2475688239270954,False,20,12,0.6,24
ten_percent,10,0.06514158122484008,,True,,,True,20,20,1.0,24
original,100,0.06514158122484008,,True,,,True,20,20,1.0,24
half,18,0.07022284150407086,,True,,,True,20,20,1.0,32
sqrt,10,0.07021397156763966,0.37796447300922725,False,0.4613355656978683,0.3162277660168379,False,20,19,0.95,32
log,4,0.30044356866848754,-0.0075759749794445256,False,-0.0997620564541446,0.0,False,20,5,0.25,32
ten_percent,10,0.07021397156763966,0.37796447300922725,False,0.4613355656978683,0.3162277660168379,False,20,19,0.95,32
original,100,0.07022284150407086,,True,,,True,20,20,1.0,32
half,18,0.09099045707970169,,True,,,True,20,20,1.0,30
sqrt,10,0.09099045707970169,,True,,,True,20,20,1.0,30
log,4,0.0806332130257407,-0.25184545439578043,False,-0.21829684163717492,-0.19356106772688345,False,20,11,0.55,30
ten_percent,10,0.09099045707970169,,True,,,True,20,20,1.0,30
original,100,0.09099045707970169,,True,,,True,20,20,1.0,30
half,18,0.06410367987666818,,True,,,True,20,20,1.0,27
sqrt,10,0.06410367987666818,,True,,,True,20,20,1.0,27
log,4,0.059374569047738655,-0.0794013937478376,False,-0.1314359650365453,-0.06855106213838522,False,20,13,0.65,27
ten_percent,10,0.06410367987666818,,True,,,True,20,20,1.0,27
original,100,0.06410367987666818,,True,,,True,20,20,1.0,27
half,18,0.10406113962323486,,True,,,True,20,20,1.0,26
sqrt,10,0.10406113962323486,,True,,,True,20,20,1.0,26
log,4,0.12573188812681155,-0.13520792048290164,False,-0.05063409473668367,-0.0948699711682323,False,20,7,0.35,26
ten_percent,10,0.10406113962323486,,True,,,True,20,20,1.0,26
original,100,0.10406113962323486,,True,,,True,20,20,1.0,26
half,18,0.05674438524606633,,True,,,True,20,20,1.0,31
sqrt,10,0.05657907190676015,-0.3809995874638673,False,-0.3231448359574848,-0.3220224142468699,False,20,18,0.9,31
log,4,0.04425038889701303,0.4279726676006726,False,0.3024926570810235,0.30595136511668675,False,20,11,0.55,31
ten_percent,10,0.05657907190676015,-0.3809995874638673,False,-0.3231448359574848,-0.3220224142468699,False,20,18,0.9,31
original,100,0.05674438524606633,,True,,,True,20,20,1.0,31
half,18,0.07935603700710624,,True,,,True,20,20,1.0,33
sqrt,10,0.07925710370094897,-0.25860727100631337,False,-0.24904790014887293,-0.216366366222047,False,20,19,0.95,33
log,4,0.07099306254883384,0.44214187993877496,False,0.3978587801414364,0.3257484525356518,False,20,12,0.6,33
ten_percent,10,0.07925710370094897,-0.25860727100631337,False,-0.24904790014887293,-0.216366366222047,False,20,19,0.95,33
original,100,0.07935603700710624,,True,,,True,20,20,1.0,33
half,18,0.05248847652395111,,True,,,True,20,20,1.0,37
sqrt,10,0.05241453452570283,-0.09946433500242821,False,-0.1292946860202595,-0.08321783316232577,False,20,19,0.95,37
log,4,0.04868990202968941,-0.2567836005604035,False,-0.15698333801113223,-0.20604887854797269,False,20,11,0.55,37
ten_percent,10,0.05241453452570283,-0.09946433500242821,False,-0.1292946860202595,-0.08321783316232577,False,20,19,0.95,37
original,100,0.05248847652395111,,True,,,True,20,20,1.0,37
half,18,0.07814367359578074,,True,,,True,20,20,1.0,38
sqrt,10,0.07807908434651716,0.29873831289780506,False,0.3478335558478154,0.25046187774756545,False,20,18,0.9,38
log,4,0.06535905191215341,0.4121246411024235,False,0.28751316126489035,0.355460387545979,False,20,10,0.5,38
ten_percent,10,0.07807908434651716,0.29873831289780506,False,0.3478335558478154,0.25046187774756545,False,20,18,0.9,38
original,100,0.07814367359578074,,True,,,True,20,20,1.0,38
half,18,0.08321765786668622,,True,,,True,20,20,1.0,39
sqrt,10,0.08321765786668622,,True,,,True,20,20,1.0,39
log,4,0.07655708722171665,-0.3775977391563833,False,-0.4049347464897559,-0.2879144609812179,False,20,13,0.65,39
ten_percent,10,0.08321765786668622,,True,,,True,20,20,1.0,39
original,100,0.08321765786668622,,True,,,True,20,20,1.0,39
half,18,0.07175539127149651,,True,,,True,20,20,1.0,40
sqrt,10,0.07175539127149651,,True,,,True,20,20,1.0,40
log,4,0.05914582017432505,-0.037859120595444114,False,0.2441974571080601,-0.04370733787381239,False,20,11,0.55,40
ten_percent,10,0.07175539127149651,,True,,,True,20,20,1.0,40
original,100,0.07175539127149651,,True,,,True,20,20,1.0,40
half,18,0.08652842633234607,,True,,,True,20,20,1.0,41
sqrt,10,0.08652842633234607,,True,,,True,20,20,1.0,41
log,4,0.07435712103989542,-0.2217278770843448,False,-0.12865990111630016,-0.1747178176073456,False,20,10,0.5,41
ten_percent,10,0.08652842633234607,,True,,,True,20,20,1.0,41
original,100,0.08652842633234607,,True,,,True,20,20,1.0,41
half,18,0.08227885375080028,,True,,,True,20,20,1.0,34
sqrt,10,0.08170579052799513,0.180397531943119,False,0.16775393083003828,0.15504782908182624,False,20,18,0.9,34
log,4,0.07618269709918182,0.04347919487158184,False,0.07623188165577094,0.03934447376823169,False,20,15,0.75,34
ten_percent,10,0.08170579052799513,0.180397531943119,False,0.16775393083003828,0.15504782908182624,False,20,18,0.9,34
original,100,0.08227885375080028,,True,,,True,20,20,1.0,34
half,18,0.07181016044842684,,True,,,True,20,20,1.0,42
sqrt,10,0.07130694557610957,-0.17751117143202907,False,-0.2174619299660266,-0.15504782908182624,False,20,18,0.9,42
log,4,0.06360443896785739,-0.10719986655977864,False,-0.09899967443748552,-0.09119807574090258,False,20,8,0.4,42
ten_percent,10,0.07130694557610957,-0.17751117143202907,False,-0.2174619299660266,-0.15504782908182624,False,20,18,0.9,42
original,100,0.07181016044842684,,True,,,True,20,20,1.0,42
half,18,0.06956835361758593,,True,,,True,20,20,1.0,43
sqrt,10,0.06941740718850745,-0.2983930050072846,False,-0.2891791629089982,-0.2496534994869773,False,20,19,0.95,43
log,4,0.05583729455462623,-0.07424455479855636,False,-0.09934018023602155,-0.064888568452305,False,20,5,0.25,43
ten_percent,10,0.06941740718850745,-0.2983930050072846,False,-0.2891791629089982,-0.2496534994869773,False,20,19,0.95,43
original,100,0.06956835361758593,,True,,,True,20,20,1.0,43
half,18,0.060792664023222906,,True,,,True,20,20,1.0,36
sqrt,10,0.060792664023222906,,True,,,True,20,20,1.0,36
log,4,0.04251457369257468,0.5585268409889916,False,0.5428851569573562,0.387591821898836,False,20,8,0.4,36
ten_percent,10,0.060792664023222906,,True,,,True,20,20,1.0,36
original,100,0.060792664023222906,,True,,,True,20,20,1.0,36
half,18,0.07332254161617593,,True,,,True,20,20,1.0,46
sqrt,10,0.0733185810291654,0.09946433500242821,False,0.05402542529289938,0.08321783316232577,False,20,19,0.95,46
log,4,0.06876456270987322,-0.06913404630472403,False,-0.20881629225990123,-0.04370733787381239,False,20,11,0.55,46
ten_percent,10,0.0733185810291654,0.09946433500242821,False,0.05402542529289938,0.08321783316232577,False,20,19,0.95,46
original,100,0.07332254161617593,,True,,,True,20,20,1.0,46
half,18,0.06030569894413925,,True,,,True,20,20,1.0,35
sqrt,10,0.06023289339615502,-0.3381787390082559,False,-0.24566583184501053,-0.2829406327519076,False,20,19,0.95,35
log,4,0.051332358839139634,0.20041714182915138,False,0.16103854564032496,0.1481968730789667,False,20,8,0.4,35
ten_percent,10,0.06023289339615502,-0.3381787390082559,False,-0.24566583184501053,-0.2829406327519076,False,20,19,0.95,35
original,100,0.06030569894413925,,True,,,True,20,20,1.0,35
half,18,0.08815443202903459,,True,,,True,20,20,1.0,44
sqrt,10,0.08787473479175223,-0.05628402996625313,False,-0.10874045524056512,-0.035780268249652206,False,20,18,0.9,44
log,4,0.07957831818803572,-0.025225017295247128,False,-0.06249340790890693,0.0,False,20,9,0.45,44
ten_percent,10,0.08787473479175223,-0.05628402996625313,False,-0.10874045524056512,-0.035780268249652206,False,20,18,0.9,44
original,100,0.08815443202903459,,True,,,True,20,20,1.0,44
half,18,0.09435117450193296,,True,,,True,20,20,1.0,47
sqrt,10,0.09303528803101585,0.08370445482160722,False,0.009483254838251725,0.059633780416087016,False,20,18,0.9,47
log,4,0.09239878121460166,0.49129916113888084,False,0.6676939162944544,0.38643946467949625,False,20,14,0.7,47
ten_percent,10,0.09303528803101585,0.08370445482160722,False,0.009483254838251725,0.059633780416087016,False,20,18,0.9,47
original,100,0.09435117450193296,,True,,,True,20,20,1.0,47
half,18,0.08035923279681569,,True,,,True,20,20,1.0,45
sqrt,10,0.08035923279681569,,True,,,True,20,20,1.0,45
log,4,0.0721994941797668,0.287609492908834,False,0.34369177166035686,0.21936339884283268,False,20,13,0.65,45
ten_percent,10,0.08035923279681569,,True,,,True,20,20,1.0,45
original,100,0.08035923279681569,,True,,,True,20,20,1.0,45
half,18,0.09962686935390948,,True,,,True,20,20,1.0,48
sqrt,10,0.09962686935390948,,True,,,True,20,20,1.0,48
log,4,0.09698470897944107,0.29510899448730393,False,0.14158597757712296,0.23693955110363693,False,20,17,0.85,48
ten_percent,10,0.09962686935390948,,True,,,True,20,20,1.0,48
original,100,0.09962686935390948,,True,,,True,20,20,1.0,48
half,18,0.06548009381091624,,True,,,True,20,20,1.0,50
sqrt,10,0.06548009381091624,,True,,,True,20,20,1.0,50
log,4,0.06396798233064989,-0.1958567712446661,False,-0.27596951664326624,-0.16452254913212452,False,20,13,0.65,50
ten_percent,10,0.06548009381091624,,True,,,True,20,20,1.0,50
original,100,0.06548009381091624,,True,,,True,20,20,1.0,50
half,18,0.08503998007660751,,True,,,True,20,20,1.0,61
sqrt,10,0.08503998007660751,,True,,,True,20,20,1.0,61
log,4,0.08441615990828066,-0.08893471678278102,False,-0.0057661166315172265,-0.07082005278281704,False,20,15,0.75,61
ten_percent,10,0.08503998007660751,,True,,,True,20,20,1.0,61
original,100,0.08503998007660751,,True,,,True,20,20,1.0,61
