dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,48,0.08092537703700288,,True,,,True,50,50,1.0,3
sqrt,10,0.08013358250777947,0.39158676619652116,False,0.5222460540891167,0.3130263835323791,False,50,44,0.88,3
log,4,0.08123936540964179,0.06010089571795353,False,0.08089206575846711,0.041803629768587994,False,50,5,0.1,3
ten_percent,10,0.08013358250777947,0.39158676619652116,False,0.5222460540891167,0.3130263835323791,False,50,44,0.88,3
original,100,0.08092537703700288,,True,,,True,50,50,1.0,3
half,48,0.07675780022148078,-0.014849119900183652,False,-0.0161211084891542,-0.012244897959183673,False,50,49,0.98,0
sqrt,10,0.05889390123357915,-0.005091126822920108,False,0.04332845198416947,-0.0029009890432389117,False,50,48,0.96,0
log,4,0.04995690556532308,-0.020200545314669513,False,-0.030868910348213537,-0.0017601174389534212,False,50,19,0.38,0
ten_percent,10,0.05889390123357915,-0.005091126822920108,False,0.04332845198416947,-0.0029009890432389117,False,50,48,0.96,0
original,100,0.058931131991059156,,True,,,True,50,50,1.0,0
half,48,0.060263386904947674,,True,,,True,50,50,1.0,9
sqrt,10,0.06025567683894602,-0.2227367985027548,False,-0.1467288070970796,-0.1836734693877551,False,50,49,0.98,9
log,4,0.049655512141711836,0.10341913132498427,False,0.3100882000097272,0.07504694439030178,False,50,18,0.36,9
ten_percent,10,0.06025567683894602,-0.2227367985027548,False,-0.1467288070970796,-0.1836734693877551,False,50,49,0.98,9
original,100,0.060263386904947674,,True,,,True,50,50,1.0,9
half,48,0.0636416613200425,,True,,,True,50,50,1.0,5
sqrt,10,0.06286017161296639,0.15413312912196364,False,0.09020306520024508,0.12207792207792206,False,50,39,0.78,5
log,4,0.05114456393388375,0.15044391249055733,False,0.0401625318131637,0.10995670995670996,False,50,17,0.34,5
ten_percent,10,0.06286017161296639,0.15413312912196364,False,0.09020306520024508,0.12207792207792206,False,50,39,0.78,5
original,100,0.0636416613200425,,True,,,True,50,50,1.0,5
half,48,0.0820830655069302,,True,,,True,50,50,1.0,12
sqrt,10,0.08202416198959572,-0.2227367985027548,False,-0.18556396759468705,-0.1836734693877551,False,50,49,0.98,12
log,4,0.05884252900440733,0.21961650577646552,False,0.13650851019847896,0.16029633947170702,False,50,12,0.24,12
ten_percent,10,0.08202416198959572,-0.2227367985027548,False,-0.18556396759468705,-0.1836734693877551,False,50,49,0.98,12
original,100,0.0820830655069302,,True,,,True,50,50,1.0,12
half,48,0.07291867302266844,,True,,,True,50,50,1.0,14
sqrt,10,0.07260889868214378,0.1026175248879823,False,0.08096564341647153,0.07487748833727988,False,50,42,0.84,14
log,4,0.06530050467247889,0.11768044757997496,False,0.22194109923741698,0.08900916660245094,False,50,18,0.36,14
ten_percent,10,0.07260889868214378,0.1026175248879823,False,0.08096564341647153,0.07487748833727988,False,50,42,0.84,14
original,100,0.07291867302266844,,True,,,True,50,50,1.0,14
half,48,0.06868114231506768,,True,,,True,50,50,1.0,8
sqrt,10,0.06590909616209768,-0.045372947086812915,False,-0.10373036491280235,-0.02650659940584191,False,50,28,0.56,8
log,4,0.06297200159967355,-0.20061910717043843,False,-0.229390479900543,-0.14253932901995967,False,50,14,0.28,8
ten_percent,10,0.06590909616209768,-0.045372947086812915,False,-0.10373036491280235,-0.02650659940584191,False,50,28,0.56,8
original,100,0.06868114231506768,,True,,,True,50,50,1.0,8
half,48,0.08718056684156492,,True,,,True,50,50,1.0,11
sqrt,10,0.08560379233362228,0.3079481168835767,False,0.25710730192929754,0.2376021166033075,False,50,38,0.76,11
log,4,0.053439159464410135,-0.1285597662367508,False,-0.1110851896602362,-0.07682882766131224,False,50,3,0.06,11
ten_percent,10,0.08560379233362228,0.3079481168835767,False,0.25710730192929754,0.2376021166033075,False,50,38,0.76,11
original,100,0.08718056684156492,,True,,,True,50,50,1.0,11
half,48,0.06987256067631015,,True,,,True,50,50,1.0,10
sqrt,10,0.06978955631863576,0.032353129379778967,False,-0.061948102153814966,0.02901905000440047,False,50,46,0.92,10
log,4,0.05891263200402649,-0.05109508327178486,False,-0.07241472908257983,-0.03722943722943723,False,50,17,0.34,10
ten_percent,10,0.06978955631863576,0.032353129379778967,False,-0.061948102153814966,0.02901905000440047,False,50,46,0.92,10
original,100,0.06987256067631015,,True,,,True,50,50,1.0,10
half,48,0.05245375663557155,,True,,,True,50,50,1.0,2
sqrt,10,0.04823103294057057,0.30642466562813814,False,0.19235218538155063,0.23386243386243386,False,50,32,0.64,2
log,4,0.042516779700452645,0.10613929555311684,False,0.035876686857550605,0.07920528475290396,False,50,19,0.38,2
ten_percent,10,0.04823103294057057,0.30642466562813814,False,0.19235218538155063,0.23386243386243386,False,50,32,0.64,2
original,100,0.05245375663557155,,True,,,True,50,50,1.0,2
half,48,0.07072150685109728,,True,,,True,50,50,1.0,1
sqrt,10,0.07052357141118147,0.10513493832134983,False,0.22470730556613677,0.08279562015405241,False,50,43,0.86,1
log,4,0.06784942322252928,0.10961188012394867,False,0.01907524552665582,0.08116650204413252,False,50,33,0.66,1
ten_percent,10,0.07052357141118147,0.10513493832134983,False,0.22470730556613677,0.08279562015405241,False,50,43,0.86,1
original,100,0.07072150685109728,,True,,,True,50,50,1.0,1
half,48,0.07834350595083078,,True,,,True,50,50,1.0,7
sqrt,10,0.07834350595083078,,True,,,True,50,50,1.0,7
log,4,0.10256284253146966,0.1336502911605818,False,0.06549958654109474,0.0866367631074372,False,50,3,0.06,7
ten_percent,10,0.07834350595083078,,True,,,True,50,50,1.0,7
original,100,0.07834350595083078,,True,,,True,50,50,1.0,7
half,48,0.08714637994986577,,True,,,True,50,50,1.0,13
sqrt,10,0.08711385243053078,0.04256747704719313,False,0.032484897923672706,0.03771285756210586,False,50,48,0.96,13
log,4,0.06319794819078851,0.189309380402132,False,0.14713153876845086,0.14001249423631468,False,50,15,0.3,13
ten_percent,10,0.08711385243053078,0.04256747704719313,False,0.032484897923672706,0.03771285756210586,False,50,48,0.96,13
original,100,0.08714637994986577,,True,,,True,50,50,1.0,13
half,48,0.07846423964912809,,True,,,True,50,50,1.0,4
sqrt,10,0.0771771728911082,-0.0486840781713121,False,-0.04637195901300185,-0.04155844155844156,False,50,39,0.78,4
log,4,0.060120546779395975,0.18580455258291023,False,0.2412555750926507,0.12806020814297073,False,50,15,0.3,4
ten_percent,10,0.0771771728911082,-0.0486840781713121,False,-0.04637195901300185,-0.04155844155844156,False,50,39,0.78,4
original,100,0.07846423964912809,,True,,,True,50,50,1.0,4
half,48,0.07535495535831466,,True,,,True,50,50,1.0,6
sqrt,10,0.07325946033611656,-0.1524140067761068,False,-0.1742145047957561,-0.09561828874675149,False,50,35,0.7,6
log,4,0.060083399197048595,0.08208495711851514,False,0.139238377014429,0.05649883385169101,False,50,21,0.42,6
ten_percent,10,0.07325946033611656,-0.1524140067761068,False,-0.1742145047957561,-0.09561828874675149,False,50,35,0.7,6
original,100,0.07535495535831466,,True,,,True,50,50,1.0,6
half,48,0.08887567277998727,,True,,,True,50,50,1.0,20
sqrt,10,0.08824276061117825,0.38967133589364505,False,0.3371866651318229,0.2987012987012987,False,50,39,0.78,20
log,4,0.07154592434601414,0.11125882426060042,False,0.1145217323507457,0.07805005010926049,False,50,12,0.24,20
ten_percent,10,0.08824276061117825,0.38967133589364505,False,0.3371866651318229,0.2987012987012987,False,50,39,0.78,20
original,100,0.08887567277998727,,True,,,True,50,50,1.0,20
half,48,0.0609579926204575,,True,,,True,50,50,1.0,15
sqrt,10,0.0609579926204575,,True,,,True,50,50,1.0,15
log,4,0.06490635376128441,0.058573402972294644,False,0.14151083606694798,0.040322875943402434,False,50,23,0.46,15
ten_percent,10,0.0609579926204575,,True,,,True,50,50,1.0,15
original,100,0.0609579926204575,,True,,,True,50,50,1.0,15
half,48,0.0583541067351968,,True,,,True,50,50,1.0,17
sqrt,10,0.05827755603777874,0.13175990545518818,False,0.014029114379074323,0.10778504287348746,False,50,46,0.92,17
log,4,0.0628966710077782,0.1610799063707016,False,-0.060758640218541,0.12761904761904763,False,50,26,0.52,17
ten_percent,10,0.05827755603777874,0.13175990545518818,False,0.014029114379074323,0.10778504287348746,False,50,46,0.92,17
original,100,0.0583541067351968,,True,,,True,50,50,1.0,17
half,48,0.08499110251625051,,True,,,True,50,50,1.0,18
sqrt,10,0.08387793422891665,0.1947432096362003,False,0.051107309185645336,0.14006019505037073,False,50,38,0.76,18
log,4,0.06522306833515937,-0.09512601823666664,False,-0.1597984279242029,-0.0685429785433352,False,50,8,0.16,18
ten_percent,10,0.08387793422891665,0.1947432096362003,False,0.051107309185645336,0.14006019505037073,False,50,38,0.76,18
original,100,0.08499110251625051,,True,,,True,50,50,1.0,18
half,48,0.07307332775206979,,True,,,True,50,50,1.0,19
sqrt,10,0.07226596136342157,-0.10608487887183617,False,-0.04810065200879105,-0.07697370086861781,False,50,44,0.88,19
log,4,0.07004737603005197,-0.28825059200356673,False,-0.3357606828106217,-0.22777008851855643,False,50,16,0.32,19
ten_percent,10,0.07226596136342157,-0.10608487887183617,False,-0.04810065200879105,-0.07697370086861781,False,50,44,0.88,19
original,100,0.07307332775206979,,True,,,True,50,50,1.0,19
half,48,0.07908905739534243,,True,,,True,50,50,1.0,16
sqrt,10,0.0729327675429872,-0.0565012297489982,False,-0.029405671408568625,-0.0435285750066007,False,50,31,0.62,16
log,4,0.046515161239427005,0.5562896878498441,False,0.6201353768841626,0.4293383330235869,False,50,18,0.36,16
ten_percent,10,0.0729327675429872,-0.0565012297489982,False,-0.029405671408568625,-0.0435285750066007,False,50,31,0.62,16
original,100,0.07908905739534243,,True,,,True,50,50,1.0,16
half,48,0.058808459230854,,True,,,True,50,50,1.0,27
sqrt,10,0.05852371686898565,0.14895258634113034,False,0.08801731300132053,0.12114664213849642,False,50,45,0.9,27
log,4,0.04496170637859188,0.24435877591088276,False,0.32666368384939176,0.20198479547871986,False,50,16,0.32,27
ten_percent,10,0.05852371686898565,0.14895258634113034,False,0.08801731300132053,0.12114664213849642,False,50,45,0.9,27
original,100,0.058808459230854,,True,,,True,50,50,1.0,27
half,48,0.06608155043859379,,True,,,True,50,50,1.0,26
sqrt,10,0.06214261607260606,0.05242378390861039,False,-0.0763152341189185,0.03414938883812553,False,50,35,0.7,26
log,4,0.05123163413164576,0.25776686062899806,False,0.13376242659761106,0.19361291828487634,False,50,19,0.38,26
ten_percent,10,0.06214261607260606,0.05242378390861039,False,-0.0763152341189185,0.03414938883812553,False,50,35,0.7,26
original,100,0.06608155043859379,,True,,,True,50,50,1.0,26
half,48,0.0695489235942183,,True,,,True,50,50,1.0,28
sqrt,10,0.06932010007983105,-0.1288519796686339,False,-0.03876719344684199,-0.09871785479906249,False,50,43,0.86,28
log,4,0.054683706902340486,0.18417968189935527,False,0.17700700600836575,0.13721145363982098,False,50,21,0.42,28
ten_percent,10,0.06932010007983105,-0.1288519796686339,False,-0.03876719344684199,-0.09871785479906249,False,50,43,0.86,28
original,100,0.0695489235942183,,True,,,True,50,50,1.0,28
half,48,0.08163442498479814,,True,,,True,50,50,1.0,22
sqrt,10,0.07787468358905532,0.03058394518086875,False,-0.06556831174989505,0.020330516198994855,False,50,30,0.6,22
log,4,0.06632185425274556,0.1566082792617239,False,0.18497448977974582,0.10851373479979982,False,50,24,0.48,22
ten_percent,10,0.07787468358905532,0.03058394518086875,False,-0.06556831174989505,0.020330516198994855,False,50,30,0.6,22
original,100,0.08163442498479814,,True,,,True,50,50,1.0,22
half,48,0.07635338647892197,,True,,,True,50,50,1.0,25
sqrt,10,0.076297509103211,-0.06310720282971738,False,0.14842745271226254,-0.05238095238095238,False,50,47,0.94,25
log,4,0.06020473394698907,0.061578638228795356,False,0.04242595617132444,0.04588744588744589,False,50,17,0.34,25
ten_percent,10,0.076297509103211,-0.06310720282971738,False,0.14842745271226254,-0.05238095238095238,False,50,47,0.94,25
original,100,0.07635338647892197,,True,,,True,50,50,1.0,25
half,48,0.07788759409134917,,True,,,True,50,50,1.0,21
sqrt,10,0.07480086365623588,0.2197850757478729,False,0.20746840862699575,0.16825396825396824,False,50,32,0.64,21
log,4,0.05869687639276348,0.2919229158356337,False,0.21401685747718222,0.20173160173160173,False,50,17,0.34,21
ten_percent,10,0.07480086365623588,0.2197850757478729,False,0.20746840862699575,0.16825396825396824,False,50,32,0.64,21
original,100,0.07788759409134917,,True,,,True,50,50,1.0,21
half,48,0.08326494133386499,,True,,,True,50,50,1.0,24
sqrt,10,0.0800786341099724,0.19814413240034093,False,0.1940228817138695,0.15481056273283575,False,50,35,0.7,24
log,4,0.08114657111735818,0.011486247003664353,False,0.0025624633937304953,0.009856449849875468,False,50,6,0.12,24
ten_percent,10,0.0800786341099724,0.19814413240034093,False,0.1940228817138695,0.15481056273283575,False,50,35,0.7,24
original,100,0.08326494133386499,,True,,,True,50,50,1.0,24
half,48,0.07949745011137958,,True,,,True,50,50,1.0,23
sqrt,10,0.07877459793597687,0.1162935280014435,False,0.06378472862082477,0.09407896772831065,False,50,44,0.88,23
log,4,0.06752656908593097,-0.06748781929293382,False,0.01854535041181328,-0.04380952380952381,False,50,26,0.52,23
ten_percent,10,0.07877459793597687,0.1162935280014435,False,0.06378472862082477,0.09407896772831065,False,50,44,0.88,23
original,100,0.07949745011137958,,True,,,True,50,50,1.0,23
half,48,0.09878559483546566,-0.19303855870238745,False,-0.17287247892807706,-0.15918367346938775,False,50,49,0.98,32
sqrt,10,0.07827133451737389,0.08572812175726759,False,-0.026260696917502536,0.06888123217987249,False,50,37,0.74,32
log,4,0.061285240453163796,0.07910201675326935,False,0.06942011316749944,0.051224083257188295,False,50,15,0.3,32
ten_percent,10,0.07827133451737389,0.08572812175726759,False,-0.026260696917502536,0.06888123217987249,False,50,37,0.74,32
original,100,0.07944204532247691,,True,,,True,50,50,1.0,32
half,48,0.06682927913292587,,True,,,True,50,50,1.0,29
sqrt,10,0.06563607332326953,0.013385291341911786,False,0.037803288925033034,0.013292869368045569,False,50,37,0.74,29
log,4,0.050779798715702845,0.08358486001187437,False,0.07657450897851176,0.06446323259959144,False,50,16,0.32,29
ten_percent,10,0.06563607332326953,0.013385291341911786,False,0.037803288925033034,0.013292869368045569,False,50,37,0.74,29
original,100,0.06682927913292587,,True,,,True,50,50,1.0,29
half,48,0.06824950539724844,,True,,,True,50,50,1.0,30
sqrt,10,0.06824950539724844,,True,,,True,50,50,1.0,30
log,4,0.04869554679964977,0.39653985573390405,False,0.3967459643863307,0.269026557382295,False,50,16,0.32,30
ten_percent,10,0.06824950539724844,,True,,,True,50,50,1.0,30
original,100,0.06824950539724844,,True,,,True,50,50,1.0,30
half,48,0.07140716040127965,,True,,,True,50,50,1.0,31
sqrt,10,0.06874624377067859,-0.007404489252628586,False,0.1771969959571056,-0.004553251845083405,False,50,35,0.7,31
log,4,0.06772566725130325,-0.07686811554862827,False,-0.16473142863578288,-0.04765430793311197,False,50,23,0.46,31
ten_percent,10,0.06874624377067859,-0.007404489252628586,False,0.1771969959571056,-0.004553251845083405,False,50,35,0.7,31
original,100,0.07140716040127965,,True,,,True,50,50,1.0,31
half,48,0.08391791961664312,,True,,,True,50,50,1.0,33
sqrt,10,0.08386911694289469,-0.28962854814834393,False,-0.21312035309465793,-0.23498011250235187,False,50,48,0.96,33
log,4,0.06474868967938545,0.4195285826597436,False,0.42058696657908023,0.30542361089076303,False,50,18,0.36,33
ten_percent,10,0.08386911694289469,-0.28962854814834393,False,-0.21312035309465793,-0.23498011250235187,False,50,48,0.96,33
original,100,0.08391791961664312,,True,,,True,50,50,1.0,33
half,48,0.0835368749112588,,True,,,True,50,50,1.0,36
sqrt,10,0.08345942791024472,-0.004949706633394551,False,-0.0015916280922842875,-0.004081632653061224,False,50,49,0.98,36
log,4,0.07113394291073986,0.1762063401934035,False,0.17545073127275562,0.13049721868022765,False,50,22,0.44,36
ten_percent,10,0.08345942791024472,-0.004949706633394551,False,-0.0015916280922842875,-0.004081632653061224,False,50,49,0.98,36
original,100,0.0835368749112588,,True,,,True,50,50,1.0,36
half,48,0.07795218645464469,,True,,,True,50,50,1.0,37
sqrt,10,0.07795218645464469,,True,,,True,50,50,1.0,37
log,4,0.06473328542769032,0.20383846854116017,False,0.23617667938124695,0.14660333322756625,False,50,18,0.36,37
ten_percent,10,0.07795218645464469,,True,,,True,50,50,1.0,37
original,100,0.07795218645464469,,True,,,True,50,50,1.0,37
half,48,0.08523033808189574,,True,,,True,50,50,1.0,34
sqrt,10,0.08340502152445409,0.12258811701258292,False,0.29482725314895686,0.09535563601534947,False,50,34,0.68,34
log,4,0.06313369048058505,0.0874906945918685,False,0.04774535457408324,0.06618225213558056,False,50,16,0.32,34
ten_percent,10,0.08340502152445409,0.12258811701258292,False,0.29482725314895686,0.09535563601534947,False,50,34,0.68,34
original,100,0.08523033808189574,,True,,,True,50,50,1.0,34
half,48,0.07785314578220252,,True,,,True,50,50,1.0,44
sqrt,10,0.07746604189032504,0.11390491896674676,False,0.1486347894114287,0.09505351921635871,False,50,45,0.9,44
log,4,0.05856216762715558,0.10804709390062149,False,0.16757667697606415,0.08114822249196493,False,50,5,0.1,44
ten_percent,10,0.07746604189032504,0.11390491896674676,False,0.1486347894114287,0.09505351921635871,False,50,45,0.9,44
original,100,0.07785314578220252,,True,,,True,50,50,1.0,44
half,48,0.07212453106605117,,True,,,True,50,50,1.0,40
sqrt,10,0.07199847926865958,-0.09156960114848085,False,-0.12556917016020763,-0.07619047619047618,False,50,47,0.94,40
log,4,0.0663035864006915,-0.24156266118233088,False,-0.24353670331638755,-0.16536796536796539,False,50,17,0.34,40
ten_percent,10,0.07199847926865958,-0.09156960114848085,False,-0.12556917016020763,-0.07619047619047618,False,50,47,0.94,40
original,100,0.07212453106605117,,True,,,True,50,50,1.0,40
half,48,0.07957298224407192,,True,,,True,50,50,1.0,35
sqrt,10,0.07944675176706277,0.19006873472235072,False,0.11695880250008918,0.1537524192916623,False,50,48,0.96,35
log,4,0.058554624346010525,0.24314742995851102,False,0.19129281543639517,0.17074694419062766,False,50,15,0.3,35
ten_percent,10,0.07944675176706277,0.19006873472235072,False,0.11695880250008918,0.1537524192916623,False,50,48,0.96,35
original,100,0.07957298224407192,,True,,,True,50,50,1.0,35
half,48,0.06915948259134704,,True,,,True,50,50,1.0,41
sqrt,10,0.06660304096851971,0.060242924559386166,False,0.09640763823333838,0.047809144373375745,False,50,35,0.7,41
log,4,0.053819819869175826,0.05283879325288959,False,0.06464056864969749,0.03992382923928563,False,50,10,0.2,41
ten_percent,10,0.06660304096851971,0.060242924559386166,False,0.09640763823333838,0.047809144373375745,False,50,35,0.7,41
original,100,0.06915948259134704,,True,,,True,50,50,1.0,41
half,48,0.06653098761050291,,True,,,True,50,50,1.0,39
sqrt,10,0.06653098761050291,,True,,,True,50,50,1.0,39
log,4,0.06128328179510585,-0.0634224805456734,False,-0.10501556706732068,-0.029594627255647668,False,50,21,0.42,39
ten_percent,10,0.06653098761050291,,True,,,True,50,50,1.0,39
original,100,0.06653098761050291,,True,,,True,50,50,1.0,39
half,48,0.07115484142235158,,True,,,True,50,50,1.0,38
sqrt,10,0.07114999843445016,-0.15344090563523108,False,-0.149209996581217,-0.12653061224489795,False,50,49,0.98,38
log,4,0.06169801463223343,0.004296937511922365,False,-0.021671766182596464,0.008800587194767106,False,50,19,0.38,38
ten_percent,10,0.07114999843445016,-0.15344090563523108,False,-0.149209996581217,-0.12653061224489795,False,50,49,0.98,38
original,100,0.07115484142235158,,True,,,True,50,50,1.0,38
half,48,0.08656345560396086,,True,,,True,50,50,1.0,42
sqrt,10,0.0824918250097231,0.12362050948977504,False,0.20122400484298011,0.10363946430143024,False,50,31,0.62,42
log,4,0.07646878860563014,0.1115257624072227,False,0.028485468496801884,0.08340304044773433,False,50,21,0.42,42
ten_percent,10,0.0824918250097231,0.12362050948977504,False,0.20122400484298011,0.10363946430143024,False,50,31,0.62,42
original,100,0.08656345560396086,,True,,,True,50,50,1.0,42
half,48,0.06950696898346492,,True,,,True,50,50,1.0,43
sqrt,10,0.06835496875563045,-0.05842186957513216,False,-0.057009238325836764,-0.049690399499995326,False,50,41,0.82,43
