dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,10,0.06614069303533265,-0.17903580300437075,False,-0.20622466504601203,-0.14979209969218638,False,20,19,0.95,13
sqrt,4,0.05149277787260002,0.32004240693344793,False,0.15409972782167095,0.19876584354584703,False,20,9,0.45,13
log,2,0.08427754066253741,0.08377418137756935,False,0.08210512382317185,0.06417938247608372,False,20,4,0.2,13
ten_percent,2,0.08427754066253741,0.08377418137756935,False,0.08210512382317185,0.06417938247608372,False,20,4,0.2,13
original,20,0.06623387716476625,,True,,,True,20,20,1.0,13
half,10,0.07499054500976846,0.05967860100145693,False,0.048120761645849226,0.04993069989739546,False,20,19,0.95,6
sqrt,4,0.06700022765306964,0.32703727407004934,False,0.3125401742162659,0.20519567041703082,False,20,8,0.4,6
log,2,0.0538530446257713,0.01523944991607614,False,0.19700006167973255,0.005484084971070818,False,20,6,0.3,6
ten_percent,2,0.0538530446257713,0.01523944991607614,False,0.19700006167973255,0.005484084971070818,False,20,6,0.3,6
original,20,0.07528030799113486,,True,,,True,20,20,1.0,6
half,10,0.08298719667538701,,True,,,True,20,20,1.0,15
sqrt,4,0.07696622472361384,-0.07786628214276602,False,0.0027518147662069555,-0.036456553271650594,False,20,14,0.7,15
log,2,0.14507727704270462,-0.218127130882573,False,-0.27461984945237417,-0.15303483349148167,False,20,2,0.1,15
ten_percent,2,0.14507727704270462,-0.218127130882573,False,-0.27461984945237417,-0.15303483349148167,False,20,2,0.1,15
original,20,0.08298719667538701,,True,,,True,20,20,1.0,15
half,10,0.08591835172395364,0.37796447300922725,False,0.5294048477309651,0.3162277660168379,False,20,19,0.95,17
sqrt,4,0.08045772484622785,0.09881062333064236,False,0.1376279619355132,0.06855106213838522,False,20,13,0.65,17
log,2,0.07965880537088928,0.2272792493833358,False,0.22415487065073517,0.16222142113076254,False,20,5,0.25,17
ten_percent,2,0.07965880537088928,0.2272792493833358,False,0.22415487065073517,0.16222142113076254,False,20,5,0.25,17
original,20,0.0859258293846441,,True,,,True,20,20,1.0,17
half,10,0.07452335323627993,0.27853378932017575,False,0.18238416664664095,0.22660836558113065,False,20,18,0.9,16
sqrt,4,0.06351633802137809,0.15295162563757614,False,0.11644071937234056,0.10936965981495178,False,20,14,0.7,16
log,2,0.059926667949386545,0.06606750659959966,False,0.10606050855356042,0.0613864519323856,False,20,7,0.35,16
ten_percent,2,0.059926667949386545,0.06606750659959966,False,0.10606050855356042,0.0613864519323856,False,20,7,0.35,16
original,20,0.0748364829594615,,True,,,True,20,20,1.0,16
half,10,0.07253437218173069,0.37796447300922725,False,0.6658687732368032,0.3162277660168379,False,20,19,0.95,18
sqrt,4,0.06415389355702224,0.014189072228576507,False,-0.07809270947854083,0.03507632533162006,False,20,9,0.45,18
log,2,0.06151501868232445,-0.048873471009541314,False,-0.1120599372352302,-0.03507632533162006,False,20,9,0.45,18
ten_percent,2,0.06151501868232445,-0.048873471009541314,False,-0.1120599372352302,-0.03507632533162006,False,20,9,0.45,18
original,20,0.0730544307592356,,True,,,True,20,20,1.0,18
half,10,0.08356853766039056,-0.19281174625827777,False,0.012367221545844074,-0.1531175237409325,False,20,14,0.7,3
sqrt,4,0.07700641918638848,-0.08293034458107483,False,-0.23961361551492422,-0.027420424855354085,False,20,13,0.65,3
log,2,0.07783778462662225,0.03886059728599416,False,-0.07316941169471147,0.016452254913212453,False,20,6,0.3,3
ten_percent,2,0.07783778462662225,0.03886059728599416,False,-0.07316941169471147,0.016452254913212453,False,20,6,0.3,3
original,20,0.08675751971835174,,True,,,True,20,20,1.0,3
half,10,0.08200986163998081,,True,,,True,20,20,1.0,7
sqrt,4,0.07927189474079013,0.009881635198086781,False,-0.010388629402924463,-0.007868894753646338,False,20,15,0.75,7
log,2,0.043193937265036016,0.6867005944843793,False,0.6346970715550294,0.49018965710735146,False,20,8,0.4,7
ten_percent,2,0.043193937265036016,0.6867005944843793,False,0.6346970715550294,0.49018965710735146,False,20,8,0.4,7
original,20,0.08200986163998081,,True,,,True,20,20,1.0,7
half,10,0.07173802980243191,-0.21882153700534204,False,-0.21886970817062495,-0.18307923295711667,False,20,19,0.95,5
sqrt,4,0.06699628040745124,0.40759382123889976,False,0.1797818412558901,0.31533488583657204,False,20,13,0.65,5
