dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,48,0.19637214635927427,0.4276099767674538,False,0.27851212222300714,0.3047272178613336,False,50,8,0.16,4
sqrt,14,0.17238364151375546,0.451860615710944,False,0.2608632577064305,0.3212435982332216,False,50,8,0.16,4
log,5,0.1920413291355523,0.3735287483669774,False,0.24198122240203204,0.2795105441389903,False,50,5,0.1,4
ten_percent,20,0.20122015053366143,0.4862671430254223,False,0.343880721383767,0.35811767787880866,False,50,6,0.12,4
original,200,0.11169027284961602,-0.014849119900183652,False,-0.005472733083309331,-0.012244897959183673,False,50,49,0.98,4
half,48,0.1709508288574256,0.42722504599057304,False,0.35864957353552834,0.2799526473035016,False,50,8,0.16,0
sqrt,14,0.2574432870315708,0.3117146362584393,False,0.2948014431451906,0.21355641341396847,False,50,6,0.12,0
log,5,0.24001980995921804,0.23565920286157932,False,0.2430886947627502,0.14821467883823186,False,50,7,0.14,0
ten_percent,20,0.2400589552511603,0.32180715454617786,False,0.2847752765540588,0.21519915505561438,False,50,6,0.12,0
original,200,0.06760949475469903,,True,,,True,50,50,1.0,0
half,48,0.23916044714599213,0.14744176575411624,False,0.1275964459779302,0.09754180279337199,False,50,5,0.1,2
sqrt,14,0.17507736794131337,0.14940458055721245,False,0.07455646326723711,0.09814608021324382,False,50,10,0.2,2
log,5,0.2913734503344252,0.026528905213484194,False,-0.022204743576538587,-0.0016427416416459112,False,50,6,0.12,2
ten_percent,20,0.19032629919530336,0.1760095977287438,False,0.07887457555100331,0.11974375769618802,False,50,8,0.16,2
original,200,0.08823387429938108,0.2227367985027548,False,0.25688907006783757,0.1836734693877551,False,50,49,0.98,2
half,48,0.19262921243850858,0.523032745359327,False,0.31181240187148324,0.37290235265362187,False,50,6,0.12,10
sqrt,14,0.19828533646267738,0.5124872130696693,False,0.2941412958515801,0.3476698068282424,False,50,8,0.16,10
log,5,0.17390087612507896,0.5609884909566496,False,0.3310524783514008,0.40217386205547284,False,50,8,0.16,10
ten_percent,20,0.22015593129829228,0.4795407529358357,False,0.31812044184169896,0.32771912320897933,False,50,7,0.14,10
original,200,0.07129533976106388,,True,,,True,50,50,1.0,10
half,48,0.11174097888427666,0.10673575541136798,False,0.10515621221374861,0.08519992187553997,False,50,11,0.22,13
sqrt,14,0.11539413302481641,0.14741212513109436,False,0.12613356854297567,0.09363095904846971,False,50,9,0.18,13
log,5,0.2638412254831858,0.20989433842542055,False,0.20416834698922376,0.15302828439085756,False,50,4,0.08,13
ten_percent,20,0.21772015400617906,0.24265130382728253,False,0.196014052583438,0.17594161039590578,False,50,4,0.08,13
original,200,0.0679529350068881,,True,,,True,50,50,1.0,13
half,48,0.2806712139741154,0.07826087859675963,False,0.10228586287961332,0.05163977794943223,False,50,5,0.1,8
