dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,100,0.10429744923515503,-0.14228829927692951,False,-0.11120034651001875,-0.11631321695362716,False,200,194,0.97,1
sqrt,14,0.0813428416271876,0.11455620179776592,False,0.042181783620132536,0.09242330693500508,False,200,190,0.95,1
log,5,0.0599250386011225,0.24759639796352023,False,0.24769663567469885,0.17081187435058115,False,200,57,0.285,1
ten_percent,20,0.08153961506135048,0.05938156952201644,False,0.04398210797088264,0.04860651705377799,False,199,198,0.9949748743718593,1
original,200,0.08138767797001698,,True,,,True,200,200,1.0,1
half,100,0.07283889069274177,,True,,,True,199,199,1.0,14
sqrt,14,0.07210531699578099,-0.04023254160796609,False,0.01722260504551509,-0.032794220067088854,False,200,160,0.8,14
log,5,0.05021980408802595,0.136316976324591,False,0.11847141956369106,0.09333939401369007,False,200,27,0.135,14
ten_percent,20,0.07256013090179038,0.0845284088899618,False,0.061172442774709936,0.06694989158412061,False,200,179,0.895,14
original,200,0.07694842953248489,0.022714921814991424,False,0.006363325810429381,0.0185929648241206,False,200,199,0.995,14
half,100,0.0703454668094505,,True,,,True,200,200,1.0,13
sqrt,14,0.07002416549305066,-0.04788264928607178,False,-0.057114144251670204,-0.03848287943066354,False,200,169,0.845,13
log,5,0.05409681717705606,0.043735237235559325,False,0.055780973333263824,0.029111799114458856,False,200,38,0.19,13
ten_percent,20,0.0703454668094505,,True,,,True,200,200,1.0,13
original,200,0.0837787993100046,-0.03455525118747568,False,-0.044641551441038624,-0.028284692109015283,False,200,197,0.985,13
half,100,0.0735074947590638,-0.07793830999764657,False,-0.06905431842539413,-0.06379605363308362,False,199,198,0.9949748743718593,4
sqrt,14,0.06823871820351585,0.12646681310009972,False,0.0542664099568976,0.09942629616784365,False,200,175,0.875,4
log,5,0.05532660440484889,0.1324751567526129,False,0.03248780213726917,0.09059777772956933,False,200,61,0.305,4
ten_percent,20,0.06858812167875876,-0.013835881851679045,False,0.03561484520718237,-0.011634299260226945,False,200,197,0.985,4
original,200,0.06859031298918522,,True,,,True,200,200,1.0,4
half,100,0.08253272445881224,-0.05341076210552037,False,-0.055892068453072014,-0.04371859296482412,False,200,199,0.995,0
sqrt,14,0.07750584579100757,0.11801858529784201,False,0.015990426015092422,0.09206580139919912,False,200,172,0.86,0
log,5,0.05631193013464346,0.25406672795299745,False,0.25945726758388526,0.17904681689071392,False,200,51,0.255,0
ten_percent,20,0.08159885409802296,0.06323343099848965,False,0.053987669160465074,0.05175879396984925,False,200,199,0.995,0
original,200,0.08090633695588167,0.10989110824009365,False,0.1354696446747657,0.08994974874371858,False,200,199,0.995,0
half,100,0.08773222705824954,0.021759978995899702,False,0.016510843726749744,0.017811310438997387,False,200,198,0.99,7
sqrt,14,0.07855937164687907,0.1606868691197907,False,0.1413154148031674,0.12427121532697154,False,200,144,0.72,7
log,5,0.05755257702992212,0.1371985820835101,False,0.1333790508976968,0.09019597064114863,False,200,27,0.135,7
ten_percent,20,0.07950382722620439,0.0073485527162424,False,-0.021257957308507557,0.005336449148087557,False,199,187,0.9396984924623115,7
original,200,0.08784227595392903,0.024371176475407666,False,0.006745148709925561,0.019948667691677077,False,200,198,0.99,7
half,100,0.08575283669990394,0.005525251252295212,False,-0.004251740448702996,0.004522613065326633,False,200,199,0.995,11
sqrt,14,0.08119216415615427,0.02298745132897865,False,0.025894498099168335,0.01880993120679783,False,200,176,0.88,11
log,5,0.06808455545827564,0.0828333636155492,False,0.03074749038197585,0.05903781125088113,False,200,58,0.29,11
ten_percent,20,0.08153085089362355,0.14004021301575864,False,0.1364164635019028,0.11459784771323542,False,200,197,0.985,11
original,200,0.08153499939238767,,True,,,True,200,200,1.0,11
half,100,0.07484561268899469,0.10391774666352876,False,0.12945136991381698,0.08506140484411148,False,199,198,0.9949748743718593,2
sqrt,14,0.07102954231530871,0.08302696768198436,False,0.03962082773217836,0.0654573384660724,False,200,174,0.87,2
log,5,0.05485052643595558,-0.015416875510764112,False,-0.04048350373732174,-0.010052826129324567,False,200,29,0.145,2
ten_percent,20,0.07116800259799244,0.15497984369208634,False,0.09397095921445651,0.1245894066643707,False,200,180,0.9,2
original,200,0.07582360910385598,-0.03622109154282416,False,-0.03617476282933178,-0.02964824120603015,False,200,199,0.995,2
half,100,0.07702090383214986,-0.017407983196719764,False,-0.03172581126616208,-0.01424904835119791,False,200,198,0.99,6
sqrt,14,0.06498112759808758,0.1872518770021078,False,0.1561911619043542,0.146631504090786,False,200,140,0.7,6
log,5,0.05866431842107231,-0.008904683025839287,False,-0.060297510043721726,-0.0050196532403108205,False,200,68,0.34,6
ten_percent,20,0.06800357804831103,-0.018039616356995178,False,0.06107197756525072,-0.015142825189157334,False,200,187,0.935,6
original,200,0.07306322200180945,-0.12216944435630522,False,-0.09573672970289451,-0.09999999999999999,False,200,199,0.995,6
half,100,0.07629967636487842,0.12123737110745024,False,0.23861630872641051,0.0992383056514634,False,199,198,0.9949748743718593,9
sqrt,14,0.07300709778766878,0.05777857718839082,False,0.04277505491604573,0.04170036680484788,False,200,155,0.775,9
log,5,0.06187759213253702,0.11477925443203126,False,0.027642810813988786,0.07503147364111418,False,200,57,0.285,9
ten_percent,20,0.07378866773601445,,True,,,True,200,200,1.0,9
original,200,0.08188622107969219,0.06876153362704306,False,0.03830717751758563,0.05628374098723175,False,200,198,0.99,9
half,100,0.09116491940714262,-0.02173062188078368,False,-0.0481864930399033,-0.017787280604638477,False,200,197,0.985,5
sqrt,14,0.07781630510772809,0.17003633129171802,False,0.1670058507628009,0.13872179020077266,False,200,189,0.945,5
log,5,0.06771886276486047,0.0374594668211755,False,-0.08571814664778124,0.023406326292907176,False,200,52,0.26,5
ten_percent,20,0.07785984035979789,0.1105620198916839,False,0.07602975200136297,0.08918305040138477,False,200,193,0.965,5
original,200,0.07786398007452149,,True,,,True,200,200,1.0,5
half,100,0.08702684764937003,0.04787195379097934,False,0.05220564694100888,0.039184882965794254,False,200,198,0.99,8
sqrt,14,0.07850326864286922,0.10808520015302488,False,0.10181483075450991,0.0856795423031103,False,200,162,0.81,8
