dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,25,0.2825782379687831,0.18819858354931368,False,0.12739143500809874,0.12408841766230803,False,100,9,0.09,9
sqrt,7,0.29072839239375603,0.18707013743747472,False,0.12850112955196,0.12815091207014156,False,100,7,0.07,9
log,3,0.35795008146081,0.1613058092198721,False,0.12213309084760118,0.10758347258851415,False,100,5,0.05,9
ten_percent,5,0.41060279446625314,0.1141677592797196,False,0.07400182895285232,0.07940196019907114,False,100,2,0.02,9
original,50,0.07668081488114713,0.05204383528572409,False,0.015034104932012429,0.042709867452135494,False,98,97,0.9897959183673469,9
half,25,0.34517560580892515,0.14275084039145525,False,0.17432400192775002,0.10111228626740051,False,100,5,0.05,2
sqrt,7,0.2513679176599166,0.11027962989846718,False,0.11246653326555503,0.07894552114495101,False,100,10,0.1,2
log,3,0.2235848106993935,0.16983351778009817,False,0.06165145162333582,0.11924310775562937,False,100,7,0.07,2
ten_percent,5,0.29496168505578263,0.11112244596798744,False,0.13412320026183003,0.07802710147094226,False,100,4,0.04,2
original,50,0.07556052396828507,-0.03888277323113806,False,-0.04810942185680571,-0.031907590202880476,False,99,98,0.98989898989899,2
half,25,0.17454848242953902,0.1762339762348966,False,0.07517563094410955,0.11518717079645843,False,100,11,0.11,10
sqrt,7,0.17495816051447594,0.15855195118532822,False,0.0718852694640721,0.10616468509749112,False,100,12,0.12,10
log,3,0.1708362824257183,0.2551618250671749,False,0.14483118375881196,0.16207520621336222,False,100,8,0.08,10
ten_percent,5,0.1872506223340597,0.15789664269204987,False,0.06951419818464796,0.1017849438994749,False,100,9,0.09,10
original,50,0.0821717377645726,-0.04595236836407225,False,-0.05024830761820563,-0.03770897023976783,False,99,98,0.98989898989899,10
half,25,0.23558918209308594,0.17759411887812623,False,0.20252119802924876,0.12808665304276282,False,98,8,0.08163265306122448,0
sqrt,7,0.2873195487072343,0.11905904966228655,False,0.15852431591077942,0.0780586849984332,False,100,5,0.05,0
log,3,0.49417741045108193,0.057455917959808436,False,0.11415037073732248,0.023638751509647133,False,100,2,0.02,0
ten_percent,5,0.2787555521882128,0.1449417138504944,False,0.16362028494590397,0.09893789843206978,False,100,6,0.06,0
original,50,0.06895843714104269,0.1732050807568877,False,0.3072602720276109,0.1421338109037403,False,99,98,0.98989898989899,0
half,25,0.3159541686204127,0.18155304881465814,False,0.12385269761484266,0.11809915036032381,False,100,5,0.05,12
sqrt,7,0.2669781121143883,0.21384783998627513,False,0.15107738573636406,0.1341427948066713,False,100,6,0.06,12
log,3,0.41664433631792575,0.14616596482869498,False,0.13043286289274694,0.10055651435733881,False,100,6,0.06,12
ten_percent,5,0.2809347868482793,0.1818891025838662,False,0.13614967968780423,0.11365020976455818,False,100,5,0.05,12
original,50,0.08369131528507599,0.02611295407370118,False,0.014532732232428186,0.02142747821777417,False,100,99,0.99,12
half,25,0.18371520815683948,0.3787753409511245,False,0.3277718238740631,0.25850995391031273,False,100,8,0.08,8
sqrt,7,0.18424158842987445,0.3807254343151568,False,0.3550369737883721,0.2577998584492165,False,100,11,0.11,8
log,3,0.43803041743316196,0.2432896277611035,False,0.19891709205801064,0.16211848543962612,False,100,4,0.04,8
ten_percent,5,0.2484073014165632,0.33061660991837044,False,0.3129113066268691,0.2253269591375475,False,100,7,0.07,8
original,50,0.0923194349608098,0.016256517502848802,False,0.008900504102385359,0.013164599149560146,False,100,98,0.98,8
half,25,0.1957394490840711,0.25462163490307893,False,0.17216137334015552,0.17342047064829755,False,100,8,0.08,5
sqrt,7,0.2125198149425115,0.218330759009392,False,0.17005004423338077,0.14506845230223728,False,100,6,0.06,5
log,3,0.2486457348091681,0.17780365388908007,False,0.16727698534044336,0.11438430540225908,False,100,7,0.07,5
ten_percent,5,0.2895728119366338,0.1182789248409107,False,0.1337120004033822,0.08129427815899001,False,100,5,0.05,5
original,50,0.08986929672350241,-0.05270377820558288,False,-0.0658802032877379,-0.04354444334085279,False,100,98,0.98,5
half,25,0.22292929381428053,0.040890542560424424,False,0.0204647481013097,0.022649152123897717,False,100,5,0.05,1
sqrt,7,0.20024200236024722,0.0414790830672926,False,0.01649272248158899,0.025547615401063418,False,100,9,0.09,1
log,3,0.27033924137363113,0.001962690929548508,False,0.030117098364898724,-0.0028363161087338385,False,100,8,0.08,1
ten_percent,5,0.27858935764365933,0.021557777788752296,False,0.01672919280706893,0.010729855197026072,False,100,7,0.07,1
original,50,0.09749641272465849,-0.05984132653160664,False,-0.04179037652465627,-0.04899092077312955,False,100,97,0.97,1
half,25,0.30166403728074753,0.17731047063179886,False,0.18232902584408126,0.12511628502520664,False,99,6,0.06060606060606061,13
sqrt,7,0.2810405097947857,0.1671995042012255,False,0.1586415614077786,0.1166932510497348,False,100,10,0.1,13
log,3,0.4626341668594488,0.19107168038393946,False,0.19142870409092835,0.12910395055268817,False,100,2,0.02,13
ten_percent,5,0.2500268093120084,0.22114785106793514,False,0.22979815232348758,0.1535662578871607,False,100,8,0.08,13
original,50,0.07391395496763897,-0.1375282247881596,False,-0.13209526844168884,-0.1128513852802773,False,100,99,0.99,13
half,25,0.19461765066000072,0.14490866487291956,False,0.11774238080023523,0.10191189654949073,False,99,12,0.12121212121212122,3
sqrt,7,0.27236807488977893,0.14038678006395391,False,0.15402881796574916,0.10055651435733881,False,100,6,0.06,3
log,3,0.2433205899971277,0.10594571945663413,False,0.11192680653833476,0.06980281177722715,False,100,6,0.06,3
ten_percent,5,0.3987002717290462,0.09751413516471251,False,0.13883862288485616,0.06498648147632773,False,100,7,0.07,3
original,50,0.10569979860450283,-0.1597177366235109,False,-0.12171004049974522,-0.13153062124461073,False,98,94,0.9591836734693877,3
half,25,0.16279978634753514,0.2866922716560602,False,0.23730473563609733,0.20247583539493286,False,100,14,0.14,11
sqrt,7,0.143206164652772,0.2575718107179599,False,0.2505999492618924,0.18019580334472424,False,100,11,0.11,11
log,3,0.20331946881301424,0.23523763844564682,False,0.2434032403801528,0.16541970033346726,False,100,5,0.05,11
ten_percent,5,0.1771531615771583,0.18981496317163898,False,0.20480497325956804,0.13536417121769237,False,100,10,0.1,11
original,50,0.08963768522603159,-0.06362635619640773,False,-0.0676349197509877,-0.05221242033198623,False,99,98,0.98989898989899,11
half,25,0.19654112885388242,0.32276408419627595,False,0.30677278237242384,0.22547165550653106,False,100,10,0.1,7
sqrt,7,0.17495163009028952,0.3455315346155641,False,0.33618799265589683,0.24319927242004333,False,100,15,0.15,7
log,3,0.2893968455215347,0.24740758565911036,False,0.3238045681543945,0.16299300546304962,False,100,5,0.05,7
ten_percent,5,0.3719472043154528,0.2274055628255131,False,0.25288102430539616,0.15605420294188452,False,100,4,0.04,7
original,50,0.09754162521229147,-0.12015503777630053,False,-0.1018491435444768,-0.09809559994906179,False,97,94,0.9690721649484536,7
half,25,0.2517701195621583,0.09993547385757987,False,0.09866299685045918,0.07245128804305273,False,100,10,0.1,6
sqrt,7,0.22422462990253514,0.11431956025805766,False,0.07988123509872816,0.08379281659035699,False,100,12,0.12,6
log,3,0.37143745560297425,-0.00034805568953692636,False,0.00955528038135081,0.0004044491450696021,False,100,5,0.05,6
ten_percent,5,0.3321866642746729,0.03391742684935704,False,0.034437292439589935,0.028715889299941746,False,100,5,0.05,6
original,50,0.07780826839333001,,True,,,True,99,99,1.0,6
half,25,0.30825368978573864,0.047695631386887774,False,0.02480092946509117,0.03680487220133379,False,100,5,0.05,4
sqrt,7,0.2482672634429387,0.08887956784425687,False,0.05148468207697086,0.06277396080441915,False,100,11,0.11,4
log,3,0.2950376649045366,0.05100816139765301,False,0.023148080839289882,0.02750254186473294,False,100,5,0.05,4
ten_percent,5,0.3364652795556864,0.022048520068181365,False,-0.0025039102764186244,0.013960562355445428,False,100,6,0.06,4
original,50,0.10276690214280222,-0.08440797743350029,False,-0.06365711567798857,-0.06837696748740364,False,98,95,0.9693877551020408,4
half,25,0.18719611342906006,0.1519336270832146,False,0.13067728951910088,0.11741865283244912,False,99,13,0.13131313131313133,14
sqrt,7,0.22429259017727193,0.16251800317308693,False,0.14682367005503746,0.11324576061948857,False,100,5,0.05,14
log,3,0.20159843085376936,0.16896573519220726,False,0.15644340692194347,0.12327738225275048,False,100,9,0.09,14
ten_percent,5,0.37948951248960616,0.12298977486364099,False,0.1460093188841572,0.09113873309480199,False,100,3,0.03,14
original,50,0.086589860529926,-0.14177458577835184,False,-0.11710918757796894,-0.11634756995581738,False,98,97,0.9897959183673469,14
half,25,0.1851425215320713,0.1723661965737656,False,0.0971249227641072,0.12491171050122804,False,100,7,0.07,15
sqrt,7,0.20837949974624212,0.1521055459835422,False,0.08362204347039628,0.10615926006975224,False,100,8,0.08,15
log,3,0.19761166935954846,0.15346660458732309,False,0.09593936179150427,0.1119228865189445,False,100,9,0.09,15
ten_percent,5,0.1952408792093691,0.15612619562373786,False,0.09373784975756369,0.11240427749974127,False,100,13,0.13,15
original,50,0.06933499136494407,0.1191645294997022,False,0.14885909085183668,0.09767662886503667,False,99,97,0.9797979797979798,15
half,25,0.18631697420356638,0.1241478832092331,False,0.015077261533604211,0.09721055174403993,False,100,10,0.1,21
sqrt,7,0.16311911243416838,0.10409989269941942,False,0.007960592473126728,0.08232009407009325,False,100,9,0.09,21
log,3,0.3870917131645764,-0.047323571856693135,False,-0.010263471901949912,-0.026693643574593737,False,100,5,0.05,21
ten_percent,5,0.20810738271960802,0.04337727017690235,False,-0.03617799345056156,0.03403579330480606,False,100,8,0.08,21
original,50,0.07808242302609161,,True,,,True,100,100,1.0,21
half,25,0.14613233933296885,0.3552422243390701,False,0.2430860618955003,0.24705387229813253,False,100,17,0.17,17
sqrt,7,0.1674562479868864,0.3446651179961348,False,0.2324766781919068,0.2429249069678827,False,100,10,0.1,17
log,3,0.1761378481342034,0.28191324241579174,False,0.22533432434000195,0.19408505944050122,False,100,8,0.08,17
ten_percent,5,0.25559573624298,0.1934829576215445,False,0.18707919476785445,0.13144597214762066,False,100,5,0.05,17
original,50,0.07508814063753495,0.005222590814740238,False,-0.01817807520730214,0.004285495643554834,False,100,99,0.99,17
half,25,0.22262100230460904,0.034647219370732875,False,-0.040485830049034596,0.029150421873708348,False,99,8,0.08080808080808081,16
sqrt,7,0.21112833137913165,0.06364127911424546,False,-0.013824124431015794,0.04501246523044507,False,100,9,0.09,16
log,3,0.26791254726010416,0.0795127221786944,False,-0.0050361502241077745,0.05743177859988349,False,100,5,0.05,16
ten_percent,5,0.2380202586609859,0.13379742921069776,False,0.060953694112356155,0.0957006665815317,False,100,6,0.06,16
original,50,0.07382997503580012,,True,,,True,99,99,1.0,16
half,25,0.2514602160563291,0.24179068694520411,False,0.22052011148562572,0.1536906751264488,False,100,5,0.05,19
sqrt,7,0.29379467756827465,0.2055328856317195,False,0.1910042561320869,0.13265931958282948,False,100,5,0.05,19
log,3,0.17605829344977578,0.31598468835685095,False,0.2531692854726629,0.2147995540385785,False,100,7,0.07,19
ten_percent,5,0.25093434095649625,0.2394621681216261,False,0.19542613278382037,0.1581519048637259,False,100,9,0.09,19
original,50,0.07681869296525089,,True,,,True,97,97,1.0,19
half,25,0.17978291826158366,0.17567654908209193,False,0.15258435768677295,0.11791091975634072,False,100,10,0.1,24
sqrt,7,0.21504616961955939,0.14424557113739994,False,0.12394562765985975,0.09610532056284897,False,100,6,0.06,24
log,3,0.31389680752331794,0.05457273173532429,False,0.05592186447182779,0.04125381279709941,False,100,5,0.05,24
ten_percent,5,0.1985302890116849,0.2099830476825438,False,0.1857077255150425,0.13859398860116115,False,100,6,0.06,24
original,50,0.09422402431116014,0.07846886892261365,False,0.0829024454761089,0.06495811911303347,False,98,95,0.9693877551020408,24
half,25,0.2407647446593448,0.3523478611742327,False,0.2529787968303352,0.24479813193956337,False,100,11,0.11,26
