dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,18,0.07868647397066021,,True,,,True,20,20,1.0,9
sqrt,14,0.07868647397066021,,True,,,True,20,20,1.0,9
log,5,0.07863532584026697,0.1688520898987594,False,0.0653062558661132,0.13119431691539143,False,20,18,0.9,9
ten_percent,18,0.07868647397066021,,True,,,True,20,20,1.0,9
original,200,0.07868647397066021,,True,,,True,20,20,1.0,9
half,18,0.08731685324619223,0.03979414932394491,False,-0.0015499831333133343,0.0346843987809648,False,20,16,0.8,0
sqrt,14,0.08763564045730372,,True,,,True,20,20,1.0,0
log,5,0.0827710621734149,-0.09335049288534596,False,-0.06439272188437566,-0.06514969050713038,False,20,12,0.6,0
ten_percent,18,0.08731685324619223,0.03979414932394491,False,-0.0015499831333133343,0.0346843987809648,False,20,16,0.8,0
original,200,0.08763564045730372,,True,,,True,20,20,1.0,0
half,18,0.07973893516758113,-0.09946433500242821,False,-0.09888727356883359,-0.08321783316232577,False,20,19,0.95,3
sqrt,14,0.07978605761284845,,True,,,True,20,20,1.0,3
log,5,0.07589234250569107,0.01588027874956752,False,0.022070847339378395,0.013710212427677042,False,20,13,0.65,3
ten_percent,18,0.07973893516758113,-0.09946433500242821,False,-0.09888727356883359,-0.08321783316232577,False,20,19,0.95,3
original,200,0.07978605761284845,,True,,,True,20,20,1.0,3
half,18,0.06724268444120594,,True,,,True,20,20,1.0,10
sqrt,14,0.06724268444120594,,True,,,True,20,20,1.0,10
log,5,0.05923410918269891,0.07722631684151347,False,-0.03883177172775651,0.052119752405704295,False,20,12,0.6,10
ten_percent,18,0.06724268444120594,,True,,,True,20,20,1.0,10
original,200,0.06724268444120594,,True,,,True,20,20,1.0,10
half,18,0.06198268231823765,,True,,,True,20,20,1.0,5
sqrt,14,0.06198268231823765,,True,,,True,20,20,1.0,5
log,5,0.05345956933070839,0.16553917600005927,False,0.043476320579230655,0.11692108443873354,False,20,9,0.45,5
ten_percent,18,0.06198268231823765,,True,,,True,20,20,1.0,5
original,200,0.06198268231823765,,True,,,True,20,20,1.0,5
half,18,0.07863546020855162,,True,,,True,20,20,1.0,12
sqrt,14,0.07863546020855162,,True,,,True,20,20,1.0,12
log,5,0.07341801031767234,0.41641619832199284,False,0.6057645193623302,0.3427553106919261,False,20,13,0.65,12
ten_percent,18,0.07863546020855162,,True,,,True,20,20,1.0,12
original,200,0.07863546020855162,,True,,,True,20,20,1.0,12
half,18,0.0584946858682975,,True,,,True,20,20,1.0,15
sqrt,14,0.058297315990576096,0.22080657909837767,False,0.02535029513335325,0.17890134124826104,False,20,18,0.9,15
log,5,0.04935686478917499,0.05006980982032193,False,0.18262794313313419,0.052119752405704295,False,20,12,0.6,15
ten_percent,18,0.0584946858682975,,True,,,True,20,20,1.0,15
original,200,0.0584946858682975,,True,,,True,20,20,1.0,15
half,18,0.09018404820990952,,True,,,True,20,20,1.0,7
sqrt,14,0.09018404820990952,,True,,,True,20,20,1.0,7
log,5,0.076042530541064,-0.08296849665996237,False,-0.12029954905816168,-0.0613864519323856,False,20,7,0.35,7
ten_percent,18,0.09018404820990952,,True,,,True,20,20,1.0,7
original,200,0.09018404820990952,,True,,,True,20,20,1.0,7
half,18,0.07354006007116175,,True,,,True,20,20,1.0,13
sqrt,14,0.07354006007116175,,True,,,True,20,20,1.0,13
log,5,0.05543635402640919,0.1630621141020147,False,0.12268708526555634,0.0932294445082039,False,20,6,0.3,13
ten_percent,18,0.07354006007116175,,True,,,True,20,20,1.0,13
original,200,0.07354006007116175,,True,,,True,20,20,1.0,13
half,18,0.06945882436330011,,True,,,True,20,20,1.0,11
sqrt,14,0.06944655967336097,-0.09946433500242821,False,-0.1084063353165623,-0.08321783316232577,False,20,19,0.95,11
log,5,0.060956621666240926,0.1152234105078734,False,0.1608909324879545,0.0936585811581694,False,20,11,0.55,11
ten_percent,18,0.06945882436330011,,True,,,True,20,20,1.0,11
original,200,0.06945882436330011,,True,,,True,20,20,1.0,11
half,18,0.07997986845241997,,True,,,True,20,20,1.0,6
sqrt,14,0.07997986845241997,,True,,,True,20,20,1.0,6
log,5,0.0710616661630116,0.09321727526937275,False,-0.04390989030990904,0.06839855680567694,False,20,8,0.4,6
ten_percent,18,0.07997986845241997,,True,,,True,20,20,1.0,6
original,200,0.07997986845241997,,True,,,True,20,20,1.0,6
half,18,0.06134130224884351,,True,,,True,20,20,1.0,14
sqrt,14,0.06134130224884351,,True,,,True,20,20,1.0,14
log,5,0.062066088101144425,-0.1837984146844141,False,-0.27327457063470584,-0.13377121081198776,False,20,15,0.75,14
ten_percent,18,0.06134130224884351,,True,,,True,20,20,1.0,14
original,200,0.06134130224884351,,True,,,True,20,20,1.0,14
half,18,0.0743857197393096,,True,,,True,20,20,1.0,1
sqrt,14,0.07429043991324231,0.3723405059305976,False,0.26682897064268385,0.29816890208043506,False,20,18,0.9,1
log,5,0.06854378500170048,0.6785490301012469,False,0.5483824593612795,0.5905961630007397,False,20,14,0.7,1
ten_percent,18,0.0743857197393096,,True,,,True,20,20,1.0,1
original,200,0.0743857197393096,,True,,,True,20,20,1.0,1
half,18,0.06768681280494812,,True,,,True,20,20,1.0,8
sqrt,14,0.06768681280494812,,True,,,True,20,20,1.0,8
log,5,0.06657682181875177,0.25156832316950495,False,0.07184328650681482,0.19744962591969745,False,20,17,0.85,8
ten_percent,18,0.06768681280494812,,True,,,True,20,20,1.0,8
original,200,0.06768681280494812,,True,,,True,20,20,1.0,8
half,18,0.07444709318178469,,True,,,True,20,20,1.0,4
sqrt,14,0.07444709318178469,,True,,,True,20,20,1.0,4
log,5,0.06620472952761902,0.3250294434098864,False,0.29606806201139246,0.2475688239270954,False,20,12,0.6,4
ten_percent,18,0.07444709318178469,,True,,,True,20,20,1.0,4
original,200,0.07444709318178469,,True,,,True,20,20,1.0,4
half,18,0.19614602521293917,0.15784558672827878,False,0.15532940869005427,0.13206309278036843,False,20,17,0.85,2
sqrt,14,0.07196837479366454,-0.29296559187562526,False,-0.2673524308700214,-0.25046187774756545,False,20,18,0.9,2
log,5,0.06785539462405143,-0.02252750819009841,False,-0.0022074785829363282,-0.011399759467612822,False,20,8,0.4,2
ten_percent,18,0.19614602521293917,0.15784558672827878,False,0.15532940869005427,0.13206309278036843,False,20,17,0.85,2
original,200,0.07216301739352231,,True,,,True,20,20,1.0,2
half,18,0.06429789818688544,,True,,,True,20,20,1.0,21
sqrt,14,0.06429789818688544,,True,,,True,20,20,1.0,21
log,5,0.06434154674466849,-0.3742531639845596,False,-0.19629815533728454,-0.25955427380922,False,20,5,0.25,21
ten_percent,18,0.06429789818688544,,True,,,True,20,20,1.0,21
original,200,0.06429789818688544,,True,,,True,20,20,1.0,21
half,18,0.07040800930148301,,True,,,True,20,20,1.0,17
sqrt,14,0.07040800930148301,,True,,,True,20,20,1.0,17
log,5,0.06635752141930565,0.0247369036338036,False,0.011620247003386628,0.0173421993904824,False,20,16,0.8,17
ten_percent,18,0.07040800930148301,,True,,,True,20,20,1.0,17
original,200,0.07040800930148301,,True,,,True,20,20,1.0,17
half,18,0.07898714583415326,,True,,,True,20,20,1.0,18
sqrt,14,0.07879329878753895,0.25860727100631337,False,0.24997135240976479,0.216366366222047,False,20,19,0.95,18
log,5,0.05677253315932192,0.4083299674668128,False,0.37585502344902993,0.3156869279845806,False,20,9,0.45,18
ten_percent,18,0.07898714583415326,,True,,,True,20,20,1.0,18
original,200,0.07898714583415326,,True,,,True,20,20,1.0,18
half,18,0.06098618847260882,,True,,,True,20,20,1.0,20
sqrt,14,0.05971009435597987,0.4366073677290809,False,0.42687266386343975,0.35727422206217585,False,20,14,0.7,20
log,5,0.05991629622244563,0.07313519335211498,False,0.5626000242081137,0.0520265981714472,False,20,16,0.8,20
ten_percent,18,0.06098618847260882,,True,,,True,20,20,1.0,20
original,200,0.06098618847260882,,True,,,True,20,20,1.0,20
half,18,0.08088350527295166,,True,,,True,20,20,1.0,19
sqrt,14,0.08088350527295166,,True,,,True,20,20,1.0,19
log,5,0.07736989875924773,0.2588251017224714,False,0.6058011103187071,0.21719458851166717,False,20,17,0.85,19
ten_percent,18,0.08088350527295166,,True,,,True,20,20,1.0,19
original,200,0.08088350527295166,,True,,,True,20,20,1.0,19
half,18,0.08219887159871604,,True,,,True,20,20,1.0,16
sqrt,14,0.08219887159871604,,True,,,True,20,20,1.0,16
log,5,0.0802276161515927,0.34190457785380257,False,0.19068117409854116,0.25967352687032913,False,20,15,0.75,16
ten_percent,18,0.08219887159871604,,True,,,True,20,20,1.0,16
original,200,0.08219887159871604,,True,,,True,20,20,1.0,16
half,18,0.07901365362598549,,True,,,True,20,20,1.0,23
sqrt,14,0.07901365362598549,,True,,,True,20,20,1.0,23
log,5,0.0788787696597512,0.37796447300922725,False,0.4686235534056265,0.3162277660168379,False,20,19,0.95,23
ten_percent,18,0.07901365362598549,,True,,,True,20,20,1.0,23
original,200,0.07901365362598549,,True,,,True,20,20,1.0,23
half,18,0.07702588187749812,,True,,,True,20,20,1.0,24
sqrt,14,0.07702588187749812,,True,,,True,20,20,1.0,24
log,5,0.07440608349769601,0.11357736178633233,False,0.03981218925053964,0.06868295951599089,False,20,11,0.55,24
ten_percent,18,0.07702588187749812,,True,,,True,20,20,1.0,24
original,200,0.07702588187749812,,True,,,True,20,20,1.0,24
half,18,0.08074750338439604,,True,,,True,20,20,1.0,26
sqrt,14,0.08074750338439604,,True,,,True,20,20,1.0,26
log,5,0.07979202703959137,0.3942849680445126,False,0.36029793022150797,0.33566436406348565,False,20,17,0.85,26
ten_percent,18,0.08074750338439604,,True,,,True,20,20,1.0,26
original,200,0.08074750338439604,,True,,,True,20,20,1.0,26
half,18,0.08262341860044753,,True,,,True,20,20,1.0,27
sqrt,14,0.08262341860044753,,True,,,True,20,20,1.0,27
log,5,0.08061442673206576,0.039526540792347124,False,-0.08329428591495312,0.03934447376823169,False,20,15,0.75,27
ten_percent,18,0.08262341860044753,,True,,,True,20,20,1.0,27
original,200,0.08262341860044753,,True,,,True,20,20,1.0,27
half,18,0.08328703926313852,,True,,,True,20,20,1.0,29
sqrt,14,0.08328703926313852,,True,,,True,20,20,1.0,29
log,5,0.0754321689274788,-0.2953270138554581,False,-0.30939338181752785,-0.23453888582566934,False,20,12,0.6,29
ten_percent,18,0.08328703926313852,,True,,,True,20,20,1.0,29
original,200,0.08328703926313852,,True,,,True,20,20,1.0,29
half,18,0.06757947795565858,,True,,,True,20,20,1.0,25
sqrt,14,0.06755885293525402,0.21882153700534204,False,0.1301600360080452,0.18307923295711667,False,20,19,0.95,25
log,5,0.057996785883887826,0.2161043439698868,False,0.23488231267957957,0.1747178176073456,False,20,10,0.5,25
ten_percent,18,0.06757947795565858,,True,,,True,20,20,1.0,25
original,200,0.06757947795565858,,True,,,True,20,20,1.0,25
half,18,0.08432719544527803,,True,,,True,20,20,1.0,28
sqrt,14,0.08432719544527803,,True,,,True,20,20,1.0,28
log,5,0.08140032227984281,0.18174096791171718,False,0.15969661111990088,0.13710212427677043,False,20,13,0.65,28
ten_percent,18,0.08432719544527803,,True,,,True,20,20,1.0,28
original,200,0.08432719544527803,,True,,,True,20,20,1.0,28
half,18,0.09036395699034827,,True,,,True,20,20,1.0,22
sqrt,14,0.09036395699034827,,True,,,True,20,20,1.0,22
log,5,0.0890376782237333,-0.23114627957703837,False,-0.37387351842040367,-0.17823276155980158,False,20,13,0.65,22
ten_percent,18,0.09036395699034827,,True,,,True,20,20,1.0,22
original,200,0.09036395699034827,,True,,,True,20,20,1.0,22
half,18,0.07796451534410694,,True,,,True,20,20,1.0,31
sqrt,14,0.07796451534410694,,True,,,True,20,20,1.0,31
log,5,0.07067547644917505,0.3129756068450803,False,0.2026958752824209,0.2427907914667536,False,20,16,0.8,31
ten_percent,18,0.07796451534410694,,True,,,True,20,20,1.0,31
original,200,0.07796451534410694,,True,,,True,20,20,1.0,31
half,18,0.06568346467239317,,True,,,True,20,20,1.0,30
