dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,50,0.08029654792062466,-0.022631226863874362,False,-0.025765214802512353,-0.018570481122070947,False,100,99,0.99,8
sqrt,10,0.07858431200280412,0.12223137761084024,False,0.16068781294585288,0.09688331987566555,False,100,62,0.62,8
log,4,0.06776173049752096,0.0296477894812135,False,0.011267882687994411,0.02116835301955154,False,100,27,0.27,8
ten_percent,10,0.07858431200280412,0.12223137761084024,False,0.16068781294585288,0.09688331987566555,False,100,62,0.62,8
original,100,0.08030338156769327,,True,,,True,100,100,1.0,8
half,50,0.06901920558333831,,True,,,True,100,100,1.0,0
sqrt,10,0.06540258164732693,0.17006209833058414,False,0.11170613987229616,0.12805223642006797,False,100,64,0.64,0
log,4,0.061107009089206875,-0.015592954097116063,False,-0.09142761669020995,-0.015391246888830024,False,100,18,0.18,0
ten_percent,10,0.06540258164732693,0.17006209833058414,False,0.11170613987229616,0.12805223642006797,False,100,64,0.64,0
original,100,0.06901920558333831,,True,,,True,100,100,1.0,0
half,50,0.07682223444364626,,True,,,True,100,100,1.0,2
sqrt,10,0.07596402528453164,0.0003377696902352551,False,-0.001310857333178495,-0.002359697214230662,False,100,73,0.73,2
log,4,0.06934498471748608,0.15537846923633453,False,0.1738358183892131,0.10735779096575601,False,100,10,0.1,2
ten_percent,10,0.07596402528453164,0.0003377696902352551,False,-0.001310857333178495,-0.002359697214230662,False,100,73,0.73,2
original,100,0.07682223444364626,,True,,,True,100,100,1.0,2
half,50,0.0716991360534416,,True,,,True,100,100,1.0,3
sqrt,10,0.06701838922741363,0.05811143608352404,False,0.028188598585225624,0.03656233423149145,False,100,50,0.5,3
log,4,0.05985907216371729,-0.03646636486395255,False,0.0822616195503995,-0.03714105412070357,False,100,31,0.31,3
ten_percent,10,0.06701838922741363,0.05811143608352404,False,0.028188598585225624,0.03656233423149145,False,100,50,0.5,3
original,100,0.0716991360534416,,True,,,True,100,100,1.0,3
half,50,0.08061676977746547,-0.0574484989621426,False,-0.05902925483984493,-0.04714045207910317,False,100,99,0.99,1
sqrt,10,0.07991365971957723,0.003927151391143716,False,-0.09349444353972608,0.0006874313609886067,False,100,81,0.81,1
log,4,0.060074162460108826,0.3528523301666419,False,0.29646754182731455,0.24752301897119178,False,100,27,0.27,1
ten_percent,10,0.07991365971957723,0.003927151391143716,False,-0.09349444353972608,0.0006874313609886067,False,100,81,0.81,1
original,100,0.08061717816873523,,True,,,True,100,100,1.0,1
half,50,0.07016999511310786,,True,,,True,100,100,1.0,9
sqrt,10,0.0695227362673665,-0.0068772201437787995,False,-0.02122245183784243,-0.005420551846773426,False,100,83,0.83,9
log,4,0.05207375634188345,0.23191525684366454,False,0.19603800733981308,0.154867304696253,False,100,26,0.26,9
ten_percent,10,0.0695227362673665,-0.0068772201437787995,False,-0.02122245183784243,-0.005420551846773426,False,100,83,0.83,9
original,100,0.07982120533758805,-0.12360131594885228,False,-0.10424429283514788,-0.10142339689746441,False,100,99,0.99,9
half,50,0.08358376941630224,,True,,,True,100,100,1.0,4
sqrt,10,0.08079307493694338,0.18795566521920573,False,0.1485314905522404,0.13955397019526825,False,100,65,0.65,4
log,4,0.06459865313956573,0.0413112933816959,False,0.006015207872283888,0.03048987469708959,False,100,20,0.2,4
ten_percent,10,0.08079307493694338,0.18795566521920573,False,0.1485314905522404,0.13955397019526825,False,100,65,0.65,4
original,100,0.08358376941630224,,True,,,True,100,100,1.0,4
half,50,0.07432537640424502,,True,,,True,100,100,1.0,12
sqrt,10,0.07330055334529026,0.03576478508641068,False,-0.008546997334761752,0.029065645595834667,False,100,77,0.77,12
log,4,0.07637061128194005,-0.14933918648375058,False,-0.16947001142319304,-0.0976019315697033,False,100,26,0.26,12
ten_percent,10,0.07330055334529026,0.03576478508641068,False,-0.008546997334761752,0.029065645595834667,False,100,77,0.77,12
original,100,0.08364176385746683,-0.06789368059162308,False,-0.07619207476255312,-0.05571144336621284,False,100,99,0.99,12
half,50,0.07383525361339745,,True,,,True,100,100,1.0,6
sqrt,10,0.0729582170276615,0.2968682843817845,False,0.3596663184909477,0.23417947909705306,False,100,78,0.78,6
log,4,0.05418875693777946,0.09719952035239292,False,0.054103602048606314,0.06352004357383882,False,100,22,0.22,6
ten_percent,10,0.0729582170276615,0.2968682843817845,False,0.3596663184909477,0.23417947909705306,False,100,78,0.78,6
original,100,0.08193931577482565,0.0574484989621426,False,0.045732022026030925,0.04714045207910317,False,100,99,0.99,6
half,50,0.07285131703031907,0.09308526460535342,False,0.252728150057445,0.07594961047823161,False,100,98,0.98,11
