dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,25,0.08087976587155805,,True,,,True,100,100,1.0,12
sqrt,7,0.07445936488056266,-0.027337018374793534,False,-0.01708695264403716,-0.01902045168014065,False,100,41,0.41,12
log,3,0.1553817681527655,0.21458459715229622,False,0.2902197897627745,0.13960425634912502,False,100,19,0.19,12
ten_percent,5,0.06457577559823037,-0.012757621708086324,False,-0.007565970302284573,-0.007168976491064481,False,100,29,0.29,12
original,50,0.08350214378937565,0.02611295407370118,False,0.014532732232428186,0.02142747821777417,False,100,99,0.99,12
half,25,0.07294479406696118,-0.050485044542488956,False,-0.04382011503350576,-0.04142645788769673,False,100,99,0.99,13
sqrt,7,0.06219279805961893,-0.06475447640261811,False,-0.057109671154131444,-0.042273651624199694,False,100,47,0.47,13
log,3,0.1192206166608485,0.16187538488814782,False,0.13378710829172258,0.10871570265666039,False,100,7,0.07,13
ten_percent,5,0.05911783276797422,0.18019851657456962,False,0.19089243591493976,0.13294696153456004,False,100,33,0.33,13
original,50,0.07294590330703801,,True,,,True,100,100,1.0,13
half,25,0.07737194894840599,,True,,,True,100,100,1.0,8
sqrt,7,0.07135026392093884,0.11818440029271363,False,0.26015601061775084,0.08470312922971807,False,100,56,0.56,8
log,3,0.09785448474987256,0.15688817873325028,False,0.12979353622554093,0.11435599274761721,False,100,9,0.09,8
ten_percent,5,0.05858157620167043,0.10146021068205266,False,0.09717194177047317,0.07480938350015437,False,100,33,0.33,8
original,50,0.07737194894840599,,True,,,True,100,100,1.0,8
half,25,0.07620065231967933,,True,,,True,100,100,1.0,1
sqrt,7,0.0725575122643544,0.06340242062419987,False,0.018262195399294138,0.04911137092540528,False,100,66,0.66,1
log,3,0.07829049732556481,-0.024101199663501188,False,0.0701078614288849,-0.016798563265806532,False,100,23,0.23,1
ten_percent,5,0.06356477852390327,0.021224288393936617,False,-0.00509944589747742,0.010787944395792974,False,100,30,0.3,1
original,50,0.08265704425298381,0.16190031525694734,False,0.20014495739926125,0.13285036495019983,False,100,99,0.99,1
half,25,0.06841588955730944,,True,,,True,100,100,1.0,0
sqrt,7,0.06239534800595274,-0.02657023575234581,False,-0.01827179267798526,-0.01976290440629592,False,100,46,0.46,0
log,3,0.24677048232227766,0.02002460320742921,False,0.004022914529244572,0.0060642824977416255,False,100,4,0.04,0
ten_percent,5,0.05842322557721905,-0.0028498231670799627,False,-0.015684949696810994,-0.00244501501452211,False,100,42,0.42,0
original,50,0.06841588955730944,,True,,,True,100,100,1.0,0
half,25,0.07832009476888445,,True,,,True,100,100,1.0,14
sqrt,7,0.06975417263601993,-0.03934180787065381,False,-0.08130781635878558,-0.030973187597378108,False,100,50,0.5,14
log,3,0.06977890206223795,0.14801220472183288,False,0.13678694418409185,0.10157184294313358,False,100,21,0.21,14
ten_percent,5,0.05985496019995928,0.005969977022130118,False,-0.020019963489997475,0.0026678161273972043,False,100,18,0.18,14
original,50,0.07784050114344114,0.04352159012283531,False,0.016969736462930454,0.03571246369629028,False,100,99,0.99,14
half,25,0.07609354466565418,,True,,,True,99,99,1.0,10
sqrt,7,0.06709823138307591,0.07670123578729512,False,-0.05433399956155671,0.05149915195576188,False,100,48,0.48,10
log,3,0.05885773550874341,0.12286944043534688,False,0.02300215633661554,0.07128917708105317,False,100,17,0.17,10
ten_percent,5,0.0698203888951906,0.0827305624517396,False,-0.0455408574404258,0.05644103757393148,False,100,47,0.47,10
original,50,0.07660245684538973,,True,,,True,98,98,1.0,10
half,25,0.07298052961434993,,True,,,True,100,100,1.0,5
sqrt,7,0.07135692471694759,0.14975268279130988,False,0.001082745739892823,0.11094327171657943,False,100,70,0.7,5
log,3,0.05781809117513733,0.027934209133496864,False,0.028225183673210526,0.02120572954956228,False,100,24,0.24,5
ten_percent,5,0.06487544611098756,-0.16967276882572777,False,-0.09154636229899545,-0.11736573102142328,False,100,31,0.31,5
original,50,0.07298052961434993,,True,,,True,100,100,1.0,5
half,25,0.07995631480558318,,True,,,True,100,100,1.0,11
