dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,48,0.24322815873405912,0.1925274945248913,False,0.04386345748308874,0.13240712852268707,False,50,3,0.06,1
sqrt,10,0.23021068849716392,0.186259930214633,False,0.030739434260169885,0.12377153127562328,False,50,5,0.1,1
log,4,0.19270934947457088,0.1354947205258836,False,-0.035977545667198234,0.102291633951108,False,50,4,0.08,1
ten_percent,10,0.23021068849716392,0.186259930214633,False,0.030739434260169885,0.12377153127562328,False,50,5,0.1,1
original,100,0.07072150685109728,,True,,,True,50,50,1.0,1
half,48,0.2108262810112393,0.18305905789521973,False,0.1677324410984284,0.12977658969002698,False,50,6,0.12,7
sqrt,10,0.21486236909806142,0.24918908248535426,False,0.22140250010262938,0.17905883893940433,False,50,6,0.12,7
log,4,0.4255265856308695,0.13152776781144812,False,0.13841278830265222,0.08656595250050446,False,50,2,0.04,7
ten_percent,10,0.21486236909806142,0.24918908248535426,False,0.22140250010262938,0.17905883893940433,False,50,6,0.12,7
original,100,0.07834350595083078,,True,,,True,50,50,1.0,7
half,48,0.2719752622733446,0.0041811861477774005,False,-0.030008565332834573,0.006570966566583645,False,50,6,0.12,8
sqrt,10,0.34232268733000987,-0.03314121133032956,False,-0.05375043172051906,-0.015548328360568416,False,50,4,0.08,8
log,4,0.3639782931390522,-0.05999039558200235,False,-0.06979302833970467,-0.035188322079181156,False,50,4,0.08,8
ten_percent,10,0.34232268733000987,-0.03314121133032956,False,-0.05375043172051906,-0.015548328360568416,False,50,4,0.08,8
original,100,0.06868114231506768,,True,,,True,50,50,1.0,8
half,48,0.30170562866401024,0.437136730725547,False,0.44233837620996785,0.31229770474180446,False,50,5,0.1,4
sqrt,10,0.36120232871946156,0.4335816018021828,False,0.42045478047315826,0.31557642080208587,False,50,5,0.1,4
log,4,0.34084326521217134,0.45552354819832686,False,0.44293215945860825,0.3297882278583722,False,50,4,0.08,4
ten_percent,10,0.36120232871946156,0.4335816018021828,False,0.42045478047315826,0.31557642080208587,False,50,5,0.1,4
original,100,0.07846423964912809,,True,,,True,50,50,1.0,4
half,48,0.26266652876811686,0.31882805914598206,False,0.19786061105041344,0.2250415946924376,False,50,4,0.08,13
sqrt,10,0.23998020522867422,0.25788787205716707,False,0.18247595302605912,0.1757733556561125,False,50,6,0.12,13
