dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,10,0.07619032550234035,0.03781334648763987,False,0.00787333308987942,0.025902346075921335,False,200,139,0.695,13
sqrt,4,0.06391969643759689,0.18183017828999432,False,0.23367867412116292,0.12482003946239655,False,200,37,0.185,13
log,2,0.2605176965933087,0.3000900277750677,False,0.33296327888008465,0.207835466997143,False,200,15,0.075,13
ten_percent,2,0.2605176965933087,0.3000900277750677,False,0.33296327888008465,0.207835466997143,False,200,15,0.075,13
original,20,0.0773558996771825,0.024742320634173517,False,0.013208846085889571,0.020252715439074167,False,199,198,0.9949748743718593,13
half,10,0.07022940855414062,0.05139422463894755,False,0.07550335142461324,0.0416557046245683,False,200,131,0.655,10
sqrt,4,0.05500474526986688,-0.07220517944465986,False,-0.10898504555627996,-0.04476561396074325,False,200,19,0.095,10
log,2,0.30213962885953866,-0.008711884041625826,False,-0.007410780164165345,-0.007462730435770089,False,200,17,0.085,10
ten_percent,2,0.30213962885953866,-0.008711884041625826,False,-0.007410780164165345,-0.007462730435770089,False,200,17,0.085,10
original,20,0.0769957090727667,0.03955729303557048,False,0.010085179733677114,0.03264260896044985,False,196,194,0.9897959183673469,10
half,10,0.07044680666879477,0.025017341936915207,False,0.025647623754276476,0.017351095332695434,False,200,74,0.37,3
sqrt,4,0.21134679377871343,0.0035009349213651316,False,0.033029216364726346,-5.0366547930717046e-05,False,200,14,0.07,3
log,2,0.31099616110651346,0.07102730838952037,False,0.047333559227089955,0.04945966479394003,False,200,5,0.025,3
ten_percent,2,0.31099616110651346,0.07102730838952037,False,0.047333559227089955,0.04945966479394003,False,200,5,0.025,3
original,20,0.07839005472619859,,True,,,True,198,198,1.0,3
half,10,0.06309869208230288,0.10201487560407568,False,0.0591589465839338,0.07037307101105031,False,200,58,0.29,5
sqrt,4,0.05846203810077335,0.0976236188383854,False,0.03355446813889894,0.06589452023862041,False,200,41,0.205,5
log,2,0.23286843314152478,0.08126649796180377,False,0.05139365008485387,0.054864926949124676,False,200,12,0.06,5
ten_percent,2,0.23286843314152478,0.08126649796180377,False,0.05139365008485387,0.054864926949124676,False,200,12,0.06,5
original,20,0.07411188652468655,-0.058144453490307765,False,-0.056984163314782614,-0.047593881281824284,False,199,198,0.9949748743718593,5
half,10,0.07017513233679193,0.11717200778410769,False,0.10609558180913031,0.08341120644032518,False,200,102,0.51,1
sqrt,4,0.06148800397403813,0.13696297881573347,False,0.10721876755222574,0.09518734755340257,False,200,50,0.25,1
log,2,0.0686835189789221,0.08382556128873773,False,0.06084037053509509,0.054733426446937725,False,200,18,0.09,1
ten_percent,2,0.0686835189789221,0.08382556128873773,False,0.06084037053509509,0.054733426446937725,False,200,18,0.09,1
original,20,0.08427281517669163,0.05396474790983126,False,0.03388195397306005,0.04417204988871352,False,200,198,0.99,1
half,10,0.06751391942630323,-0.012087556064446493,False,-0.05735196828523765,-0.008251917133066992,False,200,76,0.38,6
sqrt,4,0.05432306669251047,0.15149028724464358,False,0.18419869571394248,0.10560122912748209,False,200,37,0.185,6
log,2,0.39068837404640705,0.2520153304770584,False,0.27223000652733514,0.17395705278548157,False,200,12,0.06,6
ten_percent,2,0.39068837404640705,0.2520153304770584,False,0.27223000652733514,0.17395705278548157,False,200,12,0.06,6
original,20,0.07591330637046342,-0.03435540395328556,False,-0.03465426253288117,-0.027812737673803448,False,198,196,0.98989898989899,6
half,10,0.07477374424190364,0.032298222670086654,False,0.02545759611559004,0.02514850987048455,False,200,123,0.615,12
sqrt,4,0.06476055802958872,-0.022780791630466903,False,0.023293193085860354,-0.014886505305175055,False,200,25,0.125,12
log,2,0.3489108965112443,-0.08531703366844982,False,-0.02707122455327468,-0.05838836262475654,False,200,12,0.06,12
ten_percent,2,0.3489108965112443,-0.08531703366844982,False,-0.02707122455327468,-0.05838836262475654,False,200,12,0.06,12
original,20,0.08066344378009914,0.057777638622952106,False,0.035258887596026356,0.04729482695011102,False,197,196,0.9949238578680203,12
half,10,0.07525502208439795,0.157885942995277,False,0.10608193773453328,0.11340687660531523,False,200,111,0.555,0
sqrt,4,0.06161020609182593,0.10521015870929036,False,0.08565048847851027,0.07175054072977781,False,200,39,0.195,0
log,2,0.39612590565818123,0.03188855917219124,False,0.13450152908640228,0.024874996867069718,False,200,2,0.01,0
ten_percent,2,0.39612590565818123,0.03188855917219124,False,0.13450152908640228,0.024874996867069718,False,200,2,0.01,0
original,20,0.08800695081969603,0.06394032589115685,False,0.04778059298126363,0.05245939179056928,False,200,196,0.98,0
half,10,0.07109951288315418,0.0713670514496804,False,0.04462367823711103,0.04781400231071872,False,200,123,0.615,11
sqrt,4,0.05517447221245703,0.05011350126474705,False,0.042607018075500956,0.035213353052816566,False,200,26,0.13,11
log,2,0.2250852331221371,0.04340270227421288,False,0.04620310826811255,0.03238460020085728,False,200,8,0.04,11
ten_percent,2,0.2250852331221371,0.04340270227421288,False,0.04620310826811255,0.03238460020085728,False,200,8,0.04,11
original,20,0.07743162118744314,0.043566925184319545,False,0.021377683732141963,0.035488897789217023,False,199,197,0.9899497487437185,11
half,10,0.07144408725829733,0.07190643168267681,False,0.0921852932679038,0.05525274181670501,False,200,133,0.665,8
sqrt,4,0.05952093643328608,0.13642028750354435,False,0.06495321439501356,0.09407975968636818,False,200,39,0.195,8
log,2,0.16502686475133438,0.19351310881932696,False,0.2171408466096495,0.1361407790567282,False,200,14,0.07,8
ten_percent,2,0.16502686475133438,0.19351310881932696,False,0.2171408466096495,0.1361407790567282,False,200,14,0.07,8
original,20,0.08375223868491671,0.03740492241803523,False,-0.002022410360894174,0.030963161401832907,False,197,193,0.9796954314720813,8
half,10,0.08008615797380468,0.0820841132364983,False,0.06937470720663512,0.06641706981489506,False,200,143,0.715,9
sqrt,4,0.11785726508849907,-0.028719020991569668,False,-0.0377024986920784,-0.018505637596413296,False,200,27,0.135,9
