dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,10,0.17631295903253655,0.12879157465055696,False,0.17665164058904437,0.09733285267845752,False,20,5,0.25,10
sqrt,4,0.28765264977601745,0.06619030178505664,False,0.1740805543364418,0.026385316119220983,False,20,2,0.1,10
log,2,0.3228115263465095,0.040616776095375666,False,0.14025750077287175,0.01583118967153259,False,20,2,0.1,10
ten_percent,2,0.3228115263465095,0.040616776095375666,False,0.14025750077287175,0.01583118967153259,False,20,2,0.1,10
original,20,0.06672074946962184,,True,,,True,20,20,1.0,10
half,10,0.2368510300396677,0.45479027798794186,False,0.3442804957442999,0.31809343274054364,False,20,7,0.35,0
sqrt,4,0.2554057657023067,0.4878927886762275,False,0.409757519962953,0.3136280808528075,False,20,5,0.25,0
log,2,0.5216307536388881,0.23308270676691725,False,0.16363976482161371,0.1368421052631579,False,20,1,0.05,0
ten_percent,2,0.5216307536388881,0.23308270676691725,False,0.16363976482161371,0.1368421052631579,False,20,1,0.05,0
original,20,0.0711390316480909,,True,,,True,20,20,1.0,0
half,10,0.31173803892340757,-0.22564875608542034,False,-0.20938341105368544,-0.1319265805961049,False,20,2,0.1,16
sqrt,4,0.15237715480449573,0.04952821222724746,False,-0.0889328039216336,0.06032493468177899,False,20,6,0.3,16
log,2,0.21895235948070813,0.07622695783004059,False,-0.021676247292305217,0.09626907371412557,False,20,4,0.2,16
ten_percent,2,0.21895235948070813,0.07622695783004059,False,-0.021676247292305217,0.09626907371412557,False,20,4,0.2,16
original,20,0.0748364829594615,,True,,,True,20,20,1.0,16
half,10,0.39147927038965485,-0.11747001273551963,False,-0.3071841278980466,-0.07957811640969131,False,20,3,0.15,15
sqrt,4,0.39339371144600344,-0.16114476106026412,False,-0.32116247692818517,-0.12201977849486002,False,20,3,0.15,15
log,2,0.507920457271161,-0.1744360902255639,False,-0.37809908660569785,-0.1368421052631579,False,20,1,0.05,15
ten_percent,2,0.507920457271161,-0.1744360902255639,False,-0.37809908660569785,-0.1368421052631579,False,20,1,0.05,15
original,20,0.08298719667538701,,True,,,True,20,20,1.0,15
half,10,0.25661052428921277,0.25303756431344715,False,0.23773694614008456,0.16222142113076254,False,20,5,0.25,4
sqrt,4,0.1403863685349575,0.4190848726920939,False,0.43395600696308134,0.2796883335246117,False,20,6,0.3,4
log,2,0.2361325342469621,0.450545349650556,False,0.4996899066277775,0.31134673020680753,False,20,2,0.1,4
ten_percent,2,0.2361325342469621,0.450545349650556,False,0.4996899066277775,0.31134673020680753,False,20,2,0.1,4
original,20,0.08070485216756762,,True,,,True,20,20,1.0,4
half,10,0.19693558223511992,0.2545527593093361,False,0.2417860722927525,0.18385094394819754,False,20,5,0.25,14
sqrt,4,0.2268279738310691,0.21818807940800233,False,0.21163414721949386,0.16222142113076254,False,20,5,0.25,14
