dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,10,0.08202016541758976,0.2192318634452363,False,0.15958651448738845,0.16998922812478615,False,100,80,0.8,6
sqrt,4,0.07218813363504957,0.16087549257413755,False,0.05926209234223434,0.11279570182408989,False,100,41,0.41,6
log,2,0.06502757687451667,0.21827318613180186,False,0.19136421164648443,0.14928137712942238,False,100,12,0.12,6
ten_percent,2,0.06502757687451667,0.21827318613180186,False,0.19136421164648443,0.14928137712942238,False,100,12,0.12,6
original,20,0.08278913207762702,,True,,,True,100,100,1.0,6
half,10,0.07094776629583559,0.03060244832339862,False,-0.03871283886724664,0.018509004224649593,False,100,47,0.47,7
sqrt,4,0.10517452861115416,0.025507392127346908,False,0.0020602665440832765,0.011214673662357812,False,100,14,0.14,7
log,2,0.340022561143651,0.08044787634816594,False,0.08978143181834179,0.04809791391093417,False,100,10,0.1,7
ten_percent,2,0.340022561143651,0.08044787634816594,False,0.08978143181834179,0.04809791391093417,False,100,10,0.1,7
original,20,0.07525307144479568,,True,,,True,100,100,1.0,7
half,10,0.07037874248422789,-0.01447803717690207,False,0.035229609449575316,-0.00648916733913432,False,100,73,0.73,5
sqrt,4,0.2647590991050683,0.0007208596950692012,False,0.05177366634420927,-0.002036309374995313,False,100,13,0.13,5
log,2,0.1614618205785819,0.19184732976037613,False,0.20736620616147566,0.132119524900085,False,100,6,0.06,5
ten_percent,2,0.1614618205785819,0.19184732976037613,False,0.20736620616147566,0.132119524900085,False,100,6,0.06,5
original,20,0.07190712915828669,,True,,,True,100,100,1.0,5
half,10,0.08537639218605043,0.012248343000140535,False,0.03712241247419061,0.00918267257533576,False,100,85,0.85,13
sqrt,4,0.07156973201215361,0.08753823622533523,False,0.12690735339306808,0.0612799291491108,False,100,25,0.25,13
log,2,0.15929302134272472,0.23959414377256705,False,0.23741651463211955,0.16191212544052447,False,100,11,0.11,13
ten_percent,2,0.15929302134272472,0.23959414377256705,False,0.23741651463211955,0.16191212544052447,False,100,11,0.11,13
original,20,0.08458994929504064,,True,,,True,98,98,1.0,13
half,10,0.06845294722061365,0.03051761315614868,False,0.1645638258486972,0.020127611035002164,False,100,66,0.66,9
sqrt,4,0.060989944192551826,-0.08303962959291876,False,-0.1316182014843598,-0.06095962511821727,False,100,28,0.28,9
log,2,0.2464442987163953,0.05518088361707559,False,0.0761384835555624,0.03579498961141464,False,100,12,0.12,9
ten_percent,2,0.2464442987163953,0.05518088361707559,False,0.0761384835555624,0.03579498961141464,False,100,12,0.12,9
original,20,0.07004061859520988,,True,,,True,99,99,1.0,9
half,10,0.06854246818822052,0.19310975350363951,False,0.05019804782448437,0.15220973586260475,False,100,92,0.92,4
sqrt,4,0.060479063895293096,-0.04820786231674299,False,-0.10220221410212002,-0.026140666718730877,False,100,43,0.43,4
log,2,0.2738748656368414,0.013674291060389658,False,0.021397835192618436,0.006488283276460551,False,100,9,0.09,4
ten_percent,2,0.2738748656368414,0.013674291060389658,False,0.021397835192618436,0.006488283276460551,False,100,9,0.09,4
original,20,0.06918988816101052,,True,,,True,99,99,1.0,4
half,10,0.08548364486986591,0.030188053893239315,False,0.09482007970069838,0.02330017086316753,False,100,87,0.87,1
sqrt,4,0.059361767354810226,0.10655630138929469,False,0.12907839526539047,0.07676200705502997,False,100,22,0.22,1
log,2,0.10335006643919799,-0.07284287218674279,False,-0.05129309393225281,-0.04968594874988564,False,100,13,0.13,1
ten_percent,2,0.10335006643919799,-0.07284287218674279,False,-0.05129309393225281,-0.04968594874988564,False,100,13,0.13,1
original,20,0.0851715103518784,,True,,,True,99,99,1.0,1
half,10,0.07296215232239228,0.0906031132288397,False,0.10512122052373252,0.07163416721049891,False,100,65,0.65,8
sqrt,4,0.06077852901535875,0.07944512335779932,False,0.02268000515323352,0.05494674877964336,False,100,32,0.32,8
log,2,0.7361279425401375,-0.029743971804303004,False,0.02695769940652604,-0.021257260295995048,False,100,7,0.07,8
ten_percent,2,0.7361279425401375,-0.029743971804303004,False,0.02695769940652604,-0.021257260295995048,False,100,7,0.07,8
original,20,0.0860065860763642,-0.05245634262715291,False,-0.07643119762618196,-0.04354444334085279,False,100,98,0.98,8
half,10,0.07520056549398932,-0.030433280836174626,False,-0.06012825837768201,-0.02159732738591013,False,100,92,0.92,11
sqrt,4,0.06487685753408165,0.1077863762331406,False,0.047943965539535616,0.07558350592956162,False,100,39,0.39,11
log,2,0.08061011282228799,0.04203604479213299,False,0.033043022384650025,0.023723667273407488,False,100,16,0.16,11
ten_percent,2,0.08061011282228799,0.04203604479213299,False,0.033043022384650025,0.023723667273407488,False,100,16,0.16,11
original,20,0.07341985297102849,,True,,,True,99,99,1.0,11
half,10,0.07446249451778225,0.13992619052313732,False,0.23718354606551703,0.10322240698872913,False,100,58,0.58,2
sqrt,4,0.060684502388566444,0.13700632876766342,False,0.11554301413701115,0.10020746708714726,False,100,24,0.24,2
log,2,0.266218865422807,-0.01398643466668477,False,0.009742717367410187,-0.010543460324248395,False,100,9,0.09,2
ten_percent,2,0.266218865422807,-0.01398643466668477,False,0.009742717367410187,-0.010543460324248395,False,100,9,0.09,2
original,20,0.08145835961659932,-0.01060439269940129,False,-0.024754917084605046,-0.008702070055331038,False,99,98,0.98989898989899,2
half,10,0.07759159453169079,0.13254346108493198,False,0.048191564437875506,0.09987197191610256,False,100,76,0.76,12
sqrt,4,0.05501336629004539,0.11430829050445347,False,0.1841277594349157,0.08054555939960682,False,100,29,0.29,12
log,2,0.18411075575688066,0.15811837795725725,False,0.12184635016189371,0.10628630147997524,False,100,7,0.07,12
ten_percent,2,0.18411075575688066,0.15811837795725725,False,0.12184635016189371,0.10628630147997524,False,100,7,0.07,12
original,20,0.07848488506442065,,True,,,True,99,99,1.0,12
half,10,0.06513714030565733,-0.03771428490559688,False,-0.08004241410506198,-0.03267639017438139,False,100,47,0.47,0
sqrt,4,0.05719519126547855,-0.07532668822390898,False,-0.08819682217331297,-0.05109114138431229,False,100,20,0.2,0
log,2,0.09229569429363746,0.1246882047667954,False,0.11673955721836242,0.08300441683363745,False,100,10,0.1,0
ten_percent,2,0.09229569429363746,0.1246882047667954,False,0.11673955721836242,0.08300441683363745,False,100,10,0.1,0
original,20,0.06924832606009153,,True,,,True,100,100,1.0,0
half,10,0.06708044714513071,0.06886389770637172,False,0.10615130694418905,0.052398667852143116,False,100,83,0.83,14
sqrt,4,0.05037129468153689,0.13564073688702954,False,0.11291674258618646,0.09355468918924535,False,100,24,0.24,14
log,2,0.12438912831861124,0.01973115702064507,False,0.04166523977675772,0.011324576061948859,False,100,5,0.05,14
ten_percent,2,0.12438912831861124,0.01973115702064507,False,0.04166523977675772,0.011324576061948859,False,100,5,0.05,14
original,20,0.06756652979834452,,True,,,True,100,100,1.0,14
half,10,0.0640025630935167,0.1642641298929425,False,0.2164567023970467,0.1264778236771983,False,100,64,0.64,3
sqrt,4,0.058422260686877704,-0.12772354471946348,False,-0.04151358426248007,-0.08822988033830595,False,100,36,0.36,3
log,2,0.4196447293445899,-0.12004836498213343,False,-0.009312660758553078,-0.08707950342442661,False,100,2,0.02,3
ten_percent,2,0.4196447293445899,-0.12004836498213343,False,-0.009312660758553078,-0.08707950342442661,False,100,2,0.02,3
original,20,0.06446130475887671,,True,,,True,95,95,1.0,3
half,10,0.0720597121426019,0.10337287837972602,False,0.0699570354694362,0.07610023515893884,False,100,73,0.73,10
sqrt,4,0.059186657081173655,0.09984008256613065,False,0.052482404170647826,0.07230774051232952,False,100,27,0.27,10
log,2,0.20452677933537022,0.3212798095409023,False,0.35135012205637733,0.22100714910443753,False,100,9,0.09,10
ten_percent,2,0.20452677933537022,0.3212798095409023,False,0.35135012205637733,0.22100714910443753,False,100,9,0.09,10
original,20,0.07303622920210584,0.11299729468196208,False,0.08715614834063104,0.0927362621547912,False,97,96,0.9896907216494846,10
half,10,0.081423787492959,0.03501885112466204,False,0.031551377196400665,0.028818873975125465,False,100,63,0.63,15
sqrt,4,0.1343242148415084,-0.003257803495836129,False,0.012121952132792277,0.0022461729610583347,False,100,15,0.15,15
log,2,0.49486525870948944,-0.026816386298638778,False,0.015982559237352385,-0.015642702206926457,False,100,11,0.11,15
ten_percent,2,0.49486525870948944,-0.026816386298638778,False,0.015982559237352385,-0.015642702206926457,False,100,11,0.11,15
original,20,0.09417119427759527,-0.005222590814740238,False,-0.028911367545023103,-0.004285495643554834,False,100,99,0.99,15
half,10,0.06459682603419044,0.0056507186645686006,False,0.0662394269824914,0.01180519894555696,False,100,52,0.52,16
sqrt,4,0.05497378417323464,0.18611684688635863,False,0.10263983214021415,0.12386630331242533,False,100,27,0.27,16
log,2,0.10001195099635503,-0.002592694878825444,False,0.03596922281763876,-0.0010122504902854786,False,100,7,0.07,16
ten_percent,2,0.10001195099635503,-0.002592694878825444,False,0.03596922281763876,-0.0010122504902854786,False,100,7,0.07,16
original,20,0.07973604475121918,-0.050485044542488956,False,-0.061980981417608,-0.04142645788769673,False,100,99,0.99,16
half,10,0.07966229597650955,-0.1772039162311906,False,-0.0909447419344273,-0.13827258100155654,False,100,71,0.71,30
sqrt,4,0.0644025646182298,0.07320443598507133,False,0.1108084398254932,0.04863634016870287,False,100,18,0.18,30
log,2,0.05457506346837983,0.13683258740257803,False,0.1302273924474398,0.09318374297631854,False,100,14,0.14,30
ten_percent,2,0.05457506346837983,0.13683258740257803,False,0.1302273924474398,0.09318374297631854,False,100,14,0.14,30
original,20,0.08118664633232124,,True,,,True,100,100,1.0,30
half,10,0.06717939772121223,-0.02623206601621445,False,-0.0065573526349001305,-0.020419380999418084,False,100,75,0.75,17
sqrt,4,0.06637924523425483,-0.04993743420246528,False,-0.0471317706336759,-0.03252462512726967,False,100,45,0.45,17
log,2,0.12289146137618688,0.04271093693285018,False,0.05521400221684891,0.02606475999994001,False,100,13,0.13,17
ten_percent,2,0.12289146137618688,0.04271093693285018,False,0.05521400221684891,0.02606475999994001,False,100,13,0.13,17
