dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,18,0.19281472188201104,0.1082000944041406,False,0.2731399684707806,0.0932294445082039,False,20,6,0.3,0
sqrt,10,0.17347983279116602,0.0754352770845769,False,0.10578826084549003,0.0932294445082039,False,20,6,0.3,0
log,4,0.21582033223858046,0.24075643116616774,False,0.40514222578738385,0.19253814742825115,False,20,4,0.2,0
ten_percent,10,0.17347983279116602,0.0754352770845769,False,0.10578826084549003,0.0932294445082039,False,20,6,0.3,0
original,100,0.06382667608143819,,True,,,True,20,20,1.0,0
half,18,0.4268376920249494,-0.12335465332669647,False,-0.2610811559197918,-0.07915594835766294,False,20,2,0.1,3
sqrt,10,0.41561659430269254,-0.05563909774436089,False,-0.1287147745367422,-0.021052631578947368,False,20,1,0.05,3
log,4,0.4826253026462951,-0.045112781954887216,False,-0.20209088390576704,0.0,False,20,1,0.05,3
ten_percent,10,0.41561659430269254,-0.05563909774436089,False,-0.1287147745367422,-0.021052631578947368,False,20,1,0.05,3
original,100,0.10091114001917975,,True,,,True,20,20,1.0,3
half,18,0.1118932413539719,0.41660673982358815,False,0.29522827377086774,0.2888072211423767,False,20,4,0.2,7
sqrt,10,0.10379131113954516,0.36516199400922617,False,0.20909372809980956,0.23792475099178503,False,20,5,0.25,7
log,4,0.19944246343102284,0.04242545988488934,False,0.04576437495327257,0.0,False,20,5,0.25,7
ten_percent,10,0.10379131113954516,0.36516199400922617,False,0.20909372809980956,0.23792475099178503,False,20,5,0.25,7
original,100,0.07434121728489848,,True,,,True,20,20,1.0,7
half,18,0.13087876848929209,0.2226430946520987,False,0.2649026916128168,0.17114501993622325,False,20,4,0.2,13
sqrt,10,0.09767467140325983,0.44096219521128144,False,0.4056812666657102,0.2957710865833124,False,20,7,0.35,13
log,4,0.14275664586338416,0.271219904264114,False,0.24547392873860072,0.19466570535691505,False,20,5,0.25,13
ten_percent,10,0.09767467140325983,0.44096219521128144,False,0.4056812666657102,0.2957710865833124,False,20,7,0.35,13
original,100,0.09322488879758857,,True,,,True,20,20,1.0,13
half,18,0.23072908781627194,-0.004518077412904602,False,-0.07671423504445747,0.005305207760646087,False,20,3,0.15,14
sqrt,10,0.21793690787955194,0.06777116119356902,False,-0.05691716085512406,0.05835728536710696,False,20,3,0.15,14
log,4,0.30660782807981035,-0.009056668257034522,False,-0.07456148220828429,0.010696563746013953,False,20,4,0.2,14
ten_percent,10,0.21793690787955194,0.06777116119356902,False,-0.05691716085512406,0.05835728536710696,False,20,3,0.15,14
original,100,0.049414602078609086,,True,,,True,20,20,1.0,14
half,18,0.19289265260940516,0.2996247748368922,False,0.21057562500693103,0.2032347111742651,False,20,4,0.2,11
sqrt,10,0.29624979030077214,0.35187969924812035,False,0.28667182014555276,0.24210526315789474,False,20,1,0.05,11
log,4,0.10241376719900148,0.07619724958038071,False,-0.03413179610531583,0.06032493468177899,False,20,6,0.3,11
