dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,100,0.24286982150620245,0.22824040663269593,False,0.16723458754544482,0.15064805469623674,False,198,14,0.0707070707070707,12
sqrt,14,0.20967518503330293,0.2881043646109231,False,0.19668495044535353,0.18942858676742683,False,200,14,0.07,12
log,5,0.2169646895586913,0.2394654206793,False,0.16806819960596442,0.15613853522585758,False,200,12,0.06,12
ten_percent,20,0.2553310506788771,0.25148576292840835,False,0.19311596834443767,0.16350573709642616,False,199,6,0.03015075376884422,12
original,200,0.09097905654134981,0.0421169361541763,False,0.04655596331877033,0.03413868410235012,False,193,188,0.9740932642487047,12
half,100,0.24552643047221107,0.23040372201572404,False,0.1876818094082129,0.1617917595705275,False,198,12,0.06060606060606061,6
sqrt,14,0.21209509607527777,0.28110942833885105,False,0.2207146990052691,0.20113784228321302,False,200,12,0.06,6
log,5,0.23063200212238455,0.24938384031071015,False,0.2097857540368772,0.17288548989215424,False,200,8,0.04,6
ten_percent,20,0.28245757416474687,0.2325526974753641,False,0.220272171217826,0.16164310053063422,False,200,7,0.035,6
original,200,0.106003493567612,-0.02106037093056528,False,-0.037380673022596206,-0.016742705844362882,False,192,178,0.9270833333333334,6
half,100,0.2100335537803455,0.3029455360073374,False,0.21817345115323553,0.2110397873643293,False,196,12,0.061224489795918366,10
sqrt,14,0.18852081139596788,0.3357446849421973,False,0.25716221336731804,0.23445628061748788,False,200,14,0.07,10
log,5,0.19011522356007066,0.3335853999262698,False,0.24893277932573238,0.23040765832192361,False,200,15,0.075,10
ten_percent,20,0.2115168002619368,0.29991599442329586,False,0.23464347758178702,0.20299776954235554,False,200,9,0.045,10
original,200,0.1053052462706417,0.11497727321616238,False,0.1500172202778189,0.0932970110021813,False,191,179,0.93717277486911,10
half,100,0.24885145656743426,0.21423093063900528,False,0.11627578706967945,0.14878808914358063,False,200,13,0.065,0
sqrt,14,0.22104102349722696,0.27136183911061273,False,0.17048065390988715,0.18932785367156538,False,200,14,0.07,0
log,5,0.20346589350193398,0.2777448378776785,False,0.164970612825175,0.19214838035568554,False,200,14,0.07,0
ten_percent,20,0.233764898631232,0.2778694664788169,False,0.1868026888932127,0.19149844891590664,False,200,14,0.07,0
original,200,0.11178915979448478,-0.04215650119148273,False,-0.0830254735165813,-0.0355609374552058,False,192,179,0.9322916666666666,0
half,100,0.2517640097752334,0.08379292329626505,False,0.07485572268196199,0.06159785691257334,False,198,12,0.06060606060606061,8
sqrt,14,0.1893408617934498,0.2893353554414266,False,0.23470266308715865,0.2026246223252747,False,200,14,0.07,8
log,5,0.3150996538837931,0.108667998751905,False,0.11875526639949412,0.07446140960680225,False,200,7,0.035,8
ten_percent,20,0.23738158786229163,0.1802451173407248,False,0.17780772223461863,0.12654667694959526,False,200,9,0.045,8
original,200,0.11771553039583865,-0.03243138433302184,False,-0.033105348992014075,-0.025763425722663963,False,187,174,0.93048128342246,8
half,100,0.29446988437915095,0.1292555957636381,False,0.08370507596153057,0.09294412254067111,False,196,5,0.025510204081632654,1
sqrt,14,0.22941697105840533,0.16543928528623936,False,0.10179102729706822,0.12112226970241403,False,200,11,0.055,1
log,5,0.2711148825698107,0.13288102134721522,False,0.09513329797855248,0.09422820842412107,False,200,3,0.015,1
ten_percent,20,0.23339940702597628,0.13842533147084404,False,0.07852921270365049,0.10299959051831636,False,200,14,0.07,1
original,200,0.10464210556012682,0.02473569040202664,False,0.059518911607804266,0.019603665068789113,False,191,183,0.9581151832460733,1
half,100,0.23971330627642481,0.31859042495573525,False,0.26285929848552075,0.22440354761505926,False,197,14,0.07106598984771574,7
sqrt,14,0.18891753072723316,0.36343598800970944,False,0.2730619371782858,0.25935793702847754,False,200,19,0.095,7
log,5,0.2682431569247802,0.27224534798146655,False,0.24423218694709212,0.1915054094155605,False,200,5,0.025,7
ten_percent,20,0.19603554518552144,0.36196886305346393,False,0.2739719534075012,0.2567552063697792,False,200,16,0.08,7
original,200,0.11133550996102466,-0.053403835153068735,False,-0.056965724977829,-0.04329844601959885,False,193,184,0.9533678756476683,7
half,100,0.24489855479400868,0.22305177409142715,False,0.089147676619557,0.15414916870348844,False,199,18,0.09045226130653267,4
sqrt,14,0.23359047766684665,0.20656138149126668,False,0.06919435567034768,0.1422961168225891,False,200,17,0.085,4
log,5,0.24538586452155442,0.183897730534905,False,0.05672186029708066,0.12248719851490854,False,200,19,0.095,4
ten_percent,20,0.2333403080845816,0.20851150480238803,False,0.07550629856616838,0.14273887951585604,False,200,15,0.075,4
original,200,0.10594079217998792,-0.03137568945084788,False,-0.034864717962543236,-0.02529265372856388,False,190,178,0.9368421052631579,4
half,100,0.18865804980292467,0.32864002068971276,False,0.1965755498630341,0.23507097850274886,False,195,17,0.08717948717948718,3
sqrt,14,0.1915138005908595,0.39771234026653063,False,0.25024013672811396,0.2771352106487559,False,200,9,0.045,3
log,5,0.1964651873961025,0.39969096813941957,False,0.2696508293159666,0.2817464013559685,False,200,11,0.055,3
ten_percent,20,0.20991826012757728,0.38265063624574436,False,0.2311666773870869,0.2678578486190071,False,200,11,0.055,3
original,200,0.09965336725596717,0.04460809168015866,False,0.0001920645999992587,0.03596269083129139,False,189,179,0.9470899470899471,3
half,100,0.23033741793149243,0.2353151191720526,False,0.17868768334476395,0.16641793862812979,False,196,9,0.04591836734693878,5
sqrt,14,0.2035372048658683,0.27592174223752436,False,0.17318135024334455,0.1956010147929344,False,200,12,0.06,5
log,5,0.24463605538446584,0.19784917857675308,False,0.129188120684088,0.13657853128187636,False,200,8,0.04,5
ten_percent,20,0.2724141691848068,0.1394933687534599,False,0.11020767612633028,0.09996233293650975,False,200,10,0.05,5
original,200,0.11746004393207575,-0.006315093637029268,False,0.02226748909229635,-0.005308715850922791,False,189,177,0.9365079365079365,5
half,100,0.22731731355691687,0.20138160335850658,False,0.09292662694812219,0.1330623016104829,False,195,20,0.10256410256410256,2
sqrt,14,0.21613489966886554,0.2157337820335837,False,0.11077396091916426,0.14768228960434113,False,200,12,0.06,2
log,5,0.29075303695566346,0.10177980784661768,False,0.07052454680472475,0.06835888630056752,False,200,5,0.025,2
ten_percent,20,0.21624788440080736,0.20490384971274006,False,0.10324086871940591,0.14295081883992117,False,200,12,0.06,2
original,200,0.08890565779889786,0.06669291267553858,False,0.06378910700583235,0.05407503751785793,False,188,181,0.9627659574468085,2
half,100,0.24453363548507584,0.19484420894796203,False,0.11696044943836867,0.14037228069284838,False,199,6,0.03015075376884422,11
sqrt,14,0.255770135784629,0.1437052097303634,False,0.10266428654820026,0.10180775884080386,False,200,13,0.065,11
log,5,0.22630235539642002,0.18271064201587073,False,0.10845562774360484,0.12937488799539115,False,200,11,0.055,11
ten_percent,20,0.20928762458939545,0.2187142891671439,False,0.14267303707042084,0.15860425943382797,False,200,14,0.07,11
original,200,0.10524172093798005,0.08211699367912731,False,0.17146500623645167,0.06656690114901413,False,188,181,0.9627659574468085,11
half,100,0.22364401493094882,0.33003471268145146,False,0.2439814120668871,0.22998703833410258,False,199,18,0.09045226130653267,13
sqrt,14,0.21058598643059712,0.33162185889834217,False,0.25750812616007546,0.22831863178094455,False,200,12,0.06,13
log,5,0.28379382562469296,0.2321240997512973,False,0.22769615950203914,0.1566922318230103,False,200,6,0.03,13
ten_percent,20,0.22385561137780716,0.33157225239672533,False,0.26418502854285614,0.22499311815694806,False,200,7,0.035,13
original,200,0.08382374511870973,-0.08818281967021288,False,-0.11140000016451224,-0.0724441506758431,False,187,181,0.9679144385026738,13
half,100,0.2553408636594358,0.2811948911213779,False,0.23013403367612886,0.19647565086149132,False,197,18,0.09137055837563451,9
sqrt,14,0.24471684928244053,0.2989356365983591,False,0.2717217134229685,0.21149850417916338,False,200,11,0.055,9
log,5,0.25392855884793114,0.2985905995056973,False,0.2651652242869354,0.2067683449136765,False,200,11,0.055,9
ten_percent,20,0.28542641135884417,0.2915439083687947,False,0.2826425354277397,0.2008853051417661,False,200,9,0.045,9
