dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,98,0.08902414830620414,-0.08182058943093039,False,-0.0819145383819377,-0.06713943174902573,False,100,99,0.99,5
sqrt,14,0.07966586220376237,0.13699060026147455,False,-0.03448348957885009,0.11165357530725122,False,100,95,0.95,5
log,5,0.06467233883168101,-0.04953499404758695,False,-0.09448475981658777,-0.03708228003700085,False,100,20,0.2,5
ten_percent,20,0.0796850036771895,,True,,,True,100,100,1.0,5
original,200,0.0796850036771895,,True,,,True,100,100,1.0,5
half,98,0.07858633601422285,,True,,,True,100,100,1.0,4
sqrt,14,0.07798083206181058,0.0794104215115334,False,-0.007916680563989352,0.06686507980379898,False,100,84,0.84,4
log,5,0.06546326971635856,0.10274358884391455,False,0.11119702809355839,0.07566434788301327,False,100,33,0.33,4
ten_percent,20,0.08786361402839814,-0.0853023166407572,False,-0.08109270413329393,-0.06999642884472895,False,100,99,0.99,4
original,200,0.07858633601422285,,True,,,True,100,100,1.0,4
half,98,0.08266581460993998,,True,,,True,100,100,1.0,11
sqrt,14,0.08253240135501588,0.040468810456891366,False,0.13957292164114546,0.033540029009918544,False,100,91,0.91,11
log,5,0.06958258442624352,0.02403572577512998,False,-0.0040727338358396694,0.0175949793246669,False,100,47,0.47,11
ten_percent,20,0.08266581460993998,,True,,,True,100,100,1.0,11
original,200,0.08266581460993998,,True,,,True,100,100,1.0,11
half,98,0.08199113561896297,0.10967440710954497,False,0.11458337489143175,0.0899954085146515,False,100,99,0.99,6
sqrt,14,0.07276791350579327,0.06025139745057561,False,0.095136632128788,0.049005501747652815,False,100,76,0.76,6
log,5,0.06824893202280431,-0.01563928971921787,False,-0.05874663154442939,-0.005517766280974487,False,100,48,0.48,6
ten_percent,20,0.07467756537387867,-0.07789272008975347,False,-0.11354602931080135,-0.06379767280171456,False,100,98,0.98,6
original,200,0.07475015486081169,,True,,,True,100,100,1.0,6
half,98,0.07011314556598625,,True,,,True,100,100,1.0,13
sqrt,14,0.07011314556598625,,True,,,True,100,100,1.0,13
log,5,0.05740178870765515,0.28041902467890745,False,0.21394030624199853,0.20260814655403434,False,100,44,0.44,13
ten_percent,20,0.07011314556598625,,True,,,True,100,100,1.0,13
original,200,0.07011314556598625,,True,,,True,100,100,1.0,13
