dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,10,0.25494361319990466,0.0582752889735233,False,0.045478697951231814,0.03852491370830658,False,50,5,0.1,1
sqrt,4,0.21111382814218765,0.2220033885792672,False,0.14997629828453357,0.14672254369759316,False,50,5,0.1,1
log,2,0.5094133189538315,0.05874159631448269,False,0.04573898650070693,0.0499183173681407,False,50,4,0.08,1
ten_percent,2,0.5094133189538315,0.05874159631448269,False,0.04573898650070693,0.0499183173681407,False,50,4,0.08,1
original,20,0.08390761675886207,,True,,,True,50,50,1.0,1
half,10,0.2557486698693751,0.2899351763851715,False,0.261125883712338,0.19918200066209574,False,50,5,0.1,0
sqrt,4,0.4912004130915866,0.26761104441776706,False,0.2806848227784547,0.19346938775510203,False,50,1,0.02,0
log,2,0.690819366523221,0.2383765678730806,False,0.2716222726325029,0.1726682781094703,False,50,4,0.08,0
ten_percent,2,0.690819366523221,0.2383765678730806,False,0.2716222726325029,0.1726682781094703,False,50,4,0.08,0
original,20,0.08497974945962444,,True,,,True,50,50,1.0,0
half,10,0.2768498039666582,0.23622390427272386,False,0.2735524935307534,0.1565586918784374,False,50,5,0.1,3
sqrt,4,0.42883802458192866,0.20759201907590005,False,0.2401725242678694,0.13556554825550698,False,50,2,0.04,3
log,2,0.4013187604989665,0.24064736220110508,False,0.28012969841369506,0.16019627895337446,False,50,3,0.06,3
ten_percent,2,0.4013187604989665,0.24064736220110508,False,0.28012969841369506,0.16019627895337446,False,50,3,0.06,3
original,20,0.0764295234208282,,True,,,True,50,50,1.0,3
half,10,0.231102987614344,-0.019872051356471073,False,-0.05927465269888625,-0.023948751539237603,False,50,8,0.16,2
sqrt,4,0.2687517767576449,0.06682681530269653,False,0.011634985502756252,0.05163977794943223,False,50,5,0.1,2
log,2,0.3335898384278461,-0.04936493074485895,False,-0.1215987761824211,-0.04409963617950228,False,50,2,0.04,2
ten_percent,2,0.3335898384278461,-0.04936493074485895,False,-0.1215987761824211,-0.04409963617950228,False,50,2,0.04,2
original,20,0.06519348421234565,,True,,,True,50,50,1.0,2
half,10,0.2918652302864915,0.18695188637763321,False,0.18601957635767732,0.1166346565568597,False,50,6,0.12,8
sqrt,4,0.34745423836887457,0.1751681126401622,False,0.17508016095431125,0.11047496466719664,False,50,4,0.08,8
log,2,0.5568892952942602,0.11703404942807684,False,0.0861785916226244,0.06865554812287476,False,50,3,0.06,8
ten_percent,2,0.5568892952942602,0.11703404942807684,False,0.0861785916226244,0.06865554812287476,False,50,3,0.06,8
original,20,0.07046700650637705,,True,,,True,50,50,1.0,8
half,10,0.17216007755129847,0.1521855492872676,False,0.12158658482929782,0.1119844240111085,False,50,7,0.14,13
sqrt,4,0.2950975564997625,0.19865483916365936,False,0.16794163518558644,0.14344382763731175,False,50,5,0.1,13
log,2,0.5044111043347823,0.13635927386493568,False,0.13492349351960162,0.10392830009432573,False,50,4,0.08,13
ten_percent,2,0.5044111043347823,0.13635927386493568,False,0.13492349351960162,0.10392830009432573,False,50,4,0.08,13
original,20,0.07501820892168239,,True,,,True,50,50,1.0,13
half,10,0.20443529380657213,0.2641356214733861,False,0.2718308226031708,0.1757733556561125,False,50,6,0.12,12
sqrt,4,0.33574314403359135,0.1375600423913969,False,0.18301661013991177,0.08756163866214844,False,50,4,0.08,12
log,2,0.19983568654345646,0.3775696554604648,False,0.38108363677057205,0.2594115837000099,False,50,4,0.08,12
ten_percent,2,0.19983568654345646,0.3775696554604648,False,0.38108363677057205,0.2594115837000099,False,50,4,0.08,12
original,20,0.09007214792011808,,True,,,True,49,49,1.0,12
half,10,0.21371087129993047,0.08617088233292966,False,0.07490324235086436,0.05256773253266916,False,50,6,0.12,5
sqrt,4,0.17410118910455946,0.11342992441348003,False,0.15526670831425834,0.07740099894885441,False,50,7,0.14,5
log,2,0.3564836599804261,0.12076830732292916,False,0.1232869838896784,0.0873469387755102,False,50,1,0.02,5
ten_percent,2,0.3564836599804261,0.12076830732292916,False,0.1232869838896784,0.0873469387755102,False,50,1,0.02,5
original,20,0.0848156357552959,,True,,,True,50,50,1.0,5
half,10,0.26296452219617317,0.06990152139857905,False,0.053556763873418484,0.04672170385901011,False,50,5,0.1,6
sqrt,4,0.2175362788505613,0.12053987233032641,False,0.09543026043646753,0.07043036742584004,False,50,9,0.18,6
log,2,0.22662736117188387,0.01772760233407263,False,-0.03529895670621438,0.0008196790150703529,False,50,5,0.1,6
ten_percent,2,0.22662736117188387,0.01772760233407263,False,-0.03529895670621438,0.0008196790150703529,False,50,5,0.1,6
original,20,0.08268980936395798,,True,,,True,50,50,1.0,6
half,10,0.19924309803672385,0.27406808367234825,False,0.26435063536650794,0.20134799158210745,False,50,9,0.18,9
sqrt,4,0.23846077333290977,0.24116235085447063,False,0.2389823096059439,0.17594161039590578,False,50,4,0.08,9
log,2,0.32251355778219243,0.15725264622536084,False,0.1798449234688308,0.10720163238076119,False,50,4,0.08,9
ten_percent,2,0.32251355778219243,0.15725264622536084,False,0.1798449234688308,0.10720163238076119,False,50,4,0.08,9
original,20,0.08980447712259867,-0.004949706633394551,False,-0.045890348365962126,-0.004081632653061224,False,50,49,0.98,9
half,10,0.26899663026291987,0.09375600654609174,False,0.011053570117592787,0.05646498194101162,False,50,4,0.08,15
sqrt,4,0.17987458438106554,0.20450083447669798,False,0.04382697949967954,0.16138931695718578,False,50,7,0.14,15
