dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,25,0.07784791914644373,,True,,,True,50,50,1.0,14
sqrt,7,0.0707296180135896,0.21139062922453758,False,0.06866140232950076,0.16045193265269547,False,50,24,0.48,14
log,3,0.06411002229882691,0.14827524524302715,False,0.12419255101847769,0.1143147991432755,False,50,16,0.32,14
ten_percent,5,0.0689684170275763,-0.08355892629243092,False,-0.1290655390262752,-0.05769449031760272,False,50,14,0.28,14
original,50,0.07784791914644373,,True,,,True,50,50,1.0,14
half,25,0.07803878619366585,,True,,,True,50,50,1.0,8
sqrt,7,0.0763652444440941,-0.07942292190232131,False,-0.2327304066321145,-0.07253117243679913,False,50,38,0.76,8
log,3,0.07537364659621117,0.11344902833201925,False,-0.05113689641509857,0.07392493243604369,False,50,19,0.38,8
ten_percent,5,0.0720825418355072,0.10776847050912995,False,-0.06074046683470205,0.06243386243386243,False,50,32,0.64,8
original,50,0.07803878619366585,,True,,,True,50,50,1.0,8
half,25,0.06887085869701762,,True,,,True,50,50,1.0,4
sqrt,7,0.06706333383516391,0.05398748199560772,False,-0.02618981912464563,0.0399163127506114,False,50,34,0.68,4
log,3,0.05893133286615102,-0.046381785637430284,False,-0.04876026862937854,-0.033520880951787554,False,50,16,0.32,4
ten_percent,5,0.05562452233120364,0.18121707034358872,False,0.2333085105604549,0.12391472213282385,False,50,18,0.36,4
original,50,0.06887085869701762,,True,,,True,50,50,1.0,4
half,25,0.07618374946260004,,True,,,True,50,50,1.0,2
sqrt,7,0.0742443466758452,-0.0012820487796984877,False,-0.02670757657611434,0.0025010749116137626,False,50,38,0.76,2
log,3,0.07326570835408157,0.1375141661004553,False,0.09558039165650709,0.08644252861563259,False,50,12,0.24,2
ten_percent,5,0.06449196379235805,0.3461751151846421,False,0.3670630933035878,0.24289620657557215,False,50,19,0.38,2
original,50,0.07618374946260004,,True,,,True,50,50,1.0,2
half,25,0.07225735652967727,-0.18313914543559837,False,-0.13754691926782417,-0.1510204081632653,False,50,49,0.98,9
sqrt,7,0.07131929218517713,-0.20127742748093394,False,-0.1780461373278162,-0.1583059897467245,False,50,37,0.74,9
log,3,0.06850703134446759,-0.07074105497273203,False,-0.05542632847236221,-0.0526037999954613,False,50,14,0.28,9
ten_percent,5,0.06307214067237889,0.1201285408672514,False,0.15378707237645983,0.08064575188680487,False,50,23,0.46,9
original,50,0.0722969401384748,,True,,,True,50,50,1.0,9
half,25,0.08660054878757134,,True,,,True,50,50,1.0,5
sqrt,7,0.08382971055686576,0.013328080654731452,False,0.07807979057036918,0.01593638145779192,False,50,35,0.7,5
log,3,0.06803884495829521,-0.08540757275242478,False,0.015275775788273993,-0.06664649861891703,False,50,13,0.26,5
ten_percent,5,0.07126413670215002,-0.03744718903569372,False,-0.05534992976505617,-0.021487744199863816,False,50,16,0.32,5
original,50,0.08660054878757134,,True,,,True,50,50,1.0,5
half,25,0.08173170508840927,0.2227367985027548,False,0.28737824665831174,0.1836734693877551,False,50,49,0.98,7
sqrt,7,0.08130620637704951,0.15534161092219154,False,0.21307338168962292,0.1214473947038192,False,50,44,0.88,7
log,3,0.1086674644352728,-0.010931902125043589,False,0.04797032573302082,-0.009114518137461653,False,50,9,0.18,7
ten_percent,5,0.07693465697290558,0.10066871189272057,False,0.12157100701532554,0.08286442042658973,False,50,29,0.58,7
original,50,0.08173366737049793,,True,,,True,50,50,1.0,7
half,25,0.07062165998916564,,True,,,True,50,50,1.0,11
