dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,50,0.07386556401067651,0.13605182576333208,False,0.13627123359502333,0.11158535097118738,False,197,194,0.9847715736040609,2
sqrt,10,0.07277670953176868,0.02533662732399504,False,0.007265347546263176,0.021254303022289152,False,200,167,0.835,2
log,4,0.06125211483024568,-0.014223485692549326,False,-0.010913815068139317,-0.011520570831636,False,200,10,0.05,2
ten_percent,10,0.07277670953176868,0.02533662732399504,False,0.007265347546263176,0.021254303022289152,False,200,167,0.835,2
original,100,0.08548114148148028,0.003636897919214507,False,0.04420455778932529,0.0034155117022054093,False,199,194,0.9748743718592965,2
half,50,0.08280849421123887,-0.09741885864113232,False,-0.08109783251579983,-0.07989148745290027,False,198,194,0.9797979797979798,0
sqrt,10,0.072826247480954,0.2864304977142975,False,0.32624419573704033,0.2092548568982598,False,200,98,0.49,0
log,4,0.06110841317353058,0.05146819913826491,False,0.04110703384814593,0.03395006110066184,False,200,47,0.235,0
ten_percent,10,0.072826247480954,0.2864304977142975,False,0.32624419573704033,0.2092548568982598,False,200,98,0.49,0
original,100,0.07770556465941583,-0.03140089055595223,False,-0.035957080162153036,-0.025703710298973385,False,197,196,0.9949238578680203,0
half,50,0.07822833557473814,-0.12000025507574155,False,-0.10444628598468657,-0.09822566987950969,False,199,198,0.9949748743718593,12
sqrt,10,0.072594439817308,0.06017702112777649,False,0.024819971859984864,0.046748299162885906,False,200,158,0.79,12
log,4,0.06493393255592618,0.07311307975847958,False,0.10802390071899126,0.05063395471631094,False,200,28,0.14,12
ten_percent,10,0.072594439817308,0.06017702112777649,False,0.024819971859984864,0.046748299162885906,False,200,158,0.79,12
original,100,0.08060058940934675,0.039832126771064645,False,0.00163042692571744,0.032019543549216704,False,199,195,0.9798994974874372,12
half,50,0.07533450901705518,,True,,,True,199,199,1.0,4
