dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,98,0.08696237025017074,0.0470151584507068,False,0.025030936522081517,0.038579177245300945,False,100,98,0.98,13
sqrt,14,0.06972783707556447,0.08978898619717601,False,0.04429573181623663,0.07263539474676389,False,100,83,0.83,13
log,5,0.060626750056556405,0.2524595965591136,False,0.26422128319478166,0.18745315706850604,False,100,43,0.43,13
ten_percent,20,0.07005315929873215,0.15326041871052934,False,0.08482366380090174,0.12456150308843632,False,100,95,0.95,13
original,200,0.07011314556598625,,True,,,True,100,100,1.0,13
half,98,0.08266581460993998,,True,,,True,100,100,1.0,11
sqrt,14,0.08265325051264623,0.04861879341221435,False,-0.04713905672499501,0.039369179732614584,False,100,95,0.95,11
log,5,0.06993627657273672,0.26696550160486265,False,0.214624264972722,0.19740188424219715,False,100,46,0.46,11
ten_percent,20,0.08265041015514589,-0.0144219444134276,False,0.004540813826159678,-0.01151556045566748,False,100,96,0.96,11
original,200,0.08266581460993998,,True,,,True,100,100,1.0,11
half,98,0.07475015486081169,,True,,,True,100,100,1.0,6
sqrt,14,0.0745534512397206,0.18213007007398457,False,0.12928150082043324,0.14826284086671884,False,100,96,0.96,6
log,5,0.0570530184664123,0.22578536468425922,False,0.2530921103756409,0.1676453764365885,False,100,41,0.41,6
ten_percent,20,0.07475015486081169,,True,,,True,100,100,1.0,6
original,200,0.07475015486081169,,True,,,True,100,100,1.0,6
half,98,0.0796850036771895,,True,,,True,100,100,1.0,5
sqrt,14,0.07949587775534751,0.07542752706354966,False,0.02452989000001366,0.06202223579304519,False,100,94,0.94,5
log,5,0.06081562776222407,-0.009232446807387997,False,-0.05900103777224255,-0.010414074637634095,False,100,15,0.15,5
ten_percent,20,0.07955392763949812,-0.012389439992417582,False,-0.10471466050883226,-0.010076115398709047,False,100,96,0.96,5
original,200,0.0796850036771895,,True,,,True,100,100,1.0,5
half,98,0.09239587592252142,-0.024744820237214107,False,-0.0025410950289762218,-0.020304830129105757,False,100,98,0.98,7
sqrt,14,0.0753555848679395,0.25460942796902686,False,0.18112669619509322,0.20767411664594101,False,99,92,0.9292929292929293,7
log,5,0.06467194533175058,-0.010971989589448386,False,-0.06911634119327806,-0.005735910799624968,False,100,17,0.17,7
ten_percent,20,0.07525196106556935,0.10835953302983724,False,0.10826918488094829,0.08841930530111801,False,100,95,0.95,7
original,200,0.07536801131957094,,True,,,True,100,100,1.0,7
half,98,0.08701053175238088,0.036558135703181664,False,0.00038946646313366644,0.029998469504883836,False,100,99,0.99,4
sqrt,14,0.0780425020949106,0.18541998478702207,False,0.2415944613905541,0.1457433951887263,False,100,86,0.86,4
log,5,0.06565077766351501,-0.07167261308833808,False,-0.017329896700321316,-0.05689498153012648,False,100,37,0.37,4
ten_percent,20,0.07847352322455979,0.13158624060905624,False,0.12155615909033134,0.10835477761561044,False,100,98,0.98,4
original,200,0.07858633601422285,,True,,,True,100,100,1.0,4
half,98,0.0773109601894752,,True,,,True,100,100,1.0,0
sqrt,14,0.07723738258153905,0.050600878708461694,False,-0.049344518265292424,0.039576093315562166,False,100,94,0.94,0
log,5,0.06595726880557087,0.03673720021079031,False,0.021989691408783842,0.026070832480051688,False,100,39,0.39,0
ten_percent,20,0.0773109601894752,,True,,,True,100,100,1.0,0
original,200,0.0773109601894752,,True,,,True,100,100,1.0,0
half,98,0.09058109370548754,,True,,,True,100,100,1.0,1
sqrt,14,0.09054944994905419,-0.03845794999226081,False,-0.06605365033280317,-0.031499766315792946,False,100,97,0.97,1
log,5,0.07142678022634977,-0.09398984878792246,False,-0.1327736878428107,-0.0649129666937956,False,100,23,0.23,1
ten_percent,20,0.09058109370548754,,True,,,True,100,100,1.0,1
original,200,0.09058109370548754,,True,,,True,100,100,1.0,1
half,98,0.07361359229885077,,True,,,True,100,100,1.0,14
sqrt,14,0.0734724842381583,0.14799987801875505,False,0.13963847074354196,0.11882685960786396,False,100,90,0.9,14
log,5,0.060495874357338365,-0.04658438291672725,False,-0.002629298839699376,-0.030071502142493177,False,100,23,0.23,14
ten_percent,20,0.07967259318776924,0.15841858804712056,False,0.20992272275451732,0.12999336785449664,False,100,99,0.99,14
original,200,0.07361359229885077,,True,,,True,100,100,1.0,14
