dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,100,0.35303828721020325,0.07927292240805005,False,0.06381346691772485,0.05509755179467753,False,193,12,0.06217616580310881,14
sqrt,14,0.20733529027170833,0.20202629325403856,False,0.09264398959430473,0.14595642949935647,False,200,7,0.035,14
log,5,0.22222122842665903,0.20493042684482413,False,0.09893083125240575,0.14454865132988282,False,200,7,0.035,14
ten_percent,20,0.21116151465572536,0.19847996421645467,False,0.0850704636688342,0.14623356736660398,False,200,8,0.04,14
original,200,0.08994836980048765,-0.07759651831252908,False,-0.08111705294287994,-0.06323087983934218,False,191,186,0.9738219895287958,14
half,100,0.292903554211028,0.1416598836713843,False,0.05386211320277602,0.09424864543408336,False,198,7,0.03535353535353535,4
sqrt,14,0.3285205099248941,0.09447700364070279,False,0.030484505602820004,0.061361409325787646,False,200,3,0.015,4
log,5,0.23774544448527024,0.21054029109085198,False,0.06597772765054415,0.14584338358477192,False,200,10,0.05,4
ten_percent,20,0.30445605906351203,0.11239335198131443,False,0.033575458392003814,0.0732179200713547,False,200,2,0.01,4
original,200,0.10594079217998792,-0.03137568945084788,False,-0.034864717962543236,-0.02529265372856388,False,190,178,0.9368421052631579,4
half,100,0.29229268632314076,0.061116921744730955,False,0.025575581016228106,0.04167658664520067,False,195,6,0.03076923076923077,2
sqrt,14,0.2004802482680149,0.2093543126721826,False,0.10186058532316315,0.14631718456546786,False,200,13,0.065,2
log,5,0.20499839418464574,0.22214754949364693,False,0.10852068126886787,0.15409392339432781,False,200,10,0.05,2
ten_percent,20,0.21895957799438043,0.20243046767901682,False,0.09987979883155783,0.14452684199267068,False,200,6,0.03,2
original,200,0.08890565779889786,0.06669291267553858,False,0.06378910700583235,0.05407503751785793,False,188,181,0.9627659574468085,2
half,100,0.23798223797960905,0.35008471256244356,False,0.20518359420795662,0.24441304142258388,False,195,10,0.05128205128205128,3
sqrt,14,0.19152393277144936,0.3994457026101228,False,0.2561846691806929,0.27966311464220317,False,200,10,0.05,3
log,5,0.23935045418118606,0.33012360898690263,False,0.23951755030288582,0.23156633572175542,False,200,9,0.045,3
ten_percent,20,0.2546217865696168,0.3233685094856534,False,0.23728529521985492,0.22136215828507305,False,200,5,0.025,3
original,200,0.09965336725596717,0.04460809168015866,False,0.0001920645999992587,0.03596269083129139,False,189,179,0.9470899470899471,3
half,100,0.22655709759855633,0.21950598338699728,False,0.13658305710899285,0.16324936879444404,False,194,13,0.06701030927835051,7
sqrt,14,0.18428172685018893,0.36644896498344887,False,0.2646022195640393,0.2654657107611776,False,200,12,0.06,7
log,5,0.22776307827028944,0.30813806997691,False,0.23826772698022006,0.2212052008045787,False,200,9,0.045,7
ten_percent,20,0.19751425962552221,0.33957800579137326,False,0.2308255887762129,0.2519564621520512,False,200,11,0.055,7
original,200,0.11133550996102466,-0.053403835153068735,False,-0.056965724977829,-0.04329844601959885,False,193,184,0.9533678756476683,7
half,100,0.259851219981338,0.2416164870373715,False,0.16302947580541383,0.17042063989662917,False,197,12,0.06091370558375635,0
sqrt,14,0.19986759609374366,0.2976461085755034,False,0.18199225893246163,0.20822551385214588,False,200,10,0.05,0
log,5,0.196508962088784,0.29774858917146235,False,0.18582151170814734,0.20794562018423338,False,200,13,0.065,0
ten_percent,20,0.21294282837398185,0.28672257087028785,False,0.17645403096252074,0.19947699554137313,False,200,9,0.045,0
original,200,0.11178915979448478,-0.04215650119148273,False,-0.0830254735165813,-0.0355609374552058,False,192,179,0.9322916666666666,0
half,100,0.227765772401904,0.12138803991222245,False,0.08235963135620825,0.09493181656832284,False,197,13,0.06598984771573604,1
sqrt,14,0.21256590461607822,0.20824851614448533,False,0.11287539892566621,0.15488287052583918,False,200,8,0.04,1
log,5,0.2122953468387332,0.18866028162237797,False,0.10958472648981203,0.13702365616936996,False,200,11,0.055,1
ten_percent,20,0.22942545326275593,0.15354600671831464,False,0.08926661608513556,0.11196387623093945,False,200,11,0.055,1
original,200,0.10464210556012682,0.02473569040202664,False,0.059518911607804266,0.019603665068789113,False,191,183,0.9581151832460733,1
